,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Range,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Weight,Power Supply,Feature 10,Feature 11,Feature 12,Feature 13,Diameter,Attachment 2
20,P231592,Rothenberger Pipeslice Copper Tube Cutter 15mm,Rothenberger,15.0,"The Rothenberger 15mm pipe slice kit offers effortless single-handed cutting of 15mm copper pipes for plumbing applications. A compact design, this slice is ideal for working in confined spaces, such as under sinks, in walls or beneath floorboards. Automatically adjusting and locking on, the tool has a self-clamping action to ensure smooth, deformation-free cutting.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger Pipeslice Copper Tube Cutter 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/53/T64053_wm.jpg,,,,N,,160 mm (L) x 100 mm (W) x 45 mm (H),231592 PK,Tube Cutter,N,Cuts 15mm Copper Tube,Suitable for single-handed operation,Ideal for use in confined spaces,Easy-change replaceable cutter wheels,Automatic adjustment and lock-on,,,,,,,,,,,,,
21,PN39706,Rothenberger Pipeslice Tube Cutters pipe slice twin pack,Rothenberger,26.55,"Suitable for cutting copper tube with one hand, this Rothenberger pipe slice uses an automatic self-clamping action for accurate results and a smooth finish with no deformation. Ideal for use in confined spaces, the cutter has a compact design, rotating within its own radius.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger Pipeslice Tube Cutters pipe slice twin pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/06/NW-N39706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PN13843,Nerrad NT4067 adj ratchet action copper/inox tube cutter 35-67mm,Nerrad,155.39,"Supplied complete with a copper cutting wheel, the Nerrad adjustable ratchet action 35 - 67mm tube cutter can also cut through INOX or multilayer pipe using alternative wheel types. With an internally rotating cutting mechanism that rotates independently from the cutter's body, this tool is ideal for working in awkward confined spaces. Meanwhile, an ergonomically designed handle requires minimal effort to operate, even when working single-handedly.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Nerrad NT4067 adj ratchet action copper/inox tube cutter 35-67mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/43/N13843_wm.jpg,,,,N,,35 - 67mm,NT4067,Pipe Cutter,N,Inox/Copper Tube Cutting,Ratchet action,For Copper/INOX tube,Suitable for 35 - 67mm pipework,Suitable for multilayer tubes up to 10mm thickness using specially designed wheel,,,,,,0.62200,,,,,,,
23,P418060,Rothenberger Rocut plastic pipe shear 0-42mm,Rothenberger,25.16,"This ratchet-type Rothenberger 0 - 42mm pipe shear is suitable for cutting all plastic pipes, including MDPE, PP, PE, HEP20 and PE-X.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger Rocut plastic pipe shear 0-42mm,,"1x Rocut cutter,1x Blade",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/91/55091_wm.jpg,,Red / Silver,Rocut,N,Plastic,0 - 42 mm,055091E,Pipe Shears,N,Plastic pipes,Ratchet action,"For fast, clean square cuts",Suitable for all plastic pipe types,,,,,,,0.43000,,,,,,,
24,PT86308,Rothenberger Rotrac 28 tube cutter 3-28mm,Rothenberger,60.85,"This robust Rothenberger Rotrac tube cutter cuts copper, brass, aluminium and thin-walled steel pipes in 3 - 28mm sizes. Fitted with an internal deburrer, this tool provides a smooth, ready to use finish.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger Rotrac 28 tube cutter 3-28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/08/NW-T86308_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P519477,Hep2O Wavin Hep2O HX78 hepkey 28mm,Hep2O,0.4,"This Wavin Hep2O HX78 28mm Hepkey is used for the secure demounting of Hep2O fittings. It simply clips onto a fitting and holds the grab ring in its release position while you remove the connection. A unique system for reliable push-fit jointing, Hep2O offers joint recognition, secure demounting and a leak-free guarantee.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Hep2O Wavin Hep2O HX78 hepkey 28mm,,10 tools,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/77/519477_wm.jpg,,Orange,Wavin Hep2O,N,PB,28 mm,HX78/28W,Demounting tool,N,Use to demount Wavin Hep2O fittings,For secure demounting of Wavin Hep2O push-fit system,"Clips onto Hep2O fitting, holding grab-ring in its release position",Hep2O is suitable for hot and cold systems,System has In4Sure joint recognition for secure joints,System guarantees leak-free security,Colour-coded packaging for easy identification,"Green 10mm, blue 15mm, purple 22mm and orange 28mm",BS EN 7291 parts 1 and 2,WRAS approved,,,,,,,,
26,PT85909,Rothenberger universal tube cutter wheels,Rothenberger,5.83,"Made of tough steel, this Rothenberger cutting wheel is suitable for cutting copper, brass, aluminium and thin-walled steel pipes with 6 - 35mm diameters in combination with a tube cutter.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger universal tube cutter wheels,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/09/NW-T85909_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT86469,Virax tube cutter 6-35mm,Virax,20.25,"Easy to use, this Virax tube cutter has a soft touch, slip-free knob for comfort precision. It is designed to cut tubes from 3 - 35mm in diameter.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Virax tube cutter 6-35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/69/NW-T86469_wm.jpg,,Black / Red,,N,,165 mm (L) x 64 mm (H),210443R,Tube Cutter,N,For 3-35mm Dia Tubes,"Soft touch, non-slip knob",Fast action adjustment,"Quick, tool-less wheel change",4x guide rollers prevent wheel tracking,Retractable rotating reamer with interchangeable blades,Grooved rollers for cutting tight against flanges,Colour-coded end cap indicates material to be cut,,,,,,,,,,
28,PN20138,"Rothenberger universal 5 in 1 stop cock key 34""",Rothenberger,24.1,"This Rothenberger stopcock key is designed to fit most 1/2"" and 3/4"" crutch head valves as well as 1/2"", 3/4"" and 5/8"" square stop taps. Strong and sturdy, this key is suitable for turning stiff stop taps while a longer length tommy bar on the handle is ideal for lifting access covers.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger universal 5 in 1 stop cock key 34""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/38/NW-N20138_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PM90866,Geberit Mapress 91087 pipe cutter 12-35mm,Geberit,90.86,"Made of steel, this Geberit Mapress pipe cutter cuts pipes with 12 - 35mm diameters. A spare cutting wheel is contained in the handle for convenience.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Geberit Mapress 91087 pipe cutter 12-35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/66/NW-M90866_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
