,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1
0,P616498,Fujitsu AGYG09KVCA Floor Standing Indoor Unit 2.6KW,Fujitsu,403.44,"A compact design to suit any interior, the Fujitsu floor-standing indoor heating and cooling unit has an A+++ rating for cooling and A+ for heating, ensuring energy efficiency alongside comfort. Easy to fit, this unit is designed for installation flexibility.",Air Conditioning/Fujitsu R32 Indoor Units/Floor Mounted/Floor Mounted.csv -> Fujitsu AGYG09KVCA Floor Standing Indoor Unit 2.6KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/98/NW-616498_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Split-Multisplit_Brochure.pdf
1,P616502,Fujitsu AGYG14KVCA Floor Standing Indoor Unit 4.2KW,Fujitsu,533.21,"A compact design to suit any interior, the Fujitsu floor-standing indoor heating and cooling unit has an A+++ rating for cooling and A+ for heating, ensuring energy efficiency alongside comfort. Easy to fit, this unit is designed for installation flexibility.",Air Conditioning/Fujitsu R32 Indoor Units/Floor Mounted/Floor Mounted.csv -> Fujitsu AGYG14KVCA Floor Standing Indoor Unit 4.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/02/NW-616502_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Split-Multisplit_Brochure.pdf
2,P616500,Fujitsu AGYG12KVCA Floor Standing Indoor Unit 3.5KW,Fujitsu,462.48,"A compact design to suit any interior, the Fujitsu floor-standing indoor heating and cooling unit has an A+++ rating for cooling and A+ for heating, ensuring energy efficiency alongside comfort. Easy to fit, this unit is designed for installation flexibility.",Air Conditioning/Fujitsu R32 Indoor Units/Floor Mounted/Floor Mounted.csv -> Fujitsu AGYG12KVCA Floor Standing Indoor Unit 3.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/00/NW-616500_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Split-Multisplit_Brochure.pdf
