,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1
0,P624263,A-Gas Gly-Cool MEG -10 to -55c 25kg,A Gas,145.6,"GLY-COOL (MEG) is a high performance monoethylene glycol (MEG) based heat transfer fluid suitable for secondary refrigerant and industrial cooling applications. GLY-COOL (MEG) delivers high resistance to degradation, scale, bacterial growth and corrosion along with reliable protection from freezing, clean circuits and efficient heat transfers for long term cost benefits in terms of system maintenance.","Refrigeration/Refrigerants, Industrial Gas & Glycol/Glycol/Glycol.csv -> A-Gas Gly-Cool MEG -10 to -55c 25kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/63/NW-624263_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_MEG_SDS.pdf
1,P624264,A-Gas Gly-Cool+ MPG -10 to -55c 25kg,A Gas,326.48,"High performance GLY-COOL+ (MPG) is a monopropylene glycol (MPG) based heat transfer fluid for use in indirect cooling in food processing and beverage cooling applications. GLY-COOL+ (MPG) delivers high resistance to degradation, scale, bacterial growth and corrosion along with reliable protection from freezing, clean circuits and efficient heat transfers for long term cost benefits in terms of system maintenance.","Refrigeration/Refrigerants, Industrial Gas & Glycol/Glycol/Glycol.csv -> A-Gas Gly-Cool+ MPG -10 to -55c 25kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/64/NW-624264_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_MPG_SDS.pdf
