,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Drainage Product Type,Material,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Standards,Supplier Product Code,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8
40,PF29090,"Polypipe Terrain bent branch boss adaptor 4"" x 2"" Grey",Polypipe,15.06,"Part of a comprehensive system, this Polypipe Terrain 4 x 2"" bent branch boss adapter is made of PVC-u. The Terrain system includes a wide range of soil and waste drainage fittings that can be used in commercial, industrial, housing and public sector projects.","Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Polypipe Terrain bent branch boss adaptor 4"" x 2"" Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/87/F29087_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_TerrainS&W_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PQ62216,Wavin Wavin OsmaSoil PVCu solvent-weld boss 110mm Grey,Wavin,58.5,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110mm boss soil manifold is made of durable grey PVC-u and is fitted with secure boss sockets and plain end connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Wavin Wavin OsmaSoil PVCu solvent-weld boss 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/16/NW-Q62216_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PF68208,Polypipe PolySoil strap on boss nut and blt 110mm Grey,Polypipe,13.28,"Made of grey PVC-U, this Polypipe PolySoil boss strap with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Polypipe PolySoil strap on boss nut and blt 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/08/NW-F68208_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PQ66758,Wavin OsmaWeld 5Z292B ABS access plug 40mm Black,Wavin,4.03,"Kitemarked to BS EN 1455-1:2058, this Wavin OsmaWeld 40mm access plug is made of robust ABS in black. This fitting is designed with solvent weld connections for reliably secure jointing.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Wavin OsmaWeld 5Z292B ABS access plug 40mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/58/Q66758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wavin_BelowGroundDrainage_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_ABS_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PF22602,110MM X90D STRAP ON BOSS 32MM  SWS4150:B,Marley,11.81,"This Marley Solvent Soil 90° 32 x 110mm strap-on boss is made of black PVC-u. This fitting is part of the comprehensive Solvent Soil system, which is designed to meet the majority of drainage requirements, for a reliably secure, leak-free system.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> 110MM X90D STRAP ON BOSS 32MM  SWS4150:B,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/02/NW-F22602_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PQ66510,Wavin OsmaSoil 3S649B spigot boss pipe Black,Wavin,30.49,"Part of a comprehensive PVC-u soil system, this Wavin OsmaSoil 82mm spigot boss pipe is suitable for sanitary waste removal in commercial and domestic developments. Available in a wide variety of colours and sizes to suit any setting, OsmaSoil is available with push-fit and solvent-weld joints. Harnessing Reycore technology, OsmaSoil is an eco-friendly system manufactured using as much recycled material as possible while maintaining the same level of performance as virgin products.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Wavin OsmaSoil 3S649B spigot boss pipe Black,,Boss pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/10/Q66510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wavin_BelowGroundDrainage_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PF09507,110MM SINGLE SOCKET               S208:W,Hunter,15.43,"Suitable for use in a variety of commercial and domestic applications, this Hunter 110mm single socket in white is part of a comprehensive accredited push-fit soil and waste system.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> 110MM SINGLE SOCKET               S208:W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/08/F07408_wm.jpg,,,,,White,110mm,Solvent Weld x Pushfit,110mm,,5 years product,0.25 kg,N,Soil Coupler,Plastic,0,UV Resistance,3.2,70,Yes,BS EN 1329,WS208,N,Soil & Waste,Flexible installation,Plastic construction,High quality white finish,Suitable for all types of commercial and domestic installations,Fully accredited product system,UV-resistant'Meets BS EN 1329,5 year warranty,
47,PF38117,160MM/110MM X 87.5 UNEQUAL BRANCH,Marley,74.28,"Ideal for commercial installations, this Marley 160/110mm 87.5° unequal branch with solvent weld connections is part of a comprehensive system designed for soil and waste use. The complete system includes a wide variety of fittings for flexibility of configuration along with reliable quality.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> 160MM/110MM X 87.5 UNEQUAL BRANCH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/17/F38117_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil & waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PF23699,MLY 110MM CONNECTOR 32MM BOSS GREY SA411,Marley,5.14,"This Marley Push-Fit Soil 87.5° boss connector with 32mm push-fit connections is made of grey PVC-U. Fast and simple to install, this fitting is suitable for most drainage jobs.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> MLY 110MM CONNECTOR 32MM BOSS GREY SA411,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/99/NW-F23699_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PF38119,160MM/110MM X 45 UNEQUAL BRANCH,Marley,74.28,"Suitable for use in a variety of commercial and domestic applications, this Marley 160 x 110mm 45° unequal branch in grey is part of a comprehensive accredited push-fit soil and waste system.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> 160MM/110MM X 45 UNEQUAL BRANCH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/19/F38119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil & waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PF23605,MLY 110MMX90D STRAP ON BOS 40 SWS410:G,Marley,11.81,"This Marley Solvent Soil 90° 40 x 110mm strap-on boss is made of grey PVC-u. This fitting is part of the comprehensive Solvent Soil system, which is designed to meet the majority of drainage requirements, for a reliably secure, leak-free system.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> MLY 110MMX90D STRAP ON BOS 40 SWS410:G,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/06/NW-F23605_F23606_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PF23606,MLY 110MMX90D STRAPON BOSS 50MM SWS420:G,Marley,11.81,"This Marley Solvent Soil 90° 50 x 110mm strap-on boss is made of grey PVC-u. This fitting is part of the comprehensive Solvent Soil system, which is designed to meet the majority of drainage requirements, for a reliably secure, leak-free system.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> MLY 110MMX90D STRAPON BOSS 50MM SWS420:G,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/06/NW-F23605_F23606_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PF24448,MLY 110MM PIPE BOSS TO WASTE ADAP SA110,Marley,12.13,"Suitable for most drainage installations, this Marley Push-Fit Soil 110mm pipe boss-to-waste adapter is made of black PVC-u and offers fast, simple fitting.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> MLY 110MM PIPE BOSS TO WASTE ADAP SA110,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/48/NW-F24448_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PF23602,MLY 110MMX90D STRAP ON BOS 32 SWS4150:G,Marley,11.81,"This Marley Solvent Soil 90° 32 x 110mm strap-on boss is made of grey PVC-u. This fitting is part of the comprehensive Solvent Soil system, which is designed to meet the majority of drainage requirements, for a reliably secure, leak-free system.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> MLY 110MMX90D STRAP ON BOS 32 SWS4150:G,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/02/NW-F23602_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
