,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Connection Type,Operating Temperature,Range,Warranty,Weight,Hazardous,Water Heating Declared Load Profile,Sound Power Level (Indoors),Output,Depth (mm),Re-heat times,Anti Legionella Function,Water Pressure,Thermostat Temperature,Useage Single / Multi Point,Controls,Eco Setting,ErP Rating,IP Rating,Material,Max Pressure (Psi),Min Pressure (Psi),Mounting Type,Water Connection,Supplier Product Code,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
51,PD69933,Ariston Andris Lux Eco 3100722 undersink electric water heater 2.5kw 15 ltr pack,Ariston,175.0,"Ideal for use in those places where safety is of utmost concern, the Ariston Andris Lux Eco 15L electric storage water heater with built-in anti-Legionella system is suitable for installation in schools, hospitals and care homes, as well as homes and light commercial premises. Extremely efficient, this 2.5kW storage water heater has a tough titanium enamelled tank and offers fast reheat times. With the Lux Eco's 'Eco Evo' function daily usage is remembered for comfort and savings of up to 15% on energy bills.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Ariston Andris Lux Eco 3100722 undersink electric water heater 2.5kw 15 ltr pack,,Unvented water heater;Wall bracket;Pressure relief valve set at 6 bar;2x dielectric junctions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/33/NW-D69933_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ariston_Andris_Lux_Eco_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Ariston_AndrisLuxEco15U_2_5KW_EU_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Ariston_Unvented_Water_Heater_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_Andris_Lux_Eco_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PD68190,Santon Aqualine AL07/3 unvented water heater 7ltr 3kw,Santon,550.54,"An ideal handwashing unit for nurseries, schools or care homes, the 7L Santon Aqualine AL07/3 unvented electric water heater stores hot water at high temperature and delivers at the perfect handwash temperature for safe, convenient use. Designed for safety and hygiene, the 3kW Santon Aqualine has all operational and safety controls, including the TMV2 thermostatic blending valve, contained inside its case, allowing for high temperature storage for a more useable, blended water output with a reduced risk of bacterial contamination.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Santon Aqualine AL07/3 unvented water heater 7ltr 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/93/D68190_D68193_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Aqualine_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/rd/Santon_Warranty_Card.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Santon_AqualineWH_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PD68191,Santon Aqualine AL10/3 unvented water heater 10ltr 3kw,Santon,600.47,"An ideal handwashing unit for nurseries, schools or care homes, the 10L Santon Aqualine AL10/3 unvented electric water heater stores hot water at high temperature and delivers at the perfect handwash temperature for safe, convenient use. Designed for safety and hygiene, the 3kW Santon Aqualine has all operational and safety controls, including the TMV2 thermostatic blending valve, contained inside its case, allowing for high temperature storage for a more useable, blended water output with a reduced risk of bacterial contamination.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Santon Aqualine AL10/3 unvented water heater 10ltr 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/93/D68190_D68193_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Aqualine_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/rd/Santon_Warranty_Card.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Santon_AqualineWH_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PD68990,Santon Aqualine AL07/3 unvented water heater 7ltr 3kW pack,Santon,392.99,"An ideal handwashing unit for nurseries, schools or care homes, the 7L Santon Aqualine AL07/3 unvented electric water heater stores hot water at high temperature and delivers at the perfect handwash temperature for safe, convenient use. Designed for safety and hygiene, the 3kW Santon Aqualine has all operational and safety controls, including the TMV2 thermostatic blending valve, contained inside its case, allowing for high temperature storage for a more useable, blended water output with a reduced risk of bacterial contamination.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Santon Aqualine AL07/3 unvented water heater 7ltr 3kW pack,,Unvented water heater;Tundish;Service valve;Discharge pipe;Grommet;Fixing screws ;plugs;Installation ;User Instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/90/D68190_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Aqualine_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Santon_Aqualine_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PD69028,Zip Varipoint 2 VP153UB undersink water heater 15ltr,Zip,676.57,"Designed for direct connection to the incoming mains water supply, the 15L Zip Varipoint II VP153UB unvented undersink water heater delivers reliable and fast hot water to one or more conventional tap outlets. ErP A-rated, the Varipoint II incorporates good levels of insulation for reduced heat loss as well as a highly robust, impact-resistant casing. The unit's adjustable thermostat gives users the flexibility to adapt their hot water supply to suit their needs and their comfort.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Zip Varipoint 2 VP153UB undersink water heater 15ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/28/D69025_D69028_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_DL_spreads_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_DL spreads_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Varipoint II_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Varipoint_II_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Zip_Varipoint_II_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PD68970,Santon Aquarius AU7/3 undersink water heater 7ltr 3kW pack,Santon,149.99,"The 7L Santon Aquarius AU7/3 undersink vented water heater is designed for convenient point-of-use installation ideal for handwashing and dishwashing. Supplied with a valve, spout and fixtures, the 3kW Aquarius provides straightforward installation and thanks to an easily removed heater plate, maintenance is simple too.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Santon Aquarius AU7/3 undersink water heater 7ltr 3kW pack,,Water heater;Fixing screws ;plugs;Installation ;user instructions;Guarantee card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/61/D68961_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Santon_Aquarius_Undersink_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Aquarius_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PD69921,Ariston Andris Lux Eco 3100718 10L Under Sink 2.5kW,Ariston,251.96,"Ariston's 10L storage Andris Lux Eco is a compact unvented electric water heater, designed to suit a wide range of locations, from building sites to office bathrooms or coffee shop kitchens. Incorporating Italian design alongside ErP A-rated energy efficiency, plus durability and performance you can rely on, the premium 2.5kW undersink Andris Lux Eco includes cutting-edge anti-legionella and anti-overheating functions for safe commercial use.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Ariston Andris Lux Eco 3100718 10L Under Sink 2.5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/24/D69920_D69924_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/o_/ds/Ariston_AndrisLuxEco_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ariston_AndrisLuxEco_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_AndrisLuxEco_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PD69027,Zip Varipoint 2 VP103UB undersink water heater 10ltr,Zip,586.06,"Designed for direct connection to the incoming mains water supply, the 10L Zip Varipoint II VP103UB unvented undersink water heater delivers reliable and fast hot water to one or more conventional tap outlets. ErP A-rated, the Varipoint II incorporates good levels of insulation for reduced heat loss as well as a highly robust, impact-resistant casing. The unit's adjustable thermostat gives users the flexibility to adapt their hot water supply to suit their needs and their comfort.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Zip Varipoint 2 VP103UB undersink water heater 10ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/28/D69025_D69028_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_DL_spreads_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_DL spreads_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Varipoint II_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Varipoint_II_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Zip_Varipoint_II_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,P112162,Hyco stainless steel 15 litres unvented water heater 2kW 366x366x327mm white,Hyco,232.3,"Supplying mains pressure hot water to up to three basins, the Hyco 15L 2kW unvented water heater is suitable for use with regular basin taps, including mixers. This multipoint storage heater is built in robust stainless steel and has a compact footprint for ease of installation under a sink.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Hyco stainless steel 15 litres unvented water heater 2kW 366x366x327mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/31/596331_wm.jpg,,,,,,,White,Compression Fitting,Adjustable between approx. 50°C to 75,,1 year parts or replacement warranty on electrical components3 year tank warranty,Empty: 8kgFull: 23kg,N,XXS,15 dB,2 kW,327,18,No,4.2,Bulb type adj. to 75E setting approx. 50,Multi Point,Manual,No,B,IPX4,"Outer Casing: Easy clean, high impact plasticHeating Element: Stainless steel incoloy",60.92,7.25,Floor StandingWall Mounted,Inlet/ Outlet 2 x 1/2 BSP male (100mm apart centre to centre). Fittings required (not supplied): 2 x 15mm compression to 1/2 BSP female adapter.,SF15SS,N,15 l,"With 2.0kW element as standard, 1.2kW available for restricted load",Neon element on indicator,Stainless steel tank,External temperature control with frost protection,PRV required for pressures above 4.2 bar,Expansion vessel and check valve required for nearby cold water draw off (kits available separately),Optional thermostatic mixing valve separately available,Not suitable for salon hairwash basins,Accessories may be required for Water Regulations compliance,,,,
60,PD06277,Zip InLine Dex12Next instantaneous water heater 8.8 - 11.5kw,Zip,618.5,"Incorporating an efficient bare wire, the Zip InLine DEX12 Next instantaneous water heater not only delivers reliably fast hot water to either a single or multiple outlets, it also does away with standing losses. ErP A-rated, this 8.8 - 11.5kW electric water heater offers two selectable settings with easy to use touch-sensitive keys setting water temperatures of anywhere between 20 and 60°C.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Zip InLine Dex12Next instantaneous water heater 8.8 - 11.5kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/77/NW-D06277_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_Water_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_InLine_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PD70460,Heatrae Sadia Multipoint 10 water heater 10ltr 3kw pack,Heatrae Sadia,595.99,"Built for longevity, the ErP A-rated Heatrae Sadia Multipoint 10L unvented water heater includes a corrosion-resistant copper inner vessel, long life element and an outer casing of tough thermoplastic and painted steel. Simply connected to the cold water mains, the practical and user-friendly 3kW Multipoint is simple to install and requires minimal maintenance, providing reliable and safe handwash hot water without effort.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Heatrae Sadia Multipoint 10 water heater 10ltr 3kw pack,,Water heater;Fixing bracket;Screw pack;Instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/00/D70400_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Multipoint_10_15_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_Multipoint_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Multipoint_10_15_Pack_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PD70092,Ariston Andris R 3100863 under sink water heater 10ltr 2kw,Ariston,218.97,"The ideal entry-level model, this Ariston Andris R 10L 2kW unvented electric storage water heater offers high levels of hot water performance with fast re-heat times. Designed for under-sink installation, this unit is easy to fit and simple to operate.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Ariston Andris R 3100863 under sink water heater 10ltr 2kw,,"Unit,Bracket & fitting Instructions",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/92/NW-D70092_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_Hot_Water_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/D70092_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ariston_Andris_R_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_Andris_R_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
