,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Hazardous,Depth (mm),Waste Supplied,Fitting / Mounting Type,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Projection Depth,Number of Tap Holes,Feature 4,Feature 5,Feature 6,Finish,Material Type,Range,Warranty,Tap Holes,Projection,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles,Feature 7
125,PD74698,Ideal Standard i.Life S compact washbasin 1 tap hole 50cm,Ideal Standard,88.12,"An elegant modern design to suit any small bathroom or cloakroom, the Ideal Standard i.Life S 500mm single taphole compact basin is part of a broad range of contemporary bathroom fittings that can help to create a sense of space and light in a room. Suitable for wall-mounting, this reduced size basin can be paired with a pedestal for a neat finish.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Ideal Standard i.Life S compact washbasin 1 tap hole 50cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/98/D74698_wm.jpg,,,,,White/Gloss,N,380,No,Wall,Ceramic,T518501,Contemporary,N,Compact design,Designed by Palomba Serafini Associati,Pedestal or semi-pedestal optional fitting,240,1,For wall-mounted installation,Ceramic construction,Gloss white finish,,,i.Life S,,,,,,,,Single taphole
126,PE19730,Atlanta Coral vessel basin 465mm White Gloss,Atlanta,96.82,"Designed with a distinctive shape for a modern look, the Atlanta Coral 465mm vessel handwash basin is a statement piece suitable for mounting into selected Atlanta bathroom furniture pieces. Finished in a high gloss white, this attractive basin blends clean practicality with high end style.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Atlanta Coral vessel basin 465mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/30/E19730_wm.jpg,,,,,White/Gloss,N,335,No,Free Standing,Ceramic,CORAL/WHG,Basin,N,Suitable for standard depth furniture,For use with unslotted waste,Ceramic construction,335,1,Gloss white finish,,,,,Coral,,,,,,,,
127,PD00764,Roca The Gap one tap hole basin 450 x 420mm White,Roca,100.44,"Compact, functional and smart, this Roca The Gap 450mm wall-hung basin with a single central tap hole has a modern design and robust, easy-clean vitreous china build, ideal for family bathrooms.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Roca The Gap one tap hole basin 450 x 420mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/64/NW-D00764_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00764_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PD49956,Ideal Standard i.Life B 550x440mm semi-countertop basin,Ideal Standard,120.65,"A modern designer-look fitting, the Ideal Standard i.Life B 550 x 440mm semi-countertop basin is designed to sit on top of the brand's dedicated i.Life vanity counter. It is also suitable for mounting on your choice of appropriate countertop or basin unit.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Ideal Standard i.Life B 550x440mm semi-countertop basin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_j/pg/D49956.jpg_wm.jpg,,,,,White,N,440,No,Furniture or countertop,Fine Fireclay,E260401,Semi-countertop,N,Designed by Palomba Serafini Associati,Fine fireclay construction,White colour,440,1,Single taphole,For furniture or countertop installation,Dedicated furniture unit available separately,,,,,,,,,,,
129,PC21389,Ideal Standard Concept Sphere one tap hole semi countertop basin 550mm White,Ideal Standard,195.06,"Modern and practical, the Ideal Standard Concept Space Sphere 550mm semi-countertop washbasin with single tap hole is made of highly durable fireclay. Designed to maximise your bathroom space, this luxury basin sits on a countertop for a smart contemporary look.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Ideal Standard Concept Sphere one tap hole semi countertop basin 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/89/NW-C21389_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C21389_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PD00630,Roca Laura 1 tap hole basin 560mm White,Roca,82.03,"Elegantly curved, this Roca Laura 560mm basin with a single tap hole looks great in any bathroom. Functional and robust, this vitreous china basin is designed for wall mounting.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Roca Laura 1 tap hole basin 560mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/30/NW-D00630_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Everyday_Collection_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00630_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PD00763,Roca The Gap one tap hole semi recessed basin 560mm White,Roca,175.78,"Compact, functional and smart, this Roca The Gap 560mm semi-recessed basin with a single tap hole has a modern design and robust, easy-clean vitreous china build, ideal for family bathrooms.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Roca The Gap one tap hole semi recessed basin 560mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/63/NW-D00763_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00763_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PD02381,Ideal Standard Sandringham 21 2 tap hole semi-countertop basin 500mm White,Ideal Standard,128.28,"Stylish and cost-effective, the Ideal Standard Sandringham 21 490mm semi-countertop washbasin with two tap holes is made of durable vitreous china with a smart, contemporary design.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Ideal Standard Sandringham 21 2 tap hole semi-countertop basin 500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/81/NW-D02381_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02381_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PC21365,Ideal Standard Concept Arc two tap hole handrinse basin 350mm White,Ideal Standard,73.4,The gracefully designed Ideal Standard Concept Arc 350mm handrinse washbasin with single tap hole is suitable for wall or pedestal mounting and offers compatibility with a range of design-matched bathroom furniture units for a smart combination of functionality and style.,Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Ideal Standard Concept Arc two tap hole handrinse basin 350mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/65/NW-C21365_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C21365_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02620,Ideal Standard Tesi 1 tap hole pedestal basin 500mm,Ideal Standard,81.57,"With a contemporary geometric design, this Ideal Standard Tesi 500mm washbasin is part of a suite perfect for modern bathrooms. Built in tough vitreous china, this basin includes a single tap hole ready for your choice of mixer and is suitable for wall or pedestal mounting.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Ideal Standard Tesi 1 tap hole pedestal basin 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/20/NW-T02620_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Bathrooms_Brchr_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/T031201_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
