,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Range,Style,Warranty,Hazardous,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 5,Feature 11,Feature 12,Feature 13,Finish
0,PA05403,Nabis Alia deck mounted 3/4-turn bath filler mixer tap,Nabis,122.8,"Manufactured in robust brass, the Nabis Alia bath/shower mixer is finished in bright, shiny chrome. This smart fixed spout tap, suitable for installation in both low and high pressure systems, has a neat modern design to suit most contemporary bathrooms.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Nabis Alia deck mounted 3/4-turn bath filler mixer tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/03/NW-A05403_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares List_May 2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Alia_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05403_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PC58102,* @ SWAN STANDARD 2TH DECK BSM & KIT CP,Swan,41.25,"Swan bath shower mixer is manufactured to the highest possible standards and designed with a focus on functionality. Provides the user with a high quality, hard-wearing features backed up with a 5 year guarantee for extra peace of mind.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> * @ SWAN STANDARD 2TH DECK BSM & KIT CP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/02/NW-C58102_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C58102_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Swan_C58102-C58117_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD10029,"Bristan 1901 basin pillar taps 1/2"" ceramic disc valves Chrome Plated pack",Bristan,73.99,"Finished in bright, glossy chrome, these Bristan 1901 basin taps, supplied with pop-up waste, are made of durable brass. Suitable for all plumbing systems, this pair of deck-mounted, Edwardian-inspired taps is an ideal choice for bathrooms in period homes.","Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan 1901 basin pillar taps 1/2"" ceramic disc valves Chrome Plated pack",,"2 x Taps, 2 x Metal Washers, 2 x Black Rubber Washers, 1 x Fitting Instructions",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/78/NW-D77378_wm.jpg,,,,,Chrome/Metallic,8.2 L/min at 0.2 bar45.4 L/min at 5 bar,0.2,65,85,1901,Traditional,5 Years,N,121,Low,No,No,Yes,Fixed,Deck,Cross,Brass,2,D10029 PK,Basin tap,N,Precise glide,Chrome finish,Matching taps and showers available,Secure fix,Long life 1/4 turn ceramic disc valves,Metal handles,Metal back nuts for durability,Chrome-plated to BS EN 248,"Flow rate 15.9LPM at 0.2 bar, 79.6LPM at 5 bar",5 year warranty,,,,,
3,PD10033,Bristan Orta basin mixer tap and clicker waste Chrome Plated pack,Bristan,48.0,"Uniquely designed for a modern bathroom, the Bristan Orta basin mixer with clicker waste offers a dynamic forward slant combined with a classic chrome finish. Suitable for all plumbing systems, this contemporary deck-mounted tap is constructed in long lasting brass.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Orta basin mixer tap and clicker waste Chrome Plated pack,,Basin mixer;Clicker waste,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/33/NW-D10033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Collection_2011_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D10033_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Orta_Tap_Range_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PA05492,Nabis Galene lever 2-tap hole bath shower mixer tap and kit Chrome,Nabis,80.69,"Fitted with a 3/4"" ceramic cartridge, the Nabis Galene two tap hole bath/shower mixer tap provides users with smooth operation via a simple and robust zinc handle. Finished in an attractive chrome plating, this simply styled bathroom tap is delivered with a shower kit for ease of installation.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Nabis Galene lever 2-tap hole bath shower mixer tap and kit Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/92/NW-A05492_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Galene_Tap_Range_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD77390,Bristan 1901 pillar bath shower mixer tap Chrome Plated,Bristan,386.14,"A classic choice in shiny, traditional chrome, the brass built Bristan 1901 pillar bath/shower mixer tap is an ideal Edwardian touch for a luxury period bathroom. Fitted with ceramic discs for smoother operation, this deck-mounted tap is suitable for installation in any plumbing system.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan 1901 pillar bath shower mixer tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/90/NW-D77390_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_547294_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D77390_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_1901_BSM_CD_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PC34295,Ideal Standard clearplan single lever bath shower mixer with shower set,Ideal Standard,198.47,"Re-worked for modern bathrooms, the Ideal Standard Clearplan single lever bath/shower mixer has a slimline, contemporary design with a smooth chrome finish. Supplied complete with a shower set, this deck-mounted mixer offers ease of installation using the EasyFix system.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Ideal Standard clearplan single lever bath shower mixer with shower set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/95/C34295_wm.jpg,,,,,Chrome,15,50 kPs,N/A,153,,Lever bath shower mixer,5 Years,N,196,Med,N/A,Yes,Yes,Fixed,Deck,Lever,Brass,0,BD267AA,Deck mounted bath shower mixer,N,With shower set,"FirmaFlow ceramic cartridges for 500,000 cycle lifespan",Easyfix fixation system for ease of fitting,With flexible tails,Lever-operated,Brass construction,Chrome finish,5 year warranty,,,,,,,
7,PD10027,Bristan Cobalt bath filler tap pack,Bristan,129.99,"The bold, geometric lines of the Bristan Cobalt bath filler are an ideal addition to a contemporary bathroom. Made of long lasting brass and finished in chrome, this deck-mounted filler is compatible with all plumbing systems.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Cobalt bath filler tap pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/76/NW-D77276_wm.jpg,,,,,Chrome/Gloss,5.7 l/min,0.3,65,104,Cobalt,Modern,5 Years,N,165,Low,No,No,Yes,Fixed,Deck,Lever,Brass,2,D10027 PK,Bath Filler,N,Precise glide,Chrome finish,Matching taps and showers available,Secure fix,Long life 1/4 turn ceramic disc valves,Metal back nuts for durability,Easy to use lever handles,Chrome-plated to BS EN 248,Flow rate 5.7LPM,5 year warranty,,,,,
8,PC69083,Bristan Orta bath shower mixer tap Chrome Plated,Bristan,168.09,"Uniquely designed for a modern bathroom, the Bristan Orta bath/shower mixer, supplied with hose, handheld showerhead and bracket, offers a dynamic forward slant combined with a classic chrome finish. Suitable for all plumbing systems, this contemporary deck-mounted filler is constructed in long lasting brass.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Orta bath shower mixer tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/83/NW-C69083_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Orta_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_OR_BSM_C_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_OR_BSM_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PC69026,Bristan Club luxury bath shower mixer tap with metal-heads Chrome Plated,Bristan,119.65,"The classic Bristan Club bath/shower mixer with easy-clean shower, hose and bracket is compatible with all plumbing systems, preferring balanced for best performance. This simply smart deck-mounted bath filler is made of durable brass with a glossy chrome finish.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Club luxury bath shower mixer tap with metal-heads Chrome Plated,,Bath shower mixer;1.5m hose;Handset;Wall bracket,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/26/NW-C69026_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C69026_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C69026_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_541210_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PC01695,Grohe BauEdge deck mounted bath shower mixer,Grohe,91.69,"Suitable for all water pressures, this Grohe BauEdge bath/shower mixer features solid metal handles and effortless quarter turn ceramic valves. This deck-mounted mixer is finished with Grohe's StarLight chrome for effortless cleaning and long lasting shine.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Grohe BauEdge deck mounted bath shower mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/95/NW-C01695_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Grohe_Product_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_BauEdge_25217000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_25216_25217_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PC42941,Bristan Artisan TMV2 thermostatic bath shower mixer Chrome,Bristan,320.47,The family friendly Bristan Artisan thermostatic bath/shower mixer is suitable for nominally balanced supply pressures only. This modern mixer is made of highly durable brass with a smart chrome finish and offers separate flow and temperature control with a maximum temperature function for safe use.,Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Artisan TMV2 thermostatic bath shower mixer Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/41/NW-C42941_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Bristan_Artisan_Bath_Mixer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Bristan_Aristan_AR2_THBSM_C_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_Aristan_AR2_THBSM_C_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PD10024,Bristan Cobalt basin mixer tap pack,Bristan,62.0,"The bold, geometric lines of the Bristan Cobalt basin mixer are an ideal addition to a contemporary bathroom. Made of long lasting brass and finished in chrome, this deck-mounted bathroom tap is compatible with all plumbing systems.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Cobalt basin mixer tap pack,,Basin mixer;Flexible tails,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/24/NW-D10024_wm.jpg,,,,,Chrome/Metallic,5 L/min at 5 barL/min at 5 bar,0.3,-4.44444444444444,100,Cobalt,Modern,5 Years,N,145,,No,No,Yes,Fixed,Deck,Lever,Brass,1,D10024 PK,Basin Mixer,N,Precise glide,Chrome finish,Matching taps and showers available,Secure fix,Long life ceramic cartridge for durability and ease of use,Metal back nuts for durability,Easy to use lever handle,Chrome-plated to BS EN 248,Flow rate 5LPM at 5 bar,5 year warranty,,,,,
13,PA05427,Nabis Vector bath mixer tap,Nabis,143.3,"The Nabis Vector bath tap offers a smart cubic design ideal for modern bathrooms. Built in a hardwearing brass with a zinc handle and chrome finish, this deck-mounted tap is compatible with pressure systems.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Nabis Vector bath mixer tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/27/NW-A05427_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares List_May 2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05427_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Vector_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PD88212,Bristan Value bath shower mixer,Bristan,179.48,"A budget choice designed to suit most bathrooms, this Bristan Value bath/shower mixer tap has a simple silhouette, a tough brass body and a clean, glossy chrome finish. Operated with 3"" metal lever handles, this mixer tap incorporates ceramic disc valves for ease of use and has a 115mm spout projection. This handy set also includes a 1.5M length shower hose, handset and wall bracket.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Value bath shower mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/12/NW-D88212_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D88212_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D88212_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D88212_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PC01693,Grohe BauEdge OHM single lever bath and shower mixer tap,Grohe,67.64,"Switching effortlessly between bath and shower, this Grohe BauEdge bath/shower mixer combines convenience, style and power. It offers an adjustable flow rate limiter to save on water waste and an integrated non-return valve to prevent backflow of waste water. Operated with a lozenge-shaped solid metal lever handle, the BauEdge mixer includes a LongLife ceramic cartridge for precise control while a StarLight chrome finish makes cleaning easy.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Grohe BauEdge OHM single lever bath and shower mixer tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/93/NW-C01693_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Grohe_Product_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_BauEdge_23334000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Grohe_23328-29-30-56_20421-22_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PA05412,Nabis Circo bath shower mixer tap,Nabis,143.98,"A smart and simple modern tap, the Nabis Circo bath/shower mixer with shower kit is ideal for contemporary bathrooms. Made of reliably tough brass with a zinc handle and high shine chrome finish, this robust fixed spout tap is suitable for use in pressure systems. It includes a Neoperl aerator for softer, more luxuriant water delivery.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Nabis Circo bath shower mixer tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/12/NW-A05412_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/12/ds/A05412DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Circo_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05412_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares List_May 2021.pdf,,,,
17,PA05019,Nabis Barford lever two tap hole bath/shower mixer tap and kit Chrome,Nabis,125.38,"A contemporary design, the Nabis Barford two tap hole bath/shower mixer tap with shower kit is a great choice for modern bathroom overhauls. Fitted with a 1/2"" ceramic disc valve, this lever-operated tap is made of brass with a metallic chrome finish. The included shower kit helps to make installation easy and delay-free.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Nabis Barford lever two tap hole bath/shower mixer tap and kit Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/19/NW-A05019_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Barford_Tap_Range_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PA05031,Nabis Swish two tap hole bath/shower mixer tap and kit Chrome,Nabis,83.25,"Nabis Swish bath shower mixer with 3/4 inch ceramic disc valve, suit the styling of different bathroom designs depending on user requirement along with high level of quality.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Nabis Swish two tap hole bath/shower mixer tap and kit Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/31/NW-A05031_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_SwishTapRange_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PA05428,Nabis Vector bath mixer tap with handheld shower,Nabis,176.98,"Designed to be deck-mounted, the Nabis Vector bath/shower mixer has a striking cubic design perfect for contemporary bathrooms. Suitable for installation in pressure systems, this smart tap is made of robust brass with a zinc handle and chrome-plated finish.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Nabis Vector bath mixer tap with handheld shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/28/A05428_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05428_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares List_May 2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Vector_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
