,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Range,Style,Warranty,Hazardous,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 5,Feature 11,Feature 12,Feature 13,Finish
37,PC83222,Ideal Standard Ceraflex 1-hole single lever bath shower mixer tap,Ideal Standard,136.48,"Hardwearing, highly functional and smartly designed, the Ideal Standard Ceraflex bath/shower mixer with shower set incorporates a FirmaFlow ceramic cartridge. Lifecycle tested to over half a million cycles, this cartridge saves water and energy and is designed to last twice as long as similar bathroom taps. This chrome deck-mounted tap offers fast, simple installation with EasyFix.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Ideal Standard Ceraflex 1-hole single lever bath shower mixer tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/22/NW-C83222_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Bathrooms_Brchr_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Ceraflex_B1960AA_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PD45293,Roca T500 wall-mounted thermostatic shower mixer,Roca,235.02,"The Roca T500 thermostatic shower mixer promotes safe showering through its inbuilt thermostat, reducing the risk of scalding should incoming supplies fluctuate. This elegant shower is finished in a smart Evershine chrome for a long lasting high shine finish that will stand the test of time.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Roca T500 wall-mounted thermostatic shower mixer,,Product and Installation Guide,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/93/D45293_wm.jpg,,,,,Chrome,15l Per min 3-Bar,0.50,38 Degree,52,,Wall mounted,10 Year,N,77,Med,No,Yes,Yes,N/A,Wall mounted,Chrome,Chrome,0,A5A2E18C00,Wall Mounted,N,Evershine chrome finish,For wall mounting,Supplied with installation guide,Flow rate of 15LM at 3 bar,10 year warranty,,,,,,,,,,
39,PC44438,Bristan Quadrato bath shower mixer tap with kit Chrome Plated,Bristan,303.73,"With its angled design, the Bristan Quadrato bath/shower mixer with handset, hose and bracket is ideal for modern bathroom designs. Suitable for any plumbing system but best in balanced pressure, this deck-mounted mixer is built of tough brass with a contemporary chrome finish.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Quadrato bath shower mixer tap with kit Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/38/NW-C44438_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Quadrato_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C44438_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C44438_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PC69024,Bristan Club pillar bath shower mixer tap with metal-heads Chrome Plated,Bristan,154.11,"The classic Bristan Club bath/shower mixer with easy-clean shower, hose and bracket is compatible with all plumbing systems, preferring balanced for best performance. This simply smart deck-mounted bath filler is made of durable brass with a glossy chrome finish.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Club pillar bath shower mixer tap with metal-heads Chrome Plated,,Bath shower mixer;1.5m hose;Handset;Wall bracket,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/24/NW-C69024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/C69024_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C69024_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C69024_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PP76431,Echo easzyfit monosink mixer brushed brass pk,Echo,99.0,A contemporary twin lever kitchen tap featuring Top Fix Easyfit technology.,Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Echo easzyfit monosink mixer brushed brass pk,,"1 x Tap Body, 2 x Flexi Tails, 2x Isolation Valves, 1x EasyFit Base, 1x 6mm Hex Key, 1x 2.5mm Hex Key, 1x Molykote Grease, 2x Grub Screws, 1x Plinth, 1 x 'O' Washer, 1 x Fitting Instructions",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/82/D80382_wm.jpg,,,,,Brass,30.6 l/min @ 3 bar,0.4,65,190,,Contemporary,10,N,230,Suitable for all plumbing systems,No,No,No,Swan,Deck Mounted,Lever,Brass,1,P76431 PK,Kitchen Taps,N,"Two supplied isolation valves and flexi tails mean you can connect to the water supply at this point and isolate the base. Push the tap on to the base and secure into position with the supplied Easyfit tool and screws. Everything you need in the box including an Allen key, isolation valves, Top Fix Easyfit base, Easyfit tool and flexi tails. Swivel spout for easy use. Long life 1/4 turn ceramic disc valves for added durablity and ease of use. High quality metal fixings for security and durability. Also available in other finishes. 10 year parts and 1 year labour guarantee for peace of mind.",,,,,,,,,,,,,,
42,PA05026,* NAB CORDA 2 TAP HOLE BSM MIXER & KIT,Nabis,89.96,"Offering a high quality build and smart design that will suit most bathrooms, the Nabis Corda bath/shower mixer is supplied with a one-function handset shower kit for complete installation.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> * NAB CORDA 2 TAP HOLE BSM MIXER & KIT,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/26/A05026_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_OssiaCordaTapRang_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PD76424,Bristan Frenzy  Frz Bas C Frenzy Basin Mixer Ch,Bristan,74.26,"The statement angled Bristan Frenzy basin mixer is suitable for use in all plumbing systems. Finished in chrome with a solid brass build, this boldly designed bathroom tap is for deck mounting.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Frenzy  Frz Bas C Frenzy Basin Mixer Ch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ty/le/D76424_Frenzy_Lifestyle_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D76424_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/D76424_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Frenzy_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PD45288,Roca Atlas deck-mounted bath-shower mixer with handset hose and bracket,Roca,293.01,"Manufactured in robust brass with a chrome finish, the single lever-operated Roca Atlas bath/shower mixer tap is designed for longevity, style and comfort. Deck-mounted, this 5LPM tap has a generous 125mm spout projection and offers compatibility with a matching clip-on shelf for convenient storage of those must-have toiletries.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Roca Atlas deck-mounted bath-shower mixer with handset hose and bracket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/88/NW-D45288_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D45288_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Taps_Showers_2019_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D45288_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PC26211,Bristan Smile bath/shower mixer tap with kit Chrome Plated,Bristan,198.32,"Simply styled with an easy to use looped handle, the Bristan Smile bath/shower mixer with handheld shower, hose and bracket provides an effortless bathroom update. Made of tough brass with a chrome finish, this deck-mounted mixer is compatible with all plumbing systems.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Smile bath/shower mixer tap with kit Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/11/NW-C26211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C26211_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Smile_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C26211_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PD76426,Bristan Frenzy bath shower mixer tap Chrome,Bristan,271.05,"The statement angled Bristan Frenzy bath/shower mixer with hose, handheld shower and bracket, is suitable for use in all plumbing systems. Finished in chrome with a solid brass build, this boldly designed filler is for deck mounting.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Frenzy bath shower mixer tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/26/D76426_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/D76426_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D76426_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Frenzy_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
