,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Pack Quantity,Depth (mm),Warranty,Attachment 4
0,PA05105,Center H0112 tap reviver metal head 1/2 (1 pair),Center,7.99,"An easy update for old or broken taps, this pack of two Center CB 1/2"" basin tap revivers with metal heads is suitable for BS5412 and BS1010 bathroom taps. With no need to disturb existing plumbing, tap revivers are a fast fix for tired bathrooms.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Center H0112 tap reviver metal head 1/2 (1 pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/05/A05105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/ad/A05105 TDS Center tap reviver metal head.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A05105 - Data Sheet.pdf,,,,,,,,,,,,,,,,
1,PA05103,Center H5112 tap reviver lever head 1/2 (1 pair),Center,11.56,"An easy update for old or broken taps, this pack of two Center CB 1/2"" basin tap revivers with metal heads is suitable for BS5412 and BS1010 bathroom taps. With no need to disturb existing plumbing, tap revivers are a fast fix for tired bathrooms.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Center H5112 tap reviver lever head 1/2 (1 pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/03/A05103_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A05103 - Data Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/ad/A05103 TDS Center tap reviver lever head.pdf,,,,,,,,,,,,,,,,
2,PD77154,"Bristan Spares hot and cold quarter turn taps with 1/2"" ceramic disc valves 8 x 24mm (Pair)",Bristan,18.97,"A pair of Bristan replacement quarter turn, 1/2"" hot and cold tap valves.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Bristan Spares hot and cold quarter turn taps with 1/2"" ceramic disc valves 8 x 24mm (Pair)",,2x valves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/54/NW-D77154_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,,,
3,PC92752,"Ideal Standard Trevi thermostatic tap cartridge 3/4""",Ideal Standard,160.59,"An Ideal Standard Trevi 3/4"" thermostatic cartridge.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard Trevi thermostatic tap cartridge 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/52/NW-C92752_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,,,,,,
4,PD77157,Bristan Spares copper tap tails M10 x 265mm (Pair),Bristan,13.91,A pair of Bristan M10 x 265mm copper tails for QST BAS C taps.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Bristan Spares copper tap tails M10 x 265mm (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/57/NW-D77157_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,,,
5,PC93248,"Ideal Standard Sensorflow 21 solenoid valve complete 1/2""",Ideal Standard,108.62,"A complete Ideal Standard Sensor flow 21 1/2"" solenoid valve.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard Sensorflow 21 solenoid valve complete 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/48/NW-C93248_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_ASH_Sensorflow_Install.pdf,,,,,,,,,,,,,,,,
6,PD32483,"Ideal Standard Armitage internal quarter turn tap ceramic disc 1/2""",Ideal Standard,54.3,"This Ideal Standard Armitage 1/2"" on/off quarter anti-clockwise turn ceramic disc flow cartridge is designed for taps and shower valves.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard Armitage internal quarter turn tap ceramic disc 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/83/NW-D32483_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,
7,PC11864,Bristan Spares single sequence cartridge for mini valve,Bristan,119.7,A Bristan replacement cartridge for TFP3002 shower panel and kit.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Bristan Spares single sequence cartridge for mini valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/64/NW-C11864_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_SK971006_Spares_Drawing.pdf,,,,,,,,,,,,,,,,,
8,PD77180,Bristan Trinity copper tap tails M12 x 265mm (Pair),Bristan,13.91,A Bristan Trinity pair of copper tap tails for bidet mixers with pop-up waste taps.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Bristan Trinity copper tap tails M12 x 265mm (Pair),,2x copper tap tails,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/80/NW-D77180_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,,,
9,PC92713,Ideal Standard Avon self closing cartridge for 8012,Ideal Standard,136.93,"Made of brass, this Ideal Standard Avon self-closing cartridge is suitable for use with B8263AA, B8861AA and S7316AA Avon basin mixer taps.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard Avon self closing cartridge for 8012,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/13/NW-C92713_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/IStandard_Spares_Catalogue.pdf,,,,,,,,,,,,,,,,,
10,PA05101,Center H0512 tap reviver cross head 1/2 (1 pair),Center,13.3,"An easy update for old or broken taps, this pack of two Center CB 1/2"" basin tap revivers with crossheads is suitable for BS5412 and BS1010 bathroom taps. With no need to disturb existing plumbing, tap revivers are a fast fix for tired bathrooms.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Center H0512 tap reviver cross head 1/2 (1 pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/01/A05101_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A05101 - Data Sheet.pdf,,,,,,,,,,,,,,,,,
11,PB00320,Viva Sanitary Skylo 4 in 1 Fill Valve universal 4 in 1 float valve Brass,Viva Sanitary,27.44,"Providing easy switching between bottom and side entry valves, the Viva Sanitary Skylo revolutionary dual entry toilet float valve is capable of 180° rotation for installation in smaller spaces. A delayed fill provides eco-friendly water savings.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Viva Sanitary Skylo 4 in 1 Fill Valve universal 4 in 1 float valve Brass,,Fill valve;1/2 inch ;3/8 inch threads,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/20/B00320_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Viva_Sanitary_UNIB_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Viva_Sanitary_UNIB_Install.pdf,,,,,,,,,,,,,,,,
12,PD77174,"Bristan Spares quarter turn hot and cold tap valves 3/4"" (Pair)",Bristan,48.07,"A pair of Bristan 3/4"" hot and cold 8/24 valves for CAD 3/4 C taps.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Bristan Spares quarter turn hot and cold tap valves 3/4"" (Pair)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/74/NW-D77174_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,,,
13,PC44692,"Bristan Tap Revive metal heads 1/2""",Bristan,25.39,Bring old or faulty taps up to date with Bristan Tap Revive with metal handles. Designed for basins this tap reviver offers a quick and easy fix with no need to disturb existing plumbing connections.,"Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Bristan Tap Revive metal heads 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/93/NW-C44692_C44693_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Bristan_Tap_Reviver_R1-2MT_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_Tap_Reviver_R1-2MT_Technical.pdf,,,,,,,,,,,,,,,,
14,PC68031,"Deva ceramic disc valve 3/4"" 1/4""",Deva,35.87,"A pair of Deva brass valves with 8/20 spline, one hot and one cold.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Deva ceramic disc valve 3/4"" 1/4""",,2x valves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/31/NW-C68031_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_CDV200_Technical.pdf,,,,,,,,,,,,,,,,,
15,PC92734,Ideal Standard Nuastyle single lever basin thermal index kit,Ideal Standard,14.15,"Allowing for the easy replacement of Ideal Standard basin parts, this Ideal Standard Nuastyle thermostatic basin index kit is suitable for use with Nuastyle single lever bathroom sinks.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard Nuastyle single lever basin thermal index kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/34/NW-C92734_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Markwik21_Install.pdf,,,,,,,,,,,,,,,,
16,PC92751,"Ideal Standard SE tap ceramic disc internals pack 1/2""",Ideal Standard,46.86,"An Ideal Standard SE 1/2"" ceramic disc cartridge.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard SE tap ceramic disc internals pack 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/51/NW-C92751_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,,,,,,
17,PA05104,Center H5134 tap reviver lever head 3/4 (1 pair),Center,16.17,"An easy update for old or broken taps, this pack of two Center CB 3/4"" bath tap revivers with lever heads is suitable for BS5412 and BS1010 bathroom taps. With no need to disturb existing plumbing, tap revivers are a fast fix for tired bathrooms.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Center H5134 tap reviver lever head 3/4 (1 pair),,2x 3/4 Tap reviver with lever head,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/04/A05104_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A05104 - Data Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/ad/A05104 TDS Center tap reviver lever head.pdf,,,,,,,,,,,,,,,,
18,PA05442,Nabis Regal 8053 spare cartridge (Pair),Nabis,7.07,"This pair of Nabis Regal cartridges is designed for use with A05404 basin taps, A05405 bath taps, the A05402 deck-mounted bath filler and the A05403 deck-mounted bath/shower mixer.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Nabis Regal 8053 spare cartridge (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/42/A05442_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,,,,
19,PA05470,Nabis Regal 8155 spare cartridge (Pair),Nabis,12.48,"This pair of Nabis Regal tap cartridges is compatible with A05434 basin taps, the A05437 bath filler and the A05438 bath/shower mixer.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Nabis Regal 8155 spare cartridge (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/70/A05470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap_Spares_Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,
20,PA05486,Nabis Regal spare aerator for A05436,Nabis,3.12,This Nabis Regal aerator is suitable for A05434 basin taps.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Nabis Regal spare aerator for A05436,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/86/A05486_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,,,,
21,PA05610,Nabis Ossia/Swish/Corda/Galene WUK91 spare cartridge (Pair),Nabis,6.57,"A pair of Nabis 3/4"" tap valves for Ossia, Swish, Corda and Galene taps.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Nabis Ossia/Swish/Corda/Galene WUK91 spare cartridge (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/99/597499_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Bathroom_Tap_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_Parts_List.pdf,,,,,,,,,,,,,,,
22,PC00425,"Ideal Standard internal headwork rubber tap valve 1/2""",Ideal Standard,10.27,This Ideal Standard replacement internal head work rubber tap valve on/off flow cartridge is suitable for use in hot or cold sides.,"Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard internal headwork rubber tap valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/25/C00425_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,,,,,
23,PD64127,"Pegler hot quarter-turn cartridge 1/2""",Pegler,67.31,"Offering quarter-turn operation, this Pegler Yorkshire replacement 1/2"" hot water valve cartridge is suitable for use with a variety of Pegler products.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Pegler hot quarter-turn cartridge 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/29/NW-D64127_D64129_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/PY_Performa_Spare_Brcr.pdf,,,,,,,,,,,,,,,,,
24,PA05109,"Center VS5412-BZ20 standard tap valve 1/2"" (1 pair)",Center,4.94,"This Center CB 1/2"" standard tap valve for basin taps is supplied in a pack of two.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Center VS5412-BZ20 standard tap valve 1/2"" (1 pair)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/09/A05109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A05109 - Data Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/ve/A05109 TDS Center Standard tap valve.pdf,,,,,,,,,,,,,,,,
25,PA05468,Nabis Regal spare cartridge mini basin mixer,Nabis,4.3,This Nabis Regal replacement cartridge is for use in A05422 and A05426 cloakroom basin mixers.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Nabis Regal spare cartridge mini basin mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/68/A05468_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,,,,
26,P176371,"Essex Partners Fix-A-Tap wash basin tap repair kit 32mm 1/2"" Orange",Essex Partners,9.6,"This Essex Partners Fix-A-Tap ceramic wash basin tap repair kit is designed for fitting new 1/2"" taps into a china or ceramic basin with 36mm tap holes.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Essex Partners Fix-A-Tap wash basin tap repair kit 32mm 1/2"" Orange",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/71/NW-176371_wm.jpg,,,,Fix-A-Tap,N,32MM ORANGE,Repair Kit,N,"Includes recessed plugs, plastic sleeves and brass washers","For 1/2"" basin taps",For 36mm tap hole,For ceramic or china wash basin only,To fit 1x pair of taps/mixer,Prevents tap rotation/damage to the wash basin,,,,
27,PA05478,Nabis Regal 8572 spare cartridge,Nabis,5.19,"This pair of Nabis Regal replacement tap cartridges is compatible with A05432 basin taps, A05429 bath taps, and the A05433 basin mixer without waste.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Nabis Regal 8572 spare cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/78/A05478_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,,,,
28,PA05462,Nabis Regal 8151 spare cartridge basin mixer taps,Nabis,4.3,This Nabis Regal replacement cartridge is compatible with A05414 and A05418 basin mixers as well as the A05415 cloakroom basin mixer.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Nabis Regal 8151 spare cartridge basin mixer taps,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/62/A05462_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,,,,
29,PA05481,* NAB SPARE DIVERTER HANDLE FOR A05496,Nabis,9.45,This Nabis Regal diverter handle is suitable for the AA05430 bath/shower mixer.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> * NAB SPARE DIVERTER HANDLE FOR A05496,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/81/A05481_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,,,,
30,PA05477,* NAB SPARE HANDLE PAIR,Nabis,7.49,"This pair of Nabis Regal cross top tap handles can be used on A05432 basin taps, A05429 bath taps, the A05433 basin mixer without waste, the A05431 deck-mounted bath filler and the A05430 bath/shower mixer.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> * NAB SPARE HANDLE PAIR,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/77/A05477_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,,,,
