,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Pack Quantity,Depth (mm),Warranty,Attachment 4
120,PJ76185,Grohe pillar tap unions,Grohe,44.79,A Grohe brand pair of StarLight chrome finished pillar unions.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Grohe pillar tap unions,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/85/NW-J76185_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_18121000_Technical.pdf,,,,,,,,,,,,,,,,,
121,PC93233,Ideal Standard Sensorflow self closing solenoid valve,Ideal Standard,141.94,This Ideal Standard Sensorflow solenoid valve offers easy installation.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard Sensorflow self closing solenoid valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/33/NW-C93233_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/IStandard_Spares_Catalogue.pdf,,,,,,,,,,,,,,,,,
122,PC93222,Ideal Standard non return valve (Pair),Ideal Standard,7.66,This pair of Ideal Standard non-return valves are made of plastic. They have 10mm diameter floor flaps.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard non return valve (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/22/NW-C93222_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/IStandard_Spares_Catalogue.pdf,,,,,,,,,,,,,,,,,
123,PC44696,"Bristan Tap Revive lever tap heads 1/2""",Bristan,56.2,Bring old or faulty taps up to date with Bristan Tap Revive with lever handles. Designed for basins this tap reviver offers a quick and easy fix with no need to disturb existing plumbing connections.,"Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Bristan Tap Revive lever tap heads 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/97/NW-C44696_C44697_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Bristan_Tap_Reviver_R1-2LEV_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Bristan_Tap_Reviver_R1-2LEV_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_R1-2LEV_Spares_Drawing.pdf,,,,,,,,,,,,,,,
124,P176372,"Essex Partners Fix-A-Tap acrylic bath tap repair kit 36mm 3/4""  Blue",Essex Partners,9.6,"This Essex Partners Fix-A-Tap acrylic bath tap repair kit is designed for fitting new 3/4"" taps into an acrylic bath with 36mm tap holes.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Essex Partners Fix-A-Tap acrylic bath tap repair kit 36mm 3/4""  Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/72/NW-176372_wm.jpg,,,,Fix-A-Tap,N,36MM BLUE,Repair Kit,N,"Includes recessed plugs, plastic sleeves and brass washers","For 3/4"" bath taps or mixer",For 36mm tap hole,For acrylic bath only,To fit 1x pair of taps/mixer,Prevents tap rotation/damage to the wash basin,,,,
125,PC68131,Deva Spares-Tapware tap lever conversion kit Chrome Plated,Deva,42.15,"Easy to use, this simple Deva 3"" lever action conversion kit has a chrome finish to complement most bathroom decors.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Deva Spares-Tapware tap lever conversion kit Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/31/NW-C68131_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_DLTKIT_Technical.pdf,,,,,,,,,,,,,,,,,
126,PC12008,Arboles 2-way 90deg bench mounting drop lever gas tap White,Arboles,53.94,"This Arboles two-way high visibility drop lever laboratory gas tap has a fixed serrated nozzle with integral anti-rotation pin. A standard laboratory gas tap for Bunsen burners, it is suitable for use with natural and LPG gas.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Arboles 2-way 90deg bench mounting drop lever gas tap White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/08/NW-C12008_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Arboles_UK_900033NG_WA_Technical.pdf,,,,,,,,,,,,,,,,,
127,PG70636,Carron Phoenix tap brace,Carron Phoenix,16.83,"Recommended for heavy or large size taps, this Carron Phoenix tap brace immobilizing system provides additional support to eliminate flexing. Installed beneath the sink, this system connects the tap to the underside of the work surface.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Carron Phoenix tap brace,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/36/NW-G70636_wm.jpg,,,,,N,112.0276.864,Tap Brace,N,Galvanised steel,For large or heavy taps,Under sink application,Universal design fits any monobloc tap,2x screws supplied,2 year warranty,,,,
128,PC44693,"Bristan Tap Revive metal tap heads 3/4""",Bristan,35.36,Bring old or faulty taps up to date with Bristan Tap Revive with metal handles. Designed for baths this tap reviver offers a quick and easy fix with no need to disturb existing plumbing connections.,"Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Bristan Tap Revive metal tap heads 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/93/NW-C44692_C44693_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Bristan_Tap_Reviver_R3-4MT_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_Tap_Reviver_R3-4MT_Technical.pdf,,,,,,,,,,,,,,,,
129,PJ76065,Grohe Universal thermostatic tap cartridge Chrome Plated,Grohe,82.67,"This Grohe Universal 1/2"" thermostatic cartridge with rising spindle is for use in mixer showers.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Grohe Universal thermostatic tap cartridge Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/65/NW-J76065_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grohe_47450000_Install.pdf,,,,,,,,,,,,,,,,,
130,P176370,"Essex Partners Fix-A-Tap sinks 30mm 1/2"" Pink/Stainless Steel",Essex Partners,9.6,This Essex Partners Fix-A-Tap fixing kit in pink is designed for use with stainless steel sink or basin taps.,"Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Essex Partners Fix-A-Tap sinks 30mm 1/2"" Pink/Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/70/NW-176370_wm.jpg,,,,Fix-A-Tap,N,30MM PINK,Fixing Kit,N,"Includes recessed plugs, plastic sleeves and brass washers","Quick, easy tap fixing",Stops rotation and prevents damage on removal,,,,,,,
131,PC42667,Bristan 5412 X-TOP bib taps up stands 150mm Chrome Plated (Pair),Bristan,119.65,Ensure your project is given the perfect finishing touch with our range of Accessories,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Bristan 5412 X-TOP bib taps up stands 150mm Chrome Plated (Pair),,1 x Bib Taps;2 x White Plastic Washers;2 x Black Rubber Washers;2 x Black Plastic Nuts;1 x Fitting Instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/67/NW-C42667_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Up_Stands_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C42667_Technical.pdf,,,,,,,,,,,,,,,,
132,PC93102,Ideal Standard Markwik tap head works with no finish,Ideal Standard,113.65,"Easy to install, this Ideal Standard Marwik headwork valve pack is finish-free.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard Markwik tap head works with no finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/02/NW-C93102_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,
133,PC93246,Ideal Standard Markwik 21 lever handle for sequential hospital mixer tap,Ideal Standard,29.58,"Safe and user-friendly for hospital settings, this Ideal Standard Markwik 21 lever handle is compatible with the brand's Marlwik 21 hospital use thermostatic mixer tap.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard Markwik 21 lever handle for sequential hospital mixer tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/46/NW-C93246_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/IS_Markwik21_A6060AA_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_May_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Markwik_21_A6242_TMixer_Install.pdf,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Markwik21_Install.pdf
134,PC36920,DEVA 1/5IN BATH FILL O/FLOW & WASTE,Deva,112.07,"This Deva 1 1/2"" bath filler tap overflow and waste is for use with a concealed valve.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> DEVA 1/5IN BATH FILL O/FLOW & WASTE,,Overflow;Waste;Flexible plastic pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/20/C36920_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Deva_Brochure.pdf,,,,,,,,,,,,,,,,,
