,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Attachment 1,Attachment 2,Colour,Range,Warranty,Output,Range For Use With,Feature 1,Attachment 3,Attachment 4,Feature 2,Pack Quantity,Feature 3,Feature 4,For Use With
0,P111717,Baxi 824 combi 2 with free flue pack,Baxi,949.99,TBC,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 824 combi 2 with free flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/94/333494_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,
1,P111718,Baxi 830 combi 2 with free flue pack,Baxi,1049.99,TBC,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 830 combi 2 with free flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/94/333494_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,
2,P111719,Baxi 836 combi 2 with free flue pack,Baxi,1174.99,TBC,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 836 combi 2 with free flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/94/333494_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,
3,P788942,Baxi expansion vessel,Baxi,68.99,"A Baxi replacement part, this expansion vessel is compatible with Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum +, Platinum ErP, System IE, Main Eco, Main Eco Elite, Main Eco Elite ErP, Apollo, Gold, Gold ErP, Heatmax, Promax, Promax ErP, Titanium and Titanium ErP boilers.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi expansion vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/42/788942_wm.jpg,N,"24 HE, 24 HE A, 24 HE LPG, 28 HE, 28 HE A, 28 HE LPG, 33 HE, Duo-tec 24 Combi ErP, Duo-tec 28 Combi ErP, Duo-tec 28 LPG Combi ErP, Duo-tec 33 Combi ErP, Duo-tec 40 Combi ErP, 15 HE A System, 15 HE System, 18 HE A System, 18 HE A System LPG, 18 HE System,",Pump,"Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum +, Platinum ErP, System IE, Main Eco, Main Eco Elite, Main Eco Elite ErP, Apollo, Gold, Gold ErP, Heatmax, Promax, Promax ErP, Titanium, Titanium ErP",H28989,"Megaflo System ErP 28,24 HE,Megaflo,Megaflo System ErP 18,28 HE A System,18 HE A System,32 HE A System,Duo-tec 24 Combi ErP,24HE A,Megaflo 18 System IE ErP,Duo-tec 28 LPG Combi ErP,18 HE System,24 HE System,33 HE,15 HE A System,Megaflo 15 System IE ErP",5114691,Expansion Vessel,N,,,,,,,,,,,,,,,
4,P427563,Baxi 20 plate heat exchanger kit,Baxi,90.71,"A Baxi heat exchanger intended for use with Baxi Platinum ErP, Gold ErP, Promax ErP and Titanium ErP boilers. The heat exchanger transfers heat from a boiler's burner to water within a heating system. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 20 plate heat exchanger kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/63/427563_wm.jpg,N,"Platinum 24 Combi ErP, Platinum 28 Combi ErP, Platinum 33 Combi ErP, Platinum 40 Combi ErP, Gold Combi ErP 24, Gold Combi ErP 28, Gold Combi ErP 28 LPG, Gold Combi ErP 33, Promax Combi ErP 24, Promax Combi ErP 28, Promax Combi ErP 33, Titanium 24 Combi E",Heat Exchanger,"Platinum ErP, Gold ErP, Promax ErP, Titanium ErP",740674,"Promax Combi ErP 33,Gold,Platinum 24 Combi ErP,Gold Combi ErP 28,Gold Combi ErP 33,Gold Combi ErP 24,Platinum 40 Combi ErP,Platinum 33 Combi ErP,Titanium 40 Combi ErP,Titanium 33 Combi ErP,Titanium 24 Combi ErP,Platinum 28 Combi ErP,Titanium 28 Combi ErP",7223558,Heat Exchanger,N,,,,,,,,,,,,,,,
5,P795675,Baxi fan,Baxi,161.46,"This Baxi branded fan is for use in Baxi Bermuda HE, Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum +, Platinum ErP, Main Eco, Main Eco Elite, Main Eco Elite ErP, Apollo, Gold, Gold ErP, Promax, Promax ErP, Titanium and Titanium ErP boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly. As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/75/795675_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Duo-tec_Combi_ErP_Installation.pdf,,,,,,,,,,,,,,
6,P400298,Baxi motor including clip Black/White,Baxi,42.99,"A genuine Baxi spare part, this motor can be fitted in Baxi 600 Range, Baxi 800 Range, Duo-tec, Duo-tec 2, Duo-tec ErP, EcoBlue, EcoBlue ErP, Platinum +, Platinum ErP, Main Eco Compact, Main Eco Elite ErP, Assure Range, Gold, Gold ErP, Promax, Promax ErP, Promax Ultra ErP, Titanium and Titanium ErP boilers. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi motor including clip Black/White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/98/400298_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Duo-tec_Combi_ErP_Installation.pdf,,,,,,,,,,,,,,
7,P446999,Baxi 3 way valve cartridge,Baxi,54.26,"This Baxi valve cartridge is suitable for use in Duo-tec ErP, Promax ErP, Titanium ErP, Platinum ErP, Gold ErP and Platinum + appliances.  A directional water device in combi boilers, a diverter valve directs hot water into either a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 3 way valve cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/99/446999_wm.jpg,N,"Duo-tec 40 Combi ErP, Promax Combi ErP 28, Titanium 40 Combi ErP, Duo-tec 24 Combi ErP, Platinum 28 Combi ErP, Platinum 33 Combi ErP, Gold Combi ErP 24, Promax Combi ErP 24, Promax Combi ErP 33, Duo-tec 28 LPG Combi ErP, Platinum 24 Combi ErP, Titanium 2",Diverter Valve,"Duo-tec ErP, Promax ErP, Titanium ErP, Platinum ErP, Gold ErP, Platinum +",740746,"Titanium 24 Combi ErP,Duo-tec 28 LPG Combi ErP,Gold Combi ErP LPG 28,Duo-tec 33 Combi ErP,Platinum 24 Combi ErP,Gold Combi ErP 33,Duo-tec 24 Combi ErP,Gold Combi ErP 24,Platinum 33 Combi ErP,Platinum 40 Combi ErP,Platinum 28 Combi ErP,Promax Combi ErP 24",7656807,Valve Cartridge,N,,,,,,,,,,,,,,,
8,P439534,Baxi 5112380 printed circuit board,Baxi,177.68,"This printed circuit board is an official Baxi part designed for Main Combi/Combi HE, Main HE, Performa, Combi and System IE boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 5112380 printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/34/439534_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Combi_105_Installation.pdf,,,,,,,,,,,,,,
9,P795464,Baxi PCB combi/system,Baxi,228.44,"A genuine Baxi part, this printed circuit board is for Baxi 100, Duo-tec 2 and Megaflo 2 boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi PCB combi/system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/64/795464_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Duo-tec_Combi_GA_Installation.pdf,,,,,,,,,,,,,,
10,P439511,Baxi safety valve 3bar,Baxi,12.23,"A genuine Baxi part, this pressure relief valve is suitable for use in Baxi Combi, Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum ErP, System and System IE boilers. It can also be used in Main Combi/Combi HE, Main Eco, Main Eco Elite, Main Eco Elite ErP, Main HE, Gold, Gold ErP, Heatmax, Performa, Promax, Promax ErP, Titanium and Titanium ErP units.  A must-have safety feature, the pressure relief valve is set to open incrementally, relieving pressure build up inside a heating system.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi safety valve 3bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/11/439511_wm.jpg,N,"Combi 105 HE, Combi 105E, Combi 80 Eco, Combi 80 Maxflue, Combi 80E, Combi Instant 105 HE, Combi Instant 105E, Combi Instant 80 HE, Combi Instant 80E, 24 HE, 24 HE A, 24 HE LPG, 28 HE, 28 HE A, 28 HE LPG, 33 HE, 33 HE A, 33 HE LPG, 40 HE, 40 HE A, Duo-te",Heat Exchanger,"Combi, Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum ErP, System, System IE, Main Combi/ Combi HE, Main Eco, Main Eco Elite, Main Eco Elite ErP, Main HE, Gold, Gold ErP, Heatmax, Performa, Promax, Promax ErP, Titanium, Titanium ErP",E66425,"24 HE,Combi 80 Eco,Duo-tec 33 Combi ErP,28 HE A System,28 HE A System LPG,18 HE A System,28 HE,18 HE A System LPG,Combi 80E,3,40 HE A,15 HE System,33 HE A,Combi Instant 80 HE,Duo-tec 28 Combi ErP,33 HE,15 HE A System,Combi 80 Maxflue,Combi Instant 105 HE",248056,Safety Valve,N,,,,,,,,,,,,,,,
11,P797747,Baxi ignition electrode,Baxi,33.0,"This Baxi ignition kit is a spare part for use in Duo-tec, Duo-tec ErP, Ecogen, Megaflo, Megaflo ErP, Platinum +, Platinum ErP, Gold, Gold ErP, Heatmax, Promax, Promax ErP, Titanium and Titanium ErP boilers.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi ignition electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/47/797747_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Duo-tec_Combi_ErP_Installation.pdf,,,,,,,,,,,,,,
12,P797057,Baxi 3-way valve without bypass kit,Baxi,141.61,"A Baxi valve kit for installation in the heat exchanger section of Platinum ErP, Duo-tec, Main Eco Elite ErP, Duo-tec ErP, Promax ErP, Gold, Titanium, Platinum, Gold ErP, Main Eco Elite, Promax, Titanium ErP and Heatmax appliances.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 3-way valve without bypass kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/57/797057_wm.jpg,N,"Platinum 24 Combi ErP, 24 HE LPG, Platinum 33 Combi ErP, Main Eco Elite Combi ErP 25, Duo-tec 33 Combi ErP, Promax Combi ErP 28, 24 HE A, 33 HE A, Potterton Titanium 28, Promax Combi ErP 24, Combi 40 HE A, Potterton Titanium 40, 28 HE A, Combi 33 HE A, 2",Heat Exchanger,"Platinum ErP, Duo-tec, Main Eco Elite ErP, Duo-tec ErP, Promax ErP, Gold, Titanium, Platinum, Gold ErP, Main Eco Elite, Promax, Titanium ErP, Heatmax",743188,,7224764,VALVE KIT,N,,,,,,,,,,,,,,,
13,P446998,Baxi Gas Valve Kit,Baxi,100.37,"This Baxi gas valve kit is for use in the Baxi Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum +, Platinum ErP, Main Eco Elite, Main Eco Elite ErP, Gold, Gold ErP, Promax, Promax ErP, Titanium and Titanium ErP boilers. Used for gas distribution, the valve receives a message from the system's PCB when more gas is required in the burner, causing it to open and allow gas to flow through the valve into the burner or pilot assembly. We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi Gas Valve Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/98/446998_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Duo-tec_Combi_ErP_Installation.pdf,,,,,,,,,,,,,,
14,P423993,Baxi PCB 28 HE,Baxi,198.9,"This genuine Baxi printed circuit board kit is designed for the brand's Platinum, Gold, Duo-tec and Promax boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi PCB 28 HE,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/93/423993_wm.jpg,N,"Combi 24 HE, 28 HE A, 28 HE, Combi 33 HE Plus, Combi 33 HE, Combi 28 HE Plus, Combi 40 HE, 33 HE, 24 HE, Combi 28 HE Plus A, Combi 28 HE A, Combi 28 HE",Control Panel,"Platinum, Gold, Duo-tec, Promax",743459,,7690360,Printed Circuit Board Kit,N,,,,,,,,,,,,,,,
15,P797471,Baxi top pipe (silicone),Baxi,11.99,"This pipe is a spare part for Baxi's Combi, Duo-tec, Duo-tec ErP, Megaflo ErP, Platinum ErP, System, System IE, Gold ErP, Promax, Promax ErP, Megaflo, Platinum, Platinum +, Gold, Heatmax, Performa, Titanium, Titanium ErP, Megaflo IE ErP and Main Combi/Combi HE boilers.  In a boiler a pipe either allows water into a heating unit, including the mains water supply and the pipework on a wall jig, or is found within an appliance and carries water between the various mechanisms that require it, including the diverter valve and heat exchanger.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi top pipe (silicone),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/72/797472_wm.jpg,N,"33 HE A, 40 HE A, Duo-tec 24 Combi ErP, Duo-tec 40 Combi ErP, 18 HE System, 24 HE A System, Combi 28 HE, Combi 40 HE A, Platinum 28 Combi ErP, Platinum 33 Combi ErP, 24 HE Megaflo System IE, Gold Combi ErP 24, Gold Combi ErP 28, Combi 24 HE Plus, Promax",Flue,"Duo-tec, Duo-tec ErP, Megaflo, Platinum, Platinum ErP, System IE, Gold, Gold ErP, Promax, Promax ErP, Titanium, Megaflo ErP, Megaflo IE ErP, Heatmax, Titanium ErP",H29013,"32 HE A System LPG,Megaflo System ErP 28,24 HE,Megaflo System ErP 18,32 HE A System,Duo-tec 24 Combi ErP,24HE A,40 HE A,Megaflo Sys,Duo-tec 40 Combi ErP,33 HE A,24 HE A System,18 HE System,24 HE System,Duo-tec 28 Combi ErP,33 HE,15 HE A System,33 HE LPG",5114762,Pipe,N,,,,,,,,,,,,,,,
16,P797514,Baxi 5132097 kit electrode (spares),Baxi,59.16,"A Baxi brand electrode kit for use in Baxi Solo HE and HE A, Main HE A, Main Heat ErP, Precision, Promax and Promax SL boilers. The electrode creates a spark to ignite the fuel supplied by a boiler. An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame. To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 5132097 kit electrode (spares),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/14/797514_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Promax_Heat_Installation.pdf,,,,,,,,,,,,,,
17,P789161,Baxi combustion chamber gasket,Baxi,15.0,"A genuine Baxi spare, this combustion chamber gasket is suitable for Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum +, Platinum ErP, System IE, Gold, Gold ErP, Heatmax, Promax, Promax ErP, Titanium and Titanium ErP boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi combustion chamber gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/61/789161_wm.jpg,N,"24 HE, 24 HE A, 24 HE LPG, 28 HE, 28 HE A, 28 HE LPG, 33 HE, 33 HE A, 33 HE LPG, 40 HE, 40 HE A, Duo-tec 24 Combi ErP, Duo-tec 28 Combi ErP, Duo-tec 28 LPG Combi ErP, Duo-tec 33 Combi ErP, Duo-tec 40 Combi ErP, 15 HE A System, 15 HE System, 18 HE A Syste",Fan Combustion Chamber,"Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum +, Platinum ErP, System IE, Gold, Gold ErP, Heatmax, Promax, Promax ErP, Titanium, Titanium ErP",H29036,"Megaflo System ErP 18,Duo-tec 33 Combi ErP,Megaflo Syste,28 HE A System,32 HE System,18 HE A System,Duo-tec 24 Combi ErP,Megaflo System ErP 24,18 HE A System LPG,40 HE A,15 HE System,Duo-tec 28 LPG Combi ErP,18 HE System,28 HE System,33 HE,15 HE A System",5114755,Gasket,N,,,,,,,,,,,,,,,
18,P789295,Baxi electrode ionisation kit,Baxi,30.02,"This official Baxi ionisation kit is suitable for use in Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum +, Platinum ErP, Gold, Gold ErP, Heatmax, Promax, Promax ErP, Titanium and Titanium ErP boilers. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi electrode ionisation kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/95/789295_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Duo-tec_Combi_ErP_Installation.pdf,,,,,,,,,,,,,,
19,P439508,Baxi automatic air vent,Baxi,10.65,"A Baxi part, this automatic air vent is designed for use in Combi, Duo-tec, Megaflo, Platinum, System, System IE, Main Combi/Combi HE, Main Eco, Main Eco Elite, Main HE, Gold, Heatmax, Performa, Promax and Titanium boilers.  A central heating safety device, the automatic air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi automatic air vent,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/08/439508_wm.jpg,N,"Combi 105 HE, Combi 105E, Combi 80 Eco, Combi 80 Maxflue, Combi 80E, Combi Instant 105 HE, Combi Instant 105E, Combi Instant 80 HE, Combi Instant 80E, 24 HE, 24 HE A, 24 HE LPG, 28 HE, 28 HE A, 28 HE LPG, 33 HE, 33 HE A, 33 HE LPG, 40 HE, 40 HE A, 15 HE",Pump,"Combi, Duo-tec, Megaflo, Platinum, System, System IE, Main Combi/ Combi HE, Main Eco, Main Eco Elite, Main HE, Gold, Heatmax, Performa, Promax, Titanium",E66414,"40HE,Combi 80 Eco,24 HE LPG,Combi Instant 105E,32 HE System,28 HE A System,Combi 24 HE,18 HE A System,28 HE,18 HE A System LPG,Combi 28 HE A,Combi 80E,Combi 28 HE,28 HE A,15 HE System,Combi Instant 80 HE,33 HE A,33 HE,Combi 80 Maxflue,Combi Instant 80E",248043,Air Vent,N,,,,,,,,,,,,,,,
