,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Attachment 1,Attachment 2,Colour,Range,Warranty,Output,Range For Use With,Feature 1,Attachment 3,Attachment 4,Feature 2,Pack Quantity,Feature 3,Feature 4,For Use With
102,P410053,Baxi secondary heat exchanger,Baxi,354.59,"This Baxi secondary heat exchanger (retrofit) is a genuine part for use in Performa, Main Combi/Combi HE, Main HE, Combi and System IE boilers.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system, while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi secondary heat exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/53/410053_wm.jpg,N,"Performa 24i HE, Combi 30 HE, Main System 24 HE, Performa System 28HE, Performa 24 ECO HE 2 Composite Block, Performa System 18HE, Combi 24 HE, Main System 18 HE, Main System 28 HE, Performa 30 HE, Performa System 12HE, Performa System 24HE, Combi 105 HE",Heat Exchanger,"Performa, Main Combi/ Combi HE, Main HE, Combi, System IE",H01075,"Performa System,Combi 105 HE,28 HE Megaflo System IE LPG,24 HE,Performa 24 ECO HE,Combi 24 HE,Performa 30 HE,28 HE,18HE,Performa 24 ECO HE 2 Composite Block,Combi Instant 80 HE,24 HE Megaflo System IE LPG,Performa 24i HE,Combi Instant 105 HE,Combi 30 HE",5112388,Hat Exchanger,N,,,,,,,,,,,,,,,
103,P789167,Baxi central heating outlet assembly,Baxi,140.84,"A genuine Baxi spare, this CH outlet assembly is designed for use in the isolation valve section of Megaflo, Megaflo ErP, Main Eco, Main Eco Elite, Main Eco Elite ErP, Gold, Gold ErP, Promax and Promax ErP boilers.  Usually situated underneath heating appliances, the isolation valve lets the user regulate the flow of gas and water into a central heating system. It also allows the user to stop the flow in case of a leak or emergency.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi central heating outlet assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/67/789167_wm.jpg,N,"15 HE A System, 15 HE System, 18 HE A System, 18 HE A System LPG, 18 HE System, 24 HE A System, 24 HE System, 28 HE A System, 28 HE A System LPG, 28 HE System, 32 HE A System, 32 HE A System LPG, 32 HE System, Megaflo System ErP 15, Megaflo System ErP 18",Hydraulics,MegafloPromaxPromax ErPMain EcoMegaflo ErPMain Eco Elite ErPMain Eco EliteGoldPlatinum +Gold ErP,H43563,"32 HE A System LPG,28 Eco,Megaflo System ErP 28,Megaflo System ErP 15,Megaflo System ErP 18,Eco Elite 24 System,18 HE A System,Megaflo System ErP 24,24 Eco,24 Eco Elite,18 HE A System LPG,28 Eco Elite,15 HE System,18 HE System,24 HE A System,28 HE System",5118382,Outlet Assembly,N,,,,,,,,,,,,,,,
104,P798988,Baxi fan he,Baxi,126.81,"This Baxi branded fan is for use in the Combi, System IE, Main Combi/Combi HE, Main HE and Performa boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly. As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi fan he,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/88/798988_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Combi_105_Installation.pdf,,,,,,,,,,,,,,
105,P424927,Baxi vessel-expansion with storage,Baxi,153.54,"A Baxi replacement part, this expansion vessel with storage is suitable for use in Combi and Performa boilers.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi vessel-expansion with storage,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/27/424927_wm.jpg,N,"Combi Instant 105E, Combi Instant 80E, Performa 28i",Pump,"Combi, Performa",E68179,"Performa 28i,Combi Instant 105E,Combi Instant 80E",248722,Expansion Vessel,N,,,,,,,,,,,,,,,
106,P788877,Baxi trap,Baxi,29.08,"This Baxi condensate trap is a suitable part for use in Combi, System IE, Main Combi/Combi HE, Main HE and Performa boilers.  The condensate trap holds discharge that accumulates in the primary heating or cooling system caused by changes in pressure and temperature. A usually plastic discharge pipe connected to the condensate trap sends held water out of the property because it can contain low levels of acid due to CO2 from the combustion process dissolving in the water.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi trap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/77/788877_wm.jpg,N,"Combi 105 HE, Combi Instant 105 HE, Combi Instant 80 HE, 24 HE Megaflo System IE LPG, 28 HE Megaflo System IE LPG, Combi 24 HE, Combi 30 HE, Main System 18 HE, Main System 24 HE, Main System 28 HE, Performa 24 ECO HE, Performa 24 ECO HE 2 Composite Block",Fan Combustion Chamber,"Combi, System IE, Main Combi/ Combi HE, Main HE, Performa",H99488,"Combi 105 HE,28 HE Megaflo System IE LPG,24 HE,Performa 24 ECO HE,Combi 24 HE,Performa 30 HE,28 HE,Performa System 12HE,18HE,Performa System 18HE,Combi Instant 80 HE,Performa 24 ECO HE 2 Compo,24 HE Megaflo System IE LPG,Combi Instant 105 HE,Combi 30 HE",5111978,Trap,N,,,,,,,,Suitable for a range of boilers,,,Trap spare,,,,
107,P795766,Baxi Kit Auto Air Vent,Baxi,43.98,"This air vent is a genuine Baxi part for use in the Combi Eco and Combi HE A boiler ranges.  A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi Kit Auto Air Vent,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/66/795766_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Platinum_Combi_Installation.pdf,,,,,,,,,,,,,,
108,P795841,Baxi Heat Exchanger 14PL,Baxi,114.14,"A Baxi heat exchanger intended for use with Baxi Duo-tec 2, EcoBlue, EcoBlue ErP, Platinum 2 and Promax Ultra ErP boilers. The heat exchanger transfers heat from a boiler's burner to water within a heating system. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi Heat Exchanger 14PL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/41/795841_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Platinum_2_C_28-40_GA_Installation.pdf,,,,,,,,,,,,,,
109,P796766,Baxi printed circuit board for combi 24,Baxi,184.63,"This Baxi brand printed circuit board kit is designed for compatibility with Duo-tec, Platinum and Gold boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi printed circuit board for combi 24,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/66/796765_796766_wm.jpg,N,"28 HE, Combi 24 HE, Combi 40 HE, 24 HE A, Combi 33 HE, 24 HE, 33 HE, Combi 28 HE, Combi 24 HE A",Control Panel,"Duo-tec, Platinum, Gold",743458,,7690359,Printed Circuit Board Kit,N,,,,,,,,Suitable for Baxi Duotec 24HE,,,,,,,
110,P788317,Baxi expansion vessel ext,Baxi,15.56,"A genuine Baxi replacement part, this expansion vessel is suitable for installation in Genesis boilers.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi expansion vessel ext,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/17/788317_wm.jpg,N,"Genesis 80, Tools and Equipment",Pump,Genesis,277867,"Tools and Equipment,Genesis 80",235885,Schrader Valve,N,,,,,,,,,,,,,,,
111,P795518,Baxi 720776601 pressure gauge,Baxi,39.52,"An official Baxi part, this pressure gauge is suitable for use in Megaflo 2, Neta-tec, Ultra System, Baxi 100 and Duo-tec 2 boilers.  A pressure gauge gives a visual measurement of the pressure in a system. Ordinarily a leak in your system will show as a consistent pressure drop.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 720776601 pressure gauge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/18/795518_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Megaflo_System_GA_Installation.pdf,,,,,,,,,,,,,,
