,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Range,Hazardous,Sheath Colour,Voltage Rating,Cross Sectional Area (mm),Conductor Strand Type,Pack Length,Harmonised Code,Pack Type,Conductor Material,Insulation Material,Number of Cores,Number of Strands,Operating Temperature Range (C),Outer Diameter,Sheath Material,Strands Size,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Diameter,Pack Quantity,Colour,Depth (mm),Back Box Type,Material,Number of Gangs,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Amps,Voltage (V),Ways,Application,Size,Dimensions (L x W x D)
14,P617057,Specialised Wiring butt splice 15mm Blue (100),Specialised Wiring,0.08,"These Specialised Wiring pre-insulated butt splice terminals are manufactured in a pure electrolytic copper allowing for excellent electrical conductivity. The barrel internal surfaces are rifled, for good contact with conductor strands, and terminal annealed after final machining.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Specialised Wiring butt splice 15mm Blue (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/57/NW-617057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_r/ev/Specialised_Wiring_Butt_Splices_Rev.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P800834,Regin cable ties 250mm (Pack of 30),Regin,2.48,"Supplied in a pack of 30, Regin 250mm length cable ties are an inexpensive, simple cable management solution, allowing users to easily bunch cables for trunking or fix them neatly out of the way to minimise mess and trip hazards.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Regin cable ties 250mm (Pack of 30),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/34/NW-800834_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P617056,Specialised Wiring butt splice 15mm Red (100),Specialised Wiring,0.07,"These Specialised Wiring pre-insulated butt splice terminals are manufactured in a pure electrolytic copper allowing for excellent electrical conductivity. The barrel internal surfaces are rifled, for good contact with conductor strands, and terminal annealed after final machining.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Specialised Wiring butt splice 15mm Red (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/56/NW-617056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_r/ev/Specialised_Wiring_Butt_Splices_Rev.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P459246,Regin Electrical Connectors electrical connector with strain relief 3 way (1 pr),Regin,8.89,"Highly robust, this quality Regin three-way 5A electrical connector makes the wiring in boilers more efficient, meaning simpler servicing and easier maintenance. It is supplied with a strain relief for additional safety.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Regin Electrical Connectors electrical connector with strain relief 3 way (1 pr),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/46/NW-459246_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Regin_Eleccon_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Regin_3_or_5_way_Connector_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PM93015,Trench medium duty cable tray 100mm x 3m,Trench,19.1,Medium Duty Pre Galvanised Cable Tray,Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Trench medium duty cable tray 100mm x 3m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/15/NW-M93015_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Trench_Pre_Galv_Cable_Tray_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/Trench_Wall_Chart.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PM93008,Trench medium duty cable tray 75mm x 3m,Trench,16.82,Medium Duty Pre Galvanised Cable Tray,Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Trench medium duty cable tray 75mm x 3m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/08/NW-M93008_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Trench_Pre_Galv_Cable_Tray_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/Trench_Wall_Chart.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P457286,Regin REQ140 quick blow glass fuse 20mm 1a (Pack of 3),Regin,1.62,3 per pack,Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Regin REQ140 quick blow glass fuse 20mm 1a (Pack of 3),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/86/457286_wm.jpg,,,,N,,,,,,,,,,,,,,,,,Q140,Fuse,N,1a quick blow glass fuse,,pack of 3,,,,,,20mm,,,,,,,,,,,,,,,,,,,,,,,
21,PM10001,Doncaster YY yy 1.5 4 core 50mtr rl per reel Grey,Doncaster,115.33,"Supplied in a 50M reel, this Doncaster YY 8.8mm power cable can be used as an interconnecting cable suitable for measurement, control or regulation in control equipment on assembly and production lines, in conveyors or for computer units. Highly flexible, this cable is commonly used to link fixed and mobile equipment. Well protected, YY cable can be used outdoor, however it is more commonly selected for indoor use in dry or moist conditions.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster YY yy 1.5 4 core 50mtr rl per reel Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/01/NW-M10001_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Doncaster_YY_Control_Technical_Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PM09999,Doncaster CY cy 0.75 2core scrnd 50mtr rl per reel Grey,Doncaster,57.08,"Supplied in a 50M reel, this Doncaster CY 7.3mm power cable can be used as an interconnecting cable suitable for measurement, control or regulation in control equipment on assembly and production lines, in conveyors or for computer units. Because the cable's shielding reduces electromagnetic interference, it is especially suited to data transmission tasks. Well protected, CY cable can be used outdoor, however it is more commonly selected for indoor use in dry or moist conditions.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster CY cy 0.75 2core scrnd 50mtr rl per reel Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/00/NW-M09999_M10000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Doncaster_CY_Control_Technical_Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PM93058,Trench medium duty cable tray couplers (2),Trench,3.5,"Made of steel with a pre-galvanised finish, these Trench 177 x 33 x 25mm straight wrapover couplers are designed for medium duty cable trays. Offering a female connection, Trench wrapover couplers eliminate the need for couplers when connecting to lengths.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Trench medium duty cable tray couplers (2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/58/NW-M93058_wm.jpg,,,,N,,,,,,,,,,,,,,,,,MDTSC,Straight Coupler,N,Pack of 2,,2,Galvanised,,,Steel,,Medium duty gauge,Pre-galvanised finish,Meets BS EN 61537: 2007 standard,For use with Trench medium duty 25mm return edge cable tray,,,,,,,,,,,,,,,,,,,177 (L) x 33 (W) x 25 mm (H),
