,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Range,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 2,Attachment 3,Flow Rate,Voltage (V),Warranty,Phase,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Application,Fuel Type,Seasonal Space Heating Energy Efficiency %,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 4,Connection Type,Diameter,Pressure,Weight,Overheat Protection,Direct / Indirect,Insulation Type,Material,Capacity Litre,Feature 15,Attachment 5,Attachment 6,Output,IP Rating,Mounting Type,BTU h,Connection Size,Energy Efficiency Class,Attachment 7,Style,With Drain Off,Max Pressure,Flow Water Temperature,Pipe Connection Size,Radiator Connection Size,Sensor,Shape,With Lockshield,Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Dimensions (L x W x D),Display Type,Number of Channels,Orientation,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Number of Tap Holes,Pack Type,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles,Amps,Position,Pump Type,Watts,Positive / Neutral / Universal,Twin / Single,Size,Soft Close Seat,Hinge Fixing,Hole Centres,Hinge Material,Approvals,Operating Pressure,Maximum Operating Temperature,Max System Pressure Cold (Bar),Number of Outlets,Number of Spray Patterns,Water Heating Declared Load Profile,Water Heating Energy Efficiency Class,Sound Power Level (Indoors),Manual / Thermostatic,Shower Head Diameter,Engine Box Height (mm),Engine Box Width (mm),Engine Box Depth (mm),Hose Length,Water Entry,Water Heating Energy Efficiency,Cable Entry,Pack Size,Feature 16,Dimensions mm (H x W x D),Feature 17,Feature 18,Feature 19,Water Entry Points
10,P606747,Sentinel chemicals multipack choice pack,Sentinel,23.0,TBC,Offers and promotions/Trade Deals/Trade Deals.csv -> Sentinel chemicals multipack choice pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/47/606747_wm.jpg,,,,N,,,606747 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P111336,Worcester 1000 24 kW boiler with free Center RF theromstat,Worcester,653.0,TBC,Offers and promotions/Trade Deals/Trade Deals.csv -> Worcester 1000 24 kW boiler with free Center RF theromstat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/36/111336_wm.jpg,,,,N,,,111336 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P111337,Worcester 1000 30 kW boiler with free Center RF theromstat,Worcester,711.0,TBC,Offers and promotions/Trade Deals/Trade Deals.csv -> Worcester 1000 30 kW boiler with free Center RF theromstat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/37/111337_wm.jpg,,,,N,,,111337 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P111338,Worcester 1000 24 kW boiler with Honeywell Home T3 theromstat,Worcester,657.99,TBC,Offers and promotions/Trade Deals/Trade Deals.csv -> Worcester 1000 24 kW boiler with Honeywell Home T3 theromstat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/38/111338_wm.jpg,,,,N,,,111338 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P111339,Worcester 1000 30 kW boiler with Honeywell Home T3 theromstat,Worcester,715.99,TBC,Offers and promotions/Trade Deals/Trade Deals.csv -> Worcester 1000 30 kW boiler with Honeywell Home T3 theromstat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/39/111339_wm.jpg,,,,N,,,111339 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P333714,Ideal Logic Max Combi C24 boiler and horizontal flue pack,Ideal,1065.0,"Provided with a horizontal flue, the Ideal Logic Max Combi C24 boiler offers easy installation through its compact, cupboard-fit design and its reduced lift weight. Offering all the finest features of the award-winning Logic+, this 24kW domestic combi boiler also offers an easy to read digital display and a service countdown timer. Robustly designed to minimise maintenance, the Logic Max has an ErP A rating for its efficient operation, which can be improved by intelligent use of compatible controls.",Offers and promotions/Trade Deals/Trade Deals.csv -> Ideal Logic Max Combi C24 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/_a/333714_A_wm.jpg,,White/Gloss,Logic Max Combi,N,,,333714 PK,Condensing Combi Boiler and Horizontal Flue Pack,N,Includes boiler and horizontal flue,,,,,,,,,,,,,Compact cupboard fit,Hardwearing and scratch-resistant,"Easy installation, commissioning and service",Full sequence automatic ignition,Fan-assisted combustion,Easy to reach pressure gauge on front panel,Large digital display,,Natural Gas,A,Service timer with telephone number display/service display,Compatible with Ideal controls,DHW flow rate 9.9LPM at 35°C,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,10 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P333715,Ideal Logic Max Combi 2 C30 boiler and horizontal flue pack,Ideal,1140.0,"Provided with a horizontal flue, the Ideal Logic Max Combi C30 boiler offers easy installation through its compact, cupboard-fit design and its reduced lift weight. Offering all the finest features of the award-winning Logic+, this 30kW domestic combi boiler also offers an easy to read digital display and a service countdown timer. Robustly designed to minimise maintenance, the Logic Max has an ErP A rating for its efficient operation, which can be improved by intelligent use of compatible controls.",Offers and promotions/Trade Deals/Trade Deals.csv -> Ideal Logic Max Combi 2 C30 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/_a/333715_A_wm.jpg,,White/Gloss,Logic Max Combi2,N,,,333715 PK,Condensing Combi Boiler and Horizontal Flue Pack,N,Includes boiler and horizontal flue,,,,,,,,,,,,,Compact cupboard fit,Hardwearing and scratch-resistant,"Easy installation, commissioning and service",Full sequence automatic ignition,Fan-assisted combustion,Easy to reach pressure gauge on front panel,Large digital display,,Natural Gas,A,Service timer with telephone number display/service display,Compatible with Ideal controls,DHW flow rate 12.4LPM at 35°C,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,10 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P333716,Ideal Logic Max Combi C35 boiler and horizontal flue pack,Ideal,1369.0,"Provided with a horizontal flue, the Ideal Logic Max Combi C35 boiler offers easy installation through its compact, cupboard-fit design and its reduced lift weight. Offering all the finest features of the award-winning Logic+, this 35kW domestic combi boiler also offers an easy to read digital display and a service countdown timer. Robustly designed to minimise maintenance, the Logic Max has an ErP A rating for its efficient operation, which can be improved by intelligent use of compatible controls.",Offers and promotions/Trade Deals/Trade Deals.csv -> Ideal Logic Max Combi C35 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/_a/333716_A_wm.jpg,,White/Gloss,Logic Max Combi,N,,,333716 PK,Condensing Combi Boiler and Horizontal Flue Pack,N,Includes boiler and horizontal flue,,,,,,,,,,,,,Compact cupboard fit,Hardwearing and scratch-resistant,"Easy installation, commissioning and service",Full sequence automatic ignition,Fan-assisted combustion,Easy to reach pressure gauge on front panel,Large digital display,,Natural Gas,A,Service timer with telephone number display/service display,Compatible with Ideal controls,DHW flow rate 14.5LPM at 35°C,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,10 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P111300,"Alpha E-TEC NX 28 kW boiler, flue and copper tube 15 mtr x 15 mm pack",Alpha,640.0,TBC,"Offers and promotions/Trade Deals/Trade Deals.csv -> Alpha E-TEC NX 28 kW boiler, flue and copper tube 15 mtr x 15 mm pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/00/111300_wm.jpg,,,,N,,,111300 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P111309,"Alpha E-TEC NX + 38 kW boiler, flue and copper tube 6 mtr x 22 mm pack",Alpha,1038.0,TBC,"Offers and promotions/Trade Deals/Trade Deals.csv -> Alpha E-TEC NX + 38 kW boiler, flue and copper tube 6 mtr x 22 mm pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/09/111309_wm.jpg,,,,N,,,111309 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P609281,Adey MagnaClean Professional2 filter 22mm pack,Adey,74.0,"Capturing the maximum amount of magnetite possible, the Adey MagnaClean Professional2 22mm filter provides reliable protection from potentially damaging debris, helping to extend the life of your central heating system.",Offers and promotions/Trade Deals/Trade Deals.csv -> Adey MagnaClean Professional2 filter 22mm pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/81/NW-609281_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MagnaCleanProf2_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
