,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Range,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 2,Attachment 3,Flow Rate,Voltage (V),Warranty,Phase,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Application,Fuel Type,Seasonal Space Heating Energy Efficiency %,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 4,Connection Type,Diameter,Pressure,Weight,Overheat Protection,Direct / Indirect,Insulation Type,Material,Capacity Litre,Feature 15,Attachment 5,Attachment 6,Output,IP Rating,Mounting Type,BTU h,Connection Size,Energy Efficiency Class,Attachment 7,Style,With Drain Off,Max Pressure,Flow Water Temperature,Pipe Connection Size,Radiator Connection Size,Sensor,Shape,With Lockshield,Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Dimensions (L x W x D),Display Type,Number of Channels,Orientation,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Number of Tap Holes,Pack Type,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles,Amps,Position,Pump Type,Watts,Positive / Neutral / Universal,Twin / Single,Size,Soft Close Seat,Hinge Fixing,Hole Centres,Hinge Material,Approvals,Operating Pressure,Maximum Operating Temperature,Max System Pressure Cold (Bar),Number of Outlets,Number of Spray Patterns,Water Heating Declared Load Profile,Water Heating Energy Efficiency Class,Sound Power Level (Indoors),Manual / Thermostatic,Shower Head Diameter,Engine Box Height (mm),Engine Box Width (mm),Engine Box Depth (mm),Hose Length,Water Entry,Water Heating Energy Efficiency,Cable Entry,Pack Size,Feature 16,Dimensions mm (H x W x D),Feature 17,Feature 18,Feature 19,Water Entry Points
50,P224863,Honeywell Home Valencia VTL120 Angle TRV with lockshield 15 mm offer,Honeywell Home,17.0,"Providing reliable room-specific heating control, the Valencia angled thermostatic room valve (TRV) uses a liquid sensor to read the temperature in a room and adjust the radiator output to maintain comfort and save on energy use. With a bi-directional design and additional tailpiece length, the Valencia allows for flexible installation horizontally or vertically while compatibility with the evohome controller head and an integral energy saving button provide opportunities for extra efficiency.",Offers and promotions/Trade Deals/Trade Deals.csv -> Honeywell Home Valencia VTL120 Angle TRV with lockshield 15 mm offer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/19/311219_wm.jpg,,,Valencia,N,,,224863 PK,Thermostatic Radiator Valve,N,Includes TRV and lockshield,,,,,1 year,,,,,,,,Bi-directional flow design can be mounted vertically or horizontally,Integrated radiator balancing insert,Easy-grip TRV head,Energy saving button alerts user to most economical setting,High performance liquid sensor,Frost setting,6mm play on radiator tailpiece allows for variation in radiator-to-valve distance,,,,Valve body accepts the evohome electronic radiator controller head,15mm connections,1 year warranty,,,,,"Threaded, Compression",,,,,,,Brass,,,,,,,,,,,,Traditional,No,10,130,15 mm,15 mm,Yes,Angular,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,P178135,Honeywell Home VTL120 Straight TRV with lockshield 15 mm offer,Honeywell Home,22.0,"Offering excellent performance and reliability, the Valencia traditional thermostatic radiator valve (TRV) is popular with installers and homeowners for its combination of energy efficiency and flexible ease of installation. With a bi-directional flow design, this TRV is suitable for any heating installation and can be mounted vertically or horizontally at either end of a radiator. Once in place, the valve's integrated radiator balancing insert retains the radiator's balancing setting when the TRV and lockshield valve is closed. For best use, the TRV should be installed in a two-pipe heating system with free flow of air around the head for accurate temperature sensing.",Offers and promotions/Trade Deals/Trade Deals.csv -> Honeywell Home VTL120 Straight TRV with lockshield 15 mm offer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/23/NW-311220_311223_wm.jpg,,White / Metallic,,N,,,178135 PK,Thermostatic Radiator Valve (TRV),N,Bi-directional flow design,,,,,1 year,,,,,,,,Can be mounted vertically or horizontally,Integrated radiator balancing insert,Easy-grip TRV head,Energy saving button alerts user to most economical setting for comfort,"Liquid sensor for consistent, long-lasting performance",Frost setting,6mm play on radiator tailpiece allows for variation in radiator distance from valve,,,,Valencia Classic valve body will accept Evohome electronic radiator controller head,1 year warranty,,,,,,CompressionPush Fit,,,,,,,Brass,,,,,,,,,,,,Traditional,No,10,130,15 mm,15 mm,Yes,Cylindrical,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P178136,Honeywell Home ST900C 7 Day Progra mmer 2 Channel,Honeywell Home,69.0,"Controlling heating and stored hot water in complete systems, the ST9400C two channel, seven day programmer has up to three on/off periods per day, optional 5/2 or one day programming and independent heating and hot water control for maximum efficiency. Offering the option to set as a mini programmer for older gravity circulation stored hot water systems, where there is no interlocking control valve, ST9400C is suitable for combi boilers, heating zones or any application where small electric loads are switched. The programmer's Line of Text (LoT) display gives clear instructions whenever any button or slider is used for simple, hassle-free use.",Offers and promotions/Trade Deals/Trade Deals.csv -> Honeywell Home ST900C 7 Day Progra mmer 2 Channel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/10/240710_wm.jpg,,,,N,,,178136 PK,Programmer,N,"LoT display, provides text feedback help and programming hints",,,,,1 year,,35,,,,,,Factory set clock and date,Automatic summer/winter 1 hour time change,Temporary or permanent override facilities,"Extra hour facility, for up to 3 hours boost or programme extension",Choice of 3 different built-in programmes,Programme indicator lights,Fits on industry standard back plate,Industrial,,,Direct replacement for ST6400 models,Any programmed settings retained indefinitely in non volatile memory,Up to 3 on/off times per day,Complies with Building Regulations Part L1 for England and Wales and Part J for Scotland,1 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2 x SPDT,Yes,1,3 A at 230 VAC,7 Days,3,No,145 (W) x 99 (H) x 35 mm (D),Digital,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PC22712,Bristan Sonique sequential exposed valve mixer shower and kit,Bristan,109.0,"Supplied with all required parts for easy installation, the Bristan Sonique exposed mini valve shower has a modern, angular design well-suited to contemporary bathrooms and incorporates thermostatic technology for reliably comfortable and safe showering.",Offers and promotions/Trade Deals/Trade Deals.csv -> Bristan Sonique sequential exposed valve mixer shower and kit,,Shower Valve;2x long elbows;2x covers;2x filters;Green flow regulator;Yellow flow regulator;2x backplate fixings;Showerhead;2x sealing washers;Shower hose;Riser rail;4x riser rail fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/12/NW-C22712_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/uc/Bristan_Sonique_Capri_Acute_Instruc.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C22712_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C22712_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PC22711,Bristan Frenzy cool touch bar valve shower multi-mode kit,Bristan,69.0,"Suitable for all plumbing systems but performing best in a balanced system, the Bristan Frenzy thermostatic surface-mounted bar shower valve is supplied with an adjustable riser kit. Ensuring safe showering for the whole family, this valve incorporates a thermostatic cartridge which will maintain the temperature to ±1°C, reacting to changes in incoming temperature or pressure to ensure an always stable outlet temperature.",Offers and promotions/Trade Deals/Trade Deals.csv -> Bristan Frenzy cool touch bar valve shower multi-mode kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/11/NW-C22711_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C22711_Technical.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Frenzy_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C22711_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,P222389,Drayton TRV4 Thermostatic radiator valves,Drayton,20.0,"Suitable for both domestic and commercial use, the reliable Drayton TRV4 15mm angled chrome thermostatic radiator valve (or TRV) provides energy efficient heating control for individual rooms, meaning there's no longer any need to heat spaces that aren't in use. Incorporating a double gland seal and non-stick, pre-set internals, this TRV allows for the direct balancing of a radiator using its individual valve.",Offers and promotions/Trade Deals/Trade Deals.csv -> Drayton TRV4 Thermostatic radiator valves,,Thermostatic radiator valve;Integral head,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/00/247400_wm.jpg,,White / Chrome,TRV4,N,,,222389 PK,Thermostatic Radiator Valve (TRV),N,Includes TRV and integral head,,,,,18 Month,,,,,,,,Modern design,Non-stick valve internals,Sensitive liquid-filled head,With double gland seal,Half/full click stop settings,Radiators can be balanced via TRV,Includes frost protection position,,,,Replaceable internal parts,15mm connections,Manufactured in UK-based ISO 9001 certified factory,A-rated energy efficiency,Keymark approved to EN 125,18 month warranty,,CompressionThreaded,,,,,,,Brass,,,,,,,,,,,,Contemporary,No,20,110,15 mm,1/2 in,Yes,Angular,No,,,,,,,,,,,,Angular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PD10036,Bristan Echo Frz Bas C Frenzy Basin Mixer Ch,Bristan,71.21,"Modern and elegant, the Bristan Echo mono sink mixer is made of durable brass with a shiny chrome finish. Compatible with all system pressures, this easy installation kitchen tap is operated with smooth, ceramic disc controlled handles.",Offers and promotions/Trade Deals/Trade Deals.csv -> Bristan Echo Frz Bas C Frenzy Basin Mixer Ch,,Mono sink mixer;EasyFit base;Flexible tails,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/36/NW-D10036_wm.jpg,,Chrome/Metallic,Echo,N,,,D10036 PK,Sink Mixer,N,Quick change,,,38.1 L/min at 5 bar,,5 Years,,230,,,,,,Chrome finish,Precise glide,Long life 1/4 turn ceramic disc valves,Metal fixing nut for durability,EasyFit base included,Flexible tails included,"Flow rate 11.9LPM at 0.2 bar, 46.6LPM at 5 bar",,,,5 year warranty,,,,,,,,,,,,,,Brass,,,,,,,,,,,,Contemporary,,,,,,,,,,,,,,,,,,,,,0.4,5 to 2565,190,Medium,No,No,Yes,High Arc,Deck,Lever,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PP76411,Bristan echo easyfit mono sink mixer Black pack,Bristan,99.0,"A modern choice for a contemporary kitchen, the Bristan Echo EasyFit sink mixer tap is finished in a smart black. Suitable for deck mounting, this twin lever-operated tap offers ease of installation using the secure, fast EasyFit system, with all tools and parts required for straightforward top-down installation included along with the main tap unit.",Offers and promotions/Trade Deals/Trade Deals.csv -> Bristan echo easyfit mono sink mixer Black pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/80/D80380_wm.jpg,,Black,,N,,,P76411 PK,Twin Lever Mono Sink Mixers,N,Brass construction,,,39.7 l/min @ 5 bar,,10 Years,,230,,,,,,Black finish,Unique patented top fix design for simple installation,Locks into place with supplied Allen key,With 2x isolation valves and flexi tails,Connect to water supply and isolate base,Tap pushes onto base to secure,Easyfit tool and screws provided,,,,Swivel spout for easy useWith long life quarter-turn ceramic disc valves for durablity and ease of use,High quality metal fixings for security and durability,10 year warranty,,,,,,,,,,,,Brass,,,,,,,,,,,,Contemporary,,,,,,,,,,,,,,,,,,,,,0.4,65,190,Suitable for all pressure,No,No,Yes,N/A,Deck Mounted,Lever Handle,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PP76412,Bristan echo easyfit mono sink mixer Gun Metal pack,Bristan,99.0,"A modern choice for a contemporary kitchen, the Bristan Echo EasyFit sink mixer tap is finished in a statement gunmetal. Suitable for deck mounting, this twin lever-operated tap offers ease of installation using the secure, fast EasyFit system, with all tools and parts required for straightforward top-down installation included along with the main tap unit.",Offers and promotions/Trade Deals/Trade Deals.csv -> Bristan echo easyfit mono sink mixer Gun Metal pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/81/D80381_wm.jpg,,GunMetal,,N,,,P76412 PK,Twin Lever Mono Sink Mixers,N,Brass construction,,,39.7 l/min @ 5 bar,,10 Years,,230,,,,,,Gunmetal finish,Unique patented top fix design for simple installation,Locks into place with supplied Allen key,With 2x isolation valves and flexi tails,Connect to water supply and isolate base,Tap pushes onto base to secure,Easyfit tool and screws provided,,,,Swivel spout for easy useWith long life quarter-turn ceramic disc valves for durablity and ease of use,High quality metal fixings for security and durability,10 year warranty,,,,,,,,,,,,Brass,,,,,,,,,,,,Contemporary,,,,,,,,,,,,,,,,,,,,,0.4,65,190,Suitable for all pressure,No,No,Yes,N/A,Deck Mounted,Lever Handle,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PP76431,Echo easzyfit monosink mixer brushed brass pk,Echo,99.0,A contemporary twin lever kitchen tap featuring Top Fix Easyfit technology.,Offers and promotions/Trade Deals/Trade Deals.csv -> Echo easzyfit monosink mixer brushed brass pk,,"1 x Tap Body, 2 x Flexi Tails, 2x Isolation Valves, 1x EasyFit Base, 1x 6mm Hex Key, 1x 2.5mm Hex Key, 1x Molykote Grease, 2x Grub Screws, 1x Plinth, 1 x 'O' Washer, 1 x Fitting Instructions",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/82/D80382_wm.jpg,,Brass,,N,,,P76431 PK,Kitchen Taps,N,"Two supplied isolation valves and flexi tails mean you can connect to the water supply at this point and isolate the base. Push the tap on to the base and secure into position with the supplied Easyfit tool and screws. Everything you need in the box including an Allen key, isolation valves, Top Fix Easyfit base, Easyfit tool and flexi tails. Swivel spout for easy use. Long life 1/4 turn ceramic disc valves for added durablity and ease of use. High quality metal fixings for security and durability. Also available in other finishes. 10 year parts and 1 year labour guarantee for peace of mind.",,,30.6 l/min @ 3 bar,,10,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,Contemporary,,,,,,,,,,,,,,,,,,,,,0.4,65,190,Suitable for all plumbing systems,No,No,No,Swan,Deck Mounted,Lever,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PD10033,Bristan Orta basin mixer tap and clicker waste Chrome Plated pack,Bristan,48.0,"Uniquely designed for a modern bathroom, the Bristan Orta basin mixer with clicker waste offers a dynamic forward slant combined with a classic chrome finish. Suitable for all plumbing systems, this contemporary deck-mounted tap is constructed in long lasting brass.",Offers and promotions/Trade Deals/Trade Deals.csv -> Bristan Orta basin mixer tap and clicker waste Chrome Plated pack,,Basin mixer;Clicker waste,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/33/NW-D10033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Collection_2011_Brochure.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D10033_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Orta_Tap_Range_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PD10034,Bristan Orta bath filler tap Chrome Plated pack,Bristan,84.0,"Uniquely designed for a modern bathroom, the Bristan Orta bath filler offers a dynamic forward slant combined with a classic chrome finish. Suitable for all plumbing systems, this contemporary deck-mounted filler is constructed in long lasting brass.",Offers and promotions/Trade Deals/Trade Deals.csv -> Bristan Orta bath filler tap Chrome Plated pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/34/NW-D10034_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Collection_2011_Brochure.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D10034_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Orta_Tap_Range_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PD30975,Eyre Flexi-Fix D-shaped toilet seat White,Eyre,34.49,"Antibacterial for cleaner use, this Croydex Eyre Flexi-Fit D-shaped toilet seat is made of white thermoset plastic and includes soft close chrome-plated adjustable hinges designed for fitting to all standard toilets.",Offers and promotions/Trade Deals/Trade Deals.csv -> Eyre Flexi-Fix D-shaped toilet seat White,,Toilet seat;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/75/NW-D30975_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT41935,Tradefix complete toilet set,Tradefix,65.0,"Helping to make bathroom refits simple, the Tradefix complete toilet set includes a full toilet with matching soft-close seat. The pack is built around a classic close-coupled cistern, supplied complete with all fittings for quick, hassle-free installation.",Offers and promotions/Trade Deals/Trade Deals.csv -> Tradefix complete toilet set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/35/T41935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/T41935_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PBE7947,Scruffs winter essentials pack Black,Scruffs,10.79,"A perfect gift for someone who often works outside, this Scruffs winter essentials pack contains a soft-touch fleece beanie hat, neck warmer and gloves. These lightweight winter accessories make working in tough winter conditions more bearable, helping to keep hands and heads protected from wind and chilly air.",Offers and promotions/Trade Deals/Trade Deals.csv -> Scruffs winter essentials pack Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/47/NW-BE7947_wm.jpg,,Black,,N,,,T54874,Winter Essentials Pack,N,"Made from warm, lightweight fleece",,,,,,,,,,,,,Suitable for industrial or commercial use,Machine washable,Ideal gift pack,One size fits all,,,,IndustrialCommercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PB61644,Nabis Vector II 4-piece pack,Nabis,179.0,The Nabis Vector II four piece bathroom pack with toilet and basin combines sleek modernooks with high performance at an economy price.,Offers and promotions/Trade Deals/Trade Deals.csv -> Nabis Vector II 4-piece pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/44/NW-B61644_wm.jpg,,,Vector II,N,,,B61644 PK,Bath Pack,N,Includes single tap hole basin,,,,,,,,,,,,,Includes close coupled toilet,Horizontal outlet pan,Soft close seat,Lifetime warranty on ceramics,1 year warranty on toilet seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PE68094,Geocel Dowsil 785+ Sanitaryware Sealant 310ml White,Geocel,8.49,"Bacteria-resistant, Dowsil 785 white sanitary silicone sealant is a one-part acetoxy silicone for strong adhesion to most non-porous surfaces including ceramics and porcelain. It is ideal for domestic and commercial sanitary fittings, kitchen sink units and clean rooms.",Offers and promotions/Trade Deals/Trade Deals.csv -> Geocel Dowsil 785+ Sanitaryware Sealant 310ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/94/E68094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dow_Corning_785_Sealant_Technical.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Dow_Corning_785_Sealant_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PE68095,Geocel Dowsil 785+ Sanitaryware Sealant 310ml Clear,Geocel,8.49,"Bacteria-resistant, Dowsil 785 clear sanitary silicone sealant is a one-part acetoxy silicone for strong adhesion to most non-porous surfaces including ceramics and porcelain. It is ideal for domestic and commercial sanitary fittings, kitchen sink units and clean rooms.",Offers and promotions/Trade Deals/Trade Deals.csv -> Geocel Dowsil 785+ Sanitaryware Sealant 310ml Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/95/E68095_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dow_Corning_785_Sealant_Technical.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Dow_Corning_785_Sealant_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,P514526,Big Wipes Heavy Duty Surface Wipes – Red Top,Big Wipes,13.99,"Big, thick and tough, these Big Wipes Red Top heavy-duty hand cleaner wipes are tough on grime yet kind to your hands. A high-performance, mobile multi-cleaner, water-based Red Tops will tackle any dirt or stain, removing paint, adhesives, sealants, silicone, PU foam and general dirt and grime while protecting skin with their blend of skin conditioners.",Offers and promotions/Trade Deals/Trade Deals.csv -> Big Wipes Heavy Duty Surface Wipes – Red Top,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/26/NW_514526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Big-Wipes_Multi-Purpose_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,P231527,Stuart Turner Showermate twin shower pump S1.5 bar,Stuart Turner,105.0,"Boosting both hot and cold water supplies to a bathroom where pressure is an issue, the Stuart Turner Showermate S1.5 standard twin shower pump supplies reliable flow rates of up to 32LPM. A compact and quiet unit offering excellent levels of performance, Showermate is supplied with two 15mm anti-vibration flexible hoses with integral isolation valves on their inlets in addition to a pre-wired power cable.",Offers and promotions/Trade Deals/Trade Deals.csv -> Stuart Turner Showermate twin shower pump S1.5 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/34/NW-D52933_D52934_wm.jpg,,Black,Showermate,N,,,231527 PK,,N,Suitable for positive head applications,,,32 L/min,230,3 Year,Single,,,,,,,High-quality compact plastic pump,With 15mm flexible hoses with integral ISO valves on inlets,Quiet in operation,Intermittently rated,With anti-vibration feet,EPDM/PTFE/Al oxide seal,Pre-wired with 1.5M power cable,,,,WRAS approved,3 year warranty,,,,,,G3/4 Male,,1.5 bar,,,,,Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,40,,,,,,,,,,,,,,,1.7,Horizontal,Peripheral/Regenerative,385,Positive,Twin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
