,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Model For Use With,Attachment 4,Attachment 5,For Use With
51,P634324,Daikin DCS601C51 Intelligent Controller,Daikin,2606.4,"Allowing for the control and monitoring of up to 64 indoor units or groups, this Daikin intelligent touch controller is compatible with FXFA-A, FXFQ-B, FXZA-A, FXZQ-A, FXCQ 20 to 40A, FXCQ 50 to 63A, FXCQ 80 to 125A, FXMQ 50 to 80, FXMQ 100 to 125, FXMQ 200 to 250, FXHQ 32A, FXHQ 63A and FXHQ 71 to 100A.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin DCS601C51 Intelligent Controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/24/NW-634324_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_DCS601C51_Operation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Daikin_VRV_Catalogue_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_DCS601C51_Installation.pdf,,,,,,,,,,
52,P664587,Daikin KRP4A53 Adaptor Pcb,Daikin,87.3,A Daikin PCB adapter for air conditioning units.,Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin KRP4A53 Adaptor Pcb,,Adapter PCB;Relay harness;4x PCB support;3x clamps;8x installation manual,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/87/NW-664587_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_Adapter_PCB_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Daikin_Control_Systems_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,
53,P607279,Daikin BRYMA65 Co2 Sensor (For Vam 350/500/650),Daikin,519.3,"Suitable for use with the VAM 350, 500 and 650 and the modular L Smart, this Daikin CO2 sensor helps to maintain safe CO2 levels while preventing energy loss through over-ventilation.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin BRYMA65 Co2 Sensor (For Vam 350/500/650),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/79/607279_wm.jpg,,,,N,BRYMA65,CO2 sensor,N,,,,,,
54,P634327,Daikin DMS502A51 Bacnet Gateway Interface,Daikin,5164.2,"Designed to control and monitor up to 64 indoor units or groups, this Bacnet gateway interface for BMS systems is compatible with FXFA-A, FXFQ-B, FXZA-A, FXZQ-A, FXCQ 20 to 40A, FXCQ 50 to 63A, FXMQ 50 to 80, FXMQ 100 to 125, FXMQ 200 to 250, FXHQ 32A, FXHQ 63A and FXHQ 71 to 100A.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin DMS502A51 Bacnet Gateway Interface,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/27/NW-634327_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Daikin_VRV_Catalogue_2021.pdf,,,,,,,,,,,,
55,P604637,Daikin 300464P Pcb Pc0418-1 Rzq100,Daikin,1363.97,A Daikin PC0418-1 RZQ100 PCB for air conditioning units.,Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin 300464P Pcb Pc0418-1 Rzq100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/37/604637_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,
56,P604611,Daikin 1829545 Compressor 20KW,Daikin,2783.9,The Daikin JT1FCVDKTYR 2.2kW compressor is compatible with REYQ and RXQ models.,Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin 1829545 Compressor 20KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/11/NW-604611_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,
57,P604684,Daikin 110642J Air Filter 725 X 167,Daikin,60.21,A Daikin 725 x 167mm air filter for VAM500FJ.,Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin 110642J Air Filter 725 X 167,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/84/NW-604684_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,
58,P688397,Daikin BRC7FA532F Wireless Remote,Daikin,210.6,"Compact and user-friendly, the Daikin wireless remote control gives you total power of your air conditioning system. Simple to use, this remote incorporates a liquid crystal display and control buttons.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin BRC7FA532F Wireless Remote,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/97/NW-688397_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_BRC7FA532F_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_BRC7FA532F_Operation_Manual.pdf,,,,,,,,,,,
59,P688195,Daikin FXHQ100A Ceiling Mounted Vrv Fan Coil,Daikin,1668.48,"Using the Coanda effect for a discharge angle of up to 100°, the Daikin FXHQ100 ceiling-mounted VRV fan coil offers effective heating and coiling, even in high ceilinged spaces. Offering ease and economy of installation, the FXH is fitted without a ventilation device and thanks to its sleek design, with no visible grilles and flaps that lay flat when closed, it is ideal for applications where finished appearance is important.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin FXHQ100A Ceiling Mounted Vrv Fan Coil,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/95/688195_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,
60,P604671,Daikin 0695763 Plastic Fan Blade P52H-11S,Daikin,308.93,"This plastic Daikin P52H-11S fan blade is a replacement part compatible with various models, including those in the CRJ, EUWA and RSX ranges.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin 0695763 Plastic Fan Blade P52H-11S,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/71/NW-604671_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,
