,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Fuel Type,Range,Hazardous,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Depth (mm),Attachment 3,Feature 4,Part Gas Council number,Boiler Section,Pack Quantity,Weight,Attachment 4
105,P798064,Andrews pilot burner assembly,Andrews,136.07,"An Andrews pilot burner assembly for 24/39, 32/40, 40/61, 63/62 and 84/87. A pilot assembly normally includes a pilot bracket, injector, electrode and thermocouple. The pilot flame ignites gas entering the boiler's main burner via the gas valve when the system is switched on. The pilot flame operates alongside the printed circuit board (PCB) and the rest of the pilot assembly for safe and efficient ignition.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews pilot burner assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/64/NW-798064_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Hiflo-WH_Installation.pdf,,,,,,,,,,,,,,,,,,,
106,P706147,Andrews C782 expansion vessel 25ltr,Andrews,191.08,"This Andrews 25L expansion vessel is compatible with a wide range of boilers. A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews C782 expansion vessel 25ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/47/NW-706147_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Hiflo-WH_Installation.pdf,,,,,,,,,,,,,,,,,,,
107,P138185,Andrews ECOflo CSC39/59 angled roof plate,Andrews,56.0,An Andrews ECOflo angled roof plate for use with condensing water heaters.,Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews ECOflo CSC39/59 angled roof plate,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/85/138185_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_BalancedFlueCSC_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Andrews_Balanced_Flue_CSC_Install.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_BalancedFlueNG_Technical.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Andrews_Water_Heaters_Spec_Guide.pdf
108,PD75033,Heatrae Sadia Supreme 7036005 water filter cartridge 0.2 micron,Heatrae Sadia,115.64,"This Heatrae Sadia Supreme water filter cartridge is fitted with a Fibredyne media for a balance of chlorine, taste and odour reduction plus effective mechanical dirt-holding for particles as tiny as 0.2 micron.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Heatrae Sadia Supreme 7036005 water filter cartridge 0.2 micron,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/34/D75033_D75034_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Heatrae_Sadia_Supreme_Tech_Sheet.pdf,,,,,,,,,,,,,,,,,,,
109,P493551,Zip AQ1 pressure and temperature relief valve,Zip,124.34,"Designed for use with AP3 5 to 15L and Varipoint 10 to 15L water heaters, this Zip Water AQ1 pressure and temperature relief valve will safely relieve over-pressure and prevent overheating.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Zip AQ1 pressure and temperature relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/51/493551_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_Water_Commercial_Brochure.pdf,,,,,,,,,,,,,,,,,,,
110,P706075,Andrews C687 pilot assembly elec/lead/TC,Andrews,136.07,"This Andrews pilot assembly is suitable for use in Andrews 24/39, 32/40, 40/61, 63/62 and 84/87 boilers. A pilot assembly normally includes a pilot bracket, injector, electrode and thermocouple. The pilot flame ignites gas entering the boiler's main burner via the gas valve when the system is switched on. The pilot flame operates alongside the printed circuit board (PCB) and the rest of the pilot assembly for safe and efficient ignition.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews C687 pilot assembly elec/lead/TC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/75/NW-706075_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Hiflo-WH_Installation.pdf,,,,,,,,,,,,,,,,,,,
111,P138398,Andrews MAXXflo B328 unvented kit,Andrews,857.0,An Andrews MAXXflo unvented system kit for gas fired storage water heaters.,Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews MAXXflo B328 unvented kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/98/138398_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Andrews_MAXXflo_product_spec_sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Andrews_Maxxflo_Unvented_Kit_Tech.pdf,,,,,,,,,,,,,,,,,,
112,P795706,Andrews electronic control module,Andrews,488.39,"This replacement Andrews electronic control module, or PCB, is suitable for Andrews ECOflo EC380/1900, LEC380/1900 and EC96/380. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews electronic control module,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/06/NW-795706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Ecoflo_Installation.pdf,,,,,,,,,,,,,,,,,,,
113,P706536,Andrews fan gasket,Andrews,38.2,"This Andrews fan gasket is a spare part for Andrews CWH and LCWH boilers. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews fan gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/36/NW-706536_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,
114,P706064,Andrews C514 piezo ignitor,Andrews,80.25,"An Andrews C514 piezo igniter for Andrews RSC 150, RSC 190, 32/143, 54/440, 62/341, 65/173, 81/264, L32/143, L54/399, L62/309, L65/169, L81/251, 54/418 and 33/136 boilers. A Piezo igniter requires no electrical connection, instead using a lever or push button to create an electrical spark produced in response to the high pressure of a small hammer strike against piezoelectric material such as crystal, PZT or quartz crystal.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews C514 piezo ignitor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/64/NW-706064_wm.jpg,,,Natural Gas,Spares,N,"62/341,81/264,L62/309,54/440,54/418,RSC 190,RSC 150,33/136,L65/169,L54/399,L81/251,65/173,L32/143,32/143",C514AWH,Piezo Ignitor,N,Replacement piezo ignitor,"Suitable for use in Andrews RSC 150, RSC 190, 32/143, 54/440, 62/341, 65/173 and 81/264","Suitable for use in L32/143, L54/399, L62/309, L65/169, L81/251, 54/418 and 33/136 units",,,,,,,,
115,P798230,Andrews electronic anode,Andrews,307.57,An Andrews replacement electronic anode for a wide range of commercial boilers.,Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews electronic anode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/30/NW-798230_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Hiflo-WH_Installation.pdf,,,,,,,,,,,,,,,,,,,
116,P138299,Andrews ECOflo vertical flue kit 2010mm,Andrews,744.0,An Andrews vertical flue kit for all ECOflo 380 models.,Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews ECOflo vertical flue kit 2010mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/99/138299_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Andrews_ECOflo_Installation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_Ecoflo_Technical.pdf,,,,,,,,,,,,,,,,,,
117,P421077,Andrews E226 pilot assembly CSC,Andrews,238.7,"A genuine Andrews spare, this pilot assembly is compatible with Ecoflam and CSC boilers. A pilot assembly normally includes a pilot bracket, injector, electrode and thermocouple. The pilot flame ignites gas entering the boiler's main burner via the gas valve when the system is switched on. The pilot flame operates alongside the printed circuit board (PCB) and the rest of the pilot assembly for safe and efficient ignition.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews E226 pilot assembly CSC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/77/NW-421077_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_CSC-L_Installation.pdf,,,,,,,,,,,,,,,,,,,
118,P706547,Andrews hot outlet fitting kit,Andrews,226.79,This Andrews hot outlet fitting kit is designed for use in CWH and LCWH units.,Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews hot outlet fitting kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/47/NW-706547_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,
119,P706029,Andrews C291 anode,Andrews,119.65,"This Andrews C291 anode is a replacement part for Andrews CSC B 93, CSCL B 93, ST100, ST166, ST66 and OFS B 29 boilers.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews C291 anode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/29/NW-706029_wm.jpg,,,Natural Gas,Spares,N,"CSCL B 93,ST 100,ST66,ST166,CSC B 93",C291AWH,Sacrificial Anode,N,Replacement sacrificial anode,"Suitable for Andrews OFS B 29, ST100, ST166, ST66, CSC B 93 and CSCL B 93 water heaters",,,,,,,,,
