,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Range,Thickness,Weight,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Dimensions (L x W x D),Power Supply,Feature 6,Feature 7,Feature 8
62,PM96175,Walraven RapidRail Fixing Rail 30x20mm Pre galvanised,Walraven,17.79,The pre-galvanised Walraven RapidRail 30 x 20mm fixing rail is designed for use in light fixing tasks.,"Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> Walraven RapidRail Fixing Rail 30x20mm Pre galvanised",,per metre,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/75/M96175_wm.jpg,,,,,Metallic,,1.25,,N,Steel,30x20,650530202,Fixing Rail,N,For light fixing applications,Galvanised metal finish,Steel construction,,,,,,,
63,P511599,22MM PIPE COLLAR - BAGS OF 100,Talon,0.33,"Concealing untidy incisions, the Talon 22mm pipe collar in white provides a neat finish in walls or floors where pipework has been installed. Suitable for new or retrofit applications, this pipe collar reduces your workload, eliminating the need to make good at the end of a job.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> 22MM PIPE COLLAR - BAGS OF 100",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/99/511599_wm.jpg,,,,,White,,1.2 mm,,N,Polypropylene,22 mm,PC22/100,Pipe Collar,N,Polypropylene construction,White colour,No need to make good around pipework,,,,,,,
64,P511595,BAG OF 10 15MM PIPE COLLAR - PRICED EACH,Talon,0.33,Talon offer a range of styles to ensure that customers are able to choose the most suitable option for the environment in which the pipe sits to conceal pipework in a way that remains aesthetically suitable.,"Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> BAG OF 10 15MM PIPE COLLAR - PRICED EACH",,Pipe Collars,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/it/e)/Pipe Collar (White)_wm.jpg,,,,,White,Pipe Collars,11mm,0.04000,N,Polypropylene,54 x 11 (LxW),PC15/10,Pipe Collar,N,Avoids the need to make good around pipework,Can be fitted onto existing pipework,Manufactured from high grade polypropylene,Simple click together system,,,,,,
65,PM92175,M Greenaway And Son G68 2 hole flat plate cantilever arm 600mm,M Greenaway And Son,106.24,"Made of 6mm thick mild steel, this M Greenaway And Son 600mm cantilever arm with galvanised finish has been designed to support and fix together Channel (strut) lengths in metal framework. The majority of Channel accessories and bracketry are pre-drilled with 14mm fixing holes, allowing the use of bolts and threaded rod for fixings.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> M Greenaway And Son G68 2 hole flat plate cantilever arm 600mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/76/NW-M92172_M92176_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/MGreenawaySons_G68600_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/MGreenawaySons_ChannelAccssrs_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/ze/MGreenawaySons_ChannelAccssrs_Size.pdf,,,,,,,,,,,,,,,,,,,,,
66,PT83834,M Greenaway And Son SZ zinc plated studding 3mtr (m12),M Greenaway And Son,22.55,This M Greenaway And Son SZ M12 x 3M studding is made of steel with a BZP finish.,"Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> M Greenaway And Son SZ zinc plated studding 3mtr (m12)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/35/NW-T83831_T83835_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/MGreenawaySons_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/iz/es/MGreenawaySons_Fixing_Range_Sizes.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/MGreenawaySons_T83834_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
67,PM92184,M Greenaway And Son GB pvc end cap 21mm Black,M Greenaway And Son,1.15,This M Greenaway And Son GB 21 x 41mm channel end cap is made of black PVC.,"Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> M Greenaway And Son GB pvc end cap 21mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/84/NW-M92184_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/MGreenawaySons_ChannelAccssrs_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,
68,P617128,"Javac Edge expander head 1/4""",Javac,95.09,"Free-floating and self-centring, this Javac Edge 1/4"" expander head is a patented design intended to fit with the JAV-1000B tube expander set.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> Javac Edge expander head 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/28/NW-617128_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Tube-Expander-Set_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,
69,P511606,42MM PIPE COLLAR - BAGS OF 50,Talon,0.48,"Concealing untidy incisions, the Talon 42mm pipe collar in white provides a neat finish in walls or floors where pipework has been installed. Suitable for new or retrofit applications, this pipe collar reduces your workload, eliminating the need to make good at the end of a job.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> 42MM PIPE COLLAR - BAGS OF 50",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/06/511606_wm.jpg,,,,,White,,1.2 mm,,N,Polypropylene,42mmØ,PC42/50,Pipe Collar,N,Polypropylene construction,White colour,No need to make good around pipework,,,,,,,
70,PM92158,M Greenaway And Son GB galvanised 1 hole base plate,M Greenaway And Son,31.57,"Made of 6mm thick mild steel, this M Greenaway And Son base plate single fix with galvanised finish has been designed to support and fix together Channel (strut) lengths in metal framework. The majority of Channel accessories and bracketry are pre-drilled with 14mm fixing holes, allowing the use of bolts and threaded rod for fixings.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> M Greenaway And Son GB galvanised 1 hole base plate",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/58/NW-M92158_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/MGreenawaySons_GB44_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/MGreenawaySons_ChannelAccssrs_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/ze/MGreenawaySons_ChannelAccssrs_Size.pdf,,,,,,,,,,,,,,,,,,,,,
71,P693181,"Javac bending spring 3/4""",Javac,6.73,"A Javac 3/4 x 10"" spring-type tube bender.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> Javac bending spring 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/81/NW-693181_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_UK_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Tube_Tools_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
72,PM92173,M Greenaway And Son G68 2 hole flat plate cantilever arm 300mm,M Greenaway And Son,64.64,"Made of 6mm thick mild steel, this M Greenaway And Son 300mm cantilever arm with galvanised finish has been designed to support and fix together Channel (strut) lengths in metal framework. The majority of Channel accessories and bracketry are pre-drilled with 14mm fixing holes, allowing the use of bolts and threaded rod for fixings.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> M Greenaway And Son G68 2 hole flat plate cantilever arm 300mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/76/NW-M92172_M92176_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/MGreenawaySons_G68300_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/MGreenawaySons_ChannelAccssrs_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/ze/MGreenawaySons_ChannelAccssrs_Size.pdf,,,,,,,,,,,,,,,,,,,,,
73,PM92454,M Greenaway And Son SZ zinc plated reducer male/female 12-10mm (m10/12),M Greenaway And Son,0.89,This M Greenaway And Son SZ M12 x M10 threaded reducer is made of steel with a BZP finish.,"Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> M Greenaway And Son SZ zinc plated reducer male/female 12-10mm (m10/12)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/54/NW-M92454_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/MGreenawaySons_SZ1223M_10_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/MGreenawaySons_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/iz/es/MGreenawaySons_Fixing_Range_Sizes.pdf,,,,,,,,,,,,,,,,,,,,,
74,PM92157,M Greenaway And Son GB galvanised 2 hole base plate,M Greenaway And Son,40.49,"Made of 6mm thick mild steel, this M Greenaway And Son base plate double fix with galvanised finish has been designed to support and fix together Channel (strut) lengths in metal framework. The majority of Channel accessories and bracketry are pre-drilled with 14mm fixing holes, allowing the use of bolts and threaded rod for fixings.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> M Greenaway And Son GB galvanised 2 hole base plate",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/57/NW-M92157_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/MGreenawaySons_GB43_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/ze/MGreenawaySons_ChannelAccssrs_Size.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/MGreenawaySons_ChannelAccssrs_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
75,P511597,15MM PIPE COLLAR - BAGS OF 50,Talon,0.32,"Made of polypropylene (PP) and finished in white, this Talon PC15/50 15mm pipe collar provides a neat finish with no need to fill in and re-paint an area where pipework is installed.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> 15MM PIPE COLLAR - BAGS OF 50",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/it/e)/Pipe Collar (White)_wm.jpg,,,,,White,Pipe Collars,11mm,0.20000,N,Polypropylene,54 x 11 (LxW),PC15/50,Pipe Collar,N,Avoids the need to make good around pipework,Can be fitted onto existing pipework,Manufactured from high grade polypropylene,Simple click together system,,,,,,
76,P691661,"Javac tube straightening tool for copper 5/8""",Javac,86.99,"This smart Javac 5/8"" tube straightener is a robust tool designed to accurately straighten coiled light wall tube. It minimises material wastage while creating accelerated flow from the resulting straightened pipe.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> Javac tube straightening tool for copper 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/61/NW-691660_691661_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Tube_Straightener_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_UK_2021.pdf,,,,,,,,,,,,,,,,,,,,,,
77,P511581,Talon u-box for boiler kit 2 500mm,Talon,33.82,"Concealing pipework and flues, the Talon U-Box 500mm boiler box cover helps installers to achieve a neat, professional finish on a boiler install. Manufactured in highly robust uPVC with a bright, clean white finish, this box is resistant to acids and alkalis and is easy to clean and maintain, ensuring it looks good for longer. The box is supplied as a kit for simple fitting, trimming and removal, making it suitable for any boiler replacement job.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> Talon u-box for boiler kit 2 500mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/81/511581_wm.jpg,,,,,White,,2,,N,UPVC,400mm,CUB2/500,Boiler Box Cover,N,uPVC construction,Easy to install,Easy to maintain white gloss finish,Removable for future boiler maintenance,Does not require multiple onsite trades,,,Fits standard boiler sizes,Resistant to acids and alkalis,Excellent weather resistance
