,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Hazardous,Depth (mm),Demisting,Material,Shape,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Range,Feature 6,Feature 7,Style,Warranty,Dimensions (L x W x D),Door Opening Orientation
17,PE51321,Hib Ambience mirror 600mm,Hib,279.78,"The HiB Ambience 60 illuminated bathroom mirror provides you with personalised lighting to suit your preference, from a warm spa-vibe to bright task lighting for shaving and plucking. Suitable for portrait or landscape hanging, the Ambience includes a heated pad, giving you a condensation-free space for use straight after the shower.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Hib Ambience mirror 600mm,,Illuminated mirror;Heated pad,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/21/NW-E51321_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HiB_VentilationLighting_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/94/HiB_Bathroom_Brochure_94.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/E51321_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HiB_Ambience_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/HiB_Ambience_Fitting_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,
18,PC22679,* NAB DEC 800MM MIRROR CABINET WH GLOSS,Nabis,400.91,"As practical as it is stylish, this white gloss finish Nabis Deco 660 x 800mm bathroom mirror cabinet unit provides useful storage alongside a single socket for your shaver or toothbrush and an overhead light. Elegantly designed, this mirrored cabinet is designed to blend seamlessly with the rest of the Deco range.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> * NAB DEC 800MM MIRROR CABINET WH GLOSS,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/79/NW-C22679_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22671-C22682_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22671-C22682_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
19,PE11178,Hib Aura mirror 50mm,Hib,237.93,"Bringing designer luxury into the bathroom, the HiB Aura 500mm mirror is fitted with ambient illumination that changes colour temperature to suit the mood and the task at hand. Easy to install, this convenient modern mirror includes a heated pad to help keep a section of mirror clear, even after a bath or shower, making mornings that much simpler.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Hib Aura mirror 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/au/ra/Aura_wm.jpg,,,,,,Clear,N,40,Yes,Glass & Aluminium,Rectangular,79560500,LED Mirror,N,LED illumination top and bottom,Heated pad clears condensation from centre of mirror,Touch-operated,"Press to switch LEDs on, hold to change temperature",Selectable colour temperature,Aura,Easy installation,IP44 protection for bathroom use,,,,
20,PE11647,HIB 78732000 AIR 60 MIRROR,Hib,375.89,"An elegant design for contemporary bathrooms, the HiB Air 600mm bathroom mirror is fitted with a slimline statement frame lit using inbuilt LEDs controlled by wave activation. In addition to mood lighting, this smart mirror also includes a heated pad to help keep an area clear after your bath or shower, making daily use frustration-free. Allowing for ease of installation, all of the Air's electrical components are neatly contained within the mirror frame, meaning there's no need to drill into walls for concealment and recessing.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> HIB 78732000 AIR 60 MIRROR,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/47/E11647_wm.jpg,,,,,,Clear,N,25,Yes,Glass & Aluminium,Rectangular,78732000,LED Mirror,N,With LED illumination,Slimline profile,Heated pad clears section of mirror of condensation,Suitable for hanging landscape or portrait,Wave-type switch,Air,,,,,,
21,PE51262,Hib Globe mirror H70 x W50 x D4.5cm,Hib,321.63,"The HiB Globe 50 illuminated mirror features a colour temperature changeable LED light, allowing you to adapt the ambience of your bathroom to suit your needs. Suitable for portrait or landscape installation, the Globe includes a heat pad to keep a generous space clear of condensation for use after your bath or shower.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Hib Globe mirror H70 x W50 x D4.5cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/62/NW-E51262_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/E51262_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/HiB_Globe_Vega_Fitting_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HiB_VentilationLighting_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/94/HiB_Bathroom_Brochure_94.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HiB_Globe_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
22,PE11648,HIB 78733000 AIR 120 MIRROR,Hib,494.46,"An elegant design for contemporary bathrooms, the HiB Air 700mm bathroom mirror is fitted with a slimline statement frame lit using inbuilt LEDs controlled by wave activation. In addition to mood lighting, this smart mirror also includes a heated pad to help keep an area clear after your bath or shower, making daily use frustration-free. Allowing for ease of installation, all of the Air's electrical components are neatly contained within the mirror frame, meaning there's no need to drill into walls for concealment and recessing.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> HIB 78733000 AIR 120 MIRROR,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/48/E11648_wm.jpg,,,,,,Clear,N,25,Yes,Glass & Aluminium,Rectangular,78733000,LED Mirror,N,With LED illumination,Slimline profile,Heated pad clears section of mirror of condensation,Suitable for hanging landscape or portrait,Wave-type switch,Air,,,,,,
23,PE51238,Hib Jackson mirror 600 x 800mm,Hib,97.65,"The HiB Jackson bathroom mirror has a bevelled edge for a cool three-dimensional, framed effect. The optional Demista pad can be stuck to the back panel to prevent a misting and condensation for easy use straight after showering.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Hib Jackson mirror 600 x 800mm,,Non-illuminated mirror;Optional D2 Demista pad,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/38/NW-E51238_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/E51238_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HiB_VentilationLighting_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/94/HiB_Bathroom_Brochure_94.pdf,,,,,,,,,,,,,,,,,,,,,,,
24,PC22584,* NAB CLASSIC 525MM SGL MIRROR CABINT RH,Nabis,274.89,"Nabis Classic right hand single mirror cabinet is available in earl grey colour. This new 'Classical' range for a sophisticated and traditional, yet stylish look for the user bathroom.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> * NAB CLASSIC 525MM SGL MIRROR CABINT RH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/84/NW-C22583_C22584_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Nabis_M_Cabinet_W525_D150_H696_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,
25,PC22706,* NAB DEC 700MM FRAMELSS MIRROR ALU,Nabis,104.41,"With a neat aluminium finish, the Nabis Deco frameless mirror is designed to complement the Deco bathroom furniture range. Compliant with EN and FIRA guidance, the Deco is suitable for both commercial and domestic use.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> * NAB DEC 700MM FRAMELSS MIRROR ALU,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/06/NW-C22706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22703-C22707_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22703-C22707_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
26,PE51417,Hib Element mirror 50mm,Hib,311.55,"With its uniquely multi-layered design, the HiB Element 50 illuminated bathroom mirror is mounted onto a clear glass base and bordered by a radiant LED colour temperature changing frame, creating an attractive, fun effect and providing you with the ideal lighting scheme to suit your mood. A heated pad makes the Element useable straight after a bath, keeping condensation at bay.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Hib Element mirror 50mm,,Illuminated mirror;Heated pad;Touch switch,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/17/NW-E51417_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/94/HiB_Bathroom_Brochure_94.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HiB_Element_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/HiB_Element_Fitting_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,
27,PE11904,Hib Fixing Kit E11904 drilled mirror fixing set Chrome Plated,Hib,6.79,This Hib chrome fixing set can be used for the installation of a pre-drilled mirror.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Hib Fixing Kit E11904 drilled mirror fixing set Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/04/E11904_wm.jpg,,,,,,Chrome,N,N/A,,Steel,,72008000,Fixing Set,N,Suitable for fixing HiB drilled mirrors,,,,,Fixing Kit,,,Industrial,2 years,N/A,N/A
28,PT41652,Scudo Mia LED mirror cabinet 600x700mm,Scudo,529.65,"A useful addition to any bathroom, the Scudo Mia 600 x 700mm LED mirror cabinet has an elegant, contemporary design. Mirror-fronted, this cabinet boasts handy integrated LEDs turned on via infrared sensor for hands-free operation, while inside is a shaver socket and two adjustable glass shelves for convenient storage. A demister pad keeps the mirror door clear for easy use after a bath or shower while mirrored side panels provide all-round viewing, ideal when shaving or styling hair.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Scudo Mia LED mirror cabinet 600x700mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/52/T41652_wm.jpg,,,,,,Grey,N,135,Yes,Glass and Steel,Rectangle,MIA-600X700-CAB,Mirror Cabinet,N,Single door,Steel construction,Infrared-operated LED illumination,Grey cabinet finish,,,,,,,,
