,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2
0,PN00471,Codelocks CL4010 elect tubular mortice with lever,Codelocks,253.68,"This Codelocks electronic tubular mortice latch outside lever turns freely with no need to operate the latch bolt. The lock's lever will retract the latch bolt when a valid code is entered and the blue LED lights up, the spring lock automatically locking as the door closes for reliable security. A separate key operates management functions and sets the lock into code-free mode. Code-free mode can also be programmed at the keypad using the master code.",Trade Essentials/Ironmongery/Ironmongery.csv -> Codelocks CL4010 elect tubular mortice with lever,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/71/NW-N00471_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Codelocks_CL4000_Technical.pdf,
1,PH88126,Briton 2003 door closer Silver,Briton,82.89,"Made of cast aluminium, this Briton 249 x 48mm overhead closer incorporates a steel rack and pinion mechanism which has been forged, heat-treated and ground for long lasting strength.",Trade Essentials/Ironmongery/Ironmongery.csv -> Briton 2003 door closer Silver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/26/NW-H88126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Briton_2003_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Briton_2003_Installation.pdf
2,PN32255,Allegion 121CE door closer Silver,Allegion,32.91,"Suitable for the majority of popular door sizes, the compact Allergion 121CE 181 x 40mm overhead closer is designed for light use on storeroom and restroom doors. Constructed in a pressure die-cast aluminium with a hardened and ground steel rack and pinion mechanism, this closer offers smooth operation with adjustable speed and latch action.",Trade Essentials/Ironmongery/Ironmongery.csv -> Allegion 121CE door closer Silver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/55/NW-N32255_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Allegion_Briton_121CE_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Allegion_Briton_121CE_Installation.pdf
