,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Colour,Range,Material,Feature 7,Feature 8,Feature 9,Diameter,Thickness,Warranty,Connection Size,Length (M),Size,Attachment 4,Attachment 5,Dimensions (L x W x D),Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Depth (mm),Pack Quantity,Dimensions mm (H x W x D)
48,P670037,Aspen Pumps Xtra grip lock (Size-2) 60 x 32mm (Pack of 10),Aspen Pumps,40.8,"Ideal for air conditioning line sets, this Aspen Pumps Xtra size 2 grip lock is made of zinc passivated mild steel and is designed to mount to any surface.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Aspen Pumps Xtra grip lock (Size-2) 60 x 32mm (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/39/NW-670036_670039_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Grip_Lock_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P685066,Aspen Pumps Xtra AX6005/2 4 pole isolator 25a,Aspen Pumps,26.08,"Designed for ease of installation, this Aspen Pumps Xtra isolator with electrical rating 230/415 VAC, 20A, 4 pole offers separate back plate with spirit level inbuilt and a removable switch to simplify wiring-in.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Aspen Pumps Xtra AX6005/2 4 pole isolator 25a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/68/NW-685065_685068_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Isolator_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Isolator_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,P667761,Javac Veto Pro Pac Classic MC small tool bag,Javac,171.45,"Designed for HVAC/R technicians' tools, this Javac Veto Pro Pac Tech XL tool bag is built to withstand harsh working conditions, with tough plastic handles and heavy duty fastenings and zips.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Veto Pro Pac Classic MC small tool bag,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/61/NW-667761_wm.jpg,,,,N,AX3506,Tool Bag,N,Hinged ergonomic handles,Large tool pockets,20x pockets,Small punch and bit pockets,Small neoprene pockets,Waterproof base of 3mm polypropylene,Black/Smooth,Veto Pro Pac,,Weatherproof body fabric,1800 PVC impregnated denier fabric,5 year zero downtime warranty,203,,,N/A,0.254,203 mm(W) x 254 mm (D) x 317.5 mm (H),,,,,,,,,,,
51,P685026,Aspen Pumps Xtra adaptor 16-25mm,Aspen Pumps,28.22,"Supplied in a pack of three, these Aspen Pumps Xtra black rubber adapters connect a ducted unit to a mini pump. They are designed to fit Daikin, Mitsu Ele/Heavy, Panasonic and LG units.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Aspen Pumps Xtra adaptor 16-25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/26/NW-685026_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Connectors_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P667756,Javac Veto Pro Pac Backpack technicians tool bag,Javac,394.11,"Designed for HVAC/R technicians' tools, this Javac Veto Pro Pac Tech Pac tool bag is built to withstand harsh working conditions, with tough plastic handles and heavy duty fastenings and zips.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Veto Pro Pac Backpack technicians tool bag,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/56/667756_wm.jpg,,,,N,AX3501,Tool Bag,N,Hinged ergonomic handles,Large tool pockets,56x pockets,Small punch and bit pockets,Small neoprene pockets,Waterproof base of 3mm polypropylene,Black/Textured,Veto Pro Pac,,Weatherproof body fabric,1800 PVC impregnated denier fabric,5 year zero downtime warranty,251,,,,0.362,251 mm (W) x 362 mm (D) x 457 mm (H),,,,,,,,,,,
53,P667582,Aspen Pumps peri pro air,Aspen Pumps,193.22,"Built on stepper motor technology and software control, the Aspen Pumps Peri Pro Air sensor based condensate removal pump is highly reliable and offers excellent levels of lift. With its programmable speed control, the Peri Pro Air minimises both tube wear and operational noise.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Aspen Pumps peri pro air,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/82/667582_wm.jpg,,,,N,FP3390,Sensor Based Peristaltic Condensate Removal Pump,N,Configurable motor speed,Flexible installation,Reliably high lift levels,Patented mounting technology for ease of installation,Includes temperature sensor triggering switch,Low operational noise,,,,,,,,,,,,,,,,,,,,,,,
54,P617119,"Javac Edge quick tube bender 1/2""",Javac,90.86,"With its unique dual hinge design, the Javac Edge 1/2"" quick tube bender allows for the reset of its handle position to provide additional leverage, making the second bend to 180° as simple as possible. This bender includes handles with an ergonomic design for comfortable and slip-free use.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Edge quick tube bender 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/22/NW-617118_617122_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Javac_Tube-Benders_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,P688631,Pump House Adaptors adaptor cassette mixed pack,Pump House,11.12,"Colour coded for ease, these Pump House air conditioning cassette adapters in three sizes connect the drain points of any air conditioning unit to a standard 22mm (3/4) overflow pipe.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Pump House Adaptors adaptor cassette mixed pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/31/NW-688631_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_CondensatePump_Acsrs_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,P688608,"Javac charging hose connector (R410A) 5/16 to 1/4""",Javac,10.4,"Made of brass, this Java connection adapter connects 5/16"" R410A systems to 1/4"" SAE flare connections.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac charging hose connector (R410A) 5/16 to 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/08/NW-688608_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Accessories_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,P667679,Pump House Easy-Fit M medium condensing unit guard,Pump House,479.21,"Made of weather-resistant steel, this Pump House Easy-Fit 1150mm condensing mesh guard offers safe and reliable protection from vandalism and accidental damage. This guard is compatible with air conditioning and air source heat pumps from brands including  Daikin, Fujitsu, Hitachi, LG, Mitsubishi, Panasonic and Toshiba.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Pump House Easy-Fit M medium condensing unit guard,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/79/NW-667679_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pump_House_Easy_Fit_Cdnsg_Guard_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_Easy_Fit_Cdnsg_Guard_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,P617123,"Javac Edge multi-tube bender 1/4 - 7/8""",Javac,287.19,"The all-in-one solution for tube bending. For situations where tube needs to be bent in the opposite direction, the Reverse Bending Adaptors can be attached to switch the angle.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Edge multi-tube bender 1/4 - 7/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/23/NW-617123_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Tube-Bender-Set_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,P617127,"Javac Edge multi tube expander set 1/4-1.1/8""",Javac,583.52,"This Javac Edge tube expander set includes eight different expander head sizes, including a 1/4"" head, with ergonomic handles all packed in a robust carry case.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Edge multi tube expander set 1/4-1.1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/27/NW-617127_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Tube-Expander-Set_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Javac_Tube-Expander-Set_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,P617106,"Javac Edge sprun tube cutter 1/8 - 5/8""",Javac,24.24,"Making a fast, clean cut every time in any tube shape, this Javac Edge sprun tube cutter for stainless steel up to 3mm thick offers automatic cutting with spring pressure advancing the blade so there's no need to re-tighten the cutter as you go. Featuring a titanium blade, this cutter ensures a clean cut across the tube, adjusting to the shape of the tube accurately.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Edge sprun tube cutter 1/8 - 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/06/NW-617106_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Tube-Cutter-Range_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,P691591,Bluemay Ancillaries washer faced nut for nylon rod M10,Bluemay,0.52,This Bluemay M10 washer faced nut is made of strong yet lightweight nylon.,Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Bluemay Ancillaries washer faced nut for nylon rod M10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/92/NW-691591_691592_wm.jpg,,,,N,NN6WFM10N,Washer Faced Nut,N,Lightweight thermoplastic construction,Strong design,Resistant to vibration,,,,Natural,Ancillaries,Nylon,,,,M10,10 mm,n/a,,,,,,,,,,,,,,
62,P617110,"Javac Edge tube cutter 1/8 -1.5/8""",Javac,60.23,"Making a fast, clean cut every time in any tube shape, this Javac Edge tube cutter for stainless steel up to 3mm thick offers automatic cutting with spring pressure advancing the blade so there's no need to re-tighten the cutter as you go. Featuring a titanium blade, this cutter ensures a clean cut across the tube, reducing burr and saving on time.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Edge tube cutter 1/8 -1.5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/10/NW-617110_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Tube-Cutter-Range_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,P670036,Aspen Pumps Xtra grip lock (Size-1) 54 x 30mm (Pack of 10),Aspen Pumps,38.54,"Ideal for air conditioning line sets, this Aspen Pumps Xtra size 1 grip lock is made of zinc passivated mild steel and is designed to mount to any surface.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Aspen Pumps Xtra grip lock (Size-1) 54 x 30mm (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/39/NW-670036_670039_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Grip_Lock_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,P688091,Javac telescopic round inspection mirror 50mm,Javac,8.74,This Javac 50mm round swing inspection mirror includes a plastic insulated handle.,Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac telescopic round inspection mirror 50mm,,Inspection mirror18 inch Telescopic handle,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/91/NW-688091_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,P690059,Pump House valve core (Pack of 6),Pump House,6.47,"This pack of three Pump House 3/8"" valve cores contains suitable replacements for standard access valves in CFC, HCFC and HFC systems.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Pump House valve core (Pack of 6),,6x valve core,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/59/NW-690059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Access-Fittings_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,P617125,Javac Edge flaring and swaging tool,Javac,162.92,"A smart two-in-one design, this Javac Edge flaring and swaging tool means you'll have less to carry and more room in the van for other items. This tool includes an indexing mechanism for accurate alignment when switching between different hole positions on the flaring bar and a diamond flaring cone with a unique socket fitting, allowing the attached cone to spin as the handle is turned.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Edge flaring and swaging tool,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/25/NW-617125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Flaring-Swaging_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Javac_Flaring-Swaging_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,P691678,Javac oil charging pump,Javac,239.83,"This Javac oil charging pump is designed to fit any size of oil drum, bottle or container and allows for charging directly into a system with no need to shut down.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac oil charging pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/78/NW-691678_wm.jpg,,,,N,JAV-1042,Oil Charging Pump,N,Pumps against small positive pressure,Pumps approximately 1L in 20 full pump strokes,"Suitable for use with alkyl benzene, ester based, polyol ester, mineral and synthetic oils",,,,,,,,,,,,,,,,,,,,,,,,,,
68,P617101,Pump House Adaptors CTM-1 tie mounted cable screw fixing (Pack of 100),Pump House,11.24,These essential Pump House cable tie mounts with screw fixings are made of virgin nylon 6.6 and are suitable for use with X-CT30-4.8B-B100.,Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Pump House Adaptors CTM-1 tie mounted cable screw fixing (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/01/NW_617101_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_Cable_Tie_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pumphouse_RAC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,P617108,Javac Edge rachet hand and tube cutter,Javac,52.6,"Making a fast, clean cut every time in any tube shape, this Javac Edge tube cutter for stainless steel up to 3mm thick offers automatic cutting with spring pressure advancing the blade so there's no need to re-tighten the cutter as you go. Featuring a titanium blade, this cutter ensures a clean cut across the tube, adjusting to the shape of the tube accurately while reducing burr and saving on time.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Edge rachet hand and tube cutter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/08/NW-617108_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Tube-Cutter-Range_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,P667501,"Aspen Pumps Xtra plastic non return valve 1/4"" (Pack of 5)",Aspen Pumps,13.61,"Supplied in a pack of five, Aspen Pumps Xtra 6mm non-return valve in white plastic prevent the backflow of water.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Aspen Pumps Xtra plastic non return valve 1/4"" (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/01/NW-667500_667501_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Tube-Connector_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,P694273,Advanced Engineering AdvancedGel evaporator cleaner 490ml/8ltr,Advanced Engineering,42.86,"Designed to improve a unit's energy efficiency, this Advanced Engineering AdvancedGel ECD evaporator cleaner and disinfectant's powerful cleaning action removes bacteria, dirt, slime and mould. Compact, lightweight and easy to carry, this cleaner provides 8L of cleaning power from each pouch.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Advanced Engineering AdvancedGel evaporator cleaner 490ml/8ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/73/NW-694273_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_AdvancedGel_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/es/AE_CondenCide_Certificates.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_AdvancedGel_ECD_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/694273_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,
72,P694274,Advanced Engineering AdvancedGel condenser cleaner 490ml/8ltr,Advanced Engineering,42.86,"Designed to clean even the most stubborn deposits, Advanced Engineering AdvancedGel CC condenser cleaner is compact, lightweight and easy to carry, providing 8L of cleaning power from each pouch.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Advanced Engineering AdvancedGel condenser cleaner 490ml/8ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/74/NW-694274_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_AdvancedGel_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_AdvancedGel_CC_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/694274_Technical.pdf,,,,,,,,,,
73,P667997,Pump House Type 2 type 2 load capacity condensing unit bracket 700 250kg,Pump House,171.37,"This Pump House Type 2 extra-large steel bracket offers a 250kg safe working load. This flat-packed, self assembly bracket gives a professional finish to any installation of wall-mounted outdoor condensing units and air source heat pumps, with a crossbar for precise upright spacing and wall spacers to help level the unit on uneven walls. All components have a scratch-resistant, textured powder-coating finish designed to match in with most brands of condensing units and domestic air source heat pumps.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Pump House Type 2 type 2 load capacity condensing unit bracket 700 250kg,,Bracket;Crossbar with spirit level;2x support arms;2x uprights;Fixings;Installation instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/97/NW-667997_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pump_House_Type_2_CBR2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Pump_House_Type_2_Brackets_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_Type_2_Brackets_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
