,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Colour,Range,Material,Feature 7,Feature 8,Feature 9,Diameter,Thickness,Warranty,Connection Size,Length (M),Size,Attachment 4,Attachment 5,Dimensions (L x W x D),Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Depth (mm),Pack Quantity,Dimensions mm (H x W x D)
34,P670082,"JET Range cushion clamp 1/2"" (Pack of 10)",JET Range,37.57,"These JET Range 1/2"" cushion clamps are ideal for supporting copper refrigerant tube, particularly in multiple pipe runs. They have a zinc dichromate plating for excellent resistance to corrosion resistance while polymer inserts ensure positive grip, absorbing shocks and vibrations and preventing galvanic corrosion.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> JET Range cushion clamp 1/2"" (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/91/NW-670080_670091_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Install_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/am/ps/Jet_Cushion_Clamps.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P670084,"JET Range cushion clamp 3/4"" (Pack of 10)",JET Range,42.81,"These JET Range 3/4"" cushion clamps are ideal for supporting copper refrigerant tube, particularly in multiple pipe runs. They have a zinc dichromate plating for excellent resistance to corrosion resistance while polymer inserts ensure positive grip, absorbing shocks and vibrations and preventing galvanic corrosion.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> JET Range cushion clamp 3/4"" (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/91/NW-670080_670091_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Install_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/am/ps/Jet_Cushion_Clamps.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P670087,"JET Range cushion clamp 1.3/8"" (Pack of 10)",JET Range,72.51,"These JET Range 1 3/8"" cushion clamps are ideal for supporting copper refrigerant tube, particularly in multiple pipe runs. They have a zinc dichromate plating for excellent resistance to corrosion resistance while polymer inserts ensure positive grip, absorbing shocks and vibrations and preventing galvanic corrosion.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> JET Range cushion clamp 1.3/8"" (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/91/NW-670080_670091_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Install_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/am/ps/Jet_Cushion_Clamps.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P667675,Pump House Easy-Fit S small condensing unit guard,Pump House,359.08,"Made of weather-resistant steel, this Pump House Easy-Fit 750mm condensing mesh guard offers safe and reliable protection from vandalism and accidental damage. This guard is compatible with air conditioning and air source heat pumps from brands including  Daikin, Fujitsu, Hitachi, LG, Mitsubishi, Panasonic and Toshiba.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Pump House Easy-Fit S small condensing unit guard,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/75/NW-667675_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pump_House_Easy_Fit_Cdnsg_Guard_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_Easy_Fit_Cdnsg_Guard_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P688613,JET Range Flexi JET Range Pad rubber anti-vibration pad 1200 x 75 x 15mm,JET Range,52.84,"Made of rubber, this JET Range Flexi anti-vibration mounting strip is a low cost solution for mounting air conditioning units, air source heat pumps and other equipment while providing vibration reduction and sound dampening. This part is available in recycled rubber and cork-rubber in a range of sizes.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> JET Range Flexi JET Range Pad rubber anti-vibration pad 1200 x 75 x 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/13/NW-688613_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pumphouse_RAC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Flexi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/ps/3. Rubber and Cork Mounting Strips.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P688607,Javac core replacement tool,Javac,62.01,"This Javac core remover and installer makes it possible to remove or replace a Schrader valve while a system remains under pressure. Supplied in a plastic case, this tool includes a 1/4"" flare and 5/16"" adapters plus a ball valve for system isolation.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac core replacement tool,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/07/NW-688607_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Accessories_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,P691597,Bluemay Ancillaries nylon rod M10 x 1mtr,Bluemay,21.94,"Supplied in a 1M length, this Bluemay M10 nylon threaded rod is made of nylon 6.6 bar, among the hardest and strongest grades of engineering plastic. The rod is produced to a strict quality-controlled specification, more critically controlled and exacting than commercial nylon. The raw material is granular tested to meet tight tolerance for melt flow index while tensile strength is accurately controlled and the finished product is checked for cracks and inclusions.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Bluemay Ancillaries nylon rod M10 x 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/98/NW-691597_691598_wm.jpg,,,,N,TRN66M10,Threaded Rod,N,Manufactured from nylon 6.6 bar,Measured in standard Isometric coarse to DIN 975,Can be cut to size,,,,Natural,Ancillaries,Nylon,,,,M10,n/a,n/a,,,,,,,,,,,,,,
41,P685031,Aspen Pumps Xtra cassette adaptor 21-31mm,Aspen Pumps,15.38,These Aspen Pumps Xtra rubber adapters connect a 32mm cassette unit condensate drain pipe to the 21mm overflow pipe of a tank pump.,Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Aspen Pumps Xtra cassette adaptor 21-31mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/31/NW-685029_685031_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Connectors_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,P691045,Javac 9884811 access tee,Javac,30.21,"This Javac 9884811 access tee includes 1/4 x 1/4 x 1/4"" swivel connections.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac 9884811 access tee,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/45/NW-691045_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P685029,Aspen Pumps Xtra cassette adaptor 16-21mm,Aspen Pumps,25.57,These Aspen Pumps Xtra rubber adapters connect a 16mm cassette unit condensate drain pipe to the 25mm overflow pipe of a tank pump.,Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Aspen Pumps Xtra cassette adaptor 16-21mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/31/NW-685029_685031_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Connectors_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P670038,Aspen Pumps Xtra grip lock (Size-3) 67 x 37mm (Pack of 10),Aspen Pumps,42.21,"Ideal for air conditioning line sets, this Aspen Pumps Xtra size 3 grip lock is made of zinc passivated mild steel and is designed to mount to any surface.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Aspen Pumps Xtra grip lock (Size-3) 67 x 37mm (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/39/NW-670036_670039_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Grip_Lock_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P670055,Aspen Pumps Xtra size 4 metal hanger (Pack of 10),Aspen Pumps,85.26,"Made of zinc passivated mild steel, these Aspen Pumps Xtra metal hangers, size 5/8"" for liquid and 1 1/8"" for gas, are ideal for supporting air conditioning line set pairs.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Aspen Pumps Xtra size 4 metal hanger (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/55/NW-670053_670055_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Metal_Hanger_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,P617120,"Javac Edge quick tube bender 5/8""",Javac,121.99,"With its unique dual hinge design, the Javac Edge 5/8"" OD quick tube bender allows for the reset of its handle position to provide additional leverage, making the second bend to 180° as simple as possible. This bender includes handles with an ergonomic design for comfortable and slip-free use.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Edge quick tube bender 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/22/NW-617118_617122_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Javac_Tube-Benders_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
