,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Weight,Hazardous,Range For Use With,Model For Use With,Boiler Section,Boiler Range,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 1,Attachment 2,Fuel Type,Part Gas Council number,Range
41,P411396,Vaillant 0020143478 burner,Vaillant,738.78,"This Vaillant burner is designed for compatibility with Vaillant gas boilers.  The burner produces heat in a combustible heating appliance. In natural gas appliances gas is transferred to a gas valve and into the burner for ignition. The heat created is used to heat the water in the master heat exchanger.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant 0020143478 burner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/96/411396_wm.jpg,,,N,,,,,,0020143478,Burner,N,10 Year Warranty,,,,,,,,,,
42,P127152,Vaillant Ecomax II telescopic duct extension,Vaillant,85.21,A Vaillant brand 60/100mm flue duct extension for the convenient siting of a new domestic boiler in almost any location. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax II telescopic duct extension,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/52/127152_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTECAirFlueGas_Install.pdf,,,
43,P127926,Vaillant flat roof penetration collar,Vaillant,35.79,This Vaillant brand flat roof penetration collar is designed for vertical terminating air/flue kits of 100mm. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant flat roof penetration collar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/26/127926_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/79/26/127926.pdf,,,,
44,P128070,Vaillant connector facade flue system 80/125mm,Vaillant,237.77,Stainless steel façade basic connection set for boilers with 80/125mm flue,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant connector facade flue system 80/125mm,,87° elbowTransition pieceInner wall rosetteOuter wall rosetteWall penetration elbowAir intake pieceBird guard terminal,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/70/128070_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Commercial_Brochure.pdf,,,,
45,P127973,Vaillant flue terminal kit DN60 / 100 Aluminium,Vaillant,153.26,A Vaillant brand flue terminal for the safe expulsion of steam and noxious gases outside of a property.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant flue terminal kit DN60 / 100 Aluminium,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/73/127973_wm.jpg,,,N,,Horizontal wall terminals 60/100 alu,Flue,All Vaillant domestic boilers,,0010035512,Wall Duct,N,Horizontal terminal for high rise applications,,,,,,,,,n/a,
46,P127867,Vaillant variable termination kit 45deg elbow Black,Vaillant,35.79,Suitable for use with all Vaillant Domestic boilers,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant variable termination kit 45deg elbow Black,,2x 45° elbowPipe clamp,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/67/127867_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Gas_Install.pdf,,,,
47,P128071,Vaillant air/flue duct extension 1.0mtr facade system,Vaillant,83.58,"To complement the wide range of wall-hanging boilers available, Vaillant offers a selection of flue system components that can be specified according to the requirements of the installation. Vaillant’s proprietary components have been designed to perfectly match each model of boiler and should be used to ensure full compliance with the necessary certification for each installation.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant air/flue duct extension 1.0mtr facade system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/71/128071_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Commercial_Brochure.pdf,,,,
48,P500136,Vaillant flue adaptor,Vaillant,134.03,"A genuine Vaillant spare, this flue adapter is suitable for use specifically with ecoMAX VU (condensing) boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant flue adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/36/500136_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_415418428438_Parts.pdf,,,,
49,P120519,Vaillant Cascade flue support bracket,Vaillant,129.68,This Vaillant flue bracket ensures secure flue fitting for 80 - 120kW ecoTEC plus boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Cascade flue support bracket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/19/120519_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_ecoTEC_plus_80-120_Tech.pdf,,,,
50,P127865,Vaillant variable termination kit 87deg elbow Black,Vaillant,24.29,Suitable for use with all Vaillant Domestic boilers,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant variable termination kit 87deg elbow Black,,87° elbowPipe clamp,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/65/127865_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Gas_Install.pdf,,,,
51,P127857,Vaillant horizontal terminal 1.7mtr 60/100PP,Vaillant,141.8,"Compatible for use with all domestic boilers, this Vaillant 60/100mm 1.7M horizontal flue provides installers with additional installation options. The flue is designed to expel steam and gases produced during a boiler's normal operation.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant horizontal terminal 1.7mtr 60/100PP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/57/127857_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/78/57/127857.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/il/er/Vaillant_Specification_Boiler.pdf,,,
52,P127856,Vaillant horizontal telescopic air/flue duct,Vaillant,132.49,The Vaillant telescopic horizontal flue allows the gases created during the combustion process to be safely dispersed.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant horizontal telescopic air/flue duct,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/56/127856_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Gas_Install.pdf,,,,
