,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Weight,Hazardous,Range For Use With,Model For Use With,Boiler Section,Boiler Range,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 1,Attachment 2,Fuel Type,Part Gas Council number,Range
0,P333679,Vaillant Roof Terminal 60/100 Black,Vaillant,128.0,"Vaillant has produced boilers for commercial and domestic environments for more than 140 years. The company is renowned for designing and developing heating and hot water systems that provide optimal levels of comfort and high energy efficiency, helping consumers to reduce the cost of their energy bills. Some of its innovative boilers have won awards. As well as manufacturing boilers, Vaillant is also committed to renewable heating technologies.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Roof Terminal 60/100 Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/79/333679_wm.jpg,White,3.38000,N,ecoTEC,627835843825832835838938612615618624630637242830,Flue,ecoTEC,Roof terminal black (wall plate),333679 PK,Roof Terminal,N,The vaillant vertical flue kit is for use when installing an ecotec he boiler where the flue needs to be taken up and out through a flat or pitched roof,Flue extensions will need to be added between the boiler and the point at which the flue terminal is placed,,,,,,,,,
1,P333778,Vaillant standard horizontal flue,Vaillant,98.0,"This Vaillant standard horizontal flue connects to the top of a boiler and travels through the wall of a property horizontally. It is compatible with Vaillant ecoTEC Exclusive combi, ecoTEC Plus combi, ecoTEC Pro combi, ecoTEC Plus regular (open-vented) and ecoTEC Plus system boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant standard horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/78/NW-333778_wm.jpg,White,1.91Kg,N,,Vaillant Ecotec Boilers,Flue,ecoTEC plusecoTEC pro,,333778 PK,Standard Horizontal Flue,N,Compatible with the following ecoTEC boiler models:,Vaillant ecoTEC exclusive combi,ecoTEC plus combi,ecoTEC pro combi,Vaillant ecoTEC plus regular (open vented),Vaillant ecoTEC plus system,,,,,
2,P127154,Vaillant Ecomax II flue extension kit 970mm,Vaillant,67.74,A 1 metre (970mm) flue extension for Vaillant Ecotec boiler installations. 100mm Diameter. This extension is suitable for current installations of Vaillant Ecotec and Ecotec Plus boilers.#,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax II flue extension kit 970mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/54/127154_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoMax_Air_Flue_Install.pdf,,,
3,P127107,Vaillant flue extension kit 980mm,Vaillant,46.86,Suitable for use with all Vaillant Domestic boilers,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant flue extension kit 980mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/07/127107_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_turboMAX_Air_Flue_Install.pdf,,,
4,P127173,Vaillant Ecomax flue extension kit 970 x 125 mm,Vaillant,86.83,Suitable for use with all Vaillant Domestic boilers,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax flue extension kit 970 x 125 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/73/127173_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoMax_Air_Flue_Install.pdf,,,
5,P127157,Vaillant Ecomax II 45 deg bend (Pair),Vaillant,101.44,Optional flue accessory designed for Vaillant EcoTec high condensing boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax II 45 deg bend (Pair),,2x 45° bend,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/57/127157_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Install.pdf,,,
6,P127176,Vaillant Ecomax 45deg bend 125mm,Vaillant,143.63,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax 45deg bend 125mm,,2x 45° bendPipe clamp,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/76/127176_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Install.pdf,,,
7,P127156,Vaillant Ecomax II 90 deg elbow,Vaillant,57.09,100mm diameter suitable for installation with the latest Vaillant Ecotec boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax II 90 deg elbow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/56/127156_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Install.pdf,,,
8,P127869,Vaillant Roof Terminal 60/100 Black,Vaillant,156.13,This easy to install Vaillant vertical flue kit is designed for the safe expulsion of steam and gases produced during boiler operation. It allows for the flexible siting of a boiler where the flue is required to exit the property through a roof rather than a wall.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Roof Terminal 60/100 Black,,Vertical roof ductFixing bracket48mm air pipe collarCover plate,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/69/127869_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_Air-FlueGasSystems_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/il/er/Vaillant_Specification_Boiler.pdf,,,
9,P475147,Vaillant flue collector cap,Vaillant,119.55,"A Vaillant part, this flue collector cap is compatible with ecoMAX VU (condensing), ecoMAX VUW (condensing), ecoTEC VU (condensing) and ecoTEC VUW (condensing) boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant flue collector cap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/47/475147_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC_exclsv_832838_Parts.pdf,,,,
10,P127175,Vaillant 87deg high efficiency elbow 125mm,Vaillant,78.39,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant 87deg high efficiency elbow 125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/75/127175_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Install.pdf,,,
11,P128075,Vaillant small spacing frame kit,Vaillant,51.89,"This Vaillant spacing frame allows for the installation of ecoFIT boilers between kitchen units, saving on space in smaller homes. The frame creates space between the boiler unit and the wall through which pipework can be run down from above instead of cutting into worktops to run pipes from below.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant small spacing frame kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/75/128075_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/80/75/128075.pdf,,,,
12,P127171,Vaillant Ecomax vertical air/flue duct 125 mm,Vaillant,194.08,Vertical air/flue duct and terminal compatible with the ecoTEC 46kW and ecoTEC 65kW boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax vertical air/flue duct 125 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/71/127171_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Install.pdf,,,
13,P127103,Vaillant vertical flue kit,Vaillant,127.4,Suitable for use with all Vaillant Domestic boilers,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant vertical flue kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/03/127103_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_turboMAX_Air_Flue_Install.pdf,,,
14,P127144,Vaillant Eco pitched roof tile,Vaillant,43.03,"Designed for domestic installations, this Vaillant pitched roof tile helps to provide flueing flexibility.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Eco pitched roof tile,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/44/127144_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTECAirFlueGas_Install.pdf,,,,
15,P127230,Vaillant boiler flue adaptor 100-125mm,Vaillant,54.96,"A Vaillant chimney adaptor complete with measuring struts for flue gas measurement.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant boiler flue adaptor 100-125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/30/127230_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_ecoTEC_Installation.pdf,,,,
16,P127100,Vaillant standard room sealed flue kit 800mm,Vaillant,67.74,"This boiler flue kit is a genuine Vaillant part.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant standard room sealed flue kit 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/00/127100_wm.jpg,,,N,,,Flue,ecoTEC,,303807,Flue Kit,N,For sealed systems,For use with ecoTEC boilers,,,,,,,Natural Gas,n/a,
17,P127172,Vaillant Ecomax flue extension kit 470 x125 mm,Vaillant,49.63,"Air /  flue duct extension 80/125mm x 470mm long, compatible with ecoTEC 46kW and ecoTEC 65kW boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax flue extension kit 470 x125 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/72/127172_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoMax_Air_Flue_Install.pdf,,,
18,P486853,Vaillant flue seal,Vaillant,8.11,"A genuine Vaillant part, this flue seal is for use in the 60/100 PP (condensing) range.  Seals are used in many different boiler parts and are designed to prevent leaks of water or harmful gases as they move through the unit.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant flue seal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/53/486853_wm.jpg,,,N,,"Telescopic wall/roof terminal, Horizontal wall terminals 60/100 PP, Variable termination kits DN",Flue,60/100 PP (Condensing),,0020231436,Seal,N,Seals flue,For condensing units,Compatible with 60/100 PP,Can be used with telescopic wall/roof terminals,Can be used with horizontal wall terminals 60/100 PP,Compatible with variable termination kits DN,,,,,
19,P105499,Vaillant 3 wire installation kit,Vaillant,40.61,Replacement 3 wire installation kit suitable for Vaillant boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant 3 wire installation kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/99/105499_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_ecotec_plus_Installation.pdf,,,,
20,P501207,Vaillant air inlet duct,Vaillant,65.98,"A Vaillant air inlet duct for the flue of ecoTEC VUW (condensing) and ecoTEC VU (condensing) boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant air inlet duct,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/07/501207_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pa/rt/Vaillant_ecTCplsVUINT126376W236_Part.pdf,,,,
21,P127861,Vaillant deflector kit for horizontal air/flue White,Vaillant,63.91,Suitable for use with all Vaillant Domestic boilers,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant deflector kit for horizontal air/flue White,,Wall collarDeflectorOpening Piece,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/61/127861_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Domestic_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_Air_Flue_Systems_Install.pdf,,,
22,P127104,Vaillant 90deg flue bend,Vaillant,46.01,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant 90deg flue bend,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/04/127104_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_turboMAX_Air_Flue_Install.pdf,,,
23,P127155,Vaillant Ecomax II flue extension kit 1970mm,Vaillant,124.16,Suitable for use with all Vaillant Domestic boilers,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax II flue extension kit 1970mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/55/127155_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoMax_Air_Flue_Install.pdf,,,
24,P127174,Vaillant Ecomax flue extension kit 1970 x 125 mm,Vaillant,150.13,Suitable for use with all Vaillant Domestic boilers,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax flue extension kit 1970 x 125 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/74/127174_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoMax_Air_Flue_Install.pdf,,,
25,P501375,Vaillant flue adaptor,Vaillant,11.03,"A genuine Vaillant part, this flue adapter is suitable for ecoMAX VU (condensing), ecoTEC VU (condensing), ecoTEC VUI (condensing), ecoTEC VUW (condensing), ecoMAX VUW (condensing) and 60/100 PP (condensing) units.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant flue adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/75/501375_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_824837612637_Parts.pdf,,,,
26,P501193,Vaillant air inlet duct,Vaillant,65.98,"A Vaillant air inlet duct for the flue of ecoTEC VUW (condensing) and ecoTEC VU (condensing) boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant air inlet duct,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/93/501193_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pa/rt/Vaillant_ecTCplsVUINT126376W236_Part.pdf,,,,
27,P127928,Vaillant pitched roof adjustable roof tile,Vaillant,35.79,This Vaillant brand pitched adjustable roof tile is designed for the fitting of a vertical air/flue duct.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant pitched roof adjustable roof tile,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/28/127928_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_TURBOmax_VUW_Installation.pdf,,,,
28,P127868,Vaillant variable termination kit 45deg elbow White,Vaillant,35.79,Suitable for use with all Vaillant Domestic boilers,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant variable termination kit 45deg elbow White,,2x 45° elbowPipe clamp,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/68/127868_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Gas_Install.pdf,,,,
