,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Warranty,Hazardous,Soft Close Seat,Hinge Fixing,Hole Centres,Hinge Material,Material,Shape,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Feature 6,Feature 7,Feature 8,Feature 9,Attachment 4,Seat Projection,Attachment 5,Weight,Flush Type,Pack Quantity,Style,Depth (mm),Mounting Type,Application,Design Type,Fittings Included,Attachment 6
0,PD30973,Constance Flexi-Fix thermoset toilet seat White,Constance,35.75,"The Croydex Constance Flexi-Fix D-shaped toilet seat is made of durable white thermoset with an antibacterial treatment for cleaner use. Incorporating innovative grip pad technology and patented V plate hinges, the Constance allows for maximum adjustment to fit the fixing holes of any standard toilet pan and can be installed from above or below for a perfect slip-free fit.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Constance Flexi-Fix thermoset toilet seat White,,Toilet seat;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/73/NW-D30973_wm.jpg,White,Flexi-Fix,1 year,N,Yes,Patented V plate hinges,110mm - 200,Zinc,Thermoset,D-Shape,WL601722H,Flexi-Fix,N,Adjustable hinges fit all standard toilets,Made from anti-bacterial treated thermoset plastic,Chrome plated hinges,Soft close hinges prevents the seat from slamming shut,All fittings included,,,,,,,,,,,,,,,,,,,,
1,PB08702,Center CB toilet seat and cover White,Center,11.75,as per column O,Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Center CB toilet seat and cover White,,White toilet seat and cover with hinge fixings and instruction leaflet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/02/NW-B08702_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,,,,,,,,,,,,
2,PA05652,Nabis Lily soft close toilet seat quick release top fix hinge and lock,Nabis,20.0,"Strong and long lasting, the Nabis Lily round toilet seat and cover is made of shatter-resistant thermoplastic with quick-release, top fix stainless steel hinge with Lock+ to ensure a reliable, movement-free install. The Lily's soft close automatic closure system protects fingers and closes quietly at the lightest of touches.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Nabis Lily soft close toilet seat quick release top fix hinge and lock,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/42/598342_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,,,,,,,,,,,,
3,PT02633,Ideal Standard Tesi Overwrap seat and cover (slow closing),Ideal Standard,96.02,"A contemporary design with the convenience of a bottom fixing soft-close hinge, the Ideal Standard Tesi D-shaped toilet seat and cover is made of hardwearing plastic. This modern loo seat is intended to complement the geometric Tesi range of bathroom furniture.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Ideal Standard Tesi Overwrap seat and cover (slow closing),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/33/NW-T02633_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/IS_s_Tesi_Spare_Parts.pdf,,,,,,,,,,,,,,,,,,,
4,PC24475,Ideal Standard Concept thin soft close toilet seat and cover White,Ideal Standard,122.03,"Made of simple, robust white plastic, the Ideal Standard Concept oval toilet seat and cover is designed to fit the Ideal Standard Concept toilet, however it also provides compatibility with a wide variety of other loos. The Concept toilet seat has a convenient top fixing soft-close hinge for a hint of luxury and less noise.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Ideal Standard Concept thin soft close toilet seat and cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/75/NW-C24475_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,,,,,,,,,,,,,,,,,,,
5,PB90155,Celmac Sonata toilet seat with cover and hinges Black/Stainless Steel,Celmac,32.04,"Made of heavyweight black thermoset, this Celmac Sonata oval toilet seat and cover has a robust 304 stainless steel hinge for secure, long lasting fitting. Resistant to damage, the Sonata is easy to clean and designed for comfort and durability.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Celmac Sonata toilet seat with cover and hinges Black/Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/55/NW-B90155_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/19/Wirquin_Product_Catalogue_UK_2018-19.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Celmac_Toilet_Seats_Instrct_Leaflet.pdf,,,,,,,,,,,,,,,,,,
6,PD30975,Eyre Flexi-Fix D-shaped toilet seat White,Eyre,34.49,"Antibacterial for cleaner use, this Croydex Eyre Flexi-Fit D-shaped toilet seat is made of white thermoset plastic and includes soft close chrome-plated adjustable hinges designed for fitting to all standard toilets.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Eyre Flexi-Fix D-shaped toilet seat White,,Toilet seat;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/75/NW-D30975_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
7,PB61696,Nabis Lamone premium soft close seat and cover,Nabis,80.43,"Built to last, the Nabis Lamone D-shaped toilet seat and cover has a smart smooth white finish for reliable matching to the wider Lamone bathroom range. With soft close hinges, this toilet seat closes quietly for safer, less disruptive use.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Nabis Lamone premium soft close seat and cover,,Toilet seat;Cover;Hinge,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/96/B61696_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B61695-B61696_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_Lamone_Drawing.pdf,,,,,,,,,,,,,,,,,,
8,PB87200,Armitage Shanks Gemini toilet seat and cover White,Armitage Shanks,76.27,"Simple, lightweight and strong, the bottom fixing Armitage Shanks Gemini round toilet seat and cover is made of a tough white plastic. Built for long lasting durability, this loo seat is an economical choice for any bathroom.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Armitage Shanks Gemini toilet seat and cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/00/NW-B87200_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Armitage_Shanks_Gemini_S4055_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/AS_Sandringham_21_Plumbers_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B87200_Technical.pdf,,,,,,,,,,,,,,,,,
9,PD81439,Ideal Standard iLife A and S W/C seat and cover slow close,Ideal Standard,81.91,"Part of a comprehensive modern bathroom range, the Ideal Standard i.Life toilet seat and cover is suitable for installation on rectangular WC pans. Manufactured in robust plastic, this soft-close  toilet seat and cover set is finished in a high gloss white and has quick-release hinges for easy, quick cleaning.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Ideal Standard iLife A and S W/C seat and cover slow close,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/_a/D81439_A_wm.jpg,White/Gloss,iLIFE,5 Years,N,Yes,yes,180,Stainless Steel,Plastic,Rectangle,T473701,,N,Quick-release for easy cleaning,Stainless steel hinges,Soft-close action,Rectangular shape,Plastic construction,,,,Gloss white finish,5 year warranty,,,,,,,,,,,,,,,
10,PC21355,Ideal Standard Concept soft close toilet seat and cover White,Ideal Standard,122.03,"Made of a robust white plastic, the Ideal Standard Concept oval toilet seat and cover is a simple design that will match seamlessly to the brand's Concept toilet while also suiting loos from other manufacturers. This toilet seat's bottom fix hinge provides a gentle soft-close function for slam-free, quiet closure.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Ideal Standard Concept soft close toilet seat and cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/55/NW-C21355_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/IS_Bathrooms_Brchr_2018.pdf,,,,,,,,,,,,,,,,,,
11,PB80900,Celmac Emerald toilet seat and cover White,Celmac,16.38,"An always popular choice for commercial and contract, the Celmac Emerald oval toilet seat and cover is made of robust thermoplastic and comes with a pre-assembled plastic matching hinge for universal fitting to almost any toilet.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Celmac Emerald toilet seat and cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/00/NW-B80900_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Celmac_Emerald_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ct/ns/Celmac_Emerald-Sapphire_Fit_Istrctns.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/19/Wirquin_Product_Catalogue_UK_2018-19.pdf,,,,,,,,,,,,,,,,,
12,PP76433,Eyre Flexi-Fix D-shaped toilet seat White pack,Eyre,30.0,"Antibacterial for cleaner use, this Croydex Eyre Flexi-Fit D-shaped toilet seat is made of white thermoset plastic and includes soft close chrome-plated adjustable hinges designed for fitting to all standard toilets.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Eyre Flexi-Fix D-shaped toilet seat White pack,,Toilet seat;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/75/NW-D30975_wm.jpg,White,Flexi-Fix,1 year,N,Yes,Top Fixing,90 - 223,Zinc,Thermoset,D-Shape,P76433 PK,,N,Adjustable hinges fit all standard toilets,Antibacterial treated white thermoplastic,Chrome-plated hinges,Soft close hinges,,,,,,,,,,,,,,,,,,,,,
13,PJ23360,Armitage Shanks Profile 21 toilet seat and cover White,Armitage Shanks,103.14,"Made of robust white plastic with smooth lines, the Armitage Shanks Profile 21 round toilet seat and cover is a luxury choice for any environment, standing up well to the rigours of commercial bathrooms as well as domestic use. This smart toilet seat is designed with a bottom fixing soft-close mechanism meaning it won't slam shut.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Armitage Shanks Profile 21 toilet seat and cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/60/NW-J23359_J23360_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Armitage_Shanks_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/J23360_Technical.pdf,,,,,,,,,,,,,,,,,,
14,PB87510,Armitage Shanks Bakasan toilet seat no cover White,Armitage Shanks,133.64,This Armitage Shanks Bakasan oval toilet seat is made of white plastic and includes a stainless steel rod and robust metal top fixing pillar hinges.,Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Armitage Shanks Bakasan toilet seat no cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/10/NW-B87510_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Armitage_Shanks_Bakasan_S4063_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Armitage_Shanks_Bakasan_Seats_Tech.pdf,,,,,,,,,,,,,,,,,,
15,PB82020,Celmac Sonata toilet seat with cover and hinges White/Brushed Chrome Plated,Celmac,48.09,"Made of heavyweight white thermoset, this Celmac Sonata oval toilet seat and cover has a robust 304 stainless steel hinge for secure, long lasting fitting. Resistant to damage, the Sonata is easy to clean and designed for comfort and durability.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Celmac Sonata toilet seat with cover and hinges White/Brushed Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/20/NW-B82020_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/19/Wirquin_Product_Catalogue_UK_2018-19.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Celmac_Toilet_Seats_Instrct_Leaflet.pdf,,,,,,,,,,,,,,,,,,
16,PB82988,Celmac Crescent Adult anti vandal toilet seat White,Celmac,23.83,"Ideal for healthcare settings, this Celmac Crescent Adult oval toilet seat is made of strongly durable and resistant white thermoset with a universal fitting 304 stainless steel hinge.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Celmac Crescent Adult anti vandal toilet seat White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/88/NW-B82988_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/19/Wirquin_Product_Catalogue_UK_2018-19.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Celamc_Crescent_Toilet_Seat_Tech.pdf,,,,,,,,,,,,,,,,,,
17,PB87300,Armitage Shanks Orion 3 toilet seat and cover White,Armitage Shanks,28.29,"Made of high-impact white plastic, the Armitage Shanks Orion 3 round toilet seat and cover is built to last. Suitable for use on a wide variety of loos, this seat is supplied with robust steel hinges suitable for bottom fixing.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Armitage Shanks Orion 3 toilet seat and cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/00/NW-B87300_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Armitage_Shanks_Orion_3_S4045_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/AS_Sandringham_21_Plumbers_Guide.pdf,,,,,,,,,,,,,,,,,,
18,PP03666,Geberit Selnova seat and cover metal bottom fix hinge,Geberit,55.7,"A classic choice, the Geberit Selnova round toilet seat and cover is made of hardwearing white Duroplast. Part of a range designed for robustness, quality and attractiveness, this toilet seat complements loos, basins and other fixtures in the Selnova range.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Geberit Selnova seat and cover metal bottom fix hinge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/66/NW-P03666_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_500331011_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,,,,,,,,,,,
19,PB03314,Armitage Shanks Alto soft close toilet seat with cover White,Armitage Shanks,61.69,"Compatible with a wide range of toilets, the Ideal Standard Alto D-shaped toilet seat and cover is made of robust plastic with stainless steel, soft close hinges. Durably built, this white finished seat is the ideal partner for the Alto bathroom range.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Armitage Shanks Alto soft close toilet seat with cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/14/NW-B03314_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,,,,,,,,,,,,,,,,,,,
20,PP76432,Constance Flexi-Fix thermoset toilet seat White pack,Constance,30.0,"The Croydex Constance Flexi-Fix D-shaped toilet seat is made of durable white thermoset with an antibacterial treatment for cleaner use. Incorporating innovative grip pad technology and patented V plate hinges, the Constance allows for maximum adjustment to fit the fixing holes of any standard toilet pan and can be installed from above or below for a perfect slip-free fit.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Constance Flexi-Fix thermoset toilet seat White pack,,Toilet seat;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/73/NW-D30973_wm.jpg,White,Flexi-Fix,1 year,N,Yes,Patented V plate hinges,110mm - 200,Zinc,Thermoset,D-Shape,P76432 PK,,N,Adjustable hinges fit all standard toilets,Antibacterial treated white thermoset plastic,Chrome-plated hinges,Soft close hinges,,,,,,,,,,,,,,,,,,,,,
21,PB81810,Celmac Sonata dual position plastic high weight toilet seat and cover Black,Celmac,21.48,"Made of heavyweight black thermoset, this Celmac Sonata oval toilet seat and cover has a matched plastic hinge for secure, long lasting fitting. Resistant to damage, the Sonata is easy to clean and designed for comfort and durability.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Celmac Sonata dual position plastic high weight toilet seat and cover Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/10/NW-B81810_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Celmac_Toilet_Seats_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/19/Wirquin_Product_Catalogue_UK_2018-19.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Celmac_Toilet_Seats_Instrct_Leaflet.pdf,,,,,,,,,,,,,,,,,
22,PB82100,Celmac Sonata toilet seat only top fix White,Celmac,39.43,"Made of heavyweight white thermoset, this Celmac Sonata oval toilet seat and cover has a robust 304 stainless steel hinge for secure, long lasting fitting. Resistant to damage, the Sonata is easy to clean and designed for comfort and durability.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Celmac Sonata toilet seat only top fix White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/00/NW-B82100_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Celmac_Toilet_Seats_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/19/Wirquin_Product_Catalogue_UK_2018-19.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Celmac_Toilet_Seats_Instrct_Leaflet.pdf,,,,,,,,,,,,,,,,,
23,PD02404,Armitage Shanks Sandringham 21 normal close seat and cover (metal hinges Stainless Steel) White,Armitage Shanks,78.41,"An economy choice designed to suit most bathrooms, the Armitage Shanks Sandringham 21 oval toilet seat and cover is made of robust white plastic with bottom fixing stainless steel hinges. This simple loo seat is part of the extensive Sandringham 21 range of bathroom fixtures and fittings.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Armitage Shanks Sandringham 21 normal close seat and cover (metal hinges Stainless Steel) White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/04/NW-D02404_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AS_Sandringham_21_Technical.pdf,,,,,,,,,,,,,,,,,,
24,PB82500,Ideal Standard Space toilet seat with cover hinges White/Stainless Steel,Ideal Standard,105.33,"Made of plastic, the Ideal Standard Space round toilet seat and cover is fitted with robust stainless steel hinges for bottom fixing.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Ideal Standard Space toilet seat with cover hinges White/Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/00/NW-B82500_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_Space_Technical.pdf,,,,,,,,,,,,,,,,,,
25,PD02402,Armitage Shanks Sandringham 21 universal toilet seat and cover White,Armitage Shanks,30.82,"An economical choice, the simple Armitage Shanks Sandringham 21 round toilet seat and cover is made of robust white plastic. This loo seat and lid is designed to match into the Sandringham 21 range of bathroom fittings and furnishings.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Armitage Shanks Sandringham 21 universal toilet seat and cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/02/D02402_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02402_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AS_Sandringham_21_Technical.pdf,,,,,,,,,,,,,,,,,
26,PD04668,Ideal Standard Tempo Arc soft close toilet seat & cover White,Ideal Standard,80.73,"With no sharp corners or hard edges, the Ideal Standard Tempo Arc D-shaped toilet seat and cover is an ideal choice for a family home, reducing the risk of trapped fingers with its quiet soft-close bottom fixing hinge. This streamlined loo seat is made of a glossy white plastic to suit the vast majority of bathroom designs.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Ideal Standard Tempo Arc soft close toilet seat & cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/68/NW-D04668_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/IS_Tempo_Arc_Drawing.pdf,,,,,,,,,,,,,,,,,,,
