,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Warranty,Hazardous,Soft Close Seat,Hinge Fixing,Hole Centres,Hinge Material,Material,Shape,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Feature 6,Feature 7,Feature 8,Feature 9,Attachment 4,Seat Projection,Attachment 5,Weight,Flush Type,Pack Quantity,Style,Depth (mm),Mounting Type,Application,Design Type,Fittings Included,Attachment 6
101,PP58183,Geberit Selnova soft close seat and cover top fix hinge,Geberit,108.02,"A classic choice, the Geberit Selnova round toilet seat and cover is made of hardwearing white Duroplast. Part of a range designed for robustness, quality and attractiveness, this toilet seat complements loos, basins and other fixtures in the Selnova range. Its soft close mechanism provides safety and comfort, slowly and quietly lowering into place.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Geberit Selnova soft close seat and cover top fix hinge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/83/NW-P58183_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_500333011_335_337_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,,,,,,,,,,,
102,PA67227,Ideal Standard Connect Air seat sandwitch sc and cvr White,Ideal Standard,153.36,"A slimline 'sandwich-style' loo seat, the Ideal Standard Concept Air round toilet seat and cover with bottom fixing hinges is for use with the Concept Air toilet. A modern choice, the Concept Air is built with thinner ceramic walls for a light, airy and modern appearance.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Ideal Standard Connect Air seat sandwitch sc and cvr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/27/NW-A67226_A67227_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Connect_Air_Multiproduct_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/IS_Concept_Air_Brchr_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/IS_Bathrooms_Brchr_2018.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/IS_Concept_Air_Installation.pdf,,,,,,,,,,,,
103,PB81800,Celmac Sonata dual position plastic heavyweight toilet seat and cover White,Celmac,36.28,"Made of heavyweight white thermoset, this Celmac Sonata oval toilet seat and cover has a robust, matching plastic hinge for secure, long lasting fitting. Resistant to damage, the Sonata is easy to clean and designed for comfort and durability.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Celmac Sonata dual position plastic heavyweight toilet seat and cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/00/NW-B81800_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/19/Wirquin_Product_Catalogue_UK_2018-19.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Celmac_Toilet_Seats_Instrct_Leaflet.pdf,,,,,,,,,,,,,,,,,,
104,PB84080,Ideal Standard White toilet seat and cover White,Ideal Standard,156.79,This Ideal Standard White D-shaped back-to-wall toilet seat has been designed by David Chipperfield to match effortlessly with the designer's wider contemporary bathroom range.,Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Ideal Standard White toilet seat and cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/80/NW-B84080_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_White_Wall_Hung_Toilt_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_International_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_White_BTW_Technical.pdf,,,,,,,,,,,,,,,,,
105,PD44940,Roca The Gap cleanrim soft close toilet seat White,Roca,149.33,"Compact and functional, the soft close Roca The Gap square toilet seat and cover has a glossy white finish and is designed to fit perfectly with the rest of the ultra-modern The Gap bathroom range.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Roca The Gap cleanrim soft close toilet seat White,,Toilet seat;Cover;Hinge,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/40/NW-D44940_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roca_The_Gap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roca_The_Gap_Seat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D44940_Technical.pdf,,,,,,,,,,,,,,,,,
106,PD49952,SEAT STUDIO ECHO TOILET SEAT NORMAL CLOS,Ideal Standard,41.09,"With a slimline design, this smart Tesi toilet seat and cover is made of robust Duroplast with tough metal hinges.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> SEAT STUDIO ECHO TOILET SEAT NORMAL CLOS,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/52/D49952_wm.jpg,White,Tesi,5 Years,N,No,Top Fixing,155,Metal,Plastic,Curved,T318201,,N,Thin design,Plastic construction,Metal hinges,5 year warranty,,,,,,,,,,,,,,,,,,,,,
107,PD58902,Roca The Gap square standard close seat and cover UF White,Roca,87.07,"Manufactured in robust urea, the Roca the Gap toilet seat and cover has a modern square shape and offers compatibility with a variety of WC pans from the same Roca range. This toilet seat has a soft-close mechanism for quiet, slam-free shutting.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Roca The Gap square standard close seat and cover UF White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/05/D58902_D58905_wm.jpg,White,The Gap,2,N,No,Top,160,Steel,Urea,Square,A801470002,,N,Easy installation,Urea construction,White finish,Steel hinges,Square-shaped,,,,Soft-close action,2 year warranty,,,,,,,,,,,,,,,
108,PC00432,Ideal Standard Accent bowl seat White,Ideal Standard,242.64,The Ideal Standard Accent D-shaped toilet seat is made of heavy duty Duraplast and is supplied with a chrome hinge.,Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Ideal Standard Accent bowl seat White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/32/NW-C00432_wm.jpg,White,Accent,5 Years,N,No,"Hinge set, pins inserted in lid",160,Chrome,Duraplast,D-Shape,K700401,Standard Toilet Seat,N,White Duraplast,5 year warranty,,,,,,,,,,,,,,2.47673,,,,,,,,,
109,PP70266,Geberit Selnova Square soft close seat and cover top fix hinge,Geberit,108.02,"Finished in white, the soft close Geberit Selnova Square toilet seat is the ideal finishing touch for the striking Selnova Square WC. The clean lines of this loo seat make it the perfect choice for modern decorative schemes.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Geberit Selnova Square soft close seat and cover top fix hinge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/66/NW-P70264_P70266_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_500334011_336_338_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,,,,,,,,,,,
110,PD00673,Roca Polo zoom toilet seat White,Roca,40.58,"Designed for comfort, the modern Roca Polo D-shaped white toilet seat is a high quality choice for any bathroom. Made of white acrylic, this easy to fit loo seat is supplied with all fittings, including stainless steel bottom fixing hinges, for ease of installation.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Roca Polo zoom toilet seat White,,Toilet seat;All fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/73/NW-D00673_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D44952_D00673_Installation.pdf,,,,,,,,,,,,,,,,,,,
111,PT75844,VENICE WATERLESS URINAL +FIXING BRACKETS,RAK Ceramics,129.15,"Offering a convenient waterless flush, the wall-hung RAK Ceramics Venice urinal bowl is supplied without lid and complete with fixing brackets for hassle-free installation.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> VENICE WATERLESS URINAL +FIXING BRACKETS,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/44/T75844_wm.jpg,White,,25 Years,N,,,,,Vitreous China,,VENURI,,N,For commercial use,Ceramic construction,White finish,Wall-mounted installation,Waterless flush,,,,Requires a waterless waste,Supplied with fixing brackets for installation,25 year warranty,,,,,,Waterless,1,Waterless,390,Wall Hung,Commerical,,,
112,PT26310,Essentials Lily  Lily Toilet Seat and Cover,Essentials,61.46,"Offering quick-release for ease of cleaning, the Essentials Lily toilet seat and cover is the perfect match for the Lily WC. A soft-close mechanism ensures the seat and cover both shut quietly at the touch of a finger.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Essentials Lily  Lily Toilet Seat and Cover,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/10/T26310_wm.jpg,White,Lily,1 year,N,Yes,Quick Release,125-215,Metal,Plastic,D-Shape,EC1004,Toilet Seat,N,Durable and hygienic design,D-shaped,Quick release metal hinges,With cover,Plastic construction,,,,White finish,Soft-close action,1 year warranty,,,,,,,,,,,,,,
113,PC21945,Ideal Standard Concept toilet seat and cover White,Ideal Standard,80.89,"Made of a high gloss white plastic, the bottom fixing Ideal Standard Concept round toilet seat and cover is the ideal finishing touch for bathrooms furnished with the Ideal Standard Concept sanitaryware range.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Ideal Standard Concept toilet seat and cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/45/NW-C21945_wm.jpg,White/Gloss,Concept,5 Years,N,No,Bottom fixing,80 - 180,N/A,Plastic,Round,E798201,Standard Close,N,Standard close,White gloss plastic,5 year warranty,,,,,,,,,,,,,2450.00000,,,,,,,,,
114,PE48611,Carrara and Matta Atlantic Spa plastic toilet seat hinges White,Carrara and Matta,24.5,"Suitable for use in high traffic areas, this Carrara and Matta Atlantic Spa oval toilet seat is designed with pre-installed adjustable hinges to fit a wide range of toilets. Virtually unbreakable, this seat has been made using tough Tecnoplast thermoplastic material.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Carrara and Matta Atlantic Spa plastic toilet seat hinges White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/11/NW-E48611_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Carra_and_Matta_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Carrara_and_Matta_Catalogue.pdf,,,,,,,,,,,,,,,,,,
115,PJ01675,Twyford Avalon Sola AV7886WH seat ring top fix White,Twyford,119.19,"Offering robust use, the Twyford Avalon Sola toilet seat is fitted with stability buffers and a stainless steel bar hinge. This toilet seat has a classic round shape and is finished in white.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Twyford Avalon Sola AV7886WH seat ring top fix White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/wh/AV7886WH_wm.jpg,White,Avalon/Sola,2 years,N,No,Top Fixing,155,Stainless Steel,Plastic,Round,AV7886WH,,N,Plastic construction,RAL 9003 white colour,Top fix stainless steel bar hinge,With stability buffers,Round shape,,,,2 year warranty,,,,,,,,,,,,,,,,
116,PT86965,"Roca Soft-close compact SUPRALIT® toilet seat and cover, white",Roca,64.08,"This Roca Ona toilet seat and cover is manufactured in robust Supralit with a classic white finish. It has a soft-close mechanism for gentle, slam-free closure with just a gentle tap.","Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Roca Soft-close compact SUPRALIT® toilet seat and cover, white",,The Product and Fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/65/T86965_wm.jpg,White,,2,N,,,,,Supralit,Round,A801E22001,,N,Supralit construction,White colour,Soft-close operation,With fixings,2 year warranty,,,,,,,,,,,,,,,,,,Soft Close,Yes,
