,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Diameter,Pack Quantity,Range,Shank Type,Feature 5,Dimensions (L x W x D),Attachment 1,Attachment 2
20,PT02733,Rothenberger SDS cross tip drill bit 8 x 160mm,Rothenberger,3.44,"The Rothenberger 8 x 160mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger SDS cross tip drill bit 8 x 160mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/33/T02733_wm.jpg,N,Steel,,1500004808,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,8 mm,,,,Fully tempered and hardened,,,
21,PT02739,Rothenberger SDS cross tip drill bit 10 x 210mm,Rothenberger,4.42,"The Rothenberger 10 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger SDS cross tip drill bit 10 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/39/T02739_wm.jpg,N,Steel,,1500004814,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,10 mm,,,,Fully tempered and hardened,,,
22,PT02777,Rothenberger SDS cross tip drill bit 14 x 450mm,Rothenberger,9.86,"The Rothenberger 14 x 450mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger SDS cross tip drill bit 14 x 450mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/77/T02777_wm.jpg,N,Steel,,1500004841,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,14 mm,,,,Fully tempered and hardened,,,
23,PT02742,Rothenberger SDS cross tip drill bit 16 x 210mm,Rothenberger,8.1,"The Rothenberger 16 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger SDS cross tip drill bit 16 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/42/T02742_wm.jpg,N,Steel,,1500004817,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,16 mm,,,,Fully tempered and hardened,,,
24,PT02737,Rothenberger SDS cross tip drill bit 7 x 210mm,Rothenberger,4.12,"The Rothenberger 7 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger SDS cross tip drill bit 7 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/37/T02737_wm.jpg,N,Steel,,1500004812,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,7 mm,,,,Fully tempered and hardened,,,
25,PT02743,Rothenberger SDS plus chisel 20 x 250mm,Rothenberger,4.42,"The Rothenberger 20 x 250mm SDS Plus chisel is compatible with rotation stop hammers featuring the SDS Plus tool holder system. Ideal for breaking up concrete and masonry, this heat-treated steel chisel can also remove plaster and render.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger SDS plus chisel 20 x 250mm,,1x SDS Chisel,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/43/T02743_wm.jpg,N,Steel,,1500004818,SDS Chisel Bit,N,"Adjustment work in concrete and masonry, restoring joints, clearing reinforcements",For adjustment work,Suitable for clearing reinforcements,Suitable for restoring joints,Heat-treated,20 mm,,,10 mm,Shot blast finish protects from rust,,,
26,PT02738,Rothenberger SDS cross tip drill bit 8 x 210mm,Rothenberger,4.25,"The Rothenberger 8 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger SDS cross tip drill bit 8 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/38/T02738_wm.jpg,N,Steel,,1500004813,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,8 mm,,,,Fully tempered and hardened,,,
27,PF03261,PHD SDS10160 SDS drill bit 10.0 x 160mm,PHD,8.08,"Ideal for both building site and DIY tasks, this PHD 10.0 x 160mm SDS drill bit is suitable for drilling into a wide variety of masonry types.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> PHD SDS10160 SDS drill bit 10.0 x 160mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/61/F03261_wm.jpg,N,Carbide Steel,,SDS10160,SDS Plus Drill Bit,N,Drilling,"Suitable for use in stone, brick and other masonry types",Carbide steel construction,,,100mm,,,SDS Plus,,,,
28,PT02736,Rothenberger SDS cross tip drill bit 6.5 x 210mm,Rothenberger,4.08,"The Rothenberger 6.5 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger SDS cross tip drill bit 6.5 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/36/T02736_wm.jpg,N,Steel,,1500004811,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,6.5 mm,,,,Fully tempered and hardened,,,
29,PT02740,Rothenberger SDS cross tip drill bit 12 x 210mm,Rothenberger,4.73,"The Rothenberger 12 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger SDS cross tip drill bit 12 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/40/T02740_wm.jpg,N,Steel,,1500004815,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,12 mm,,,,Fully tempered and hardened,,,
30,PT02778,Rothenberger SDS cross tip drill bit 18 x 450mm,Rothenberger,15.98,"The Rothenberger 18 x 450mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger SDS cross tip drill bit 18 x 450mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/78/T02778_wm.jpg,N,Steel,,1500004842,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,18 mm,,,,Fully tempered and hardened,,,
31,PF03260,PHD SDS07160 SDS drill bit 7.0 x 160mm,PHD,4.28,"Ideal for both building site and DIY tasks, this PHD 7.0 x 160mm SDS drill bit is suitable for drilling into a wide variety of masonry types.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> PHD SDS07160 SDS drill bit 7.0 x 160mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/60/F03260_wm.jpg,N,Carbide Steel,,SDS07160,SDS Plus Drill Bit,N,Drilling,"Suitable for use in stone, brick and other masonry types",Carbide steel construction,,,70 mm,,,SDS Plus,,,,
32,PF03259,PHD SDS060110 SDS drill bit 6.0 x 110mm,PHD,3.73,"Ideal for both building site and DIY tasks, this PHD 6.0 x 110mm SDS drill bit is suitable for drilling into a wide variety of masonry types.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> PHD SDS060110 SDS drill bit 6.0 x 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/59/F03259_wm.jpg,N,Carbide Steel,,SDS060110,SDS Plus Drill Bit,N,Drilling,"Suitable for use in stone, brick and other masonry types",Carbide steel construction,,,66mm,,,SDS Plus,,,,
33,PN13810,Marcrist PG750X dry diamond tile drill bit 6mm,Marcrist,26.23,"Suitable for cordless and corded machines, this Marcrist PG750X Diamond 6mm dry tile drill effortlessly drills into the hardest porcelain tiles and can last up to 60 - 100 holes in hardest porcelain. This bit has multiple diamond layers for longer lasting use.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Marcrist PG750X dry diamond tile drill bit 6mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/10/NW-N13810_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Marcrist_Drills-Blades-Wheels_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/12/Marcrist_Product_Catalogue_2011-2012.pdf
34,PT02767,Rothenberger dry diamond core drill bit 28 x 300mm,Rothenberger,27.15,"The Rothenberger 28 x 300mm dry diamond core drill bit offers compatibility with any standard or rotary SDS drill. Fitted with a 1/2"" BSP female thread, this bit features a full 7mm height diamond segment.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger dry diamond core drill bit 28 x 300mm,,1x Dry Core Drill,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/67/T02767_wm.jpg,N,Steel,,89001R,Dry Core Drill Bit,N,Hole cutter can be used with SDS electric drill.,Suitable for use with SDS electric drills,With high quality diamond segment,Reliable design,,28 mm,,,,,,,
35,PF03258,PHD SDS055110 SDS drill bit 5.5 x 110mm,PHD,3.25,"Ideal for both building site and DIY tasks, this PHD 5.5 x 110mm SDS drill bit is suitable for drilling into a wide variety of masonry types.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> PHD SDS055110 SDS drill bit 5.5 x 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/58/F03258_wm.jpg,N,Carbide Steel,,SDS055110,SDS Plus Drill Bit,N,Drilling,"Suitable for use in stone, brick and other masonry types",Carbide steel construction,,,5.5 mm,,,SDS Plus,,,,
36,PT01491,Milwaukee Gen 2 Diamond Max diamond drill bits 6mm,Milwaukee,13.07,"Delivering best-in-class performance, this Milwaukee Diamond Max 6mm hole saw has high grade diamonds for optimum heat and fracture resistance. With an improved braze for good diamond retention when cutting hard, abrasive materials, this one-piece hole saw has a quick-change hex shank and large slug ejection slot.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Milwaukee Gen 2 Diamond Max diamond drill bits 6mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/92/NW-T01491_T01492_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Milwaukee_Accessories_Catalogue_2019.pdf,
