,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Range,Warranty,Hazardous,Soft Close Seat,Hinge Fixing,Hole Centres,Hinge Material,Material,Shape,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Depth (mm),Cistern Size,Design Type,Fittings Included,Toilet Pack Contents,Feature 6,Feature 7,Feature 8,Diameter,Size,Dimensions mm (H x W x D),Material Type,Tap Holes,Body Material,Number of Tap Holes,Anti Slip,Grips/Handles,Feature 9,Attachment 7,Attachment 8,Attachment 9,Attachment 10,Attachment 11,Attachment 12,Flush Type,Overflow Type,Air Pipe Supplied,Inlet Position,Flush Mechanism,Capacity Litre,Grip Holes,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Style,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Feature 10,Finish,Feature 11,Waste Supplied,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Voltage (V),Watts,Weight,Easy Maintenance,Inlets,Clog Resistance,Noise Level,Application,Bend (in degrees),Projection,Thickness,Anti Slip Surface,Grips or Handles,Feature 12,Feature 13,Feature 14,Feature 15,Door Opening Orientation,Bowl Type,Tap Orientation,Drainer Type,Bowl Shape,Main Bowl Size,Second Bowl Size,Pack Quantity,Feature 16,Main Bowl Size (mm),Minimum Base Unit Size (mm),Waste Kit Included,Position,Demisting,Seat Projection,Sector,Height (mm),Pressure,Dimensions (L x W x D),Mounting Type
673,PF47061,Wade Vari-Level U1404 bottle trap assembly,Wade,55.9,"Made of plastic with a nylon 6 finish, the Wade Vari-Level U1404 removable bottle trap assembly is fitted with a 50mm seal and 110mm universal connections. This trap is suitable for installation inside a grating, funnel or body featuring a 4"" throat or outlet.",Bathrooms and Kitchens/Bathrooms and Kitchens.csv -> Wade Vari-Level U1404 bottle trap assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/61/NW-F47061_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Wade_Floor_Gullies_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wade_Installation_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,PD58886,Roca Debba close coupled fully back to wall pan,Roca,159.61,"A simple, crowd-pleasing design, the square Roca Debba close coupled back to wall toilet pan with dual outlet is part of a range suited to any bathroom design.",Bathrooms and Kitchens/Bathrooms and Kitchens.csv -> Roca Debba close coupled fully back to wall pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/86/NW-D58886_wm.jpg,,,,,,,White,Debba,5 Years,N,,,,,Vitreous China,Square,A34299B00U,Back to Wall Pan,N,Moulded back-to-wall close coupled pan,Dual outlet,Compatible with soft close and standard seats,5 year warranty,,,,Close Coupled,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,PB61706,Nabis Arno 3 piece suare WC pack,Nabis,204.36,"The Nabis Arno three piece square WC pack includes the complete Nabis Arno compact toilet. Ideal for smaller bathrooms, this stylish toilet with close coupled pan, Livi Arno cistern and premium soft close seat is part of a range designed to optimise floor space.",Bathrooms and Kitchens/Bathrooms and Kitchens.csv -> Nabis Arno 3 piece suare WC pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/06/NW-B61706_wm.jpg,,,,,,,,Arno,,N,,,,,,,B61706 PK,WC Pack,N,600mm short projection toilet pan,White vitreous china,Premium high gloss glaze finish,All fixings included,Meets the requirement of EN 997-CL1-6A,,,,,,Space saving,Easy to clean and maintain,Soft close toilet seat,,,,,,,,,,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,PA03067,Nabis Modern Freestanding contemporary freestanding bath plus waste,Nabis,842.44,"Nabis bath is free standing mounted, including waste, no tap hole.",Bathrooms and Kitchens/Bathrooms and Kitchens.csv -> Nabis Modern Freestanding contemporary freestanding bath plus waste,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/67/A03067_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_A03066_067_242_243_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_A03067_Technical_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/A03067_Nabis_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,PA03243,Nabis D-Shape F0098 floor standing bath 1700 x 800 x 580mm,Nabis,1035.72,"Designed for use with bath ledge mounted taps, the Nabis 1700 x 800 x 580mm D-shaped back-to-wall bath is made of durable white acrylic. It is supplied with a click-clack waste and slotted overflow for faster, simpler installation.",Bathrooms and Kitchens/Bathrooms and Kitchens.csv -> Nabis D-Shape F0098 floor standing bath 1700 x 800 x 580mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/43/NW-A03243_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_A03066_067_242_243_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/A03243_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,PD76422,Bristan Frenzy 1/2 turn basin taps Chrome,Bristan,129.62,"The statement angled Bristan Frenzy basin taps are suitable for use in all plumbing systems. Finished in chrome with a solid brass build, these boldly designed bathroom taps are for deck mounting.",Bathrooms and Kitchens/Bathrooms and Kitchens.csv -> Bristan Frenzy 1/2 turn basin taps Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/22/NW-D76422_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_Frenzy_Tap_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D76422_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Frenzy_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,PA03217,Nabis Garland shower bath right hand L-shape 1700x850x700mm white,Nabis,235.17,"Designed to maximise showering space, the Nabis Garland 1700mm-L shaped right hand shower bath has a modern, spacious design. Compatible with a range of shower screens, this modern bath is supplied free of tap holes,eaving you to choose the perfect tap and shower set-up for your needs.",Bathrooms and Kitchens/Bathrooms and Kitchens.csv -> Nabis Garland shower bath right hand L-shape 1700x850x700mm white,,Bath;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/17/A03217_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_GarlandSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,PA05428,Nabis Vector bath mixer tap with handheld shower,Nabis,176.98,"Designed to be deck-mounted, the Nabis Vector bath/shower mixer has a striking cubic design perfect for contemporary bathrooms. Suitable for installation in pressure systems, this smart tap is made of robust brass with a zinc handle and chrome-plated finish.",Bathrooms and Kitchens/Bathrooms and Kitchens.csv -> Nabis Vector bath mixer tap with handheld shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/28/A05428_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05428_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares List_May 2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Vector_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,PA05421,* NAB INGA BASIN MIXER NO WASTE CP,Nabis,88.88,"Make a statement with the Nabis Inga monobloc mixer with its stand-out curved silhouette and open water flow. Built in a robust brass with a zinc handle and shiny chrome finish, this deck-mounted tap is suitable for use in pressure systems.",Bathrooms and Kitchens/Bathrooms and Kitchens.csv -> * NAB INGA BASIN MIXER NO WASTE CP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/21/A05421_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Inga_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap_Spares_Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/A05421_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,PC03130,Ideal Standard Concept back to wall close coupled horizontal outlet isolated access pan White,Ideal Standard,257.54,"The Ideal Standard Concept close coupled, back to wall toilet pan with horizontal outlet has a contemporary elongated design and features the brand's cutting-edge water-saving Aquablade flush technology for higher performance, improved hygiene and easier cleaning.",Bathrooms and Kitchens/Bathrooms and Kitchens.csv -> Ideal Standard Concept back to wall close coupled horizontal outlet isolated access pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/30/NW-C03130_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E801101_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
