,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Range,Style,Warranty,Hazardous,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Finish
64,PD76423,Bristan Frenzy 3/4 turn bath taps Chrome,Bristan,155.91,"The statement angled Bristan Frenzy bath taps are suitable for use in all plumbing systems. Finished in chrome with a solid brass build, these boldly designed bathroom taps are for deck mounting.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Bristan Frenzy 3/4 turn bath taps Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/23/NW-D76423_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_Frenzy_Tap_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D76423_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Frenzy_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PB88657,Ideal Standard Calista bath rim mounted pillar tap,Ideal Standard,79.9,"Smartly stylish, the Ideal Standard Calista basin pillar taps are part of a wide bathroom range for a cohesive finished design. Easy to operate, this pair of chrome deck-mounted taps includes ceramic disc operation for precision control of flow and temperature.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Ideal Standard Calista bath rim mounted pillar tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/57/NW-B88657_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Calista_B1146-47_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/IS_Calista_B1147AA_SpareGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Bathrooms_Brchr_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Calista_B1147AA_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PD88209,Bristan Value Bib Taps with Ceramic Disc Valves Chrome,Bristan,84.3,"A classic design, this Bristan Value bib tap is ideal for budget renovations. Easy to use thanks to ceramic disc valves, this tap has lever handles and a 100mm spout projection. Value taps are made of long-lasting brass and have a chrome finish to suit any interior.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Bristan Value Bib Taps with Ceramic Disc Valves Chrome,,Bib tap;Handles,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/09/NW-D88208_D88209_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D88209_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D88209_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D88209_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PB79274,Cistermiser Vecta+ infrared sensor spout,Cistermiser,194.62,"Controlled with an infrared sensor, the Cistermiser Vecta+ sensor tap helps to optimise safety and hygiene in commercial shared washrooms. Operating without touch, this wall or panel-mounted chrome tap doesn't just reduce the risk of cross-contamination, it also helps to minimise waste, reducing water usage for increased efficiency and reduced costs.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Cistermiser Vecta+ infrared sensor spout,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/74/B79274_wm.jpg,,,,,,,,,,,Vecta+,,,N,575,,,,,,,,,,VSS,Commercial sensor spout,N,Hygienic touch-free sensor activated operation,Safety water shut-off after 60 seconds of continuous activation,"Smart shut-off in event of power outage, reducing risk of flooding",Fitted with 3.5LPM flow regulator,5LPM flow regulator included in box,Mains and battery powered as standard,For wall or panel mounting,Chrome finish,3 year warranty,,
68,PD88208,Bristan Value bib taps with 6in levers Chrome,Bristan,106.06,"A classic design, this Bristan Value bib tap is ideal for budget renovations. Easy to use thanks to ceramic disc valves, this tap has lever handles and a 100mm spout projection. Designed under strict quality control measures, Value taps are made of long-lasting brass and have a chrome finish to suit any interior.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Bristan Value bib taps with 6in levers Chrome,,Bib tap;Handles,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/09/NW-D88208_D88209_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D88208_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D88208_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D88208_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PC00301,Pegler Performa Quarter Turn new lever cold basin tap,Pegler,101.52,"Fitted with a ceramic disc cartridge, this quarter-turn Pegler Yorkshire Performa basin tap opens and closes effortlessly and smoothly. Deck-mounted, this smartly modern tap is finished in chrome and comes with a splined spindle for adjustable lever positioning, giving you flexibility of positioning.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Pegler Performa Quarter Turn new lever cold basin tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/01/NW-C00301_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/PY_308027_308037_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/PY_Brassware_Guide_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PC69067,Bristan X-Head cross top bib taps Chrome Plated,Bristan,57.11,"Easy to use and looking great in modern bathrooms, this pair of Bristan X-Head bib taps are made of tough brass with a sparkling clean chrome finish. Deck-mounted, these taps perform especially well in a balanced system, however they can be used in any plumbing pressure.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Bristan X-Head cross top bib taps Chrome Plated,,2x bib taps,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/67/NW-C69067_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/VAXBIBC_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Bib_Globe_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mb/ly/Bristan_VAX_BIB_C_Assembly.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PC05638,"Pegler Performa Non Concussive non concussive taps 1/2"" Chrome Plated (Pair)",Pegler,152.48,"Offering non-continuous flow, this pair of Pegler Yorkshire Performa non-concussive basin taps helps to control water usage in commercial bathrooms, helping businesses to save on waste. Suitable for deck mounting, these time delay chrome taps are ready supplied with fittings and indices to ensure quick, hassle-free installation.","Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Pegler Performa Non Concussive non concussive taps 1/2"" Chrome Plated (Pair)",,2x basin taps;2x cold indices;2x hot indices,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/38/NW-C05638_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/PY_Brassware_Guide_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PB79272,Cistermiser Vecta+ Sensor tap,Cistermiser,194.62,"Controlled with an infrared sensor, the Cistermiser Vecta+ sensor tap helps to optimise safety and hygiene in commercial shared washrooms. Operating without touch, this deck-mounted chrome tap doesn't just reduce the risk of cross-contamination, it also helps to minimise waste, reducing water usage for increased efficiency and reduced costs.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Cistermiser Vecta+ Sensor tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/72/B79272_wm.jpg,,,,,,Chrome,3.5 l/pm,0.5,0 to 40 degrees C,1110,Vecta+,Modern,3 years extended warranty,N,575,0.5 to 6 bar,No,Yes,No,Chrome,Deck Mounted,Chrome,ChromeBrass,1,VST,Commercial sensor tap,N,Hygienic touch-free sensor activated operation,Safety water shut-off after 60 seconds of continuous activation,"Smart shut-off in event of power outage, reducing risk of flooding",Fitted with 3.5LPM flow regulator,5LPM flow regulator included in box,Mains and battery powered as standard,For deck mounting,Chrome finish,3 year warranty,,
73,PC34289,Ideal Standard Ceraplan BD220AA single lever basin mixer,Ideal Standard,99.23,"Slimline and simply designed, the Ideal Standard Ceraplan basin mixer, operated with a single lever, is an elegant choice to suit any bathroom. Deck-mounted, this chrome basin tap is installed using the Easyfix system for simpler fitting while a Firmaflow ceramic cartridge ensures long-lasting ease of operation.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Ideal Standard Ceraplan BD220AA single lever basin mixer,,Basin mixer,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/89/C34289_wm.jpg,,,,,,Chrome,5 Litres Per Minute @ 3 Bar,0.2,10 Bar,104,Ceraplan,Contemporary,5 Years,N,150,Low,No,Yes,Yes,Fixed,Deck Mounted,Lever,Chrome Plated Brass,1,BD220AA,Basin Mixer,N,Firmaflow ceramic cartridge,Easyfix fixation system,Easier grip through +15mm height,Subtle neck improving cleaning,Increased comfort +10mm,Reduced neck,-10% slimmer,,,,Chrome
74,PD88215,Bristan Value high neck lever taps 6in Chrome,Bristan,84.3,"A timeless classic, this Bristan Value high neck pillar tap is a popular choice for refits on a tight budget. Ceramic disc valves, metal lever handles and an 85mm spout projection make this simple tap easy to use while a brass build and chrome finish looks great and stands up to constant use.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Bristan Value high neck lever taps 6in Chrome,,"2 x High Neck Taps, 2 x Metal Backnuts, 2 x Washers",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/15/NW-D88215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D88215_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D88215_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D88215_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
