,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Range,Style,Warranty,Hazardous,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Finish
75,PJ98983,Grohe BAU Cosmopolitan E battery powered infrared basin mixer 6V,Grohe,175.6,"An efficient, high-tech choice for any bathroom, the Grohe BAU Cosmopolitan E electronic basin tap detects hand movements using an infrared sensor for hygienic touch-free use and incorporates EcoJoy technology for reduced water waste. German-engineered, this smart tap is manufactured in a highly robust drinking water-approved composite polymer and has Grohe's trademark StarLight chrome finish for easy cleaning and a long-lasting shine. Thanks to inbuilt presets, fitting of the battery-powered BAU Cosmopolitan is simple and fast with the most popularly used settings selected and ready to go on installation.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Grohe BAU Cosmopolitan E battery powered infrared basin mixer 6V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/83/NW-J98983_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Grohe_Product_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_36452-315-334-335_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_36451-52-53_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grohe_BAU_Cosmo_E_36452000_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PC17498,"Pegler Mercia quarter turn bath pillar taps 3/4""",Pegler,35.23,"Operated with an easy quarter turn, this pair of Pegler Yorkshire Mercia pillar taps has a simple, traditional design that will suit all but the most modern of bathrooms. Suitable for low pressure systems right down to 0.2 bar, these deck-mounted are made of brass with a shiny chrome finish.","Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Pegler Mercia quarter turn bath pillar taps 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/98/NW-C17498_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/PY_Brassware_Guide_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PC00302,Pegler Performa Quarter Turn new lever hot basin tap,Pegler,101.52,"Fitted with a ceramic disc cartridge, this quarter-turn Pegler Yorkshire Performa basin tap opens and closes effortlessly and smoothly. Deck-mounted, this smartly modern tap is finished in chrome and comes with a splined spindle for adjustable lever positioning, giving you flexibility of positioning.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Pegler Performa Quarter Turn new lever hot basin tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/02/NW-C00302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/PY_308027_308037_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/PY_Brassware_Guide_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PC66630,Aqualisa Downtown pillar tap small Chrome,Aqualisa,90.92,"A contemporary soft square design ideal for modern bathrooms, the Aqualisa Downtown pillar tap is operated with a smart sculptural lever. Quality tested, this robust and attractive deck-mounted bathroom tap is finished in attractive chrome.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Aqualisa Downtown pillar tap small Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/t_/ch/DT.SPT.CH_wm.jpg,,,,,,Chrome,Min 2 l/min @ 0.2 bar Max 5.1 l/min @ 3 bar,0.2,5 - 65,137,Downtown,Contemporary,5 Years,N,137,"Gravity, Boosted Gravity, Combi and  Balanced High Pressure water systems",No,Yes,No,Fixed,Deck Mounted,Soft square,"Brass, zinc, chrome plated, plastic",1,DT.SPT.CH,Basin tap,N,Modern square design,Fixed spout,Chrome finish,Easy installation,For deck mounting,5 year warranty,,,,,
79,PC69079,"Bristan Orta bath taps 3/4"" Chrome Plated",Bristan,105.26,"Uniquely designed for a modern bathroom, Bristan Orta bath taps offer a dynamic forward slant combined with a classic chrome finish. Suitable for all plumbing systems, this pair of contemporary deck-mounted taps is constructed in long lasting brass.","Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Bristan Orta bath taps 3/4"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/79/NW-C69079_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mb/ly/Bristan_OR_1-2_C_Assembly.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Orta_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_OR_3_4_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PD88205,Bristan Value bath taps and ceramic disc valve Chrome,Bristan,40.41,"A budget choice designed to suit most bathrooms, this Bristan Value bath tap has a simple silhouette, a tough brass body and a clean, glossy chrome finish. Operated with 3"" metal lever handles, this mixer tap incorporates ceramic disc valves for ease of use and has a 90mm spout projection.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Bristan Value bath taps and ceramic disc valve Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/05/NW-D88205_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D88205_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D88205_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D88205_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PD77386,Bristan 1901 pillar bath filler tap with ceramic disc valves Chrome Plated,Bristan,296.4,"Finished in bright, glossy chrome, this Bristan 1901 bath filler is made of durable brass. Suitable for all plumbing systems, this deck-mounted, Edwardian-inspired filler is an ideal choice for bathrooms in period homes.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Bristan 1901 pillar bath filler tap with ceramic disc valves Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/86/NW-D77386_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D77386_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PC36990,Methven Amio basin mixer and waste Matte Black,Methven,108.86,"An ideal choice for ultra-modern bathrooms, the Methven Amio basin mixer is finished in an eye-catching, sleek black. Deck-mounted, this smart single lever tap uses ceramic cartridge technology for smooth, easy operation and a longer life.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Methven Amio basin mixer and waste Matte Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/90/NW-C36990_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Methven_Shower-Tap_Guide_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PC34351,Ideal Standard Ceraplan single lever high spout basin mixer,Ideal Standard,172.36,"Smooth and slimline, the Ideal Standard Ceraplan single lever high spout basin mixer has classic looks to suit modern and traditional bathroom interior designs. Deck-mounted, this elegant high spout tap offers ease of installation using the EasyFix system and reliable robustness thanks to its FirmFlow ceramic disc cartridge.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Ideal Standard Ceraplan single lever high spout basin mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/51/C34351_wm.jpg,,,,,,Chrome,5L,50kPa,N/A,145,,Basin Mixer,5 Years,N,179,Med,N/A,Yes,Yes,Swivel,Deck,Lever,Brass,0,BD245AA,High spout basin mixer,N,"FirmaFlow cartridge offer lifespan of 500,000 cycles","EasyFix fixation system for quick, simple installation",Lever-operated,Pre-fitted 5LPM flow regulator saves water,Chrome finish,5 year warranty,,,,,
84,PC34294,Ideal Standard Ceraplan single lever basin mixer and pop up waste,Ideal Standard,104.46,"Combining solid engineering with designer looks, the Ideal Standard Ceraplan single lever basin mixer and pop-up waste has a subtle look that will suit most bathroom decors. Lever-operated, this deck-mounted bathroom tap is designed to help save on water waste.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Ideal Standard Ceraplan single lever basin mixer and pop up waste,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/94/C34294_wm.jpg,,,,,,Chrome,5 L/min,0.2,,150,Ceraplan,Contemporary,5 Years,N,173,Low,No,Yes,Yes,Fixed,Deck Mounted,Lever,Brass,1,BD221AA,Basin Mixer,N,Designed by Palomba Serafini Associati,Water saving design,Single lever operation,With pop-up waste,Deck-mounted installation,Brass construction,Chrome-plated finish,5 year warranty,,,
85,PC68074,Deva Lever Action lever bath taps with brass back nuts,Deva,31.43,"These Deva LEVER bath taps are made of brass with a chrome finish. Suitable for all plumbing systems, this pair of deck-mounted taps include tactile lever handles for inclusive flow and temperature control.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Deva Lever Action lever bath taps with brass back nuts,,2x bath taps,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/74/NW-C68074_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Deva_Shower-Tap_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_DLTSPEC102_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PC68073,Deva LEVER lever basin taps with brass back nuts,Deva,28.04,"These Deva LEVER basin taps are made of brass with a chrome finish. Suitable for all plumbing systems, this pair of deck-mounted taps include tactile lever handles for inclusive flow and temperature control.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Deva LEVER lever basin taps with brass back nuts,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/73/NW-C68073_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_DLTSPEC101_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Deva_Shower-Tap_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
