,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Warranty,Hazardous,Soft Close Seat,Hinge Fixing,Hole Centres,Hinge Material,Material,Shape,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Depth (mm),Cistern Size,Design Type,Fittings Included,Toilet Pack Contents,Feature 6,Feature 7,Feature 8,Feature 9,Flush Type,Overflow Type,Air Pipe Supplied,Inlet Position,Flush Mechanism,Capacity Litre,Finish,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles,Attachment 4,Attachment 5,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Attachment 6,Pack Quantity,Feature 16,Seat Projection,Material Type,Sector,Position,Thickness,Anti Slip Surface,Grips or Handles,Weight,Style,Mounting Type,Application
318,PE40583,Carrara and Matta Nord Plus Inox thermoset toilet seat with cover metal hinge White,Carrara and Matta,32.4,"This high quality Carrara and Matta Nord Plus Inox oval toilet seat and cover is made of resistant thermoset plastic with a stainless steel hinge. Manufactured to meet the highest possible requirements, this hygienic toilet seat includes non-slip bumpers for a sturdy, shift-free fitting to your toilet pan.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Carrara and Matta Nord Plus Inox thermoset toilet seat with cover metal hinge White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/83/NW-E40583_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Carra_and_Matta_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/E40583_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Carrara_and_Matta_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,PC24468,Ideal Standard Concept Freedom DOC-M pack,Ideal Standard,2939.31,"Meeting Part M requirements, this Ideal Standard luxury wheelchair accessible en suite bathroom pack includes a full extended toilet with back rest and support arm, dual flush cistern and soft close seat, a 600mm accessible basin, tap and fittings, thermostat and grab rails. Part of the Concept range, this set is ideal for hotels and care homes.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Ideal Standard Concept Freedom DOC-M pack,,"Wall mounted elongated rimless WC Bowl and support brackets;Water saving dual flush Conceala 2 cistern with Karisma flush plate;Grab rails;Back rest;Hinged support arm;Holder, seat no cover;60cm accessible basin;Concept Blue mixer tap;Click waste;15mm TM",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/68/NW-C24468_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6402AA_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,PP70266,Geberit Selnova Square soft close seat and cover top fix hinge,Geberit,108.02,"Finished in white, the soft close Geberit Selnova Square toilet seat is the ideal finishing touch for the striking Selnova Square WC. The clean lines of this loo seat make it the perfect choice for modern decorative schemes.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Geberit Selnova Square soft close seat and cover top fix hinge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/66/NW-P70264_P70266_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_500334011_336_338_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PU22806,Lecico Atlas back to wall toilet pan White,Lecico,134.96,"Compact and neatly designed, this Lecico Atlas 366mm back-to-wall WC pan has a smaller footprint for a sense of space and easier cleaning. Suitable for domestic or commercial bathrooms, this curved loo is manufactured in white vitreous china and is intended for installation with a concealed cistern.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Lecico Atlas back to wall toilet pan White,,Pan,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/06/NW-U22806_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/U22806_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PC39747,Thomas Dudley Torrent bottom inlet cistern,Thomas Dudley,90.06,"Suitable for most installations, this Thomas Dudley Torrent bottom inlet WC cistern is supplied with a cable flush valve. Designed for concealed installation, this cistern offers a 6L single flush.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Thomas Dudley Torrent bottom inlet cistern,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/47/C39747_wm.jpg,,,,White,Torrent,3 Years,N,,,,,HIPS,,PTOZZB320508,Concealed Cistern,N,HIPS construction,White finish,"With 2"" outlet","Includes 1/2"" water inlet supply",Offers 6L capacity,150,,,Yes,,For concealed installation,3 year warranty,,,Button,Internal,N/A,bottom,Cable Flush Valve,6 l,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PB98078,"Thomas Dudley Vantage single flush concealed cistern with side inlet, flushbend, no button, no poly-jacket",Thomas Dudley,112.55,"Offering fast and stress-free installation, this Thomas Dudley Vantage concealed dual flush toilet cistern is supplied factory assembled and incorporates a push-fit flush bend and inlet elbow. With the option to install the push button up to 750mm away, this cistern is designed for flexibility.","Bathrooms and Kitchens/Toilets/Toilets.csv -> Thomas Dudley Vantage single flush concealed cistern with side inlet, flushbend, no button, no poly-jacket",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/78/B98078_wm.jpg,,,,White,Vantage,3 Years,N,,,,,Polyethylene,,319738W,Cistern,N,"Supplied factory assembled for quick, easy installation",WRAS approved Dudley Niagara flushing valve,WRAS approved Dudley Hydroflo quiet inlet valve,Push-fit water inlet elbow,Push-fit flush bend,125,,,Yes,,Integral isolating valve,"Air tubes enable button, plate or sensor to be installed up to 750mm away from cistern",Front and top access panels,Unique cistern fixing brackets,Dual Flush,Internal,No,Side,Button,,,,,,,,,No need to cut access holes into vanity tops,Side inlet,Cistern body in high density polyethylene,Internal overflow warning,Internal parts comply with the Regulator's Specification,White polyethylene,,,1 year warranty,,,,,,,,,,,
324,PN66489,Ideal Standard iLife cistern BI 4/2.6 UKP White,Ideal Standard,115.94,"A simple design for modern interiors, this Ideal Standard i.Life cistern has been created for reduced water waste, offering a 4/2.6L dual flush. This smart vitreous china cistern forms part of the wider i.Life range, allowing you to create a harmonious bathroom suite with ease.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Ideal Standard iLife cistern BI 4/2.6 UKP White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/89/N66489_wm.jpg,,,,White,iLIFE,Lifetime,N,,,,,Vitreous China,,E247801,Close Coupled Cistern,N,Designed by Palomba Serafini Associati,Offers water saving dual 4/2.6L flush,Push-button operation,Vitreous china construction,White finish,165,,,Yes,,Close-coupled design,Bottom inlet,Lifetime warranty,,Push Button,Internal,Yes,bottom,Valve,4 l,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PP07590,Geberit Selnova back to wall WV horizontal outlet,Geberit,184.73,"A classic design, the Geberit Selnova floor standing WC pan is a simple, understated toilet that will suit any bathroom. With its high-quality build and versatility, this round WC pan is made of robust vitreous china with a white finish. The back-to-wall design helps to generate the feeling of space without creating any hard to clean nooks and crannies.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Geberit Selnova back to wall WV horizontal outlet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/90/NW-P07590_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_501043006_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PJ14568,Ideal Standard Waverley Classic back to wall wc,Ideal Standard,236.89,"A classic Edwardian design, the Ideal Standard Waverley back-to-wall WC pan is ideal for a traditional bathroom in a period home. Finished in classic white, this toilet pan is part of a wide range of matching bathroom fittings for the easy creation of a complete suite.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Ideal Standard Waverley Classic back to wall wc,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_j/pg/J14568.jpg_wm.jpg,,,,White,Waverley Classic,Lifetime,N,,,,,Vitreous China,Curved,U471201,,N,For domestic or commercial use,Traditional Edwardian design,Back-to-wall installation,Vitreous china construction,White colour,,,Traditional,No,,Lifetime warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,PA67219,Ideal Standard Connect Air c/c bowl ho aquabld s/wrp White,Ideal Standard,276.18,"The Ideal Standard Concept Air close coupled toilet pan incorporates Ideal Standard's cutting-edge Aquablade flushing technology. Offering improved hygiene, easier cleaning and a sleek modern look, the Concept Air has a sleekly tapered toilet bowl and matches with a wide range of Ideal Standard bathroom fittings for a cohesive design.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Ideal Standard Connect Air c/c bowl ho aquabld s/wrp White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/19/NW-A67219_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E079701_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
