,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Warranty,Hazardous,Soft Close Seat,Hinge Fixing,Hole Centres,Hinge Material,Material,Shape,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Depth (mm),Cistern Size,Design Type,Fittings Included,Toilet Pack Contents,Feature 6,Feature 7,Feature 8,Feature 9,Flush Type,Overflow Type,Air Pipe Supplied,Inlet Position,Flush Mechanism,Capacity Litre,Finish,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles,Attachment 4,Attachment 5,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Attachment 6,Pack Quantity,Feature 16,Seat Projection,Material Type,Sector,Position,Thickness,Anti Slip Surface,Grips or Handles,Weight,Style,Mounting Type,Application
0,PB96674,Saniflo Sanitop Up macerator pump for WC and basin,Saniflo,419.99,"The effective Saniflo Sanitop UP macerator pump is the follow-up to the original Saniflo UP, allowing the connection of a WC and handwash basin to a single macerator pump. Ideal for cloakrooms, this compact macerator fits unobtrusively behind a toilet and provides top access for hassle-free, easy-reach maintenance.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Saniflo Sanitop Up macerator pump for WC and basin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/74/NW-B96674_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B96674_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sanibroyeur_Pro_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PB61632,Nabis Lamone back-to-wall horizontal outlet pan,Nabis,78.76,"Part of a water-saving bathroom range, the Nabis Lamone back to wall toilet pan with horizontal outlet has a D-shaped design for a smooth, elegant look. Built in white vitreous china, the Lamone offers space saving simplicity.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Nabis Lamone back-to-wall horizontal outlet pan,,Toilet panToilet basin fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/_a/B61632_A_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Phase_II_Ceramic_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_Toilet-20Seats_Matrix_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PT41935,Tradefix complete toilet set,Tradefix,65.0,"Helping to make bathroom refits simple, the Tradefix complete toilet set includes a full toilet with matching soft-close seat. The pack is built around a classic close-coupled cistern, supplied complete with all fittings for quick, hassle-free installation.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Tradefix complete toilet set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/35/T41935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/T41935_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PB66200,Ideal Standard Sandringham 21 horizontal outlet WC pan White,Ideal Standard,50.0,"The Ideal Standard Armitage Shanks Sandringham 21 vitreous china low level toilet pan is suitable for domestic and public use with lever siphon flush or dual and single valve flushing options available. Part of the ever-popular Sandringham range of bathroom furniture and accessories, this toilet can form part of a complete matching set for a beautifully finished bathroom design.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Ideal Standard Sandringham 21 horizontal outlet WC pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/00/NW-B66200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_S351001_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD30973,Constance Flexi-Fix thermoset toilet seat White,Constance,35.75,"The Croydex Constance Flexi-Fix D-shaped toilet seat is made of durable white thermoset with an antibacterial treatment for cleaner use. Incorporating innovative grip pad technology and patented V plate hinges, the Constance allows for maximum adjustment to fit the fixing holes of any standard toilet pan and can be installed from above or below for a perfect slip-free fit.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Constance Flexi-Fix thermoset toilet seat White,,Toilet seat;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/73/NW-D30973_wm.jpg,,,,White,Flexi-Fix,1 year,N,Yes,Patented V plate hinges,110mm - 200,Zinc,Thermoset,D-Shape,WL601722H,Flexi-Fix,N,Adjustable hinges fit all standard toilets,Made from anti-bacterial treated thermoset plastic,Chrome plated hinges,Soft close hinges prevents the seat from slamming shut,All fittings included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PB24016,Nabis Concealed cistern bottom entry concealed cistern and button,Nabis,39.49,"Containing an innovative air inlet valve, this Nabis concealed cistern can achieve an AG-type air gap. Suitable for in-wall or furniture installation, this compact cistern has a push button adjustable dual flush with delayed action inlet valve for water economy. Supplied as a complete kit for easy installation, the Nabis cistern includes a flushing valve, bottom entry inlet valve and chrome push button.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Nabis Concealed cistern bottom entry concealed cistern and button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/17/NW-B24016_B24017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/B24016_Nabis_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B24016_B24017_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PB08702,Center CB toilet seat and cover White,Center,11.75,as per column O,Bathrooms and Kitchens/Toilets/Toilets.csv -> Center CB toilet seat and cover White,,White toilet seat and cover with hinge fixings and instruction leaflet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/02/NW-B08702_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PA05652,Nabis Lily soft close toilet seat quick release top fix hinge and lock,Nabis,20.0,"Strong and long lasting, the Nabis Lily round toilet seat and cover is made of shatter-resistant thermoplastic with quick-release, top fix stainless steel hinge with Lock+ to ensure a reliable, movement-free install. The Lily's soft close automatic closure system protects fingers and closes quietly at the lightest of touches.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Nabis Lily soft close toilet seat quick release top fix hinge and lock,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/42/598342_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT41933,Scudo Pronto Complete Toilet in a box with soft close seat.,Scudo,65.11,"Ready to install, the Scudo Pronto toilet set has a modern oval design and is supplied complete with 6/3L dual flush and a soft-close seat for slam-free use.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Scudo Pronto Complete Toilet in a box with soft close seat.,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/33/T41933_wm.jpg,,,,White,Pronto,Lifetime,N,Yes,,,,Ceramic,Oval,COMPLETE-TOILETSET,,N,Fittings included,Pan fixing kit sold separately,Soft-close seat action,Oval-shaped seat,6/3L dual flush action,650,6/3L,Contempory oval,No,Yes,Ceramic construction,White finish,Lifetime warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT41934,Tradefix complete basin and pedestal 1th,Tradefix,52.51,"A sensible economy buy, the Tradefix 440mm complete basin and pedestal is a ready-to-install pairing designed for ease of specification. Wall-mounted, this sink is supplied with a single taphole for one mixer tap and a pedestal for a neat finish.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Tradefix complete basin and pedestal 1th,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/34/T41934_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/T41934_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PD30975,Eyre Flexi-Fix D-shaped toilet seat White,Eyre,34.49,"Antibacterial for cleaner use, this Croydex Eyre Flexi-Fit D-shaped toilet seat is made of white thermoset plastic and includes soft close chrome-plated adjustable hinges designed for fitting to all standard toilets.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Eyre Flexi-Fix D-shaped toilet seat White,,Toilet seat;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/75/NW-D30975_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PB98509,Saniflo Sanibest Pro pro small bore sanitary system,Saniflo,587.5,"Ideal for heavy duty use, the Saniflo Sanibest Pro macerator pump is designed for public or commercial environments, handling connection to a toilet, basin, bidet and shower for effective waste removal from a busy bathroom. Fitted with an activated carbon filter and able to deal with high temperatures over short periods, the Sanibest Pro offers effective, odour-free performance.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Saniflo Sanibest Pro pro small bore sanitary system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/09/NW-B98509_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sani_Best_Pro_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B98509_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PB96681,Saniflo Sanispeed+ sanispeed and macerator pump with four inlets,Saniflo,482.51,"Suitable for light commercial or domestic applications, the Saniflo Sanispeed+ macerator pump includes four inlets for the connection of a range of basins and appliances including washing machines and dishwashers or toilets and showers. Compact and quiet, the Sanispeed+ fits unobtrusively into a cupboard or under a countertop for convenient, out-of-sight use.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Saniflo Sanispeed+ sanispeed and macerator pump with four inlets,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/81/NW-B96681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B96681_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sani_Speed_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PB98224,Grundfos Sololift2 macerator,Grundfos,415.78,"An ultra-compact solution for grey waste water, the Grundfos Sololift2 C-3 macerator pump is an automatic lifting station suitable for use in homes where gravity drainage isn't available. Small in size and easy to service, the Sololift2 is an ideal choice where space is at a premium.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Grundfos Sololift2 macerator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/24/B98224_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B98224_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_Sololift2_C_3_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PB61710,Nabis Lamone Closed coupled WC pack,Nabis,99.0,"An easy way to furnish a bathroom, this Nabis Lamone bathroom pack includes a close-coupled toilet with horizontal outlet, a water-saving push button cistern and a premium Lamone soft close seat and cover.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Nabis Lamone Closed coupled WC pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/10/NW-B61710_wm.jpg,,,,White,Lamone,,N,,,,,,,B61710 PK,WC Pack,N,White vitreous china,Soft close seat,Includes toilet fixings,10 year warranty on ceramics,5 year warranty on cistern fittings and toilet seats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PB96675,"Saniflo Saniplus Up macerator pump for WC, basin, bidet and shower",Saniflo,528.5,"Ideal for your add-on en-suite bathroom, the Saniflo Saniplus UP macerator pump includes four inlets and a large tank capacity for effortless removal of waste from your toilet, basin, bidet and even from a high output power shower. With easy access for maintenance via a removable lid and easy installation when replacing existing Saniflo products, the Saniplus Up is a convenient choice for retrofit or new installation.","Bathrooms and Kitchens/Toilets/Toilets.csv -> Saniflo Saniplus Up macerator pump for WC, basin, bidet and shower",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/75/NW-B96675_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B96675_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sani_Plus_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PP07585,Geberit Selnova close coupled WC semi shrouded horizontal outlet,Geberit,150.23,"A classic design, the Geberit Selnova floor standing WC pan is a simple, understated toilet that will suit any bathroom. With its high-quality build and versatility, this round WC pan is made of robust vitreous china with a white finish.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Geberit Selnova close coupled WC semi shrouded horizontal outlet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/85/NW-P07585_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_501042006_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PP07591,Geberit Selnova Square Close coupled square cistern push button BSIO,Geberit,118.4,"Suitable for close-coupled WCs, the Geberit Selnova Square cistern's classic, simple and discreet design is made of a robust white vitreous china to blend seamlessly with most bathroom suites.  This cistern has a dual flush operated with a simple push-button capable  of a flush range volume of 2.6 to 6 litres, saving you water. Combine with Geberit Selnova Square CC Pan & Seat.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Geberit Selnova Square Close coupled square cistern push button BSIO,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/P07591_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/P07591_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PN66493,Ideal Standard i.Life S compact back-to-wall WC,Ideal Standard,206.71,"A simple design for modern interiors, this Ideal Standard i.Life S compact back-to-wall RimLS+ open bowl WC pan has been created for reduced water waste. This contemporary designer toilet forms part of the wider i.Life S range, allowing you to create a harmonious bathroom suite that makes the most the available space, even in the smallest room in the house.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Ideal Standard i.Life S compact back-to-wall WC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/93/N66493_wm.jpg,,,,White,i.Life S,Lifetime,N,,,,,Vitreous China,Oval,E255901,,N,Designed by Palomba Serafini Associati,Compact design,Vitreous china construction,White finish,Back-to-wall installation,,,Contemporary,Yes,,Water efficient design,With RimLS+ flush technology,Slow close seat sold separately,Lifetime warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PB61696,Nabis Lamone premium soft close seat and cover,Nabis,80.43,"Built to last, the Nabis Lamone D-shaped toilet seat and cover has a smart smooth white finish for reliable matching to the wider Lamone bathroom range. With soft close hinges, this toilet seat closes quietly for safer, less disruptive use.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Nabis Lamone premium soft close seat and cover,,Toilet seat;Cover;Hinge,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/96/B61696_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B61695-B61696_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_Lamone_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PB01092,Nabis Pride WC pack,Nabis,121.65,"This handy Nabis Pride bathroom pack includes the Nabis Pride close-coupled washdown toilet pan with horizontal outlet and open flushing rim and a 6/3L dual flush cistern. Modern and streamlined, the Pride range has a simple contemporary design that will suit the majority of bathrooms.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Nabis Pride WC pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/2_/pk/B01092 PK_wm.jpg,,,,White,Pride,,N,,,,,,,B01092 PK,WC Pack,N,Toilet seat with antibacterial coating,6/3L dual flush,Retaining buffer,Top fix seat,White vitreous china,,,,,,To comply with UK Water Regulation 4 (1) (a) and the Interim Agreement regarding the prevention of backflow this product should be installed with a double check valve,Lifetime warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PN68977,Ideal Standard i. Life S close coupled cistern 4/2.6L,Ideal Standard,160.0,"A designer-look unit for modern bathrooms, the Ideal Standard i.Life S close-coupled toilet cistern is particularly well-suited to bathrooms where space is limited. Helping to save on water waste, this push-button operated cistern has a dual flush mechanism.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Ideal Standard i. Life S close coupled cistern 4/2.6L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/77/N68977_wm.jpg,,,,White,,Lifetime,N,,,,,Vitreous China,,E337401,Cistern,N,Designed by Palomba Serafini Associati,Push-button operation,Water saving dual flush,White colour,Vitreous china construction,150,,,No,,Lifetime warranty,,,,Dual,push button,No,bottom,Push Button,4 l,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PB87200,Armitage Shanks Gemini toilet seat and cover White,Armitage Shanks,76.27,"Simple, lightweight and strong, the bottom fixing Armitage Shanks Gemini round toilet seat and cover is made of a tough white plastic. Built for long lasting durability, this loo seat is an economical choice for any bathroom.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Armitage Shanks Gemini toilet seat and cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/00/NW-B87200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Armitage_Shanks_Gemini_S4055_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/AS_Sandringham_21_Plumbers_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B87200_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PB96673,Saniflo Saniflo Up macerator pump for WC,Saniflo,378.48,"The original Saniflo Up macerator pump unit is supplied complete with non-return valve and activated carbon filter to combat nasty odours. An ideal installation for a single toilet, the Up provides easy access for maintenance and simple installation, particularly when replacing an existing Saniflo product.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Saniflo Saniflo Up macerator pump for WC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/73/NW-B96673_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B96673_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sanibroyeur_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PB61081,Center CB Centresuite B61081 One box full toilet solution,Center CB,73.08,"Helping to make fitting a new toilet easy, this Center CB Centersuite toilet pack includes a modern close-coupled WC pan, cistern and seat along with all necessary fittings in a single box.",Bathrooms and Kitchens/Toilets/Toilets.csv -> Center CB Centresuite B61081 One box full toilet solution,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/81/NW-B61081_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Center_CB_8282560002431_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/CenterCB_B61021-B61022_Pan_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PB98529,"Saniflo Saniflush All in one WC, complete with macerator for WC, basin, shower",Saniflo,994.47,"A timeless design for any bathroom, the Saniflo all-in-one WC has a built-in macerator and a 3/6L spiral flush system for reliable and convenient use. Offering the option to add in a basin and shower, the macerator is easily accessed by simply sliding back the ceramic panel, making cleaning and maintenance simple.","Bathrooms and Kitchens/Toilets/Toilets.csv -> Saniflo Saniflush All in one WC, complete with macerator for WC, basin, shower",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/66/598966_wm.jpg,,,,White,Saniflush,2 years,N,,,,,Ceramic,,1089,Toilet Cistern,N,All-in-one design,"With macerator to accommodate WC, basin and shower",Push-button operation,3/6L dual flush,Ceramic construction,671,,,Yes,,White colour,Inlets on each side,2 year warranty,,dual flush push button,N/A,N/A,one on each side,Push Button,6 l,,,,,,,,,,,,,,,,,,,,,,,,,,,
