,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Flow Rate,Max System Pressure Cold (Bar),Min System Pressure Cold (Bar),Warranty,Hazardous,Depth (mm),Material,Number of Outlets,Number of Spray Patterns,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Range,Pressure,Water Heating Declared Load Profile,Water Heating Energy Efficiency Class,Sound Power Level (Indoors),Manual / Thermostatic,Shower Head Diameter,Engine Box Height (mm),Engine Box Width (mm),Engine Box Depth (mm),Hose Length,Water Entry,Water Heating Energy Efficiency,Cable Entry,Operating Temperature,Projection Depth,Style,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Number of Tap Holes,Attachment 6,Feature 13,Attachment 7,Attachment 8,Pack Quantity,Remote Options,Shower Head Position,Controls,Display Type,Water Entry Points,Voltage (V),Feature 14,Eco Setting
245,PD53225,Aqualisa eVolve white/satin silver 9.5kW,Aqualisa,235.61,"Combining style and quality in a robust package, the streamlined Aqualisa eVolve electric shower has a fresh Arctic White casing with a contoured silver satin trim. Offering flexible installation, this modern unit is a suitable retrofit for most older electric showers thanks to multi-fit connection options while connection to an existing cold water supply at 240V is simple. With a variety of power settings and three spray patterns, this 9.5kW shower provides the perfect shower experience for everybody and every situation. Meanwhile, individual temperature control along with a digital temperature display allows for smooth, precise adjustment. For safety and practicality, the eVolve incorporates an over-temperature stop function as well as an automatic phased shutdown to reduce the build-up of limescale.",Showering/Showers/Showers.csv -> Aqualisa eVolve white/satin silver 9.5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/25/D53225_wm.jpg,,,,,,White / Satin Silver,"'@3 bar Min 2.7-3.3ltr/min, max 11ltr/min",10,0.85,2 Year,N,89,,,3,VOPZ26,,N,Digital temperature display and control dial,Satin silver trim,Illuminated push power button and Low water pressure indicator,3 power settings,Stainless steel hose,Universal multifit: 8 water & electric entry points,"105mm Flow Handset with 3 spray settings, rub clean nozzles and a push button slider",Over temperature protection and phased shut down safety features,Retrofitable,,,,Evolve,0.85-10 bar,XS,A,15 dB,Manual,105,379,244,89,1500,"Right & left hand side, top, bottom, side & rear",38,Left - Bottom / Side / Top,,,,,,,,,,,,,,,,,,,,,,,,
246,PA76231,Aqualisa Quartz Touch Smart concealed high pressure shower with adjustable head,Aqualisa,705.6,"The eco-friendly Aqualisa Quartz Touch concealed high pressure shower with adjustable head provides a smart personalised showering experience via a range of clever controls including a large rotary temperature ring, proximity sensor and one-touch stop/start. Wi-Fi and app compatible and with an optional wireless remote control, the Quartz Touch makes starting a shower simple, via smartphone, digital assistant or voice control.",Showering/Showers/Showers.csv -> Aqualisa Quartz Touch Smart concealed high pressure shower with adjustable head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/31/NW-A76231_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Touch_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZST_A1_BV_20_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PC25035,Ideal Standard Sandringham SL 21 deck mounted two hole bath shower mixer,Ideal Standard,172.88,"Part of an extensive range of bathroom fittings, the Ideal Standard Sandringham SL 21 two hole bath shower mixer helps you to create a cohesive, classic bathroom design without compromising on performance. Built in tough brass with a chrome-plated finish, the Sandringham offers dual control operation and a high flow rate for luxury showering.",Showering/Showers/Showers.csv -> Ideal Standard Sandringham SL 21 deck mounted two hole bath shower mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/35/NW-C25035_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PD80343,Triton Danzi DuElec™ Electric Shower 10.5kW White (1),Triton,344.76,"Supplied with two individual showerheads, the DuElec™ electric shower allows you to choose between the convenience of a targeted handheld spray with a range of spray patterns and the luxury of an overhead rainfall shower. This 10.5kW shower is supplied with a long anti-twist hose",Showering/Showers/Showers.csv -> Triton Danzi DuElec™ Electric Shower 10.5kW White (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/43/D80343_wm.jpg,,,,,,White,1 bar @ 8 l/min,10,1,2 years,N,90,,,51,GEDADU11,,N,White unit with chrome kit,Includes dual diverter,Rub clean nozzles for easy maintenance,With 5 spray pattern handheld showerhead,With single spray pattern fixed shower head,Includes 1.5M shower hose,2 year warranty,,,,,,Danzi DuElec™,10.5kW,XS,A,15 dB,Manual,110203,328,215,90,1.5m anti-twist (main hose)0.75m (connector hose),Bottom Back/Bottom/Bottom Side - Right,39,Right - Back / Top,,,,,,,,,,,,,,,,1,,,,,,,,
249,PD98209,Rada VZ1 shower bar valve (1),Rada,137.1,"A user-friendly choice ideal for multi-resident spaces like student accommodation, the Rada VZ1 bar shower valve is durably built and incorporates a range of safety features including thermostatic operation. Offering separate controls for temperature and flow, the VZ1 supplies reliably comfortable flow and temperature even when pressures are low.",Showering/Showers/Showers.csv -> Rada VZ1 shower bar valve (1),,"Surface mounted chrome plated bar valve with seperate flow and;temperature controls, supplied with a 6 lit/min flow regulator .",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/_a/D98209_A_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/D98209_Rada VZ1 10 Bar Valve Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PA76237,Aqualisa Quartz Touch Smart divert concealed high pressure shower with adjustable and fixed heads,Aqualisa,899.3,"The eco-friendly Aqualisa Quartz Touch concealed high pressure shower with adjustable head and wall drencher provides a smart personalised showering experience via a range of clever controls including a large rotary temperature ring, proximity sensor and one-touch stop/start. Wi-Fi and app compatible and with an optional wireless remote control, the Quartz Touch makes starting a shower simple, via smartphone, digital assistant or voice control.",Showering/Showers/Showers.csv -> Aqualisa Quartz Touch Smart divert concealed high pressure shower with adjustable and fixed heads,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/37/NW-A76237_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Touch_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZST_A1_BV_DVFW_20_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PD53216,Aqualisa AQ AQSQBAR1 cool touch square bar valve,Aqualisa,122.47,"With its square design, modern brass valve and metal handles, this Aqualisa bar valve creates a high quality, alternative look for the modern bathroom. The cool touch body, as well as the temperature override button, add assuring safety features which make it a great choice for family-friendly showering. Complete with a single mode 89mm square handset, the contemporary bar valve is available in polished chrome and can be installed on all UK water systems. Our 5 year guarantee applies as standard (T&C's apply)",Showering/Showers/Showers.csv -> Aqualisa AQ AQSQBAR1 cool touch square bar valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/16/NW-D53216_wm.jpg,,,,,,Chrome/Metallic,15.10 l/min,5,0.1,5 Years,N,97,"Chrome, brass, zinc, plastic",Dual,1,AQSQBAR1,Thermostatic,N,Cool touch valve for added safety,Suits all UK water systems,Easy fix brackets,Metal handles for a quality feel,Temperature override button,89mm single mode handset,5 Year guarantee,,,,,,AQ,0.1 - 5 Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
252,PD51315,Aqualisa Aspire DL exposed variable shower with head 105mm,Aqualisa,426.98,"Boasting a classic design, the Aqualisa Aspire DL exposed mixer shower combines functionality with style in a robust chrome-finished brass package that will suit most bathrooms. Offering precise control over temperature and water flow, the Aspire has a dual lever and large Harmony showerhead with four generous spray settings, including a water-saving Eco selection.",Showering/Showers/Showers.csv -> Aqualisa Aspire DL exposed variable shower with head 105mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/15/NW-D51315_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Aqualisa_Product_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Aspire_DL_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_Aspire_DL_ASP001EA_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PD80331,Triton Omnicare thermostatic electric shower with grab rail 8.5kW,Triton,541.69,"BEAB Care Mark approved, the Triton Omnicare 8.5kW thermostatic electric shower with grab rail blends safety with style for a shower that fits any home. Fitted with a wide range of accessibility features, including a grey toned dial and soft-touch start/stop button, this shower also offers reliable safety via its scald-free thermostatic control, keeping the selected temperature within a single degree. An extended riser rail and longer length shower hose meanwhile make the Omnicare suitable for both seated and standing showering.",Showering/Showers/Showers.csv -> Triton Omnicare thermostatic electric shower with grab rail 8.5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/31/NW-D80331_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Triton_OmnicareDesign_Shr_GRail_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Triton_Omnicare_EShower_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Triton_Omnicare_Design_Shr_GRail_ERP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/TritonOmnicareDesign_Shr_Grail_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PA76238,Aqualisa Quartz Touch Smart divert concealed high pressure shower with adjustable and fixed heads,Aqualisa,899.3,"The eco-friendly Aqualisa Quartz Touch concealed high pressure shower with adjustable head and ceiling drencher provides a smart personalised showering experience via a range of clever controls including a large rotary temperature ring, proximity sensor and one-touch stop/start. Wi-Fi and app compatible and with an optional wireless remote control, the Quartz Touch makes starting a shower simple, via smartphone, digital assistant or voice control.",Showering/Showers/Showers.csv -> Aqualisa Quartz Touch Smart divert concealed high pressure shower with adjustable and fixed heads,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/38/NW-A76238_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZST_A1_BV_DVFC_20_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Touch_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
