,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Diameter,Range,Weight,Hazardous,Body Material,Handle Type,Seal Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment Type,Handle Colour,Material,Number of Ports,Seat Material,Standards,Attachment 3,Attachment 4,Attachment 5,Attachment 6
10,PP27075,"Durapipe 311E UPVC/EPDM double union ball valve 2""",Durapipe,112.92,"This Durapipe 311E double union ball valve includes 2"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Durapipe 311E UPVC/EPDM double union ball valve 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/75/NW-P27075_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,,,,,,,
11,PP96913,"Georg Fischer 22L ABS EPDM safe double union ball valve 1""",Georg Fischer,227.89,"Suitable for use in industrial setings, this TP double union lever operated ball valve includes 1"" solvent weld connections and a locking end for easy adjustment of torque on the ball in the valve, depending on water pressure. The handle of this valve can be removed and used as a spanner to tighten the locking end. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Georg Fischer 22L ABS EPDM safe double union ball valve 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/13/NW-P96911_P96913_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,
12,PP62226,Talis Talbot 25mm D/Check Valve Pushfit E3785,Talis,36.06,"This Talis Talbot double check valve with 25mm push-fit connections is designed for 20mm MDPE. This valve prevents back flow or negative water pressure, ensuring that possibly contaminated water doesn't re-enter the supply network.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Talis Talbot 25mm D/Check Valve Pushfit E3785",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/26/NW-P62226_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talis_Talbo_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talis_House_Connection_Catalogue.pdf,,,,,,,,,,
13,PP97045,"Georg Fischer 22L upvc double union safeblock ball valve 1.1/2""",Georg Fischer,152.7,"This Georg Fischer TP Safeblock double union ball valve includes 1 1/2"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,,,,,,,
14,PP51092,GF BALL VALVE 546 PRO PVC-U/EPDM 2IN DN50,Georg Fischer,265.18,"Suitable for use in a wide range of settings, this Georg Fischer 546 Pro ball valve is lever-operated and includes 50mm connections. This valve's modular construction ensures simple operation with universal automation options and high levels of process safety. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> GF BALL VALVE 546 PRO PVC-U/EPDM 2IN DN50",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/92/NW-P51092_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/st/Georg_Fischer_546_Pro_BallValve_Inst.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Georg_Fischer_546_Pro_BallValve_Tech.pdf,,,,,,,,,,
15,PP27089,"Durapipe epdm abs double union ball valve 1""",Durapipe,53.3,"Lever-operated, this Durapipe ABS (acrylonitrile butadiene styrene) 1"" ball valve with solvent weld connections is suitable for use in pressurised irrigation systems, drinking water, chemical installations and for water treatment. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Durapipe epdm abs double union ball valve 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_a/bs/724 valve ABS_wm.jpg,1,Solvent weld,1,,0.48087,N,ABS (Acrylonitrile Butadiene Styrene),Lever,EPDM,S7240320,Ball Valve,N,ABS construction,With EPDM seal,Ductile at low temperatures,Fully matched valvesg,Variety of suitable control options available,Variety of seal options available,25 year design life,,,,,,,,,,,,,
16,PP55654,"Durapipe 322E upvc double union economy ball valve 2""",Durapipe,72.37,"This Durapipe PVC-U ball valve includes 2"" male x male solvent weld connections. It is ideal for use in pressurised irrigation systems, drinking water, chemical installations and for water treatment. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Durapipe 322E upvc double union economy ball valve 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/54/NW-P55654_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,,,,,,,
17,PP55653,"Durapipe upvc double union economy ball valve 1.1/2""",Durapipe,48.62,"Suitable for use in irrigation systems and water treatment plants, this Durapipe 1 1/2"" uPVC/EPDM double union economy ball valve is also WRAS approved for drinking water applications and highly resistant for use in chemical installations. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Durapipe upvc double union economy ball valve 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC 322 image_wm.jpg,1 1/2,Solvent weld,1 1/2,,0.48087,N,PVC,Lever,EPDM,I3220500,Ball Valve,N,With RAL 7011 lever-type handle,PVC-u construction,With EPDM seal,Excellent chemical resistance,System matched,Compatible with a variety of controls,WRAS approved,25 year design life,,,Double Union Ball Valve,RAL 7011,Unplasticized Polyvinyl Chloride (PVC-U),2,Polyethylene,WRAS,,,,
18,PP94843,Uponor S-Press MLCP compression lever ball valve 40mm,Uponor,116.51,"Supplied in a pack of six, these Uponor S-Press 40 x 40mm ductile iron lever ball valves are delivered fully assembled and sealed with press adapters ready for use with MLC pipes. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Uponor S-Press MLCP compression lever ball valve 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/44/NW-P94839_P94844_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_S-Press_PLUS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,
19,PP67509,Georg Fischer 546 PP-H ball valve with EPDM insert DN15 PN10 20mm,Georg Fischer,94.15,"Offering a true union and floating ball design, this Georg Fischer 546 20mm ball valve is fully moulded and full port with two-way blocking capability. The valve's stem is blow out-proof and fitted with a double O-ring seal with a pre-determined break point opposite the media side of the stem seals. The seat carrier of the 546 valve is adjustable and reverse threaded while the handle doubles as a seat carrier adjustment and removal tool. This valve incorporates buttress-type valve nut threads and seats with elastomeric backing O-rings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Georg Fischer 546 PP-H ball valve with EPDM insert DN15 PN10 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/09/NW-P67509_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/st/Georg_Fischer_546_Pro_BallValve_Inst.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_546_Ball_Valve_Technical.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/GF_546_Ball_Valve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Georg_Fischer_6383_Ball_Valve_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Georg_Fischer_546_Pro_BallValve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_546_Ball_Valve_Brochure.pdf
20,PP45971,"Philmac 3G 95372 ball valve 25mm x 3/4""",Philmac,42.72,"This Philmac 3G 25mm ball valve incorporates slide-and-tighten technology, meaning no pipe preparation is required and pushing the pipe past the seal needs no force, making installation fast and easy.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Philmac 3G 95372 ball valve 25mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/73/NW-P45971_P45973_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Product_Guide.pdf,,,,,,,,,,,
21,PP97042,"Georg Fischer 22L upvc double union safeblock ball valve 3/4""",Georg Fischer,60.37,"This Georg Fischer TP Safeblock double union ball valve includes 3/4"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,,,,,,,
22,PP97043,"Georg Fischer 22L upvc double union safeblock ball valve 1""",Georg Fischer,103.22,"This Georg Fischer TP Safeblock double union ball valve includes 1"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,,,,,,,
