,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Capacity (kg),Ports (single / dual),Size,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Weight
0,P624143,A-Gas RECO0010 Small Rental Recovery Cylinder 10ltr / 10kg,A Gas,109.0,This A-Gas small 10kg rental recovery cylinder with yellow valve guard is designed for returning recovered refrigerant that the user no longer needs. The cylinder includes a dual port valve for straightforward push-pull recovery of gas.,Refrigeration/Refrigeration Cylinders/Refrigeration Cylinders.csv -> A-Gas RECO0010 Small Rental Recovery Cylinder 10ltr / 10kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/43/NW-624143_wm.jpg,Yellow,Y,10,Dual,Small,RECO0010,RECO0010,Recovery Cylinder,N,Yellow valve guard,Dual port valves enable push-pull gas recovery,Returned to A-Gas containing product,Different refrigerants should not be mixed,Maximum fill weight stencilled and labelled on cylinder,Maximum fill weight should be adhered to at all times,Standard recovery cylinder not suitable for hydrocarbons and high pressure refrigerants,May contain traces of oil and other contaminants,
1,P624144,A-Gas Large Rental Recovery Cylinder 60ltr / 45kg,A Gas,147.0,This A-Gas large 45kg rental recovery cylinder with yellow valve guard is designed for returning recovered refrigerant that the user no longer needs. The cylinder includes a dual port valve for straightforward push-pull recovery of gas.,Refrigeration/Refrigeration Cylinders/Refrigeration Cylinders.csv -> A-Gas Large Rental Recovery Cylinder 60ltr / 45kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/44/NW-624144_wm.jpg,Yellow,Y,45,Dual,Large,RECO0045,RECO0045,Recovery Cylinder,N,Yellow valve guard,Dual port valves enable push-pull gas recovery,Returned to A-Gas containing product,Different refrigerants should not be mixed,Maximum fill weight stencilled and labelled on cylinder,Maximum fill weight should be adhered to at all times,Standard recovery cylinder not suitable for hydrocarbons and high pressure refrigerants,May contain traces of oil and other contaminants,
2,P624146,A-Gas Large Rental Receiver Cylinder 45kg,A Gas,159.0,This A-Gas large 45kg recovery cylinder with yellow and black banded valve guard is designed to be used temporary storage for refrigerant that will be re-introduced into a system. The cylinder includes a dual port valve for straightforward push-pull recovery of gas.,Refrigeration/Refrigeration Cylinders/Refrigeration Cylinders.csv -> A-Gas Large Rental Receiver Cylinder 45kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/46/NW-624146_wm.jpg,,Y,45,Dual,Large,RECE0045,RECE0045,Receiver Cylinder,N,Black valve guard,Dual port valves enable push-pull gas recovery,Should be returned empty,Different refrigerants should not be mixed,Maximum fill weight stencilled and labelled on cylinder,Maximum fill weight should be adhered to at all times,Standard recovery cylinder not suitable for hydrocarbons and high pressure refrigerants,May contain traces of oil,
3,P624145,A-Gas Small Rental Receiver Cylinder 10kg,A Gas,129.01,This A-Gas small 10kg recovery cylinder with yellow and black banded valve guard is designed to be used temporary storage for refrigerant that will be re-introduced into a system. The cylinder includes a dual port valve for straightforward push-pull recovery of gas.,Refrigeration/Refrigeration Cylinders/Refrigeration Cylinders.csv -> A-Gas Small Rental Receiver Cylinder 10kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/45/NW-624145_wm.jpg,Grey,Y,10,Dual,Small,RECE0010,RECE0010,Receiver Cylinder,N,Black and yellow valve guard,Dual port valves enable push-pull gas recovery,Should be returned empty,Different refrigerants should not be mixed,Maximum fill weight stencilled and labelled on cylinder,Maximum fill weight should be adhered to at all times,Standard recovery cylinder not suitable for hydrocarbons and high pressure refrigerants,May contain traces of oil,
4,P624649,A-Gas rental flammable receiver 10kg,A Gas,149.0,This A-Gas 10kg flammable receiver cylinder with yellow and black banded valve guard is designed to be used temporary storage for refrigerant that will be re-introduced into a system. It is designed to handle flammable hydrocarbon refrigerants.,Refrigeration/Refrigeration Cylinders/Refrigeration Cylinders.csv -> A-Gas rental flammable receiver 10kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/49/NW-624649_wm.jpg,,Y,10,,,,FLRECE10,Flammable Receiver Cylinder,N,Yellow and black banded valve guards,"Designed to handle isobutane (R600a), propane (R290) and propylene (R1270)",Labelled hydrocarbon refrigerants only,,,,,,0.02000
5,P624648,A-Gas Small Rental High Pressure Recovery Cylinder 8kg,A Gas,129.0,This A-Gas HP small 8kg recovery cylinder is designed for returning recovered refrigerant that the user no longer needs. This high pressure recovery cylinder is suitable for high pressure refrigerants.,Refrigeration/Refrigeration Cylinders/Refrigeration Cylinders.csv -> A-Gas Small Rental High Pressure Recovery Cylinder 8kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/48/NW-624648_wm.jpg,,Y,8,,Small,,RECO00HP,HP Recovery Cylinder,N,For high pressure refrigerants including R23 and R508A and B,,,,,,,,0.02000
