,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Model For Use With,Power Supply,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Dimensions (L x W x D),Range,Diameter,Nominal Running Current (A),Speed RPM,Phase,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7
34,P614793,Pole Star ring mounted sucking fan 230mm 7w,Pole Star,266.97,"Suitable for use in industrial and commercial refrigeration, this Pole Star 230mm ring-mounted fan has four shaded poles, is single phase and runs at a nominal tension of 230VAC at 50/60Hz with an output power ranging from 7W.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star ring mounted sucking fan 230mm 7w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/94/NW-614793_614794_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Pole-Star_Fans_Catalogue-2015.pdf,,,,,,,,,,,,,,,,,,,,
35,P679543,Pole Star fan motor,Pole Star,304.46,"This Pole Star 230V, 1P, 12 - 15W electronically commutated fan motor offers a good level of energy efficiency.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star fan motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/43/NW-679543_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_ECFM12-1_DWG.pdf,,,,,,,,,,,,,,,,,,,,
36,P679518,Pole Star multi-fit motor output 10w,Pole Star,64.85,"This Pole Star 10W multi-fit fan motor has an 84mm body diameter and two aluminium end shields with sleeve or ball bearing operating at -40 to +60. IP42 or IP44 protected, this motor is rated continuously air over motor with an insulation rating of class B.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star multi-fit motor output 10w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/19/NW-679518_679519_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_PS10BM-1_DWG.pdf,,,,,,,,,,,,,,,,,,,,
37,P694862,Pole Star GMA 1 phase 4 pole mounted axial sucking fan 450mm,Pole Star,533.06,"Hardwearing, reliable and quiet in operation, this Pole Star GMA 450mm axial fan is suitable for use in a range of settings and applications, from gymnasiums to warehouses, agricultural extract and supply to lift shaft ventilation. Powered by an external rotor motor and fitted with a sickle blade, this fan offers a fixed airflow direction and degree of pitch and is supplied with a basket guard, although flat guards, wall mounting plates and cased tubes are all separately available.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star GMA 1 phase 4 pole mounted axial sucking fan 450mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/63/NW-694861_694863_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Pole-Star_Fans_Catalogue-2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_GMA1-450S-1_DWG.pdf,,,,,,,,,,,,,,,,,,,
38,P679522,Pole Star multi-fit motor output 34w,Pole Star,89.54,"This Pole Star 34W multi-fit fan motor has an 84mm body diameter and two aluminium end shields with sleeve or ball bearing operating at -40 to +60. IP42 or IP44 protected, this motor is rated continuously air over motor with an insulation rating of class B.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star multi-fit motor output 34w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/22/NW-679522_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_PS34BM-1_DWG.pdf,,,,,,,,,,,,,,,,,,,,
39,P694913,Pole Star compact axial fan leads 120 x 120 x 38mm 230v,Pole Star,57.75,"A Pole Star 230V, 1P, 21W compact axial fan motor with ball bearings.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star compact axial fan leads 120 x 120 x 38mm 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/13/NW-694913_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Pole-Star_Fans_Catalogue-2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_PS1238BL-1_DWG.pdf,,,,,,,,,,,,,,,,,,,
40,P678467,Pump House tangential fan motor 180mm 20w,Pump House,178.87,This Pump House tangential single impeller fan motor with aluminium blade is a suitable replacement part for use in most industrial and commercial refrigeration and ventilation equipment.,Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House tangential fan motor 180mm 20w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/67/NW-678467_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Tangential-FM_Data-Sheet.pdf,,,,,,,,,,,,,,,,,,,
41,P667395,Pump House axial fan motor ball 120 x 120 x 25mm,Pump House,68.81,"Compact in design, this Pump House 120 x 120 x 25mm axial mini shaded fan motor is made of a lightweight reinforced plastic. Promising low operational noise, the fan motor is suitable for use on refrigeration equipment, bottle coolers, vending machines and similar ventilating and cooling equipment.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House axial fan motor ball 120 x 120 x 25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/95/NW-667392_667395_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Axial-FM_Datasheet.pdf,,,,,,,,,,,,,,,,,,,
42,P694859,Pole Star GMA 1 phase 4 pole mounted axial sucking fan 350mm,Pole Star,393.36,"Hardwearing, reliable and quiet in operation, this Pole Star GMA 350mm axial fan is suitable for use in a range of settings and applications, from gymnasiums to warehouses, agricultural extract and supply to lift shaft ventilation. Powered by an external rotor motor and fitted with a sickle blade, this fan offers a fixed airflow direction and degree of pitch and is supplied with a basket guard, although flat guards, wall mounting plates and cased tubes are all separately available.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star GMA 1 phase 4 pole mounted axial sucking fan 350mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/59/NW-694859_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Pole-Star_Fans_Catalogue-2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_GMA1-350S-1_DWG.pdf,,,,,,,,,,,,,,,,,,,
43,P677592,Tecumseh Lunite fan motor assembly 220v 22w,Tecumseh,159.81,"This Tecumseh Lunite 240V, 1P, 22W fan motor assembly has a 300mm diameter and 160mm shaft. It is suitable for use with CAE9470ZMHR, CAJ9480ZMHR, T/CAJ9510ZMHR, T/CAJ9513ZMHR, CAJ4476YHR, CAJ4492YHR, T/CAJ4511YHR, T/CAJ2446ZBR and T/CAJ2464ZBR.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Tecumseh Lunite fan motor assembly 220v 22w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/92/NW-677591_677592_wm.jpg,,,N,CAE9470ZMHRCAJ9480ZMHRT/CAJ9510ZMHRT/CAJ9513ZMHRCAJ4476YHRCAJ4492YHRT/CAJ4511YHRT/CAJ2446ZBRT/CAJ2464ZBR,"240 VAC at 50 Hz, 1P, 22 W",8668734,Fan / Motor Assembly,N,Shaft height: 160mm,,300 mm (Dia),Lunite,,,,,,,,,
44,P614790,Pole Star ring mounted sucking fan 154mm 5w,Pole Star,237.52,"Suitable for use in industrial and commercial refrigeration, this Pole Star 154mm ring-mounted fan has four shaded poles, is single phase and runs at a nominal tension of 230VAC at 50/60Hz with an output power ranging from 5W.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star ring mounted sucking fan 154mm 5w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/91/NW-614790_614791_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Pole-Star_Fans_Catalogue-2015.pdf,,,,,,,,,,,,,,,,,,,,
45,P694854,Pole Star GMA 1 phase 4 pole mounted axial sucking fan 300mm,Pole Star,373.83,"Hardwearing, reliable and quiet in operation, this Pole Star GMA 300mm axial fan is suitable for use in a range of settings and applications, from gymnasiums to warehouses, agricultural extract and supply to lift shaft ventilation. Powered by an external rotor motor and fitted with a sickle blade, this fan offers a fixed airflow direction and degree of pitch and is supplied with a basket guard, although flat guards, wall mounting plates and cased tubes are all separately available.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star GMA 1 phase 4 pole mounted axial sucking fan 300mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/54/NW-694854_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_GMA1-300S-1_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Pole-Star_Fans_Catalogue-2015.pdf,,,,,,,,,,,,,,,,,,,
46,P677591,Tecumseh Lunite fan motor assembly 220v 22w,Tecumseh,155.38,"This Tecumseh Lunite 240V, 1P, 22W fan motor assembly has a 250mm diameter and a 130mm shaft. It is suitable for use with AEZ9440ZMHR, CAE9540ZMHR, CAE9460ZMHR, CAE4448YHR/CAJ4452YHR, CAJ4461YHR, CAJ2428ZBR and CAJ2432ZBR.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Tecumseh Lunite fan motor assembly 220v 22w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/92/NW-677591_677592_wm.jpg,,,N,AEZ9440ZMHRCAE9540ZMHRCAE9460ZMHRCAE4448YHR/CAJ4452YHRCAJ4461YHRCAJ2428ZBRCAJ2432ZBR,"240 VAC at 50 Hz, 1P, 22 W",8668733,Fan / Motor Assembly,N,Shaft height: 130mm,,250 mm (Dia),Lunite,,,,,,,,,
47,P694890,Pole Star 3 phase 6 pole mounted axial sucking fan 800mm,Pole Star,2961.36,"This Pole Star three-phase, six-pole 800mm axial sucking fan features a 920 RPM motor and 795mm blades. Guard-mounted, it is class F, IP54 protected and supplied with ErP compliance.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star 3 phase 6 pole mounted axial sucking fan 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/90/694890_wm.jpg,,,N,,380-420 V,GMA3-800S6,Axial Fan,N,Three phase,1100W motor power,,,800 mm,"2,4",920,Three Phase,Terminal box connection,Sucking airflow,Noise level of 83dB(a),Class F IP54 insulation,Complies with ErP 2015
