,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Model For Use With,Power Supply,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Dimensions (L x W x D),Range,Diameter,Nominal Running Current (A),Speed RPM,Phase,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7
14,P679521,Pole Star multi-fit motor output 25w,Pole Star,87.45,"This Pole Star 25W multi-fit fan motor has an 84mm body diameter and two aluminium end shields with sleeve or ball bearing operating at -40 to +60. IP42 or IP44 protected, this motor is rated continuously air over motor with an insulation rating of class B.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star multi-fit motor output 25w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/21/NW-679521_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_PS25BM-1_DWG.pdf,,,,,,,,,,,,,,,,,,,,
15,P678469,Pump House tangential fan motor 300mm 30w,Pump House,231.89,This Pump House tangential single impeller fan motor with aluminium blade is a suitable replacement part for use in most industrial and commercial refrigeration and ventilation equipment.,Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House tangential fan motor 300mm 30w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/69/NW-678469_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Tangential-FM_Data-Sheet.pdf,,,,,,,,,,,,,,,,,,,
16,P698760,Tecumseh 24deg fan assembly 356mm 380V 90W,Tecumseh,420.53,"This Tecumseh 380V, 90W fan motor assembly has a 24° pitch, 356mm diameter and 200mm shaft. It is suitable for use with TAJ4517THR ZHR, TAJ4519THR ZHR, TFH4518YHR, TAH4524THR ZHR, TFH4525YHR, TFH2511ZBR, TAH2511KBR, TAH4531THR ZHR, TAH4540THR ZHR and TAH2480RAHBG24.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Tecumseh 24deg fan assembly 356mm 380V 90W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/60/NW-698760_wm.jpg,,,N,TAJ4517THR ZHRTAJ4519THR ZHRTFH4518YHRTAH4524THR ZHRTFH4525YHRTFH2511ZBRTAH2511KBRTAH4531THR ZHRTAH4540THR ZHRTAH2480RAHBG24,"380 VAC at 50/60 Hz, 90 W",8668553,Fan Assembly,N,Shaft height: 200mm,24° Pitch,356 mm (Dia),,,,,,,,,,
17,P659908,Pump House sucking fan blade 230 x 25mm,Pump House,6.95,"Designed for use in multi-fit fan motors and refrigeration systems, this Pump House 230mm sucking fan blade is made of robust aluminium.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House sucking fan blade 230 x 25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/08/NW-659908_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Fan-Assemblies_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,
18,P679519,Pole Star multi-fit motor output 16w,Pole Star,68.27,"This Pole Star 16W multi-fit fan motor has an 84mm body diameter and two aluminium end shields with sleeve or ball bearing operating at -40 to +60. IP42 or IP44 protected, this motor is rated continuously air over motor with an insulation rating of class B.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star multi-fit motor output 16w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/19/NW-679518_679519_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_PS16BM-1_DWG.pdf,,,,,,,,,,,,,,,,,,,,
19,P694907,Pole Star compact axial fan leads 92 x 92 x 25mm 230v,Pole Star,112.41,"A Pole Star 230V, 1P, 16W compact axial fan motor with ball bearings.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star compact axial fan leads 92 x 92 x 25mm 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/07/NW-694907_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Pole-Star_Fans_Catalogue-2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_PS0925BL-1_DWG.pdf,,,,,,,,,,,,,,,,,,,
20,P679520,Pole Star multi-fit motor output 18w,Pole Star,73.77,"This Pole Star 18W multi-fit fan motor has an 84mm body diameter and two aluminium end shields with sleeve or ball bearing operating at -40 to +60. IP42 or IP44 protected, this motor is rated continuously air over motor with an insulation rating of class B.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star multi-fit motor output 18w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/20/NW-679520_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_PS18BM-1_DWG.pdf,,,,,,,,,,,,,,,,,,,,
21,P614792,Pole Star ring mounted sucking fan 200mm 5w,Pole Star,241.61,"Suitable for use in industrial and commercial refrigeration, this Pole Star 200mm ring-mounted fan has four shaded poles, is single phase and runs at a nominal tension of 230VAC at 50/60Hz with an output power ranging from 5W.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star ring mounted sucking fan 200mm 5w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/92/NW-614792_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Pole-Star_Fans_Catalogue-2015.pdf,,,,,,,,,,,,,,,,,,,,
22,P659910,Pump House sucking fan blade 254 x 25mm,Pump House,8.48,"Designed for use in multi-fit fan motors and refrigeration systems, this Pump House 254mm sucking fan blade is made of robust aluminium.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House sucking fan blade 254 x 25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/10/NW-659910_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Fan-Assemblies_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,
23,P691057,Eurogel W1G200 3-wire power lead to suit W1G200 range motors 1.5mtr Black,Eurogel,79.72,This EBM Papst W1G200 three wire lead power cord is designed for use with a 115/230V energy saving motor (ESM).,Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Eurogel W1G200 3-wire power lead to suit W1G200 range motors 1.5mtr Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/57/NW-691057_wm.jpg,,,N,W1G ESM,115/230 V,210-HAR-11830,Power Lead,N,With sealed plug,Conforms to UL standards,1500 mm (L),,,,,,,,,,
