,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Warranty,Hazardous,Depth (mm),Overheat Protection,Pre-Wired,Boiler Section,Boiler Range,Material,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 2,Fuel Type,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Connection Type,Operating Temperature,Weight,Water Heating Declared Load Profile,Sound Power Level (Indoors),Output,Re-heat times,Anti Legionella Function,Water Pressure,Thermostat Temperature,Useage Single / Multi Point,Controls,Eco Setting,ErP Rating,IP Rating,Max Pressure (Psi),Min Pressure (Psi),Mounting Type,Water Connection,Capacity Litre,Feature 5,Feature 6,Attachment 7,Connection Size,Diameter,Energy Efficiency Class,Feature 7,Feature 8,Feature 9,Material Type,Feature 10,Feature 11,Feature 12,Feature 13,Mugs (250ml) per Tank,Antimicrobial Protection,Body Material,Frequency,Min Bar Pressure,Pressure,Voltage (V),Direct / Indirect,Insulation Type,Application,Feature 14,Feature 15,Flow Rate,Watts,Projection,Tap Holes,Safety Lock,Water Options,Cartridge Type,Spout Type,Handle Type,Feature 16,Feature 17,Feature 18,Feature 19,Grade,Pack Quantity,Attachment 8
0,P170857,Center Vent WOLBIND22F copper cylinder g3 l1b 900x450,Center,223.48,"The Center Copper Cylinders are designed, manufactured and tested to the British Standard BS 1566-1. The double feed, indirectly heated cylinders are suitable for pumped primary circuits and a maximum working head of 10 meters. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Water Heating and Storage.csv -> Center Vent WOLBIND22F copper cylinder g3 l1b 900x450,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/60/NW-170856_170860_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_VentedFoam_Cylinder_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD75043,Heatrae Sadia Multipoint ECO lower immersion heater,Heatrae Sadia,151.35,"A Heatrae Sadia immersion heater designed for the Megaflo eco, Megaflo Eco Solar PV Ready (inc iBoost & iBuddy), Megaflo Eco Slimline, Megaflo eco Solar, Megaflo Eco Plus and Megaflo eco SolaReady ranges.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Water Heating and Storage/Water Heating and Storage.csv -> Heatrae Sadia Multipoint ECO lower immersion heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/43/D75043_wm.jpg,,Multipoint Eco,12 Months,N,349,No,No,Control Panel,"Megaflo eco, Megaflo Eco Solar PV Ready inc iBoost & iBuddy, Megaflo Eco Slimline, Megaflo eco Solar, Megaflo Eco Plus, Megaflo eco SolaReady",N/A,740096,"Megaflo Eco Plus 300L Direct,Megaflo Slimline 150L Indirect,Megaflo Eco Plus 400L Indirect,Megaflo Eco Plus 400L Direct,Megaflo Slim,Megaflo Slimline 170L Indirect,Megaflo Slimline 100L Direct,Megaflo Eco Plus 250L Indirect,Megaflo Slimline 120L Indirect",95606988,Immersion Heater,N,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD71220,Heatrae Sadia Electromax immersion element,Heatrae Sadia,140.19,"This immersion heater is for use with Heatrae Sadia Megaflo HE, Electromax ErP, Electromax and Electromax Solar appliances.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Water Heating and Storage/Water Heating and Storage.csv -> Heatrae Sadia Electromax immersion element,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/20/D71220_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Electromax_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P340025,Center CB cylinder thermostat 40-80c,Center CB,13.25,Center CB water temperature cylinder thermostat is designed for surface mounting on domestic hot water cylinders. It is supplied complete with mounting strap for rapid and easy installation. Draining of the system or tapping of the cylinder is not necessary.,Water Heating and Storage/Water Heating and Storage.csv -> Center CB cylinder thermostat 40-80c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/25/NW-340025_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_EHE0200159_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P468695,Advanced Water Thermowatt TS9 immersion heater 14in x 1-3/4in 3kW,Advanced Water,56.25,"This Advanced Water Thermowatt TS9 3kW immersion heater has a length of 14"" and includes a 1 3/4"" boss.",Water Heating and Storage/Water Heating and Storage.csv -> Advanced Water Thermowatt TS9 immersion heater 14in x 1-3/4in 3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/95/468695_wm.jpg,,Thermowatt,1 year,N,85,Yes,No,,,Incoloy,,,512-255-0011,,N,"With 1 3/4"" boss","14"" length",Incoloy construction,1 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD71211,Heatrae Sadia Electromax element,Heatrae Sadia,140.05,"This 3kW EPA immersion heater (straight) is for use with Heatrae Sadia Electromax, Electromax ErP, Megaflo HE and Electromax Solar appliances.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Water Heating and Storage/Water Heating and Storage.csv -> Heatrae Sadia Electromax element,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/11/D71211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Electromax_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P181066,"Tesla TIH 550 incoloy immersion heater and resettable thermostat 27""",Tesla,24.49,"Designed for use in medium-to-hard water areas, this 27"", 3kW Incoloy-copper Tesla TIH550 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Water Heating and Storage.csv -> Tesla TIH 550 incoloy immersion heater and resettable thermostat 27""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/66/181065_181066_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PD69950,Ariston Europrisma Expansion Vessel,Ariston,46.75,An Ariston expansion vessel and non-return valve for optional use with Europrisma water heaters.,Water Heating and Storage/Water Heating and Storage.csv -> Ariston Europrisma Expansion Vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/50/D69950_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_WaterHeater_Installation.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/v2/_1/Ariston_600_Europrisma_Manual_V2.1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD71050,Heatrae Sadia Megaflo IH 1 immersion heater cap White,Heatrae Sadia,164.99,"This immersion heater is for use with old style (white lid) Heatrae Sadia Megaflo appliances.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Water Heating and Storage/Water Heating and Storage.csv -> Heatrae Sadia Megaflo IH 1 immersion heater cap White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/50/D71050_wm.jpg,,Megaflo,12 Months,N,380,Yes,No,Control Panel,Megaflo,N/A,E39721,"Megaflo with Internal Air Volume,Megaflo without Internal Air Volume",95606920,Immersion Heater,N,N/A,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD75036,Heatrae Sadia PremierPlus immersion incoloy,Heatrae Sadia,27.34,"This immersion heater is for use with Heatrae Sadia Miscellaneous, Elson Cylinder, utility cupboard hot water heat interface units, Zircon, Coral, Megalife HE, Premier Plus ErP, Heatstore Premier, Main Unvented, Megaflo eco, Megaflo Eco Plus, Megaflo Eco SystemReady SB, CenterStore, Premier Plus, Express, Megaflo Compact, Megaflo Compact Systemfit, Megaflo eco Solar, Megaflo Eco Solar PV Ready (inc iBoost & iBuddy), Megaflo Eco Systemfit ErP, Pullin, Megaflo Compact SystemReady, Megaflo, CenterStore Jet, Heatstore, Megaflo eco SolaReady and Megaflo Eco Systemfit ErP (package with Hi-Max Store) appliances.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 p",Water Heating and Storage/Water Heating and Storage.csv -> Heatrae Sadia PremierPlus immersion incoloy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/36/D75036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Megaflo_EcoSystemFit_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,P181074,"Tesla TIH 525 copper immersion heater and resettable thermostat 27""",Tesla,20.99,"Designed for use in soft water areas, this 27"", 3kW copper Tesla TIH525 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Water Heating and Storage.csv -> Tesla TIH 525 copper immersion heater and resettable thermostat 27""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/76/181070_181076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P172148,Center CYL L1B vented foam cylinder 900 x 450mm Stainless Steel,Center,209.04,"The Center Stainless Steel cylinders are designed, manufactured and tested to the HWA (Hot Water Association) specification. They feature a shower take-off/secondary return on all models as standard. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Water Heating and Storage.csv -> Center CYL L1B vented foam cylinder 900 x 450mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/48/172148_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/172148_Center_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172148_Center_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P176704,CenterStore indirect unvented cylinder 210ltr,CenterStore,702.75,"A perennially popular choice, the resilient CenterStore 210L indirect cylinder is a purpose-built unvented water heater with a corrosion-resistant stainless steel inner vessel plus a tough duplex stainless steel and thermoplastic outer casing for long-lasting performance and a neat finish. Insulated with CFC-free polyurethane foam, this efficient water cylinder ensures minimal heat loss and delivers fast mains pressure water for frustration-free fast filling baths and hot, powerful showers.",Water Heating and Storage/Water Heating and Storage.csv -> CenterStore indirect unvented cylinder 210ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/06/176701_176706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Centerstore_210L_Indirect_ErP.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_176701-176706_Technical.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_DirectIndirect_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/CenterStore_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Centerstore Fiche.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P172151,Center CYL L1B vented foam cylinder 1200 x 450mm Stainless Steel,Center,273.68,"The Center Stainless Steel cylinders are designed, manufactured and tested to the HWA (Hot Water Association) specification. They feature a shower take-off/secondary return on all models as standard. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Water Heating and Storage.csv -> Center CYL L1B vented foam cylinder 1200 x 450mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/51/172151_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/172151_Center_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172151_Center_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P172149,Center CYL L1B vented foam cylinder 1050 x 400mm Stainless Steel,Center,206.35,"The Center Stainless Steel cylinders are designed, manufactured and tested to the HWA (Hot Water Association) specification. They feature a shower take-off/secondary return on all models as standard. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Water Heating and Storage.csv -> Center CYL L1B vented foam cylinder 1050 x 400mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/49/172149_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/172149_Center_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172149_Center_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P172150,Center CYL L1B vented foam cylinder 1050 x 450mm Stainless Steel,Center,225.21,"The Center Stainless Steel cylinders are designed, manufactured and tested to the HWA (Hot Water Association) specification. They feature a shower take-off/secondary return on all models as standard. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Water Heating and Storage.csv -> Center CYL L1B vented foam cylinder 1050 x 450mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/50/172150_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172150_Center_TDS.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/172150_Center_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P176702,CenterStore Indirect unvented cylinder 150ltr,CenterStore,623.26,"A perennially popular choice, the resilient CenterStore 150L indirect cylinder is a purpose-built unvented water heater with a corrosion-resistant stainless steel inner vessel plus a tough duplex stainless steel and thermoplastic outer casing for long-lasting performance and a neat finish. Insulated with CFC-free polyurethane foam, this efficient water cylinder ensures minimal heat loss and delivers fast mains pressure water for frustration-free fast filling baths and hot, powerful showers.",Water Heating and Storage/Water Heating and Storage.csv -> CenterStore Indirect unvented cylinder 150ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/06/176701_176706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_176701-176706_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Centerstore_150L_Indirect_ErP.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_DirectIndirect_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/CenterStore_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Centerstore Fiche.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P176706,CenterStore Indirect unvented cylinder 300ltr,CenterStore,854.11,"A perennially popular choice, the resilient CenterStore 300L indirect cylinder is a purpose-built unvented water heater with a corrosion-resistant stainless steel inner vessel plus a tough duplex stainless steel and thermoplastic outer casing for long-lasting performance and a neat finish. Insulated with CFC-free polyurethane foam, this efficient water cylinder ensures minimal heat loss and delivers fast mains pressure water for frustration-free fast filling baths and hot, powerful showers.",Water Heating and Storage/Water Heating and Storage.csv -> CenterStore Indirect unvented cylinder 300ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/06/176701_176706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_176701-176706_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Centerstore_300L_Indirect_ErP.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_DirectIndirect_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/CenterStore_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Centerstore Fiche.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P176703,CenterStore indirect unvented cylinder 170ltr,CenterStore,643.29,"A perennially popular choice, the resilient CenterStore 170L indirect cylinder is a purpose-built unvented water heater with a corrosion-resistant stainless steel inner vessel plus a tough duplex stainless steel and thermoplastic outer casing for long-lasting performance and a neat finish. Insulated with CFC-free polyurethane foam, this efficient water cylinder ensures minimal heat loss and delivers fast mains pressure water for frustration-free fast filling baths and hot, powerful showers.",Water Heating and Storage/Water Heating and Storage.csv -> CenterStore indirect unvented cylinder 170ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/06/176701_176706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_176701-176706_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_DirectIndirect_Installation.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Centerstore_170L_Indirect_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/CenterStore_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Centerstore Fiche.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P176705,CenterStore Indirect unvented cylinder 250ltr,CenterStore,807.26,"A perennially popular choice, the resilient CenterStore 250L indirect cylinder is a purpose-built unvented water heater with a corrosion-resistant stainless steel inner vessel plus a tough duplex stainless steel and thermoplastic outer casing for long-lasting performance and a neat finish. Insulated with CFC-free polyurethane foam, this efficient water cylinder ensures minimal heat loss and delivers fast mains pressure water for frustration-free fast filling baths and hot, powerful showers.",Water Heating and Storage/Water Heating and Storage.csv -> CenterStore Indirect unvented cylinder 250ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/06/176701_176706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_176701-176706_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_DirectIndirect_Installation.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/CenterStore_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Centerstore Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Centerstore_250L_Indirect_ErP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P174768,CenterStore Unvented direct cylinder 150L,CenterStore,669.6,"Built to a high standard, the 150L Centerstore Direct unvented cylinder is made using robust and long-lasting Duplex stainless steel with thick polyurethane lagging to help retain heat for longer. Supplied with quality components, every Centerstone Direct cylinder supplies fast-flowing water to a home's outlets, performing to its best in even the highest use properties. This cylinder is designed for fast reheat times and minimal heat loss.",Water Heating and Storage/Water Heating and Storage.csv -> CenterStore Unvented direct cylinder 150L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/7_/v2/174767_17477_v2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/ds/CenterStore_Direct_Cylinders_DS.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/CenterStore Direct External Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
