,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Flow Rate,Max System Pressure Cold (Bar),Min System Pressure Cold (Bar),Pressure,Range,Warranty,Hazardous,Water Heating Declared Load Profile,Water Heating Energy Efficiency Class,Sound Power Level (Indoors),Depth (mm),Manual / Thermostatic,Shower Head Diameter,Engine Box Height (mm),Engine Box Width (mm),Engine Box Depth (mm),Hose Length,Number of Spray Patterns,Water Entry,Water Heating Energy Efficiency,Cable Entry,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Feature 6,Feature 7,Feature 8,Feature 9,Pack Quantity,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14
81,PD51405,Aqualisa Aquastream 813.40.20 thermostatic integrated pump system White,Aqualisa,670.21,"Supplying high levels of showering performance, even at the lowest pressures, the white Aqualisa Aquastream power shower is designed for installation in homes on gravity-fed water systems. Featuring an integrated pump, this reliable shower boosts water flow while its patented bi-metallic cartridge makes use of thermostatic technology for safe precision mixing of hot and cold water. Supplied with an adjustable showerhead, the Aquastream gives users total control over their showering comfort with separate flow and temperature dials and a choice of two flow settings, from a gentle 10LPM to an intense 18LPM. Surface-mounted, Aquastream showers are easy to install, minimising the need for re-tiling.",Showering/Showers/Electric Showers/Electric Showers.csv -> Aqualisa Aquastream 813.40.20 thermostatic integrated pump system White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/05/NW-D51405_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Aquastream_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Aqualisa_Product_Guide_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_Aquastream_813_40_20_Tech.pdf,,,,,,,,,,,,,
82,PD00469,Triton T80Z fast fit shower 8.5kw Chrome Plated,Triton,293.46,"Attractively designed for a modern, stylish look, the chrome and white 8.5kW Triton T80Z Fast-Fit manual shower is an ideal replacement for outdated shower units, offering multiple cable and water entry points located to the left and right side of the unit for straightforward refitting. Simple start/stop controls, a rub clean showerhead with a range of spray patterns and a sleek adjustable riser rail kit make the A-rated T80Z as popular with homeowners as it is with installers.",Showering/Showers/Electric Showers/Electric Showers.csv -> Triton T80Z fast fit shower 8.5kw Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/70/NW-D00464_D00470_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Triton_Lewis_Riser_Rail_Assy_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v4/T80Z Fast-Fit DuElec Technical Sheet v4.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Triton_T80Z_Fast-Fit_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Triton_T80Z_Fast-Fit_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Triton_T80Z_Fast-Fit_Installation.pdf,,,,,,,,,,,
83,PD00464,Triton T80Z fast fit shower 7.5kw White/Chrome Plated,Triton,160.73,"Attractively designed for a modern, stylish look, the chrome and white 7.5kW Triton T80Z Fast-Fit manual shower is an ideal replacement for outdated shower units, offering multiple cable and water entry points located to the left and right side of the unit for straightforward refitting. Simple start/stop controls, a rub clean showerhead with a range of spray patterns and a sleek adjustable riser rail kit make the A-rated T80Z as popular with homeowners as it is with installers.",Showering/Showers/Electric Showers/Electric Showers.csv -> Triton T80Z fast fit shower 7.5kw White/Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/64/D00464_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Triton_Lewis_Riser_Rail_Assy_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v4/T80Z Fast-Fit DuElec Technical Sheet v4.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Triton_T80Z_Fast-Fit_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Triton_T80Z_Fast-Fit_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Triton_T80Z_Fast-Fit_Installation.pdf,,,,,,,,,,,
84,PD53286,Aqualisa Lumi+ electric shower 10.5kW,Aqualisa,341.89,"A wholly modern design complete with mirrored fascia and integrated lightstrip, the Aqualisa Lumi+ 10.5kW ambidextrous electric shower provides a complete sensory experience while also offering the excellent levels of practicality you'd expect from Aqualisa. Not just for show, those inbuilt lightstrips provide an on/off indication as well as a flashing low pressure signal when the shower's temperature safety control is activated. Meanwhile, three power settings provide adaptability to suit all users and a five-pattern handset supplies a shower that meets every need. Ideal for retrofit, the Lumi+ features multi-fit connection points for water and electricity, making installation in an existing bathroom hassle-free.",Showering/Showers/Electric Showers/Electric Showers.csv -> Aqualisa Lumi+ electric shower 10.5kW,,"Electric engine, 550mm rail, rail ends, smooth hose, gel hanger, 105mm handset, pinch grip slider, fixtures and fittings",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/86/D53286_wm.jpg,Silver,"'@3 bar Min 2.7-3.3ltr/min, max 11ltr/min",10,0.85,0.85-10 bar,Lumi+,2 years,N,XS,A,15 dB,89,Manual,105,393,263,89,1500,5,Ambidextrous - Back / Bottom / Side / Top,38,Ambidextrous - Back / Bottom / Side / Top,LMEP10501,N,With temperature and power control dials,Mirrored fascia,With inbuilt lighting,Includes smooth hose,With illuminated power push-button,,,,,,,Low water pressure indicator,Offers 3x power settings,Universal multifit installation with 8x water and 6x electric entry points,Includes 105mm Harmony handset with 5x spray settings,,Handset had rub clean nozzles and pinch-grip slider,Over-temperature protection and phased shut down safety features,Retrofitable,A rating for efficiency,2 year warranty
85,PD52941,GAINSBOROUGH GB SLIM DUO 9.5KW - WHITE,Gainsborough,97.43,"Made of high quality stainless steel, the Gainsborough Slim Duo 9.5kW electric shower offers advanced functions and powerful operation via three settings. Suitable for use with all approved UK cold mains water systems, this manually operated single lever shower with on/off button provides effortless control of temperature and flow as well as power, while reliable safety features ensure safe use for the entire family. The Slim Duo incorporates a chrome valve for fixing directly to a wall, a rub-clean handset and a flexible stainless steel hose, while an adjustable shower rail makes hands-free showering possible for all heights.",Showering/Showers/Electric Showers/Electric Showers.csv -> GAINSBOROUGH GB SLIM DUO 9.5KW - WHITE,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/41/D52941_wm.jpg,White,Min- 1.7-2.3l/minMax - Approx 9.0l/min,10,0.9,0.9 to 10 bar,Slim Duo,2 Year,N,XS,A,15 dB,97.5,Manual,95,340,225,97.5,1500,3,"Right and left hand side, top, bottom, side and rear",38,Left - Bottom / Side / Top,GSD95,N,On/Off Button,3 Power Settings & Temperature Control,Top/bottom/rear pipework and cable installation,8 multifit fitting options,Polished stainless steel hose,,,,,,,95mm 3 spray rub clean Shower handset,,,,,,,,,
86,PD62128,Mira Vigour manual power shower White/Chrome Plated,Mira,182.56,"Designed for use in low pressure water systems, the Mira Vigour manual power shower has an inbuilt pump for reliably powerful water delivery. Designed with separate flow and temperature controls, supplying individualised showering for every user, it also incorporates a showerhead with four different spray patterns. Resistant to limescale and with easy-clean nozzles that require just a simple swipe with a cloth, the Vigour power shower is built to last with no need for time-consuming maintenance.",Showering/Showers/Electric Showers/Electric Showers.csv -> Mira Vigour manual power shower White/Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/28/D62128_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_f/tg/Mira_Vigour_ManualPower_Shower_Ftg.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Mira_Vigour_ManualPower_Shower_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ns/tl/Mira_Vigour_ManualPower_Shower_Instl.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pa/re/Mira_Vigour_ManualPower_Shower_Spare.pdf,,,,,,,,,,,,
87,PD00468,Triton T80Z fast fit eco shower 8.5kw White/Chrome Plated,Triton,193.34,"Attractively designed for a modern, stylish look, the chrome and white 8.5kW Triton T80Z ECO Fast-Fit manual shower is an ideal replacement for outdated shower units, offering multiple cable and water entry points located to the left and right side of the unit for straightforward refitting. Simple start/stop controls, a rub clean showerhead with a range of spray patterns and a sleek adjustable riser rail kit make the A-rated T80Z as popular with homeowners as it is with installers.",Showering/Showers/Electric Showers/Electric Showers.csv -> Triton T80Z fast fit eco shower 8.5kw White/Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/68/D00468_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Triton_Lewis_Riser_Rail_Assy_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v4/T80Z Fast-Fit DuElec Technical Sheet v4.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Triton_T80Z_Fast-Fit_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Triton_T80Z_Fast-Fit_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Triton_T80Z_Fast-Fit_Installation.pdf,,,,,,,,,,,
88,PD51407,Aqualisa Aquastream 813.40.01 thermostatic intergrated pump system Chrome Plated,Aqualisa,715.74,"Supplying high levels of showering performance, even at the lowest pressures, the satin chrome-plated Aqualisa Aquastream power shower is designed for installation in homes on gravity-fed water systems. Featuring an integrated pump, this reliable shower boosts water flow while its patented bi-metallic cartridge makes use of thermostatic technology for safe precision mixing of hot and cold water. Supplied with an adjustable showerhead, the Aquastream gives users total control over their showering comfort with separate flow and temperature dials and a choice of two flow settings, from a gentle 10LPM to an intense 18LPM. Surface-mounted, Aquastream showers are easy to install, minimising the need for re-tiling.",Showering/Showers/Electric Showers/Electric Showers.csv -> Aqualisa Aquastream 813.40.01 thermostatic intergrated pump system Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/07/NW-D51407_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Aquastream_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Aqualisa_Product_Guide_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_Aquastream_813_40_01_Tech.pdf,,,,,,,,,,,,,
89,PD60798,Mira Advance ATL low pressure 9.0kw,Mira,435.98,"Combining safety and intuitive usability, the 9kW Mira Advance ATL electric thermostatic shower incorporates a range of accessibility features including tactile areas, audible navigation and large backlit buttons for peace of mind showering, as well as thermostatic temperature control and adjustable temperature limit with eight maximum temperature settings. Featuring an integral pump for performance at low pressure and on/off push button for easy select-and-forget use, the A-rated Advance ATL is easy to operate and just as easy to clean.",Showering/Showers/Electric Showers/Electric Showers.csv -> Mira Advance ATL low pressure 9.0kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/98/NW-D60798_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ab/el/Mira_Advance_ATL_Shower_Label.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Advance_Fitting_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Advance_ATL_Shower_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Advance_ATL_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Mira_Advance_ATL_Shower_Tech.pdf,,,,,,,,,,,
90,PD70131,Triton Omnicare Ultra electric shower 8.7kW,Triton,416.88,"Simply safe and stylish, the Triton Omnicare Ultra electric shower is designed to be easily used by all, no matter the level of assistance required. To achieve this, Omnicare Ultra employs precise thermostatic control, audible confirmations and a tactile temperature dial. Additionally, this accessible and flexible pack includes an extended rail kit for practical seated use and remote start/stop for easier assisted showering.",Showering/Showers/Electric Showers/Electric Showers.csv -> Triton Omnicare Ultra electric shower 8.7kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/32/NW-D70131_D70132_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Triton_Omnicare_Ultra_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ab/el/Triton_Omnicare_Ultra_Energy_Label.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Triton_Omnicare_UltraPlusRail_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Triton_Omnicare_UltraPlus_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Triton_Omnicare_Ultra_Fiche.pdf,,,,,,,,,,,
91,PD80331,Triton Omnicare thermostatic electric shower with grab rail 8.5kW,Triton,541.69,"BEAB Care Mark approved, the Triton Omnicare 8.5kW thermostatic electric shower with grab rail blends safety with style for a shower that fits any home. Fitted with a wide range of accessibility features, including a grey toned dial and soft-touch start/stop button, this shower also offers reliable safety via its scald-free thermostatic control, keeping the selected temperature within a single degree. An extended riser rail and longer length shower hose meanwhile make the Omnicare suitable for both seated and standing showering.",Showering/Showers/Electric Showers/Electric Showers.csv -> Triton Omnicare thermostatic electric shower with grab rail 8.5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/31/NW-D80331_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Triton_OmnicareDesign_Shr_GRail_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Triton_Omnicare_EShower_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Triton_Omnicare_Design_Shr_GRail_ERP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/TritonOmnicareDesign_Shr_Grail_Tech.pdf,,,,,,,,,,,,
92,PD53232,Aqualisa eVolve grey/satin silver 10.5kW,Aqualisa,255.68,"Combining style and quality in a robust package, the streamlined Aqualisa eVolve electric shower has a modern Space Grey casing with a contoured silver satin trim. Offering flexible installation, this modern unit is a suitable retrofit for most older electric showers thanks to multi-fit connection options while connection to an existing cold water supply at 240V is simple. With a variety of power settings and three spray patterns, this 10.5kW shower provides the perfect shower experience for everybody and every situation. Meanwhile, individual temperature control along with a digital temperature display allows for smooth, precise adjustment. For safety and practicality, the eVolve incorporates an over-temperature stop function as well as an automatic phased shutdown to reduce the build-up of limescale.",Showering/Showers/Electric Showers/Electric Showers.csv -> Aqualisa eVolve grey/satin silver 10.5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/32/D53232_wm.jpg,Grey / Satin Silver,"'@3 bar Min 2.7-3.3ltr/min, max 11ltr/min",10,0.85,0.85-10 bar,Evolve,2 Year,N,XS,A,15 dB,89,Manual,105,379,244,89,1500,3,"Right & left hand side, top, bottom, side & rear",38,Left - Bottom / Side / Top,VOXZ27,N,Digital temperature display and control dial,Satin silver trim,Illuminated push power button and Low water pressure indicator,3 power settings,Stainless steel hose,,,,,,,Universal multifit: 8 water & electric entry points,"105mm Flow Handset with 3 spray settings, rub clean nozzles and a push button slider",Over temperature protection and phased shut down safety features,Retrofitable,,,,,,
