,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Hazardous,Material,Size,Total Pack Quantity,Washer Type,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range,Feature 4,Material Type,Nut Types,Type,Feature 5,Screw / Bolt Type,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Drive,Attachment 2,Hole Depth,Operating Temperature,Size (oz),Washer-Exterior Dia,Washer-Internal Dia,Outer Diameter,Bolt Type,Weight,Feature 6,Feature 7,Feature 8
30,PM97929,JET Range Stud Bolt stud bolt BZP M10 80mm (300),JET Range,0.59,"Manufactured in 4.8 grade BZP-coated mild steel, this JET Range M10 x 80mm stud bolt offers fast, consistent and high quality installation. Pre-cut to the most commonly used sizes, these stud bolts save on time and waste and ensure unbeatable accuracy.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range Stud Bolt stud bolt BZP M10 80mm (300)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/32/NW-M97924_M97932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_M97924-32_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PC58911,Thomas Dudley Dudley fibre and rubber washer box,Thomas Dudley,13.36,This handy Masefield washer kit includes the the most commonly used washers in domestic plumbing.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Thomas Dudley Dudley fibre and rubber washer box",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/11/NW-C58911_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P257455,Center delta tap washer 1/2 (5),Center,1.87,"An ideal replacement for Delta tap washers, these Center 1/2"" tap washers are supplied in a useful pack of five.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center delta tap washer 1/2 (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/55/257455_wm.jpg,,5,N,Rubber,12,5,Tap Washer,PPSTAP374524,N,Pack of 5,Thermoplastic rubber/evoprene 964 construction,Black colour,,,,,,,,,,,,,,,,,,,,,,,
33,PC59129,Thomas Dudley torbeck diaphragm washer,Thomas Dudley,3.77,"Made of rubber, this Thomas Dudley 30mm Torbeck diaphragm washer is a replacement part suitable for Torbeck filling valves.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Thomas Dudley torbeck diaphragm washer",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/29/C59129_wm.jpg,,,N,Rubber,30mm,1,Diaphragm Washer,PPSLEV368528,N,"To suit adjustable Torbecks, 2008 onwards",Rubber construction,Plastic floating pin,,Polybagged,,,,,,,,,,,,,,,,,,,,,
34,P257462,Center top hat washer 1/2 (2),Center,1.37,"Useful space seals, these Center 3/4"" top hat washers provide a pliable surface next to the sink on which to sit a plastic nut.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center top hat washer 1/2 (2)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/62/257462_wm.jpg,,2,N,Plastic,12,2,N/A,PPSCCS374427,N,Pack of 2,High quality HD polyethylene construction,,,,,,,,,,,,,,,,,,,,,,,,
35,PT87133,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 45mm (m12) (100 per bag),JET Range,2.22,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 45mm (m12) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/38/NW-T87132_T87138_wm.jpg,,100 per bag,N,Steel,M12 x 45mm,,,HTBMET01200045Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,45,M12,Hexagon,,,,,,,,,,,,
36,PT87175,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m20) (25 per bag),JET Range,10.08,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,N,Steel,M20 x 70mm,,,HTBMET02000070Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,70,M20,Hexagon,,,,,,,,,,,,
37,PT87152,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m16) (50 per bag),JET Range,4.96,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m16) (50 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,50 per bag,N,Steel,M16 x 50 mm,,,HTBMET01600050Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,50,M16,Hexagon,,,,,,,,,,,,
38,PT87179,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m20) (25 per bag),JET Range,12.84,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,N,Steel,M20 x 100mm,,,HTBMET02000100Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,100,M20,Hexagon,,,,,,,,,,,,
39,PT87137,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 65mm (m12) (100 per bag),JET Range,3.19,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 65mm (m12) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/38/NW-T87132_T87138_wm.jpg,,100 per bag,N,Steel,M12 x 65mm,,,HTBMET01200065Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,65,M12,Hexagon,,,,,,,,,,,,
40,PT87153,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 55mm (m16) (50 per bag),JET Range,5.04,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 55mm (m16) (50 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,50 per bag,N,Steel,M16 x 55mm,,,HTBMET01600055Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,55,M16,Hexagon,,,,,,,,,,,,
41,PT83759,JET Range bright zinc plated bolt (grade 8.8) 60mm (m16) (50 per bag),JET Range,4.32,"Made of grade 8.8 carbon steel, this JET Range M16 hexagonal head stud, 60mm in length, offers a bright zinc plate coating for resistance.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range bright zinc plated bolt (grade 8.8) 60mm (m16) (50 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/59/NW-T83759_wm.jpg,,50 per bag,N,,M16,50 per bag,,.16M60HTBOZ,N,Highly tensile,Metric thread,Hexagonal screwing system,,Manufactured to DIN 931,,,Bolts,,,,,,,,,,,,,,Stud Bolt,,,,
42,PT87140,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 80mm (m12) (50 per bag),JET Range,3.59,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 80mm (m12) (50 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/40/NW-T87140_wm.jpg,,50 per bag,N,Steel,M12 x 80mm,,,HTBMET01200080Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,80,M12,Hexagon,,,,,,,,,,,,
43,PT87163,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 130mm (m16) (25 per bag),JET Range,9.26,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 130mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,N,Steel,M16 x 130mm,,,HTBMET01600130Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,130,M16,Hexagon,,,,,,,,,,,,
44,PT83586,JET Range zinc plated b-washer (m8) (1000),JET Range,0.2,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated b-washer (m8) (1000)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,1000,N,Steel,M8,,Flat Washer,.8MWFBOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Form B,,,,,,,,,,,,,,,,,,
45,PM97931,JET Range Stud Bolt stud bolt BZP M10 120mm (100),JET Range,0.77,"Manufactured in 4.8 grade BZP-coated mild steel, this JET Range M10 x 120mm stud bolt offers fast, consistent and high quality installation. Pre-cut to the most commonly used sizes, these stud bolts save on time and waste and ensure unbeatable accuracy.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range Stud Bolt stud bolt BZP M10 120mm (100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/32/NW-M97924_M97932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_M97924-32_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT87158,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 80mm (m16) (25 per bag),JET Range,6.28,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 80mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,N,Steel,M16 x 80mm,,,HTBMET01600080Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,80,M16,Hexagon,,,,,,,,,,,,
47,PT83570,JET Range zinc plated cold form hex nut (grade 8) (m20) (50 per bag),JET Range,1.64,This JET Range M20 size cold form hexagon nut is made of steel with a bright zinc finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated cold form hex nut (grade 8) (m20) (50 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/70/NW-T83565_T83570_wm.jpg,,50 per bag,N,Steel,M20,,,.20MNXFOZ,N,Reliable,Easy to replace,Grade 8 steel material,,Bright zinc-coated,BZP Steel,Hexagon,Hex Nut,,,,,,,,,,,,,,,,,,
48,PT83572,JET Range zinc plated cold form hex nut (grade 8) (m24) (20 per bag),JET Range,3.95,This JET Range M24 size cold form hexagon nut is made of steel with a bright zinc finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated cold form hex nut (grade 8) (m24) (20 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/72/NW-T83572_wm.jpg,,20 per bag,N,Steel,M24,,,.24MNXFOZ,N,Reliable,Easy to replace,Grade 8 steel material,,Bright zinc-coated,BZP Steel,Hexagon,Hex Nut,,,,,,,,,,,,,,,,,,
49,PT87192,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 85mm (m24) (25 per bag),JET Range,14.02,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 85mm (m24) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/94/NW-T87191_T87194_wm.jpg,,25 per bag,N,Steel,M24 x 85mm,,,HTBMET02400085Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,85,M24,Hexagon,,,,,,,,,,,,
50,PT87181,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 120mm (m20) (25 per bag),JET Range,13.78,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 120mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/82/NW-T87181_T87182_wm.jpg,,25 per bag,N,Steel,M20 x 120mm,,,HTBMET02000120Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,120,M20,Hexagon,,,,,,,,,,,,
51,PT87194,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m24) (15 per bag),JET Range,20.78,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m24) (15 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/94/NW-T87191_T87194_wm.jpg,,15 per bag,N,Steel,M24 x 100mm,,,HTBMET02400100Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,100,M24,Hexagon,,,,,,,,,,,,
52,PT87159,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 90mm (m16) (25 per bag),JET Range,6.47,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 90mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,N,Steel,M16 x 90mm,,,HTBMET01600090Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,90,M16,Hexagon,,,,,,,,,,,,
53,PT87171,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m20) (25 per bag),JET Range,8.69,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,N,Steel,M20 x 50mm,,,HTBMET02000050Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,50,M20,Hexagon,,,,,,,,,,,,
54,PT83584,JET Range zinc plated b-washer (m24) (100),JET Range,0.62,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated b-washer (m24) (100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,100,N,Steel,M24,,Flat Washer,.24MWFBOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Form B,,,,,,,,,,,,,,,,,,
55,PT83569,JET Range zinc plated cold form hex nut (grade 8) (m16) (100 per bag),JET Range,0.97,This JET Range M16 size cold form hexagon nut is made of steel with a bright zinc finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated cold form hex nut (grade 8) (m16) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/70/NW-T83565_T83570_wm.jpg,,100 per bag,N,Steel,M16,,,.16MNXFOZ,N,Reliable,Easy to replace,Grade 8 steel material,,Bright zinc-coated,BZP Steel,Hexagon,Hex Nut,,,,,,,,,,,,,,,,,,
56,PT87178,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 90mm (m20) (25 per bag),JET Range,12.03,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 90mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,N,Steel,M20 x 90 mm,,,HTXOXM0200090Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,90,M20,Hexagon,,,,,,,,,,,,
57,PT87134,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m12) (100 per bag),JET Range,2.25,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m12) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/38/NW-T87132_T87138_wm.jpg,,100 per bag,N,Steel,M12 x 50 mm,,,HTBMET01200050Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,50,M12,Hexagon,,,,,,,,,,,,
58,P257467,Center sink poly washer 1 1/4 (5),Center,3.92,"Ensuring a watertight seal, these Center 1 1/4"" sink poly washers are for use when fitting or repairing a pillar tap.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center sink poly washer 1 1/4 (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/67/257467_wm.jpg,,5,N,Polyethylene,1.1/4,5,N/A,PPSTRA374527,N,Pack of 5,Low density polyethylene construction,,,,,,,,,,,,,,,,,,,,,,,,
59,PT87138,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m12) (100 per bag),JET Range,2.71,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m12) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/38/NW-T87132_T87138_wm.jpg,,100 per bag,N,Steel,M12 x 70mm,,,HTBMET01200070Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,70,M12,Hexagon,,,,,,,,,,,,
60,PT87161,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 110mm (m16) (25 per bag),JET Range,7.14,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 110mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,N,Steel,M16 x 110mm,,,HTBMET01600110Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,110,M16,Hexagon,,,,,,,,,,,,
61,PM91709,"M Greenaway And Son bright zinc plated u-bolt 2"" (m10)",M Greenaway And Son,1.79,"These M Greenaway And Son M10, 50mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> M Greenaway And Son bright zinc plated u-bolt 2"" (m10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1416_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf,,,,,,,,,,,
62,PM91707,"M Greenaway And Son bright zinc plated u-bolt 1.1/4"" (m10)",M Greenaway And Son,1.45,"These M Greenaway And Son M10, 32mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> M Greenaway And Son bright zinc plated u-bolt 1.1/4"" (m10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1116_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf,,,,,,,,,,,
63,PIN8089,Unifix mudguard washer BZP 8 x 25mm (Pack of 20),Unifix,8.72,"These Unifix 8mm inside diameter, 25mm outside diameter mudguard washers are made of steel with bright zinc plate coating. These washers are also known as repair or penny washers.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Unifix mudguard washer BZP 8 x 25mm (Pack of 20)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/89/NW-IN8089_wm.jpg,,Pack of 20,N,Steel,8 (ID) x 25 (OD) mm,20,Mudguard Washer,UB5209,N,Pack of 20,Large outside diameter for distributing load,Bright zinc-plated,,Silver colour,,,Mudguard Washer,,,,,,,,,,,,,,,,,,
