,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Hazardous,Material,Size,Total Pack Quantity,Washer Type,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range,Feature 4,Material Type,Nut Types,Type,Feature 5,Screw / Bolt Type,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Drive,Attachment 2,Hole Depth,Operating Temperature,Size (oz),Washer-Exterior Dia,Washer-Internal Dia,Outer Diameter,Bolt Type,Weight,Feature 6,Feature 7,Feature 8
10,P257454,"Center Washers flat tap washer 3/4"" (5)",Center,2.02,"Suitable for a variety of tap sizes, these Center 3/4"" flat tap washers are used to repair worn and leaking taps.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center Washers flat tap washer 3/4"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/54/257454_wm.jpg,,5,N,Rubber,3/4,5,Flat Washer,PPSTAP374522,N,Pack of 5,Thermoplastic rubber/evoprene 964 construction,Black colour,Washers,Fits most standard taps,,,,,,,,,,,,,,,,,,,,,
11,PT83567,JET Range zinc plated cold form hex nut (grade 8) (m10) (200 per bag),JET Range,0.29,This JET Range M10 size cold form hexagon nut is made of steel with a bright zinc finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated cold form hex nut (grade 8) (m10) (200 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/70/NW-T83565_T83570_wm.jpg,,200 per bag,N,Steel,M10,,,.10MNXFOZ,N,Reliable,Easy to replace,Grade 8 steel material,,Bright zinc-coated,BZP Steel,Hexagon,Hex Nut,200 per bag,,,,,,,,,,,,,,,,,
12,P257465,"Center pillar tap poly washer 3/4"" (10)",Center,2.18,"Ensuring a watertight seal, these Center 3/4"" poly washers are for use when fitting or repairing a pillar tap.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center pillar tap poly washer 3/4"" (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/65/257465_wm.jpg,,10,N,Polyethylene,3/4,10,N/A,PPSTAN374515,N,Pack of 10,Low density polyethylene construction,,,,,,,,,,,,,,,,,,,,,,,,
13,PM97925,JET Range Stud Bolt stud bolt BZP M10 40mm (500),JET Range,0.31,"Manufactured in 4.8 grade BZP-coated mild steel, this JET Range M10 x 40mm stud bolt offers fast, consistent and high quality installation. Pre-cut to the most commonly used sizes, these stud bolts save on time and waste and ensure unbeatable accuracy.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range Stud Bolt stud bolt BZP M10 40mm (500)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/32/NW-M97924_M97932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_M97924-32_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PC58910,Thomas Dudley tap washer repair kit box,Thomas Dudley,13.36,A black and grey tap washer repair kit box.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Thomas Dudley tap washer repair kit box",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/10/NW-C58910_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P439217,"Regin fibre washers 1""",Regin,2.48,"These Regin 30 x 3mm diverter valve washers, with 21.7mm inside diameter, are made of a general purpose commercial non-asbestos fibre material suitable for oils, fuels, low pressure steam and water. These washers offer excellent resistance to gas leakage.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Regin fibre washers 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/18/NW-439217_439218_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P800589,Regin O ring kit metric 404 pieces (404),Regin,24.9,This Regin O-ring kit contains a wide range of high quality nitrile (NBR 70) O-rings in 30 different metric sizes.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Regin O ring kit metric 404 pieces (404)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/89/NW-800589_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PC59029,Thomas Dudley Dudley close coupling washer to suit outlet of 2inches (1),Thomas Dudley,1.45,"This Masefield close coupling washer is suitable for a 2"" outlet.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Thomas Dudley Dudley close coupling washer to suit outlet of 2inches (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/29/NW-C59029_wm.jpg,,1,N,EPDM Foam,75x75,1,Coupling Washer,PTOCCS367494,N,Conforms to DIN 125A,Bright zinc plate (BZP) finish offers resistance to corrosion,,Dudley,,,,Washer,,,,,,,,,,,,,,,,,,
18,P257475,"Center 1 1/2"" Flushpipe Nut & 1 1/2"" Tapered Washer (1)",Center,3.81,"Used to secure a flush pipe to a cistern, this Center 1 1/2"" flush pipe coupling nut and 1 1/2"" tapered washer creates a reliable seal around a pipe. Internally threaded, this coupling set screws directly onto a siphon.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center 1 1/2"" Flushpipe Nut & 1 1/2"" Tapered Washer (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/75/257475_wm.jpg,,1,N,Plastic,,,,PTONUT374542,N,Coupling nut made of plastic,Rubber tapered washer,"Screws directly to a 1 1/2"" siphon",,,,Cistern Flushpipe Nut,,,N/A,Nut & Washer,0,N/A,N/A,,,,,,,,,,,,
19,PN57076,Owlett Jaton full hex nut zinc plated m10 (Pack of 200),Owlett Jaton,0.2,"Made of steel with a BZP finish, these Owlett Jaton M10 size hexagon full nuts are used with a bolt fixing to fasten objects together. The full nut should be applied to a matching male thread on a bolt, set screw or machine screw and tightened.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Owlett Jaton full hex nut zinc plated m10 (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/76/NW-N57076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
