,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Hazardous,Approvals,Gender,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Connection Type,Diameter,Pack Quantity,Range,Weight,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Length (M),Grade,Outer Diameter,Type,Feature 9,Feature 10,Feature 11,Material Type,Warranty
12,PM48120,Geberit Mapress 49102 stainless steel therm pipe 15 mm x 6 mtr,Geberit,4.66,"This Geberit Mapress Therm plain end 15mm pipe is made of stainless steel 1.4520 and is supplied in a 6M length. The complete Mapress Therm low-alloy stainless steel system is corrosion-resistant, making it especially suitable for closed heating and cooling circuits where condensation and external moisture is a risk, such as cement-based underfloor heating, industrial applications and cooling systems.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress 49102 stainless steel therm pipe 15 mm x 6 mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/20/M48120_wm.jpg,,Steel/Metallic,N,EN 10312:2002 + A1:2005,Plain End,CrTi steel 1.4520 (EN 10088),15 mm,1.0,Plain End,Plain End,49102,N,Durable low-alloy stainless steel construction,Protects against corrosion,"Ideal for compressed air, inert gases and negative pressure systems","Suitable for technical building systems, heating pipes and radiators","Suitable for heaters, solar and district heating",Meets EN 10412:2002 + A1:2005,,,,,,Mapress,,,,,,,,,,,,,,,,
13,PM15702,Geberit Mapress water pipe 22mm Stainless Steel (6 metre),Geberit,14.14,"Made of stainless steel, this Geberit Mapress 22mm pipe, supplied in 6M lengths, is part of highly effective supply system suitable for a range of uses. Offering a high molybdenum content, this 1.2mm thick pipe is highly resistant to corrosion and extremely durable.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress water pipe 22mm Stainless Steel (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/06/NW-M15700_M15706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Geberit_Piping_Sys_Catalogue_2019-20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P529761,Pegler VSH XPress system tube 28mm x 6mtr Stainless Steel (Per Metre),Pegler,39.69,"This Pegler Yorkshire VSH Xpress 28mm heating tube is made of 1.2mm thick 316 stainless steel. Suitable for use with XPress and Tectite systems, this tube is supplied in 6M lengths.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress system tube 28mm x 6mtr Stainless Steel (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/64/NW-529760_529764_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_Press-Fit_System_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_316SS_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/if/ct/Pegler_LPCB-VSH_Fittings_BV_Certifct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_DVGW_Certificate.pdf,,,,,,,,,
15,PL13315,Omegaflex TracPipe coil 28mm x 90mtr,Omegaflex,19.39,"An alternative to rigid pipes, Omegaflex TracPipe 28mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 90M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe coil 28mm x 90mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/16/NW-L13314_L13316_wm.jpg,,Yellow,N,,,Stainless SteelPolyethylene (PE),28 mm,0.25,,,FGP-SS4-28-300,N,Used predominantly from meter to appliance,"Suitable for domestic, industrial, and commercial applications","Suitable for 1st, 2nd and 3rd family gases",Bends by hand with no specialist tools,Saves up to 75% on installation time,"No threading, welding or soldering required",Lightweight and easy to transport,Manufactured to withstand normal shrinkage and movement,,28,,TracPipe,,,,,,,,90,304L,1,Semi Rigid,Maximum operating pressure up to 500mbar,2 hour fire rating in continuous length (no joints),"Suitable for use in fire protected areas including protected shafts, escape corridors and lobbies",,
16,PM48124,Geberit m of mps ss therm 49106 sys pipe 35mmx6m,Geberit,14.67,"This Geberit Mapress Therm 49106 35mm pipe, supplied in a 6M length is part of the brand's cost-efficient, corrosion-resistant Mapress Therm pipe system, designed to meet the needs of closed heating and cooling circuits where moisture is inevitably present. This low-alloy stainless steel system protects against condensation and external moisture, making it ideal for cooling systems, floor heating systems where wet, cement-based materials take a long time to dry, and industrial applications, particularly where compressed air and inert gases are in use.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit m of mps ss therm 49106 sys pipe 35mmx6m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/24/M48124_wm.jpg,,Steel/Metallic,N,EN 10312:2002 + A1:2005,Plain End,CrTi steel 1.4520 (EN 10088),35 mm,1.5,Plain End,Plain End,49106,N,Reliable protection against external corrosion,Suitable for closed cooling or refrigeration circuits,"Durable, cost-effective low-alloy stainless steel",Ideal for industrial applications,Compatible with inert gases and negative pressure systems,"Suitable for technical building systems, heating pipes and radiators","Suitable for heaters, solar, district heating and compressed air",Meets EN 10312:2002 + A1:2005,,,,,,,,,,,,,,,,,,,,
17,PR00037,"Froch SCH10S welded pipe A312-06 16"" nb 304L",Froch,405.43,"Made of 4.78mm thick 304L stainless steel, this Froch SCH10S 400mm welded pipe is suitable for use in a wide range of settings, from chemical and petrochemical plants to pulp and paper mills, food and beverage plants, oil and gas refineries and water transport systems to power plants and more.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Froch SCH10S welded pipe A312-06 16"" nb 304L",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/37/NW-R00035_R00037_wm.jpg,,,N,ASTM A312-06,,304L Stainless Steel,400mm,4.78,,,R00037*,N,Stainless steel construction,Meets ASTM A312-06,,,,,,,,16,,SCH10S,,,,,,,,,304L,,Welded Pipe,,,,,
18,P529766,Pegler VSH XPress system tube 28mm x 6mtr Stainless Steel (Per Metre),Pegler,29.53,"This Pegler Yorkshire VSH Xpress 444 28mm heat shrink tube is made of 1.2mm thick 630 grade stainless steel with a metallic finish. Suitable for use with XPress and Tectite systems, this tube is supplied in a 6M length.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress system tube 28mm x 6mtr Stainless Steel (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/69/NW-529765_529769_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_SS630_444_Sprinkler_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_DVGW_Certificate.pdf,,,,,,,,,,,
19,PM15700,Geberit Mapress water pipe 18mm Stainless Steel (Per Metre),Geberit,10.45,"Made of stainless steel, this Geberit Mapress 18mm pipe, supplied in 6M lengths, is part of highly effective supply system suitable for a range of uses. Offering a high molybdenum content, this 1mm thick pipe is highly resistant to corrosion and extremely durable.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress water pipe 18mm Stainless Steel (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/06/NW-M15700_M15706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Geberit_Piping_Sys_Catalogue_2019-20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PM15400,Geberit Mapress water pipe 76.1mm Stainless Steel (6 metre),Geberit,81.42,"Made of stainless steel, this Geberit Mapress 76mm pipe, supplied in 6M lengths, is part of highly effective supply system suitable for a range of uses. Offering a high molybdenum content, this 2mm thick pipe is highly resistant to corrosion and extremely durable.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress water pipe 76.1mm Stainless Steel (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/00/NW-M15400_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Geberit_Piping_Sys_Catalogue_2019-20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PM01533,Geberit Mapress heating pipe 42mm x 6mtr Stainless Steel (Per Metre),Geberit,26.98,"Supplied in a 6M length, this Geberit Mapress 42mm heating pipe is made of 1.5mm thick stainless steel with a high molybdenum content.  Highly corrosion-resistant, this reliable press-fit pipe can be used to carry heating water, cooling water with or without antifreeze agent and remote network heating water up to a temperature of 120°C.  It is also suitable for the transport of chemicals and technical liquids.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress heating pipe 42mm x 6mtr Stainless Steel (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M01533_Primary_Image_wm.jpg,,Stainless Steel,N,EN 10312:2002 + A1:2005,female,CrNi steel 1.4301 (EN 10088),42mmØ,1.5,Press fit,Press fit,39/107,N,For heating water,For cooling water without antifreeze agent,For cooling water with antifreeze agent,For remote network heating water  120 °C,For chemicals and technical liquids,,,,Press Fit,42,Per Metre,Mapress,,,,,,,,,,,Heating Pipe,,,,,
