,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Hazardous,Approvals,Gender,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Connection Type,Diameter,Pack Quantity,Range,Weight,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Length (M),Grade,Outer Diameter,Type,Feature 9,Feature 10,Feature 11,Material Type,Warranty
22,PL13320,Omegaflex TracPipe coil 40mm (75 metre),Omegaflex,37.1,"An alternative to rigid pipes, Omegaflex TracPipe 40mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 75M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe coil 40mm (75 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/20/NW-L13320_wm.jpg,,Yellow,N,,,Stainless SteelPolyethylene (PE),40 mm,0.3,,,FGP-SS4-40-250,N,Used predominantly from meter to appliance,"Suitable for domestic, industrial, and commercial applications","Suitable for 1st, 2nd and 3rd family gases",Bends by hand with no specialist tools,Saves up to 75% on installation time,"No threading, welding or soldering required",Lightweight and easy to transport,Manufactured to withstand normal shrinkage and movement,,40,75 metre,TracPipe,,,,,,,,75,304L,1.1/2,Pipe Coil,Maximum operating pressure up to 500mbar,2 hour fire rating in continuous length (no joints),"Suitable for use in fire protected areas including protected shafts, escape corridors and lobbies",,
23,PL13310,Omegaflex TracPipe coil 22mm x 75mtr,Omegaflex,14.04,"An alternative to rigid pipes, Omegaflex TracPipe 22mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 75M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe coil 22mm x 75mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/10/NW-L13310_wm.jpg,,Yellow,N,,,Stainless SteelPolyethylene (PE),22 mm,0.25,,,FGP-SS4-22-250,N,Used predominantly from meter to appliance,"Suitable for domestic, industrial, and commercial applications","Suitable for 1st, 2nd and 3rd family gases",Bends by hand with no specialist tools,Saves up to 75% on installation time,"No threading, welding or soldering required",Lightweight and easy to transport,Manufactured to withstand normal shrinkage and movement,,22,,TracPipe,,,,,,,,75,304L,3/4,Semi Rigid,Maximum operating pressure up to 500mbar,2 hour fire rating in continuous length (no joints),"Suitable for use in fire protected areas including protected shafts, escape corridors and lobbies",,
24,PR41391,Pegler VSH XPress high strength tube 15mm x 1mm x 6mtr (Pack of 6),Pegler,14.68,"This Pegler Yorkshire VSH Xpress 444 15mm heat shrink tube is made of 1mm thick 630 grade stainless steel with a metallic finish. Suitable for use with XPress and Tectite systems, this tube is supplied in a 6M length.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress high strength tube 15mm x 1mm x 6mtr (Pack of 6)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/92/NW-R41391_R41392_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_SS630_444_Sprinkler_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_DVGW_Certificate.pdf,,,,,,,,,,,
25,PL13306,Omegaflex TracPipe coil 15mm (75 metre),Omegaflex,11.01,"An alternative to rigid pipes, Omegaflex TracPipe 15mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 75M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe coil 15mm (75 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/06/NW-L13306_wm.jpg,,Yellow,N,,,Stainless SteelPolyethylene (PE),15 mm,0.25,,,FGP-SS4-15-250,N,Used predominantly from meter to appliance,"Suitable for domestic, industrial, and commercial applications","Suitable for 1st, 2nd and 3rd family gases",Bends by hand with no specialist tools,Saves up to 75% on installation time,"No threading, welding or soldering required",Lightweight and easy to transport,Manufactured to withstand normal shrinkage and movement,,15,75 metre,TracPipe,,,,,,,,75,304L,1/2,Semi Rigid,Maximum operating pressure up to 500mbar,2 hour fire rating in continuous length (no joints),"Suitable for use in fire protected areas including protected shafts, escape corridors and lobbies",,
26,PL13314,Omegaflex TracPipe coil 28mm (55 metre),Omegaflex,19.39,"An alternative to rigid pipes, Omegaflex TracPipe 28mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 55M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe coil 28mm (55 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/16/NW-L13314_L13316_wm.jpg,,Yellow,N,,,Stainless SteelPolyethylene (PE),28 mm,0.25,,,FGP-SS4-28-180,N,Used predominantly from meter to appliance,"Suitable for domestic, industrial, and commercial applications","Suitable for 1st, 2nd and 3rd family gases",Bends by hand with no specialist tools,Saves up to 75% on installation time,"No threading, welding or soldering required",Lightweight and easy to transport,Manufactured to withstand normal shrinkage and movement,,28,55 metre,TracPipe,,,,,,,,5.5,304L,1,Semi Rigid,Maximum operating pressure up to 500mbar,2 hour fire rating in continuous length (no joints),"Suitable for use in fire protected areas including protected shafts, escape corridors and lobbies",,
27,PM15704,Geberit Mapress water pipe 35mm Stainless Steel (6 m),Geberit,25.68,"Made of stainless steel, this Geberit Mapress 35mm pipe, supplied in 6M lengths, is part of highly effective supply system suitable for a range of uses. Offering a high molybdenum content, this 1.5mm thick pipe is highly resistant to corrosion and extremely durable.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress water pipe 35mm Stainless Steel (6 m)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/06/NW-M15700_M15706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Geberit_Piping_Sys_Catalogue_2019-20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PM15703,Geberit Mapress water pipe 28mm Stainless Steel (6 metre),Geberit,17.43,"Made of stainless steel, this Geberit Mapress 28mm pipe, supplied in 6M lengths, is part of highly effective supply system suitable for a range of uses. Offering a high molybdenum content, this 1.2mm thick pipe is highly resistant to corrosion and extremely durable.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress water pipe 28mm Stainless Steel (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/06/NW-M15700_M15706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Geberit_Piping_Sys_Catalogue_2019-20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PM48126,Geberit m of mps ss therm 49108 sys pipe 54mmx6m,Geberit,23.77,"This Geberit Mapress Therm 49108 54mm pipe, supplied in a 6M length is part of the brand's cost-efficient, corrosion-resistant Mapress Therm pipe system, designed to meet the needs of closed heating and cooling circuits where moisture is inevitably present. This low-alloy stainless steel system protects against condensation and external moisture, making it ideal for cooling systems, floor heating systems where wet, cement-based materials take a long time to dry, and industrial applications, particularly where compressed air and inert gases are in use.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit m of mps ss therm 49108 sys pipe 54mmx6m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/26/M48126_wm.jpg,,Steel/Metallic,N,EN 10312:2002 + A1:2005,Plain End,CrTi steel 1.4520 (EN 10088),54mmØ,1.5,Plain End,Plain End,49108,N,Reliable protection against external corrosion,Suitable for closed cooling or refrigeration circuits,"Durable, cost-effective low-alloy stainless steel",Ideal for industrial applications,Compatible with inert gases and negative pressure systems,"Suitable for technical building systems, heating pipes and radiators","Suitable for heaters, solar, district heating and compressed air",Meets EN 10312:2002 + A1:2005,,,,,,,,,,,,,,,,,,,,
30,PM21627,Geberit Mapress 35392 stainless steel union 22mm,Geberit,88.66,"Manufactured in stainless steel with a high molybdenum content, this Geberit Mapress d108 22mm union offers excellent levels of corrosion resistance. It is suitable for use in cold/hot potable water, heating water, cooling water with or without anti-freeze agent, remote network heating water less than or equal to 120°C, saturated steam less than or equal to 120°C, service water, treated water, rainwater with a pH value of more than 6, grey or black water with pH value more than 6, extinguishing water (wet), sprinklers (wet), chemicals/technical liquids, compressed air (oil purity class 0 - 3), negative pressure, inert gases such as nitrogen, industrial gases including acetylene and shielding gases and in technical building systems, industry and shipbuilding.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress 35392 stainless steel union 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M21627_Primary_Image_wm.jpg,,,N,,,,22 mm,,,,35392,N,,,,,,,,,Press Fit,,,Mapress,,,,,,,,,,,Mapress Stainless Steel Union 22mm,,,,,
31,PM21291,Geberit Mapress Cunife system pipe D54 x 1.6mm x 6mtr (per metre),Geberit,84.85,"Manufactured in cupro-nickel alloy, the Geberit Mapress CuNiFe CSt D18 - 12 Zn-Pl reducer with plain end measures 54mm x 6M. Featuring a black-coloured pressing indicator, this adapter, with its thermal and mechanical treatment, has a homogenous, robust structure and offers excellent resistance to corrosion, making it ideal for use in salt water, including 25% saturation solutions. Certified for use in civil and military shipbuilding applications and for use on drilling platforms, the CuNiFe range is compatible with service, pool and heating water and can be used in salt water cooling and sprinkler systems.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress Cunife system pipe D54 x 1.6mm x 6mtr (per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M21291_Primary_Image_wm.jpg,,,N,,,,54mm x 6m,,,,56325,N,,,,,,,,,Press Fit,,Per Metre,Mapress Cunife,,,,,,,,,,,Mapress CuNiFe System Pipe 54mm,,,,,
32,PL13430,Omegaflex TracPipe gas pipe DN22 x 5mtr with 2 fastenings and tape,Omegaflex,99.83,"An alternative to rigid pipes, Omegaflex TracPipe 22mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 5M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe gas pipe DN22 x 5mtr with 2 fastenings and tape",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/34/NW-L13430_L13434_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P529769,Pegler VSH XPress system tube 54mm x 6mtr Stainless Steel (Per Metre),Pegler,71.62,"This Pegler Yorkshire VSH Xpress 444 54mm heat shrink tube is made of 1.5mm thick 630 grade stainless steel with a metallic finish. Suitable for use with XPress and Tectite systems, this tube is supplied in a 6M length.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress system tube 54mm x 6mtr Stainless Steel (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/69/NW-529765_529769_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_SS630_444_Sprinkler_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_DVGW_Certificate.pdf,,,,,,,,,,,
34,PM01528,Geberit Mapress heating pipe 15mm x 6mtr Stainless Steel (6 metre),Geberit,7.49,"Supplied in a 6M length, this Geberit Mapress 15mm heating pipe is made of 1.2mm thick stainless steel with a high molybdenum content.  Highly corrosion-resistant, this reliable press-fit pipe can be used to carry heating water, cooling water with or without antifreeze agent and remote network heating water up to a temperature of 120°C.  It is also suitable for the transport of chemicals and technical liquids.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress heating pipe 15mm x 6mtr Stainless Steel (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M01528_Primary_Image_wm.jpg,,Stainless Steel,N,EN 10312:2002 + A1:2005,female,CrNi steel 1.4301 (EN 10088),15 mm,1.2,Press fit,Press fit,39102,N,For heating water,For cooling water without antifreeze agent,For cooling water with antifreeze agent,For remote network heating water  120 °C,For chemicals and technical liquids,,,,Press Fit,15,6 metre,Mapress,,,,,,,,6,1.3401,15 mm,Heating Pipe,,,,,
35,P529764,Pegler VSH XPress system tube 54mm x 6mtr Stainless Steel (Per Metre),Pegler,100.3,"This Pegler Yorkshire VSH Xpress 54mm heating tube is made of 1.5mm thick 316 stainless steel. Suitable for use with XPress and Tectite systems, this tube is supplied in 6M lengths.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress system tube 54mm x 6mtr Stainless Steel (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/64/NW-529760_529764_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_Press-Fit_System_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_316SS_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/if/ct/Pegler_LPCB-VSH_Fittings_BV_Certifct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_DVGW_Certificate.pdf,,,,,,,,,
36,PM15401,Geberit Mapress 39010 39010 water pipe 88.9mm Stainless Steel (6 metre),Geberit,92.77,"Made of stainless steel, this Geberit Mapress 89mm pipe, supplied in 6M lengths, is part of highly effective supply system suitable for a range of uses. Offering a high molybdenum content, this 2mm thick pipe is highly resistant to corrosion and extremely durable. Priced per metre","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress 39010 39010 water pipe 88.9mm Stainless Steel (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/02/NW-M15401_M15402_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Geberit_Piping_Sys_Catalogue_2019-20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P503639,Pegler VSH XPress tube 108mm Stainless Steel (6 metre),Pegler,257.75,"This Pegler Yorkshire VSH Xpress 108mm heating tube is made of 2mm thick 316 stainless steel. Suitable for use with XPress and Tectite systems, this tube is supplied in 6M lengths.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress tube 108mm Stainless Steel (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/39/NW-503637_503639_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_Press-Fit_System_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,,,,,,,,,,,,
38,PM15705,Geberit Mapress water pipe 42mm Stainless Steel (6 metre),Geberit,31.57,"Made of stainless steel, this Geberit Mapress 42mm pipe, supplied in 6M lengths, is part of highly effective supply system suitable for a range of uses. Offering a high molybdenum content, this 1.5mm thick pipe is highly resistant to corrosion and extremely durable.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress water pipe 42mm Stainless Steel (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/06/NW-M15700_M15706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Geberit_Piping_Sys_Catalogue_2019-20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PL13318,Omegaflex TracPipe coil 35mm x 45mtr,Omegaflex,27.36,"An alternative to rigid pipes, Omegaflex TracPipe 32mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 45M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe coil 35mm x 45mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/18/NW-L13318_wm.jpg,,Yellow,N,,,Stainless SteelPolyethylene (PE),32 mm,0.3,,,FGP-SS4-35-150,N,Used predominantly from meter to appliance,"Suitable for domestic, industrial, and commercial applications","Suitable for 1st, 2nd and 3rd family gases",Bends by hand with no specialist tools,Saves up to 75% on installation time,"No threading, welding or soldering required",Lightweight and easy to transport,Manufactured to withstand normal shrinkage and movement,,35,,TracPipe,,,,,,,,45,304L,11/4,Semi Rigid,Maximum operating pressure up to 500mbar,2 hour fire rating in continuous length (no joints),"Suitable for use in fire protected areas including protected shafts, escape corridors and lobbies",,
40,PM15402,Geberit Mapress water pipe 108mm Stainless Steel (6 metre),Geberit,111.72,"Made of stainless steel, this Geberit Mapress 108mm pipe, supplied in 6M lengths, is part of highly effective supply system suitable for a range of uses. Offering a high molybdenum content, this 2mm thick pipe is highly resistant to corrosion and extremely durable.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress water pipe 108mm Stainless Steel (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/02/NW-M15401_M15402_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Geberit_Piping_Sys_Catalogue_2019-20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PL13431,Omegaflex TracPipe gas pipe DN22 x 10mtr with 2 fastenings and tape,Omegaflex,158.61,"An alternative to rigid pipes, Omegaflex TracPipe 22mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 10M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe gas pipe DN22 x 10mtr with 2 fastenings and tape",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/34/NW-L13430_L13434_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PM48128,Geberit m of mps ss therm 49110 pipe 88.9mmx6m,Geberit,44.55,"This Geberit Mapress Therm 49110 88.9mm pipe, supplied in a 6M length is part of the brand's cost-efficient, corrosion-resistant Mapress Therm pipe system, designed to meet the needs of closed heating and cooling circuits where moisture is inevitably present. This low-alloy stainless steel system protects against condensation and external moisture, making it ideal for cooling systems, floor heating systems where wet, cement-based materials take a long time to dry, and industrial applications, particularly where compressed air and inert gases are in use.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit m of mps ss therm 49110 pipe 88.9mmx6m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/28/M48128_wm.jpg,,Steel/Metallic,N,EN 10312:2002 + A1:2005,Plain End,CrNi steel 1.4301 (EN 10088),88.9 mm,1.5,Plain End,Plain End,49610,N,Reliable protection against external corrosion,Suitable for closed cooling or refrigeration circuits,"Durable, cost-effective low-alloy stainless steel",Ideal for industrial applications,Compatible with inert gases and negative pressure systems,"Suitable for technical building systems, heating pipes and radiators","Suitable for heaters, solar, district heating and compressed air",Meets EN 10312:2002 + A1:2005,,,,,,,,,,,,,,,,,,,,
43,PM48123,Geberit m of mps ss therm 49105 sys pipe 28mmx6m,Geberit,10.01,"This Geberit Mapress Therm 49105 28mm pipe, supplied in a 6M length is part of the brand's cost-efficient, corrosion-resistant Mapress Therm pipe system, designed to meet the needs of closed heating and cooling circuits where moisture is inevitably present. This low-alloy stainless steel system protects against condensation and external moisture, making it ideal for cooling systems, floor heating systems where wet, cement-based materials take a long time to dry, and industrial applications, particularly where compressed air and inert gases are in use.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit m of mps ss therm 49105 sys pipe 28mmx6m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/23/M48123_wm.jpg,,Steel/Metallic,N,EN 10312:2002 + A1:2005,Plain End,CrTi steel 1.4520 (EN 10088),28 mm,1.2,Plain End,Plain End,49105,N,Reliable protection against external corrosion,Suitable for closed cooling or refrigeration circuits,"Durable, cost-effective low-alloy stainless steel",Ideal for industrial applications,Compatible with inert gases and negative pressure systems,"Suitable for technical building systems, heating pipes and radiators","Suitable for heaters, solar, district heating and compressed air",Meets EN 10312:2002 + A1:2005,,,,,,,,,,,,,,,,,,,,
