,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Hazardous,Depth (mm),Waste Supplied,Fitting / Mounting Type,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Finish,Material Type,Projection Depth,Range,Warranty,Tap Holes,Number of Tap Holes,Feature 4,Feature 5,Feature 6,Feature 7,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles
44,PB60000,Armitage Shanks Sandringham 2 tap hole basin 510mm White,Armitage Shanks,121.79,"Suitable for use at home or in public bathrooms, this Ideal Standard Sandringham 510mm washbasin with two corner-sited tap holes is made of tough vitreous china and has a vandal-resistant design for hardwearing long term use.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Armitage Shanks Sandringham 2 tap hole basin 510mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/00/NW-B60000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B60000_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PD74698,Ideal Standard i.Life S compact washbasin 1 tap hole 50cm,Ideal Standard,88.12,"An elegant modern design to suit any small bathroom or cloakroom, the Ideal Standard i.Life S 500mm single taphole compact basin is part of a broad range of contemporary bathroom fittings that can help to create a sense of space and light in a room. Suitable for wall-mounting, this reduced size basin can be paired with a pedestal for a neat finish.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard i.Life S compact washbasin 1 tap hole 50cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/98/D74698_wm.jpg,,,,,White/Gloss,N,380,No,Wall,Ceramic,T518501,Contemporary,N,Compact design,Designed by Palomba Serafini Associati,Pedestal or semi-pedestal optional fitting,,,240,i.Life S,,,1,For wall-mounted installation,Ceramic construction,Gloss white finish,Single taphole,,,,
46,PD02367,Ideal Standard Sandringham 21 1 tap hole handrinse pedestal basin 450mm White,Ideal Standard,71.94,"Made of tough vitreous china, this Ideal Standard Sandringham 21 450mm handrinse washbasin with single tap hole has a compact pedestal or wall-mounted design ideal for bathrooms where space is at a premium.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard Sandringham 21 1 tap hole handrinse pedestal basin 450mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/67/NW-D02367_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02367_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PD13892,Roca Havana full cloakroom pedestal,Roca,47.67,"Made of white ceramic, the Roca Havana 450mm full pedestal cloakroom basin is ideal for use in a downstairs loo or guest bathroom.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Roca Havana full cloakroom pedestal,,Cloakroom basin only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/92/NW-D13892_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Primary_Collection_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PB61643,Nabis Traditional 4-piece pack,Nabis,380.51,"This Nabis Traditional four piece bathroom pack with toilet and basin is ideal for period homes, creating a classical, matched finish without compromising on modern convenience.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Nabis Traditional 4-piece pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/43/NW-B61643_wm.jpg,,,,,,N,,,,,B61643 PK,Bath Pack,N,Includes 2x tap hole basin,Includes close coupled toilet,Soft close seat,,,,Traditional,,,,Lifetime warranty on ceramics,1 year warranty on toilet seat,,,Yes,Yes,No,No
49,PD02373,Ideal Standard Sandringham 21 2 tap hole pedestal basin 500mm White,Ideal Standard,37.66,"Stylish and cost-effective, the Ideal Standard Sandringham 21 500mm pedestal or wall-mounted washbasin with two tap holes is made of durable vitreous china with a smart, contemporary design. Pedestal sold seperatley.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard Sandringham 21 2 tap hole pedestal basin 500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/73/D02373_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02373_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PA67211,Ideal Standard Connect Air semiped s/wrp White,Ideal Standard,94.68,This Ideal Standard Concept Air semi pedestal conceals pipework for a smarter bathroom finish.,Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard Connect Air semiped s/wrp White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/11/NW-A67211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/IS_Concept_Air_Brchr_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PB61024,Nabis Pride one tap hole basin 550mm White,Nabis,64.28,"Coolly modern, the Nabis Pride 550mm basin with single tap hole provides a bright, light look for a contemporary bathroom. This basin is suitable for wall or pedestal mounting.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Nabis Pride one tap hole basin 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/24/NW-B61024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/as/in/B61024 Nabis Pride 550mm Basin.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_Care_Instructions_22Aug2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT02619,Ideal Standard Tesi One tap hole pedestal basin 550mm,Ideal Standard,87.41,"With a contemporary geometric design, this Ideal Standard Tesi 550mm washbasin is part of a suite perfect for modern bathrooms. Built in tough vitreous china, this basin includes a single tap hole ready for your choice of mixer and is suitable for wall or pedestal mounting.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard Tesi One tap hole pedestal basin 550mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/19/NW-T02618_T02619_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/T028001_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Bathrooms_Brchr_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PP65671,Geberit Selnova Compact washbasin 1 tap 550 x 370mm,Geberit,121.67,"Stylishly simple, this Geberit Selnova Compact 550mm washbasin is made of vitreous china with a clean white finish. Slimline in its build, this neat basin is ideal for installation in bathrooms where space is at a premium.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Geberit Selnova Compact washbasin 1 tap 550 x 370mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/74/NW-P65671_P65674_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_The_Select_Series_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_SelnovaCompactWashbasin_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PD00756,Roca Senso Square square semi pedestal White,Roca,115.72,The Roca Senso Square semi pedestal is manufactured from high quality vitreous china and provides neat concealment of pipework for a neater finish in the bathroom.,Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Roca Senso Square square semi pedestal White,,semi pedestal;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/56/NW-D00756_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00756_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PB61016,Center CB 2 tap hole boxed basin pack White,Center CB,106.58,"This Center CB basin pack includes a 550mm two tap hole vitreous china basin and pedestal. Finished in white, this highly durable basin and pedestal is designed to suit any bathroom, providing a smart, clean and modern update to your home.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Center CB 2 tap hole boxed basin pack White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/16/NW-B61016_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8_/18/Care_Instructions_22_08_18.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ic/Installation_Ins_Basins_Generic.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PD74697,Ideal Standard i.Life S compact washbasin 1 tap hole 55cm,Ideal Standard,96.51,"A smart designer-look fitting, the Ideal Standard i.Life B 550mm basin is suitable for mounting on a pedestal. Finished in glossy white, this bathroom handwash basin is manufactured in a robust fine fireclay.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard i.Life S compact washbasin 1 tap hole 55cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_j/pg/D74697.jpg_wm.jpg,,,,,White,N,380,No,Pedestal,Fine Fireclay,T517801,Washbasin,N,Designed by Palomba Serafini Associati,Pedestal or semi-pedestal options,Fine fireclay construction,,,380,i.Life S,,,1,White colour,Single taphole,,,,,,
57,PB61723,Nabis Lamone bathroom suite,Nabis,511.27,"No matter what kind of bathroom you desire, the nabis range offers a great value selection to suit all tastes. With the Lamon collection, style and value come together, providing you with a range that can help cut your water usage, whilst adding simple elegance to your bathroom. All ceramics come with a lifetime guarantee and toilet seats come with a one year guarantee.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Nabis Lamone bathroom suite,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/34/NW-B61634_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis Guide 2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PP71194,Geberit Selnova Square washbasin 1 tap 500 x 420mm,Geberit,89.11,"With its geometric shape, the Geberit Selnova Square 500mm washbasin is the perfect choice for a contemporary bathroom. Made of vitreous china with a high gloss white coating, the Selnova Square is designed for pedestal installation. A single pre-drilled tap hole allows the owner to select their ideal mixer tap.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Geberit Selnova Square washbasin 1 tap 500 x 420mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/94/NW-P71194_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_The_Select_Series_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_SelnovaSquare_Handrinse_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PP07557,Geberit Selnova washbasin 1 tap 550 x 440mm,Geberit,91.99,"Made of high-quality vitreous china with a fresh white finish, this Geberit Selnova 550mm washbasin has an understated, simple design suitable for any bathroom. Supplied with a pre-drilled tap hole, this basin is ready for mounting on a pedestal, requiring just your choice of brassware. Built to last, this wash basin is suitable for use in educational establishments, offices or hotels as well as at home.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Geberit Selnova washbasin 1 tap 550 x 440mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/62/NW-P07557_P07562_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_Selnova_Washbasin_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PC08082,TWYFORD ALCONA SEMI PEDESTAL,Twyford,37.87,"The Twyford Alcona wall-mounted semi-pedestal is designed to complement any Alcona round basin, providing a neat finish to your bathroom installation.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> TWYFORD ALCONA SEMI PEDESTAL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/82/NW-C08082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Twyford_Specification_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PC24262,Nabis Fitted furniture  reduced washbasin unit 600mm Soft White,Nabis,139.91,"Finished in Smooth White, this Nabis 835 x 600mm reduced carcass is designed for use with bathroom washbasin units. Easy to install, this unit is made of quality FSC certified materials. *Doors & Panels sold separately",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Nabis Fitted furniture  reduced washbasin unit 600mm Soft White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/1_/62/C24261_62_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C24262_Nabis_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/C24261_64_Nabis_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PD44864,Roca The Gap semi-pedestal basin 350 x 400mm White,Roca,65.89,This vitreous china Roca The Gap semi pedestal conceals basin pipework for a streamlined bathroom finish.,Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Roca The Gap semi-pedestal basin 350 x 400mm White,,semi pedestal;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/64/NW-D44864_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D44864_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PB61028,Nabis Pride one tap hole handrinse basin 450mm White,Nabis,60.19,"Coolly modern, the Nabis Pride 450mm basin with a single tap hole provides a bright, light look for a contemporary bathroom. This basin is suitable for wall or pedestal mounting.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Nabis Pride one tap hole handrinse basin 450mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/28/NW-B61028_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_B61028_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_Care_Instructions_22Aug2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Nabis_B61028_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PB61721,Nabis Lamone WC basin tap,Nabis,187.32,"This Nabis Lamone basin tap is part of the elegant Lamone range. These products combine style and practicality, helping the user to save water without compromising on looks.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Nabis Lamone WC basin tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/28/B61628_wm.jpg,,,,,,N,,,,,B61721 PK,Basin tap,N,White vitreous china,Toilet fixings included,10 year warranty,,,,Lamone,,,,,,,,,,,
65,PT02623,Ideal Standard Tesi 1 tap hole handrinse basin 450mm,Ideal Standard,72.25,"With a contemporary geometric design, this Ideal Standard Tesi 450mm handrinse washbasin is part of a suite perfect for modern bathrooms. Built in tough vitreous china, this basin includes a single tap hole ready for your choice of mixer and is suitable for wall or pedestal mounting.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard Tesi 1 tap hole handrinse basin 450mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/23/NW-T02623_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/T031301_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Bathrooms_Brchr_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PD00630,Roca Laura 1 tap hole basin 560mm White,Roca,82.03,"Elegantly curved, this Roca Laura 560mm basin with a single tap hole looks great in any bathroom. Functional and robust, this vitreous china basin is designed for wall mounting.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Roca Laura 1 tap hole basin 560mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/30/NW-D00630_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Everyday_Collection_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00630_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT02625,Ideal Standard Tesi 686x167x158mm small full pedestal,Ideal Standard,52.45,"This Ideal Standard Tesi small full pedestal is made of tough vitreous china and is designed to conceal pipework for a smart, easy-clean bathroom finish.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard Tesi 686x167x158mm small full pedestal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/25/NW-T02625_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Bathrooms_Brchr_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PC21359,Ideal Standard Concept Arc one tap hole handrinse basin 450mm White,Ideal Standard,83.58,The gracefully designed Ideal Standard Concept Arc 450mm handrinse washbasin with single tap hole is suitable for wall or pedestal mounting and offers compatibility with a range of design-matched bathroom furniture units for a smart combination of functionality and style.,Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard Concept Arc one tap hole handrinse basin 450mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/59/NW-C21359_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C21359_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PA67366,Ideal Standard Connect Air basin arc 55x46 White,Ideal Standard,135.27,"Perfect for contemporary bathrooms, the Ideal Standard Concept Air 550mm wall-mounted or pedestal washbasin with single tap hole has thin ceramic walls for a lighter, slimmer, more modern look. Part of a wide range of bathroom fittings and furniture, this white fireclay basin can help you to achieve a seamless bathroom design.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard Connect Air basin arc 55x46 White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/66/NW-A67366_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/IS_Concept_Air_Brchr_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/A67366_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PC21344,Ideal Standard Concept cloakroom basin pedestal 450mm White,Ideal Standard,66.68,The contemporary Ideal Standard Concept handrinse pedestal provides a smart finishing touch for luxury bathrooms.,Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard Concept cloakroom basin pedestal 450mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/44/NW-C21343_C21344_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C21344_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PB24500,Twyford Classic pedestal White,Twyford,31.31,"The white vitreous china Twyford Classic full pedestal conceals basin pipework for a smart, easy to clean bathroom look.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Twyford Classic pedestal White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/00/NW-B24500_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Classic_560_Washbasin_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
