,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Hazardous,Depth (mm),Waste Supplied,Fitting / Mounting Type,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Finish,Material Type,Projection Depth,Range,Warranty,Tap Holes,Number of Tap Holes,Feature 4,Feature 5,Feature 6,Feature 7,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles
34,PD12097,Roca Havana 1 tap hole basin 550 x 440mm,Roca,34.79,"Made of white ceramic, the Roca Havana 550mm wall-hung basin is supplied with a single pre-drilled tap hole for installation with a monobloc mixer tap.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Roca Havana 1 tap hole basin 550 x 440mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/97/NW-D12097_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Primary_Collection_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PB61682,Nabis Livi / Arno square pedestal,Nabis,26.01,"The glossy Nabis Livi/Arno square pedestal is designed to conceal pipework for a neat, easy-clean bathroom finish.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Nabis Livi / Arno square pedestal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/82/NW-B61682_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/2_/eu/Nabis_B61672_75_82_EU.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_PhaseII_Ceramic_Info_30Aug2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_B61672_B61682_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_B61675_B61682_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PB61634,Nabis Lamone Full pedestal,Nabis,29.27,"The vitreous china Nabis Lamone full pedestal is designed to conceal pipework for a neat, easy-clean bathroom finish.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Nabis Lamone Full pedestal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/34/NW-B61634_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PN66485,Ideal Standard iLife E247201 semi pedestal HWB,Ideal Standard,50.92,"The Ideal Standard i.Life wall-mounted semi-pedestal provides a neat finish for a handwash basin installation. This pedestal is part of the extensive iLife range, featuring a wide variety of bathroom fixtures and fittings designed to suit most interior design schemes.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard iLife E247201 semi pedestal HWB,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/85/NW-N66485_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_iLife_35cm_Handrinse_Basin_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PB61662,Nabis Vector II One tap hole basin 550mm,Nabis,76.72,The modern Nabis Vector II 560mm washbasin with single tap hole has a luxurious porcelain finish. This basin is suitable for wall or pedestal mounting.,Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Nabis Vector II One tap hole basin 550mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/62/B61662_wm.jpg,,,,,White/Gloss,N,440,No,Wall/Pedestal,Porcelain,L6602,Washbasin,N,White porcelain,With 1x tap hole and overflow,,,,440,Vector II,,One,1,,,,,,,,
39,PC24261,Nabis Fitted furniture  standard washbasin unit 600mm Soft White,Nabis,139.91,"Finished in Smooth White, this Nabis 835 x 600mm standard carcass is designed for use with bathroom washbasin units. Easy to install, this unit is made of quality FSC certified materials. *Doors & Panels sold separately",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Nabis Fitted furniture  standard washbasin unit 600mm Soft White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/1_/62/C24261_62_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C24261_Nabis_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/C24261_64_Nabis_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PC21345,Ideal Standard Concept large semi pedestal White,Ideal Standard,72.02,The contemporary Ideal Standard Concept large semi pedestal provides a smart finishing touch for luxury bathrooms.,Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard Concept large semi pedestal White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/46/NW-C21345_C21346_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_Concept_Sphere_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PD02374,Ideal Standard Sandringham 21 1 tap hole pedestal basin 550mm White,Ideal Standard,37.55,"Stylish yet cost-effective, the Ideal Standard Sandringham 21 550mm washbasin with single tap hole is made of hardwearing vitreous china and is suitable for wall or pedestal mounting.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard Sandringham 21 1 tap hole pedestal basin 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/74/NW-D02374_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02374_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PB47419,Twyford Alcona two tap hole handrinse basin 400mm White,Twyford,43.68,"The modern Twyford Alcona 400mm handrinse basin with two tap holes is built in robust vitreous china. Suitable for wall or pedestal installation, this basin brings a touch of luxury to any bathroom.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Twyford Alcona two tap hole handrinse basin 400mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/19/NW-B47419_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_Alcona_400_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Twyford_Collection_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PN66484,Ideal Standard iLife E247001 semi pedestal,Ideal Standard,50.92,"A smart designer finishing touch, the Ideal Standard i.Life semi-pedestal is designed to hold an i.Life handwash basin in place. Finished in bright glossy white, this pedestal will blend seamlessly into most bathroom interiors.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard iLife E247001 semi pedestal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/84/NW-N66483_N66484_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_iLife_50cm_Washbasin_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
