,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Colour,Diameter,Fuel Type,Weight,Feature 1,Feature 2,Feature 3,Feature 4,Warranty,Depth (mm),Range For Use With,Flue Type,Flue Diameter,Flue Length,Flue Size,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Range,Attachment 6,Attachment 7,Boiler Bundles,Part Gas Council number,By Model Number,For Use With,Feature 11
67,P100814,Worcester Bosch Greenstar high efficiency vertical flue extension 125mm x 1mtr White,Worcester Bosch,73.83,Plume Management 1000mm extension for where the standard flue is not long enough.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch Greenstar high efficiency vertical flue extension 125mm x 1mtr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/14/100814_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_80-125mm_Horiz_Flue_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_Greenstar_FS_CDi_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,P114696,Worcester Bosch Greenstar 8000 table stand for easy control,Worcester Bosch,39.55,"There's no need to find wall space for your heating controller thanks to the Worcester Bosch EasyControl table stand. Simply plugged in at the wall, this stand keeps a smart internet-connected heating control in easy reach for use whenever it's needed. This accessory is compatible with the Greenstar 8000 boiler.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch Greenstar 8000 table stand for easy control,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/96/114696_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_EasyControl_RF_Key_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Worcester_Bosch_Gas_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/46/96/114696.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,P101547,Worcester Bosch Greenstar Oilfit vertical extension flue kit 80/125mm,Worcester Bosch,233.29,"Worcester supplies a range of flue accessories for its oil range, allowing boiler siting flexibility.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch Greenstar Oilfit vertical extension flue kit 80/125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/47/101547_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_Oilfit_External_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,P108421,Worcester Bosch Gstar Comfort worc gstar comfort and i rf h/syst care pack,Worcester Bosch,241.08,"This Worcester Bosch Greenstar Comfort+ I RF system care pack includes a Greenstar Mini System 22mm filter. The addition of this filter adds ten years to the warranty of Greenstar 4000 boilers. Also suitable for use with Greenstar 2000 and Greenstar 8000 Lifestyle models, this handy pack includes a RF wireless programmer and key, WB1 inhibitor and WB3 cleaner.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch Gstar Comfort worc gstar comfort and i rf h/syst care pack,,Greenstar Comfort+ I RF wireless programmer and key;Greenstar Mini system filter (22mm);Worcester Bosch WB1 inhibitor 500ml bottle;Worcester Bosch WB3 cleaner 500ml bottle,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/21/NW-108421_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/WB_Greenstar_4000_Installer_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,P100915,Worcester Bosch Greenstar vertical pre piping kit (for CDI combi),Worcester Bosch,111.23,"Suitable for installation of the Greenstar CDi Classic Combi, this Worcester Bosch vertical pre-piping kit is designed pre-bent with swaged ends for easy soldering. This convenient kit helps to save around 30 minutes in installation time.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch Greenstar vertical pre piping kit (for CDI combi),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/15/100915_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W B_Greenstar_CDi_Classic_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,P105146,Worcester Bosch Greenstar Oilfit 45deg plume management bend,Worcester Bosch,44.21,"This Worcester Bosch brand 45° bend reduces the length of a plume management system for convenient siting and a neater finish. It is compatible with Greenstar Utility, Heatslave II or Heatslave II External boilers.  Plume management kits are used to solve the issue of nuisance pluming, where the plume from a condensing boiler causes an obstruction in a garden, side passage or courtyard. The kit simply redirects the plume away from the property to a more convenient location.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch Greenstar Oilfit 45deg plume management bend,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/46/105146_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/WB_Greenstar_Heatslave_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,P796762,Worcester Bosch flue gas collector,Worcester Bosch,32.96,"This Worcester Bosch flue gas collector can be used with boilers in the Greenstar range.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch flue gas collector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/62/796762_wm.jpg,,,,,,N,"27 CDi, 29 CDi LPG, 34 CDi Classic LPG, 37 CDi, 38 CDi, 430/i, 430/i LPG, 25 CDi LPG, 30 CDi, 30 CDi Conventional, 30 CDi LPG, 42 CDi LPG, 532/i LPG, 38 CDi LPG, 40 CDi, 40 CDi Conventional, 40 CDi Conventional LPG, 40 CDi LPG, 542/i, 29 CDi, 29 CDi Clas",Flue,Greenstar,8716119319,Flue Gas Collector,N,,,,,Suitable for a vareity of boiler ranges,,,,,,,,,,,,,,,,,,,,,,,"27 CDi, 29 CDi LPG, 34 CDi Classic LPG, 37 CDi, 38 CDi, 430/i, 430/i LPG, 25 CDi LPG, 30 CDi, 30 CDi Conventional, 30 CDi LPG, 42 CDi LPG, 532/i LPG, 38 CDi LPG, 40 CDi, 40 CDi Conventional, 40 CDi Conventional LPG, 40 CDi LPG, 542/i, 29 CDi, 29 CDi Clas",
74,P105583,Worcester Bosch flexible flue system diameter 80mm,Worcester Bosch,865.1,"A Worcester Bosch 80mm flexible flue system.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch flexible flue system diameter 80mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/83/105583_wm.jpg,,,,,,N,,,,7733601207,Boilers,N,,,,,Suitable for Worcester Bosch boilers,,,,,,,,,,,,,,,,,,,,,,,,
75,P105538,Worcester Bosch Oilfit Flexible 100mtr flue system 8mtr,Worcester Bosch,650.4,"This Worcester Bosch 100mm diameter flue system has a length of 8M for convenient siting of a Greenstar Oilfit boiler.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch Oilfit Flexible 100mtr flue system 8mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/38/105538_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_Oilfit_Flexi_CF_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/22/WB_Product_Guide_2022.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,P100824,Worcester Bosch horizontal flue kit 80/125mm,Worcester Bosch,177.04,125mm diameter standard horizontal flue kit (965mm) for use with Greenstar Highflow and FS CDi Regular floor standing boilers,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch horizontal flue kit 80/125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/24/100824_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/WB_Greenstar_FS_CDi_Regular_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_82-125mm_RS_Horiz_Flue_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
