,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Connection Size,Connection Type,Diameter,Weight,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Angle,Range,Colour,Gender,Wall Thickness (mm),Connection Type 2,Length (M),Pack Quantity,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6
104,PP96131,"Georg Fischer upvc reducing bush 1 x 1/2""",Georg Fischer,2.22,"This Georg Fischer 1 x 1/2"" reducing bush is made of a PVC-U ideal for water piping systems. It is suitable for use in distribution, treatment and sewage water, public/private swimming pools, thermal pools or spas, aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Georg Fischer upvc reducing bush 1 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/41/NW-P96129_P96141_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PP96134,"Georg Fischer upvc reducing bush 1.1/2 x 1""",Georg Fischer,3.53,"This Georg Fischer 1 1/2 x 1"" reducing bush is made of a PVC-U ideal for water piping systems. It is suitable for use in distribution, treatment and sewage water, public/private swimming pools, thermal pools or spas, aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Georg Fischer upvc reducing bush 1.1/2 x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/41/NW-P96129_P96141_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PP55349,"Durapipe AVF UPVC adaptor FI PL/MI BSP 1.1/4""",Durapipe,3.72,"Suitable for pressurised irrigation, this Durapipe PVC 1 1/4"" Fl PL/Ml BSP adapter can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe AVF UPVC adaptor FI PL/MI BSP 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/pv/c)/Adaptor female plain-male threaded (pvc)_wm.jpg,,,,,0.13491,N,WRAS,Equal,1.1/4,1 1/4,Unplasticized Polyvinyl Chloride (PVC-U),1.1/4,Solvent Weld,RAM60400,Pipe Adaptor,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,AVF UPVC,,,,,,,,,,,
107,PP55013,"Durapipe Astore upvc socket 3""",Durapipe,13.24,"This Durapipe Astore MA4 3"" x 90mm socket is made of highly resistant PVC. Suitable for pressurised irrigation systems, drinking water, chemical installations and water treatment systems, Astore PVC-U is a solvent-welded, fully matched pipework system available in imperial and metric sizes. Lightweight PVC-U makes installation simple, saving on time, effort and cost of fitting compared to traditional pipework materials.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe Astore upvc socket 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/13/NW-P55013_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PP41246,"Georg Fischer UPVC plain union 1/2""",Georg Fischer,15.87,"This Georg Fischer 1/2 x 1/2"" union in PVC-U is suitable for solvent cement jointing and offer suitability for use in chemical processing, microelectronics, shipbuilding and water treatment.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Georg Fischer UPVC plain union 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/51/NW-P41245_P41251_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Georg_Fischer_Piping_Systems_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PP96042,"TP RV0.MAL upvc socket 3/4""",TP,1.93,"This TP 3/4 x 3/4"" double socket is made of PVC-U with solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.MAL upvc socket 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/50/NW-P96041_P96050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PP55030,"Durapipe 90degree upvc elbow 1.1/2""",Durapipe,4.47,"Suitable for pressurised irrigation, this Durapipe PVC 1 1/2"" 90° elbow can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe 90degree upvc elbow 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC 90d Elbow image_wm.jpg,,1-1/2 in,Solvent weld,1 1/2,0.27231,N,WRAS,Equal,1,1,Unplasticized Polyvinyl Chloride (PVC-U),1,Solvent Weld,RGO40500,Elbow,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,90,,,,,,,,,,,,
111,PP55033,"Durapipe Astore 90deg upvc elbow 3""",Durapipe,19.12,"This Durapipe Astore GO4 3 x 3"" 90° elbow is made of PVC and includes a BS solvent weld x BSP threaded end connection. Suitable for pressurised irrigation systems, drinking water, chemical installations and water treatment systems, Astore PVC-U is a solvent-welded, fully matched pipework system available in imperial and metric sizes. Lightweight PVC-U makes installation simple, saving on time, effort and cost of fitting compared to traditional pipework materials.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe Astore 90deg upvc elbow 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/33/NW-P55033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Durapipe_Astore_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,
112,PP55347,"Durapipe AVF UPVC adaptor FI PL/MI BSP 3/4""",Durapipe,1.75,"Suitable for pressurised irrigation, this Durapipe PVC 3/4"" Fl PL/Ml BSP adapter can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe AVF UPVC adaptor FI PL/MI BSP 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/pv/c)/Adaptor female plain-male threaded (pvc)_wm.jpg,,,,,0.13491,N,WRAS,Equal,3/4,3/4,Unplasticized Polyvinyl Chloride (PVC-U),3/4,Solvent Weld,RAM60250,Pipe Adaptor,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,AVF UPVC,,,,,,,,,,,
113,PP96044,"TP RV0.MAL upvc socket 1.1/4""",TP,3.92,"This TP 1 1/4 x 1 1/4"" double socket is made of PVC-U with solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.MAL upvc socket 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/50/NW-P96041_P96050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PP41547,"Georg Fischer UPVC plain socket (bsp) 3/4""",Georg Fischer,9.43,"This Georg Fischer 3/4 x 3/4"" adapter socket is made of PVC-U with BSP parallel threaded connections, reinforced with a cadmium-plated metal band to plain socket. It is ideal for use in the water treatment, shipbuilding and chemical process industries.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Georg Fischer UPVC plain socket (bsp) 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/48/NW-P41546_P41548_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Georg_Fischer_Piping_Systems_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PP56301,"Durapipe drilled galvanised backing ring (pn16) 3""",Durapipe,37.77,"Suitable for pressurised irrigation, this Durapipe PVC 3"" PN16 drilled galvansied backing ring can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe drilled galvanised backing ring (pn16) 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/te/el/Backing ring galvanised steel_wm.jpg,,,,,1.31000,N,WRAS,Equal,3,N/A,Galvanised mild steel,3,Solvent Weld,GBR4090N,Backing Ring,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,,,,,,,,,,,,
116,PP96141,"Georg Fischer upvc reducing bush 3 x 2""",Georg Fischer,14.04,"This Georg Fischer 3 x 2"" reducing bush is made of a PVC-U ideal for water piping systems. It is suitable for use in distribution, treatment and sewage water, public/private swimming pools, thermal pools or spas, aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Georg Fischer upvc reducing bush 3 x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/41/NW-P96129_P96141_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PP55007,"Durapipe upvc socket 3/4""",Durapipe,1.01,"Suitable for pressurised irrigation, this Durapipe PVC 3/4"" socket can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe upvc socket 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC socket image_wm.jpg,,3/4 in,Solvent weld,3/4,0.16296,N,WRAS,Equal,3/4,3/4,Unplasticized Polyvinyl Chloride (PVC-U),3/4,Solvent Weld,RMA40250,Pipe Socket,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,,,,,,,,,,,,
118,PP55147,"Durapipe upvc union 3/4""",Durapipe,5.26,"Suitable for pressurised irrigation, this Durapipe PVC 3/4"" union can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe upvc union 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC Socket union image_wm.jpg,,3/4 in,Solvent weld,3/4,0.21486,N,WRAS,Equal,3/4,3/4,Unplasticized Polyvinyl Chloride (PVC-U),3/4,Solvent Weld,RBO40250,Pipe Union,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,,,,,,,,,,,,
119,PP96024,"TP RV0.GOL 90deg upvc elbow 1.1/4""",TP,6.57,"This TP 1 1/4 x 1 1/4"" 90° elbow is made of PVC-U specifically for water piping systems. This part is suitable for use in a range of applications including distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, aquariums and aquaculture, irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.GOL 90deg upvc elbow 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/29/NW-P96021_P96029_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PP96094,"TP RV0.BOL upvc union with o-ring 1.1/4""",TP,16.14,"This TP 1 1/4 x 1 1/4"" union with O-ring is made of PVC-U and includes solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.BOL upvc union with o-ring 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/99/NW-P96091_P96099_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PP55027,"Durapipe 90degree upvc elbow 3/4""",Durapipe,1.43,"Suitable for pressurised irrigation, this Durapipe PVC 3/4"" 90° elbow can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe 90degree upvc elbow 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC 90d Elbow image_wm.jpg,,3/4 in,Solvent weld,3/4,0.27231,N,WRAS,Equal,3/4,3/4,Unplasticized Polyvinyl Chloride (PVC-U),3/4,Solvent Weld,RGO40250,Elbow,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,90,,,,,,,,,,,,
122,PP96266,"TP RV0.BPF UPVC barrel nipple BS/BSP 2""",TP,10.61,"This TP 2 x 2"" barrel nipple is made of PVC-U and includes plain end connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.BPF UPVC barrel nipple BS/BSP 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/66/NW-P96261_P96266_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PP55167,"Durapipe upvc cap 3/4""",Durapipe,1.01,"Suitable for pressurised irrigation, this Durapipe PVC 3/4"" cap can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe upvc cap 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC Cap image_wm.jpg,,,,3/4,0.17030,N,WRAS,Equal,3/4,N/A,Unplasticized Polyvinyl Chloride (PVC-U),3/4,Solvent Weld,RCA40250,Cap,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,,,,,,,,,,,,
124,PP96046,"TP RV0.MAL upvc socket 2""",TP,6.57,"This TP 2 x 2"" double socket is made of PVC-U with solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.MAL upvc socket 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/50/NW-P96041_P96050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PP96231,"TP RV0.AMR UPVC adaptor female/male/male (bsp) 1/2 x 1/2""",TP,2.83,"This TP 1/2 x 1/2"" threaded adapter is made of PVC-U and includes BSP connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.AMR UPVC adaptor female/male/male (bsp) 1/2 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/31/NW-P96231_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PP55241,"Durapipe upvc plain/bsp socket 2""",Durapipe,8.08,"Suitable for pressurised irrigation, this Durapipe PVC 2"" plain/BSP socket can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe upvc plain/bsp socket 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/pv/c)/Socket plain-threaded (pvc)_wm.jpg,,2 in,Threaded,,0.16296,N,WRAS,Equal,2,2,Unplasticized Polyvinyl Chloride (PVC-U),2,Solvent Weld,RMA60630,Pipe Socket,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,,,,,,,,,,,,
127,PP96221,"TP RV0.AFR adaptor FI/BSP BS/BSP 1/2 x 1/2""",TP,3.01,"This TP 1/2 x 1/2"" threaded adapter is made of PVC-U and includes plain/threaded connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.AFR adaptor FI/BSP BS/BSP 1/2 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/26/NW-P96221_P96226_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PP96241,"TP RV0.AMR UPVC adaptor female/male/male (bsp) 2 x 2""",TP,12.32,"This TP 2 x 2"" threaded adapter is made of PVC-U and includes BSP connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.AMR UPVC adaptor female/male/male (bsp) 2 x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/41/NW-P96241_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PP96092,"TP RV0.BOL upvc union with O ring 3/4""",TP,9.99,"This TP 3/4 x 3/4"" union with O-ring is made of PVC-U and includes solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.BOL upvc union with O ring 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/99/NW-P96091_P96099_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PP55394,"Durapipe upvc stub flange 4""",Durapipe,14.18,"Suitable for pressurised irrigation, this Durapipe PVC 4"" stub flange can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe upvc stub flange 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC stub flange image_wm.jpg,,4 in,,4,0.21608,N,WRAS,Equal,4,N/A,Unplasticized Polyvinyl Chloride (PVC-U),4,Solvent Weld,RQR41100,Stub Flange,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,,,,,,,,,,,,
131,PP09506,"Durapipe First In PVC (FIP) UPVC male iron adaptor 3/4"" x 32 x 25mm",Durapipe,9.23,"Manufactured in a robust PVC-u, this lightweight Durapipe FIP 3/4"" x 32 x 25mm male iron adapter is fitted using BSP male threaded connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe First In PVC (FIP) UPVC male iron adaptor 3/4"" x 32 x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/06/NW-P09506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Durapipe_UPVC_Fittings_Tech_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PP96212,"TP RV0.MAR plain/threaded socket PVC-U Inch BS 3/4""",TP,5.25,"This TP 3/4 x 3/4"" plain/threaded socket is made of PVC-U with plain/threaded female connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.MAR plain/threaded socket PVC-U Inch BS 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/16/NW-P96211_P96216_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
