,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Connection Size,Connection Type,Diameter,Weight,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Angle,Range,Colour,Gender,Wall Thickness (mm),Connection Type 2,Length (M),Pack Quantity,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6
94,PP55009,"Durapipe upvc socket 1.1/4""",Durapipe,2.07,"Suitable for pressurised irrigation, this Durapipe PVC 1 1/4"" socket can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe upvc socket 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC socket image_wm.jpg,,1.1/4 in,Solvent weld,1.1/4,0.16296,N,WRAS,Equal,1.1/4,1 1/4,Unplasticized Polyvinyl Chloride (PVC-U),1.1/4,Solvent Weld,RMA40400,Pipe Socket,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,,,,,,,,,,,,
95,PP96061,"Georg Fischer RV0.TIL 90degee upvc equal tee 1/2""",Georg Fischer,2.62,"Ideal for water piping systems, this Georg Fischer 1/2 x 1/2 x 1/2"" 90° tee is made of PVC-U. It is suitable for use in distribution, treatment and sewage water, public/private swimming pools, thermal pools or spas, aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Georg Fischer RV0.TIL 90degee upvc equal tee 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/70/NW-P96061_P96070_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PP55322,"Durapipe AVF UPVC reducing bush PL/BSP 3/4 x 1/2""",Durapipe,2.01,"Suitable for pressurised irrigation, this Durapipe PVC 3/4 x 1/2"" PL/BSP reducing bush can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe AVF UPVC reducing bush PL/BSP 3/4 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/pv/c)/Reducing bush plain-threaded (PVC)_wm.jpg,,3/4 in x 1/2 in,Threaded,,0.11423,N,WRAS,Equal,3/4,1/2,Unplasticized Polyvinyl Chloride (PVC-U),3/4,Solvent Weld,RRC6025B,Reducing Bush,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,AVF UPVC,,,,,,,,,,,
97,PP55328,"Durapipe upvc plain adapter (bsp) 1""",Durapipe,2.87,"Suitable for pressurised irrigation, this Durapipe PVC 1"" BSP adapter can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe upvc plain adapter (bsp) 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/pv/c)/Adaptor male pain-female threaded (pvc)_wm.jpg,,,,,0.13491,N,WRAS,Equal,1,1,Unplasticized Polyvinyl Chloride (PVC-U),1,Solvent Weld,RAF60320,Pipe Adaptor,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,,,,,,,,,,,,
98,PP55205,"Durapipe upvc reducing bush 2 x 1.1/4""",Durapipe,2.6,"Suitable for pressurised irrigation, this Durapipe PVC 2 x 1 1/4"" reducing bush can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe upvc reducing bush 2 x 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC redbush image_wm.jpg,,2 in x 1-1/4 in,Solvent weld,2 x 1.1/4,0.11423,N,WRAS,Equal,2,1 1/4,Unplasticized Polyvinyl Chloride (PVC-U),2,Solvent Weld,RRC4063E,Reducing Bush,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,,,,,,,,,,,,
99,PP96022,"TP RV0.GOL 90deg upvc elbow 3/4""",TP,2.71,"This TP 3/4 x 3/4"" 90° elbow is made of PVC-U specifically for water piping systems. This part is suitable for use in a range of applications including distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, aquariums and aquaculture, irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.GOL 90deg upvc elbow 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/29/NW-P96021_P96029_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PP96130,"Georg Fischer upvc reducing bush 3/4 x 1/2""",Georg Fischer,1.72,"This Georg Fischer 3/4 x 1/2"" reducing bush is made of a PVC-U ideal for water piping systems. It is suitable for use in distribution, treatment and sewage water, public/private swimming pools, thermal pools or spas, aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Georg Fischer upvc reducing bush 3/4 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/41/NW-P96129_P96141_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PP55056,"Durapipe 45degree upvc elbow 1/2""",Durapipe,2.29,"Suitable for pressurised irrigation, this Durapipe PVC 1/2"" 45° elbow can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe 45degree upvc elbow 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC 45d Elbow image_wm.jpg,,1/2 in,Solvent weld,1/2,0.27231,N,WRAS,Equal,12,1/2,Unplasticized Polyvinyl Chloride (PVC-U),12,Solvent Weld,RGY40200,Elbow,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,45,,,,,,,,,,,,
102,PP41548,"Georg Fischer UPVC plain socket (bsp) 1""",Georg Fischer,11.97,"This Georg Fischer 1 x 1"" adapter socket is made of PVC-U with BSP parallel threaded connections, reinforced with a cadmium-plated metal band to plain socket. It is ideal for use in the water treatment, shipbuilding and chemical process industries.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Georg Fischer UPVC plain socket (bsp) 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/48/NW-P41546_P41548_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Georg_Fischer_Piping_Systems_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PP96028,"TP RV0.GOL 90deg upvc elbow 3""",TP,36.29,"This TP 3 x 3"" 90° elbow is made of PVC-U specifically for water piping systems. This part is suitable for use in a range of applications including distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, aquariums and aquaculture, irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.GOL 90deg upvc elbow 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/29/NW-P96021_P96029_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
