,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Range,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 5,Feature 6,Feature 7,Voltage (V),Switch Type,Setting Range,Dimensions mm (H x W x D),Operating Temperature Range (C),Application,Feature 8,Pack Quantity,Attachment 7,Attachment 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16
46,P303569,Danfoss digital battery powered thermostat,Danfoss,51.72,"Offering on/off modulating control, this Danfoss RET2001 electronic room thermostat is an easy to use battery-powered unit with a simple ring for temperature setting, plus an easy to read LCD display. This thermostat incorporates a frost-protection feature and a holiday mode with set-back temperature for energy saving when the house is empty.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Danfoss digital battery powered thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/70/NW-303569_303570_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_RET2001_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_Digital_RET2001_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ro/ls/Danfoss_Electronic_Room_Controls.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P451043,Secure HRT4 HRT4-ZW wireless digi thermostat,Secure,77.48,"Compatible with any Secure brand programmers and zone valves, this Secure HRT4-ZW wireless thermostat can form part of a personalised, Boiler Plus compliant heating system.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Secure HRT4 HRT4-ZW wireless digi thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/43/NW-451043_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Secure_HRT4-ZW_ASR-ZW_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/l_/Secure_HRT4-ZW_HRT4-B_Technical_.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,P312702,Honeywell Home Sundial hw home sundial rf2 pack 4,Honeywell Home,215.28,"Adding a hot water timer and cylinder thermostat to new or existing Sundial systems, the Sundial RF² pack 4 contains the ST9120C wireless timer and CS92A wireless cylinder thermostat. This pack can also be used to upgrade a gravity hot water system.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Honeywell Home Sundial hw home sundial rf2 pack 4,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/02/312702_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P222077,Drayton Wiser radiator thermostat,Drayton,41.25,"The Drayton Wiser radiator thermostat connects to the smart Wiser system, allowing the Hub to control the on/off times and temperatures of each room via an app. Based on the Drayton TRV4, this thermostat is well-designed and packed with features.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Drayton Wiser radiator thermostat,,Radiator thermostat;2x AA batteries;M30 x 1.5mm ring nut;Drayton valve adapter;Danfoss RA valve adapter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/77/NW-222077_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_Wiser_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Drayton_Wiser_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Wiser_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Drayton_Wiser_Valve_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PP96960,Uponor Smatrix Wave T-166 digital thermostat,Uponor,78.18,"Easy to use and with parts supplied for a hassle-free installation, the Uponor Smatrix Wave T-166 digital thermostat has a large backlit display and simple +/- temperature adjustment buttons. Measuring and displaying the room temperature, which is fed back to the controller, the T-166 provides ultra-responsive, precise comfort.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Uponor Smatrix Wave T-166 digital thermostat,,Smatrix Wave T-165;Wall bracket;Mounting material;Batteries (AAA 1.5 V),https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/60/P96960_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_A5_Price_2020_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/sh/Uponor_IOM Smatrix_Wave_english.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,P418091,Secure wi-fi extender hc2.4 2.4ghz,Secure,53.65,"Easy to install, the Secure HC2.4 Wi-Fi extender is ideal for use with the Secure Meters H3747 smart programmable thermostat.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Secure wi-fi extender hc2.4 2.4ghz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/91/418091_wm.jpg,Works with 2.4 GHz wireless routers,Suitable for use with smart thermostats,Plug-and-play installation,,,,,,,,,N,,,SCW100-000,Plug and play wifi extender,N,,,,,,,x  x,,,,,,,,,,,,,,
52,P418088,Secure programmable thermostat,Secure,172.9,"Compatible with domestic gas or oil-fired boiler-based heating systems, the Secure H3747 programmable thermostat, supplied complete with receiver, is suitable for control of up to four overall zones. Wireless enabled out of the box, this smart thermostat is app-compatible with the included Wi-Fi adapter supplying complete control of a home heating system from any location.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Secure programmable thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/88/NW-418088_wm.jpg,Suitable for domestic use,For up to 4x channels,With receiver,Wi-Fi compatible,,,,,,,,N,,,SCT400-000,Domestic heating control,N,Offers app control,,,,,,252 x 174 x 44,,Domestic,,,,,,,,,,,,
53,P222434,Honeywell Home Evohome hw home evohome wifi connected stat pk,Honeywell Home,189.0,"A smart solution to zonal heating, the Honeywell Home EvoHome Wi-Fi connected thermostat is a sophisticated system that gives you the power to create twelve separate heating zones, each individually controlled. Suitable for domestic properties, with the ability to zone even the most straightforward layouts, this cutting-edge thermostat can also control your hot water.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Honeywell Home Evohome hw home evohome wifi connected stat pk,,ATC928G3000 evohome Wi-Fi connected controller;White fascia;ATF800 table top stand;Plug in power supply;BDR91 wireless relay box;evohome installation ;user guide,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/22/300022_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,P222436,Honeywell Home T3R Y3H710RF0053 t3r wireless 5+2 day thermostat+stand,Honeywell Home,63.0,"Suitable for use in domestic heating systems, the T3R wireless 5+2 day programmable thermostat is particularly recommended for social housing, new build properties and for mass installation jobs. It is compatible with a variety of boilers and systems, including 24 to 230V on/off units such as gas and oil boilers, combi-boilers and heat pumps, however it cannot be used for operation of electric boilers. Easy to operate, the T3R provides OpenTherm control for reliable time and temperature switching. A stand is supplied with this unit for ease of storage.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Honeywell Home T3R Y3H710RF0053 t3r wireless 5+2 day thermostat+stand,,Wireless programmable thermostat;Stand,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/09/310709_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Honeywell_T3Prgrm_Thermostat_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Honeywell_T3PrgrmThrmstt_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,P222426,Honeywell Home Lyric @ hw home t4r wireles 7 day prog stat pk,Honeywell Home,125.0,"Suitable for domestic or light commercial use, the Lyric T4R modern wireless 7 day programmable room thermostat offers automatic time and temperature control and compatibility with 24 - 230V on/off appliances such as gas boilers, combi boilers and zone valves. This thermostat can be used as a temperature sensing device in an S or Y Plan system and can control combination boiler installations or additional zones in an S Plan Plus system.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Honeywell Home Lyric @ hw home t4r wireles 7 day prog stat pk,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/26/222426_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,P222432,Honeywell Home EVOHOME radiator multi zone kit,Honeywell Home,215.0,"This Honeywell Evohome radiator multi zone kit includes four wireless radiator controllers heads, allowing for the creation of up to five zones with one head per zone, plus the Evohome controller as a temperature sensing device in another.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Honeywell Home EVOHOME radiator multi zone kit,,4x HR92 radiator controllers;8x AA alkaline batteries;4x Evohome HR92 radiator controller screen wedges;4x Danfoss RA series TRV adaptors;12x security screws;1x HR92 radiator controller installation guide,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/11/300011_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
