,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Operating Temperature,Hazardous,Grade,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Range,Feature 8,Finish,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Material Type,Material,Size,Warranty,Operator Type,Weight
21,P236580,Center Copper Compression Olives 22mm Pack of 5,Center,1.96,These Center 22mm copper compression olives are suitable for use in drinking water supplies.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Center Copper Compression Olives 22mm Pack of 5",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/80/236580_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/91/236591.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v4/ 236580 Data Sheet V4.pdf,,,,,,,,,
22,P236573,"Center 1/2"" fibre washer 100pk",Center,8.37,"These Center 1/2"" fibre washers in red are suitable for use in hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Center 1/2"" fibre washer 100pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/73/236573_wm.jpg,,,,N,,PPWSTC-D/100W,,N,Pack of 100,Fibre construction,Red colour,For end feed tap connections,,,,,,,,,,,,,,,,,
23,P292175,Midland Brass scottish pattern sludge cock 15mm Bronze,Midland Brass,10.58,This Midland Brass Scottish pattern sludge cock is made of bronze and has a 15mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Midland Brass scottish pattern sludge cock 15mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/75/NW-292175_wm.jpg,15mm,Compression,,N,,BFSC-15,Sludge Cock,N,Reliable design,Hardwearing build,12 month warranty,,,,,,,,,,,,,Brass,Bronze,15 mm,12 Month,,
24,P176291,"Grundfos male iron surrey flange 22mm x 1"" (1)",Grundfos,72.0,"Providing an independent hot water supply, the Grundfos 22mm Surrey flange reduces air surging, noise and temperature variations. Automatically purging a shower circuit, this threaded brass flange (patent applied for) prevents air accumulation in the hot water shower feed, automatically trapping and releasing air, preventing the back feed of aerated hot water","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Grundfos male iron surrey flange 22mm x 1"" (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/92/NW-176291_176292_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Grundfos_Flange_Catalogue_2019.pdf,,,,,,,,,,,,,
25,P236571,Center Brass Compression Olives 8mm Pack of 5,Center,1.64,These Center 8mm brass compression olives are suitable for use in drinking water supplies.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Center Brass Compression Olives 8mm Pack of 5",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/71/236571_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/79/236579.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/89/236588-89.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/71/236571.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/92/236592.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/77/236577.pdf,,,,,,
26,P236579,Center Brass Compression Olives 10mm Pack of 5,Center,1.64,These Center 10mm brass compression olives are suitable for use in drinking water supplies.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Center Brass Compression Olives 10mm Pack of 5",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/79/236579_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/79/236579.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/89/236588-89.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/71/236571.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/92/236592.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/77/236577.pdf,,,,,,
27,PC51994,Midland Brass straight washing machine tap and check valve hot and cold 15mm,Midland Brass,9.8,"Made of brass, this Midland Brass hot and cold straight washing machine tap with check valve has 15mm compression x 3/4"" threaded connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Midland Brass straight washing machine tap and check valve hot and cold 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/94/NW-C51994_wm.jpg,15 mm x 3/4 inch,Compression x Threaded,,N,,BFWMVC-15E,Tap,N,With check valve,Hardwearing build,Reliable design,12 month warranty,,,,,,,,,,,,,,,,Handle,
28,P173004,"Masefield float - max 37c 5 x 5/16"" Copper",Masefield,32.45,"This Masefield copper ball float, measuring 5 x 5/16"" tolerates temperatures up to 37°C.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Masefield float - max 37c 5 x 5/16"" Copper",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/04/173004_wm.jpg,,,,N,,PBRFLO366779,,N,Soldered type,Suitable for use in cold water only,,,,,,,,,,,,,,,,,,,180.00000
29,PC51500,Midland Brass washing machine hose 1.5mtr Red,Midland Brass,6.46,This Midland Brass 1.5M long red washing machine hose includes a threaded connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Midland Brass washing machine hose 1.5mtr Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/00/NW-C51500_wm.jpg,,Threaded,,N,CW617N,BFWMHR-1.5M,Hose,N,Satin finish,Hardwearing build,Reliable design,12 month warranty,,,,,,,,,,,,,,,,,
30,P173005,"Masefield float - max 37c 6 x 5/16"" Copper (10)",Masefield,28.59,"Made of copper, this Masefield 6"" soldered ball float is designed for cold water use only. It is supplied with a BSW stud connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Masefield float - max 37c 6 x 5/16"" Copper (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/05/NW-173005_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Masefield_Ball_Valve_Technical.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/22/Masefield_Beta_Valve_Brochure_2022.pdf,,,,,,,,,
31,P176292,Grundfos york flange 22mm,Grundfos,73.0,"The Grundfos 22mm York flange is a modified version of the Surrey flange, with the addition of an adapter. This flange is recommended for shower pumps of up to 3 bar pressure.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Grundfos york flange 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/92/NW-176291_176292_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Grundfos_Flange_Catalogue_2019.pdf,,,,,,,,,,,,,
