,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
14,PT10598,Maxam Dura+ adhesive sealant tube 290ml Black,Maxam,8.79,"There's no longer any need to buy and transport multiple sealents, mastics, fillers and adhesives thanks to Maxam DURA+, a six-in-one hybrid adhesive sealant that works reliable on a wide range of surfaces, from lead to brick to glass. Sealing and bonding in any situation, even underwater, this high performance product can be used to fill, repair, plug and much more, helping you complete a variety of jobs without the hassle of using multiple tubes and bottles. Food-safe and chemical-resistant, DURA+ can be used in just about any room or situation and provides a tough yet flexible seal that's resistant to high temperatures and extremes of weather.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Maxam Dura+ adhesive sealant tube 290ml Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/98/T10598_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/be/ls/Maxam product labels.pdf,,,,,,,,,,,,,,,,,,,,,,
15,PN57793,Gyproc ready mixed easifiller 1ltr,Gyproc,13.44,"Designed for making repairs to plaster and plasterboard, Gyproc EasiFiller, supplied in a 1L tub, is a ready-mixed paste for use on walls or ceilings. Easy to use straight from the tub, this filler effectively fills holes and small cracks, sanding back easily for a smooth, like-new surface.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Gyproc ready mixed easifiller 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/93/NW-N57793_wm.jpg,,,,,,White,1 Ltr,N,Tub,Paste,5200854788,Ready Mixed Easifiller,N,PlasterboardPlaster,"Quick and simple to use, apply straight from tub","Ideal for most indoor surfaces, including plaster, plasterboard and concrete","Fine, ultra-smooth finish",Easy to sand smooth,Ideal for painted surfaces,,,,
16,PF49939,McAlpine MACXSEAL MACXSEAL-WH hybrid sealant and adhesive 290ml White,McAlpine,11.71,"Suitable for use in all trades, McAlpine MACXSEAL-EH silicone and adhesive is compatible with sanitaryware, tiles and mirrors. It can be safely used on a variety of materials, including metal, wood, stone, concrete, marble and brick.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> McAlpine MACXSEAL MACXSEAL-WH hybrid sealant and adhesive 290ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/39/NW-F49938_F49939_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/McAlpine_Macxseal_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_MACXSEAL-CL_WH_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
17,PS87271,Soudal tile adhesive 5kg,Soudal,18.86,"Solvent-free, Soudal tile adhesive paste bonds all types of wall and flooring tiles while offering compatibility with underfloor heating. Suitable for porous surfaces, including stone, concrete, plaster and timber, this white adhesive is easy to tool and highly resistant to water for reliable use in bathrooms.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Soudal tile adhesive 5kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/71/S87271_wm.jpg,,,,,,White,5 kg,N,5 kg tub,Paste,100017,Tile Adhesives,N,,5kg supply,White finish,Ready to use,Easy tooling,Long open time (ca 15 minutes),Low consumption,Flexible finish,High initial tack,Water-resistant
18,PT10597,Maxam Dura+ adhesive sealant tube 290ml Clear,Maxam,9.03,"There's no longer any need to buy and transport multiple sealents, mastics, fillers and adhesives thanks to Maxam DURA+, a six-in-one hybrid adhesive sealant that works reliable on a wide range of surfaces, from lead to brick to glass. Sealing and bonding in any situation, even underwater, this high performance product can be used to fill, repair, plug and much more, helping you complete a variety of jobs without the hassle of using multiple tubes and bottles. Food-safe and chemical-resistant, DURA+ can be used in just about any room or situation and provides a tough yet flexible seal that's resistant to high temperatures and extremes of weather.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Maxam Dura+ adhesive sealant tube 290ml Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/97/T10597_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/be/ls/Maxam product labels.pdf,,,,,,,,,,,,,,,,,,,,,,
19,PH67605,Building Adhesives grout 1.5kg White,Building Adhesives,4.9,A BAL adhesives white tile grout for a range of tile types.,Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Building Adhesives grout 1.5kg White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/05/NW-H67605_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/BAL_Pourable_Flood_Grout_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/BAL_Tile_Grouts_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,
20,PH69197,Bostik Gripfill multi-purpose adhesive 350ml,Bostik,6.6,This Bostik Gripfill multi-purpose gap filling adhesive is formulated to bond almost any surface.,Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Bostik Gripfill multi-purpose adhesive 350ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/97/NW-H69197_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Gripfill_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,
21,PN34726,Bostik Gripfill solvent free adhesive,Bostik,5.29,"Strongly bonding almost any surface, this Bostik Gripfill high performance solvent-free adhesive offers incredible strength, even in vertical applications. Suitable for interior and exterior use (provided bond is covered), this adhesive is compatible with wood, plywood, hardboard, chipboard, laminated plastic, brick, rigid insulation material (except polystyrene), metal, stone breeze block, ceramics, concrete, sand/cement screeds, plasterboard, cement composite boards and GRP.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Bostik Gripfill solvent free adhesive,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/26/NW-N34726_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Bostik_EvoStik_Gripfill_AdhesiveTech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Evo_Stik_Gripfill_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,
22,PE68010,Bostik non-slip tile wall adhesive (x-large),Bostik,32.91,This Bostik Evo-Stik wall tile non-slip adhesive is suitable for ceramic tiles.,Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Bostik non-slip tile wall adhesive (x-large),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/11/NW-E68010_E68011_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Smart_Adhesives_P_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Evo_Stik_Tile_A_Wall_SDS.pdf,,,,,,,,,,,,,,,,,,,,,
23,PN44058,CT1 construct adhesive Grey,CT1,12.98,"Using innovative Tribrid technology, CT1 sealant and construction adhesive effectively bonds to all metals, lead, glass, mirrors, wood, MDF, polystyrene, fibreglass, tiles and concrete. It will also adhere to most stone types, most synthetic materials and many plastics, excluding PP, PE and PTFE. UV-resistant and stain-free, CT1 retains its grey colour well and is proven to be a massive 360% stronger than traditional hybrid polymers, supplying reliable adhesion, even underwater.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> CT1 construct adhesive Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/58/N44058_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_Sealant_Adhesive_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CT1_Sealant_Adhesive_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/en/ce/CT1_GEV_EMICODE_Licence.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/ce/CT1_Declaration_of_Performance_CE.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/CT1_Certificate_of_Compliance.pdf,,,,,,,,,,,,,,,,,,
