,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Flow Rate,Voltage (V),Warranty,Phase,Hazardous,Output,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Range,Attachment 4,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17
10,P222023,Grundfos UPS UPS 15-50 N 1 phase hot water system circulating pump without fittings,Grundfos,280.98,"Suitable for domestic hot water recirculation and underfloor heating, this Grundfos UPS circulating pump has a corrosion-free stainless-steel pump housing and a pressure rating of 10 bar. This pump is suitable for connection to an on/off time switch, limiting pump operation to those times when hot water is normally needed.",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos UPS UPS 15-50 N 1 phase hot water system circulating pump without fittings,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/23/NW-222023_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UP_UPS_UPSD_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Product_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P126206,"Grundfos Magna 1 D 32-60 180 circulating pump 180mm x 1"" 230V PN10",Grundfos,1912.5,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 D 32 - 60 circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 1 D 32-60 180 circulating pump 180mm x 1"" 230V PN10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/08/NW-126205_126208_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,
12,P126191,"Grundfos Magna 1 25-100 180 circulating pump 180mm x 1"" 230V PN10",Grundfos,1033.3,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 25 - 100 circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 1 25-100 180 circulating pump 180mm x 1"" 230V PN10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/94/NW-126190_126194_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,
13,P126192,"Grundfos Magna 1 25-120 180 circulating pump 180mm x 1"" 230V PN10",Grundfos,1161.8,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 25 - 120 circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 1 25-120 180 circulating pump 180mm x 1"" 230V PN10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/94/NW-126190_126194_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,
14,P126194,"Grundfos Magna 1 25-60 180 circulating pump 180mm x 1"" 230V PN10",Grundfos,820.1,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 25 - 60 circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 1 25-60 180 circulating pump 180mm x 1"" 230V PN10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/94/NW-126190_126194_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,
15,P149287,Grundfos UPS 1ph hws no fittings,Grundfos,796.84,"Featuring a corrosion-free stainless steel pump housing, this Grundfos UPS 25-80 N 180 circulator pump is ideal for domestic hot water recirculation and underfloor heating systems. Suitable for connection to an on/off time switch to limit pump operation to periods when hot water is usually needed, this canned rotor pump houses its pump and motor in a single integral unit with no shaft seal and just two gaskets for sealing, keeping maintenance costs to an absolute minimum.",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos UPS 1ph hws no fittings,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/87/NW-104086_149287_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Wide_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UP_UPS_UPSD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P126193,"Grundfos Magna 1 25-40 180 circulating pump 180mm x 1"" 230V PN10",Grundfos,690.5,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 25 - 40 circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 1 25-40 180 circulating pump 180mm x 1"" 230V PN10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/94/NW-126190_126194_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,
17,P126202,"Grundfos Magna 1 32-80 180 circulating pump 180mm x 1"" 230V PN10",Grundfos,1033.3,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 32 - 80 circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 1 32-80 180 circulating pump 180mm x 1"" 230V PN10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/03/NW-126200_126203_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,
18,P450195,Archergas® Light Commercial Pump 25-80/180,Archergas®,130.5,"The Archergas® Light Commercial Standard produces a maximum head of just over 8 meters with a standard 1 1/2"" threaded connection. As with all Archergas® circulators, it is fully ERP compliant with an impressive energy efficiency index rating of less than 0.21. The pump has 4 modes of control and a standard 180mm port to port size. The LIGHT25 is suitable for radiators, underfloor heating, cooling, solar, recirculation (non-potable) and air source heat pump systems. It also comes with a 5 year guarantee and can be used as a direct replacement for a large number of other models, some of which are listed as follows: Grundfos - UP, UPS, UPS2, Magna (25-55, 25-70 & 25-80), Wilo - Yonos Pico 25/1-8-180, Yonos Para 25/7-180, DAB - Evotron 80/180 & Evoplus 80/180, Salus - MP280A, Stuart Turner - ST 25/80 (180), Lowara - Ecocirc, Ecocirc Basic, Premium XL Plus 25-8 (180), Download the Archergas® app",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Archergas® Light Commercial Pump 25-80/180,,Archergas® Commercial Heating Circulator Pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/_1/450195_1_wm.jpg,,,,Jet Black,115 Litres per minute,230,5 Years,Single,N,,136.5,8m Max Head,IP44,50,Maximum System Pressure 10 Bar,ErP,LIGHT25,Light Commercial Heating Circulator,N,Easy installation,ERP compliant,5 year guarantee,4 modes,Cast iron,Designed in the UK,,,,,Light,,,,,,,,
19,P141407,Grundfos Magna 3 25-80 180 1X230V,Grundfos,694.87,"Ideal for creating high performance heating and cooling systems, the Grundfos MAGNA3 25 - 60 single phase circulator pump is suitable for new installations and refits, offering excellent efficiency and built-in communication capabilities. With a canned rotor, this pump is a maintenance-free integral unit with no shaft seal and just two gaskets for sealing, while bearings are lubricated by the pumped liquid. Wirelessly connecting with the Grundfos GO Remote app, for advanced reporting and monitoring, MAGNA3 is suitable for mixing loops, heating and air conditioning surfaces, ground source heat pumps and small chillers and includes fieldbus communication via CIM modules as well analogue and digital inputs and configurable relays. Features include FLOWADAPT, reducing the requirement for throttling valves, and a built-in differential pressure and temperature sensor.",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 3 25-80 180 1X230V,,MAGNA3 pump;Insulating shells;Gaskets;Quick guide;Safety instructions;1x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-141406_141414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA3_Model_D_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_MAGNA3_Model_D_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA3_instructions.pdf,,,,,,,
20,P164690,Wilo Yonos Pico 25/1-6-130 heating pump,Wilo,181.35,"A high-efficiency, electronically controlled circulation pump with different pressure controls for radiators and underfloor heating installations plus 3 fixed speed settings, providing convenience in installation and maintenance.  The Wilo Yonos Pico is quick and easy to set up with maximum operating convenience due to intelligent settings and an intuitive user interface, and the blocking-current proof synchronous motor with ECM technology provides optimum energy efficiency.   Suitable to be used in domestic buildings for all central heating, underfloor heating, cooling and air-conditioning systems.",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Wilo Yonos Pico 25/1-6-130 heating pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/90/164690_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo-Yonos_Pico_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo-Yonos_Pico_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P149319,Grundfos UP 20-15N 1 phase hotwater system circulating pump no fittings,Grundfos,435.18,"Featuring a corrosion-free stainless steel pump housing, this Grundfos UP 20-15 N 150 circulator pump is ideal for domestic hot water recirculation and underfloor heating systems. Suitable for connection to an on/off time switch to limit pump operation to periods when hot water is usually needed, this canned rotor pump houses its pump and motor in a single integral unit with no shaft seal and just two gaskets for sealing, keeping maintenance costs to an absolute minimum.",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos UP 20-15N 1 phase hotwater system circulating pump no fittings,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/19/NW-149317_149319_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Wide_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UP_UPS_UPSD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P164696,Wilo Yonos Pico 25/1-5-130 heating pump,Wilo,167.4,"A high-efficiency, electronically controlled circulation pump with different pressure controls for radiators and underfloor heating installations plus 3 fixed speed settings, providing convenience in installation and maintenance.  The Wilo Yonos Pico is quick and easy to set up with maximum operating convenience due to intelligent settings and an intuitive user interface, and the blocking-current proof synchronous motor with ECM technology provides optimum energy efficiency.   Suitable to be used in domestic buildings for all central heating, underfloor heating, cooling and air-conditioning systems.",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Wilo Yonos Pico 25/1-5-130 heating pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/96/164696_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo-Yonos_Pico_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo-Yonos_Pico_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P126234,"Grundfos Magna 1 40-100 F 220 circulating pump 220mm x 1"" 230V PN6/10",Grundfos,1928.8,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 40 - 100 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 1 40-100 F 220 circulating pump 220mm x 1"" 230V PN6/10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/37/NW-126233_126237_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,
24,P126204,"Grundfos Magna 1 32-100 F 220 circulating pump 220mm x 1"" 230V PN6/10",Grundfos,1319.9,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 32 - 100 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 1 32-100 F 220 circulating pump 220mm x 1"" 230V PN6/10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/04/NW-126204_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,
25,PA11105,Advanced Water DHWB15 hot water bronze circulating pump 15-60/130,Advanced Water,115.5,"The Advanced Water 15-60/130 DHWB bronze hot water circulating pump is specifically designed for domestic drinking water use. Running quietly and efficiently, this corrosion-resistant pump requires no maintenance, helping to save on downtime and callout charges.",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Advanced Water DHWB15 hot water bronze circulating pump 15-60/130,,Pump;adaptor,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/05/A11105_wm.jpg,,,,Bronze / Black,Max 3.3 m³/h,230v,"2 years, with extended 5 years following product registration",Single,N,0.1 kW,130,130 mhz,IP44,50/60hz,10 bar max,"UKCA, CE",565-478-0002,Pump,N,For domestic drinking water applications,Corrosion-resistant bronze body,"Quiet, efficient 100W motor",Maximum head rating of 6M,130mm port-to-port,Reliable and maintenance-free design,Backwards compatible,IP44 rated,UKCA and CE approved,2 year warranty,,,Extended 5 year warranty with product registration,,,,,,
26,P147075,Circulating Pumps Bronze SE20B Bronze secondary hot water pump (1.5m head),Circulating Pumps,169.0,This Circulating Pumps 0.024kW bronze circulator is designed for use when installing a secondary hot water circulator in domestic or commercial premises.,Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Circulating Pumps Bronze SE20B Bronze secondary hot water pump (1.5m head),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/75/NW-147075_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Circulating_Pumps_SE20_60_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P126209,"Grundfos Magna 1 D circulating pump 220mm x 1"" 230V PN10",Grundfos,2518.4,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 D 32 - 100 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 1 D circulating pump 220mm x 1"" 230V PN10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/09/NW-126209_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,
