,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 1,Connection Size,Connection Type,Type,Grade,Attachment 2,Attachment 3,Diameter,Operating Temperature,Range,Weight,Size,Colour,Material,Number of Ports,Operator Type,Seal Material,Thread Size,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Attachment 4,Attachment 5,Attachment 6,Pack Quantity
20,PK74392,JET Range JET 11 22mm CxC BS 1010 Stopcock,JET Range,34.87,This JET Range JET 11 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed using a 22mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range JET 11 22mm CxC BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/92/K74392_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74391-K74396_Installation.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Range_K74391-K74396_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74391_K74393_Technical Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,
21,P172003,"Pegler Prestex drain cock 1/2"" Brass",Pegler,18.79,"This Pegler Yorkshire Prestex brass drain cock acts as a draw-off point in a pipe, tank or system. Suitable for copper or stainless steel, this cock is installed via a 1/2"" male taper threaded x barbed connection.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Pegler Prestex drain cock 1/2"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/04/NW-172003_172004_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/PYorkshire_PrestexV&F_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PF82910,Midland Brass MDPE x copper stop cock 20 x 15mm,Midland Brass,11.98,"Made of brass, this Midland Brass stop cock is used to isolate the water supply to a property in case of emergency or for maintenance. It is fitted with 20 x 15mm threaded x compression connections.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Midland Brass MDPE x copper stop cock 20 x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/12/NW-F82910_F82912_wm.jpg,N,MBFST-2015W,N,Brass construction,Metallic finish,12 month warranty,,,,,20 x 15 mm,Threaded x Compression,Stopcock,CW617N,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PK74391,JET Range JET 11 15mm CxC BS 1010 Stopcock,JET Range,21.36,This JET Range JET 11 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed using a 15mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range JET 11 15mm CxC BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/91/K74391_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74391-K74396_Installation.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Range_K74391-K74396_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74391_K74393_Technical Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,
24,PK74395,JET Range JET 11 42mm CxC BS 1010 Stopcock,JET Range,348.05,This JET Range JET 11 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed using a 42mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range JET 11 42mm CxC BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/95/K74395_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74391-K74396_Installation.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Range_K74391-K74396_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74394_K74396_Technical Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,
25,PK74396,JET Range JET 11 54mm CxC BS 1010 Stopcock,JET Range,525.32,This JET Range JET 11 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed using a 54mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range JET 11 54mm CxC BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/96/K74396_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74391-K74396_Installation.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Range_K74391-K74396_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74394_K74396_Technical Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,
26,PK74388,"JET Range JET 10 11/4"" BSP Female BS 1010 Stopcock",JET Range,141.58,This JET Range JET 10 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed via a 32mm BSP connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range JET 10 11/4"" BSP Female BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/88/K74388_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74388_K74390_Technical Data Sheet.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74385-K74390_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
27,PK74385,"JET Range JET 10 1/2"" BSP Female BS 1010 Stopcock",JET Range,41.36,This JET Range JET 10 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed via a 15mm BSP connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range JET 10 1/2"" BSP Female BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/85/K74385_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74385_K74387_Technical Data Sheet.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74385-K74390_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
28,PK74386,"JET Range JET 10 3/4"" BSP Female BS 1010 Stopcock",JET Range,56.38,This JET Range JET 10 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed via a 20mm BSP connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range JET 10 3/4"" BSP Female BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/86/K74386_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74385_K74387_Technical Data Sheet.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74385-K74390_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
29,PK74387,"JET Range JET 10 1"" BSP Female BS 1010 Stopcock",JET Range,103.29,This JET Range JET 10 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed via a 25mm BSP connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range JET 10 1"" BSP Female BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/87/K74387_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74385_K74387_Technical Data Sheet.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74385-K74390_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
30,PK74390,"JET Range JET 10 2"" BSP Female BS 1010 Stopcock",JET Range,284.81,This JET Range JET 10 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed via a 50mm BSP connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range JET 10 2"" BSP Female BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/90/K74390_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74388_K74390_Technical Data Sheet.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74385-K74390_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
31,P513899,Pegler Prestex stop cock 22mm Brass,Pegler,46.0,"The tried and tested Pegler Yorkshire Prestex stop cock is made of brass and fitted with 22mm compression connections. Used to isolate the water supply to a property, this stop cock is suitable for domestic, healthcare, water saving and commercial applications.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Pegler Prestex stop cock 22mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/99/NW-513899_wm.jpg,N,501008,N,Crutch top,WRAS approved,Meets BS 1010 standard,5 year warranty,,,,22 mm,Compression,Stopcock,,,,22,120,Prestex,582.00000,,Metallic,,,,,,,,,,,,,,,,,,
32,P172101,"Midland Brass brass screwed drian cock (Type-A) 1/2""",Midland Brass,4.47,"This Midland Brass brass drain cock provides a handy draw-off point in a pipe, system or tank. It is installed with a 1/2"" threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Midland Brass brass screwed drian cock (Type-A) 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/01/NW-172101_wm.jpg,N,MBFDOCTA-D,N,Brass construction,Metallic finish,12 month warranty,,,,,1/2 inch,Threaded,Drain Cock,CW617N,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P172102,"Midland Brass brass screwed drian cock (Type-A) lockshield WRAS1/2""",Midland Brass,3.8,"This Midland Brass brass drain cock provides a handy draw-off point in a pipe, system or tank. It is installed with a 1/2"" threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Midland Brass brass screwed drian cock (Type-A) lockshield WRAS1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/02/NW-172102_wm.jpg,N,MBFDOCTALS-D,N,Brass construction,Metallic finish,12 month warranty,,,,,1/2 inch,Threaded,Drain Cock,CW617N,,,,,,,,,,,,,,,,,,,,,,,,,,
34,P172007,"Pegler Prestex drain cock 1/2"" Gun Metal",Pegler,40.77,"This Pegler Yorkshire Prestex gunmetal drain cock acts as a draw-off point in a pipe, tank or system. Suitable for copper or stainless steel, this cock is installed via a 1/2"" male taper threaded x barbed connection.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Pegler Prestex drain cock 1/2"" Gun Metal",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/07/NW-172007_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/PYorkshire_PrestexV&F_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PK72854,Keraflo Aylesbury high flow K-type float valve 50mm,Keraflo,1479.0,"Accurate and efficient, the Keraflo Aylesbury 50mm high flow K-type delayed action float valve controls the level of stored water in a cold water storage tank without raised chambers. Delaying opening until the water level inside the tank falls by 75mm, this valve eliminates water hammer while reducing noise and improving both water turnover and refill times. Adjustable to a varitey of positions, the Aylesbury valve allows for easy modification of the water tank level with the level remaining unaffected by pressure fluctuation. Meanwhile, a patented ceramic disc sealing mechanism reduces the need for ongoing maintenance, with no seat or washer to replace.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Keraflo Aylesbury high flow K-type float valve 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/54/K72854_wm.jpg,N,A/K50HF,N,Ideal for pumped systems,Reduces Legionella risk,"No valve bounce, dribble or water wammer",Improves water turnover,Positive pump control saves energy,Maximises tank capacity,,,Male ThreadedFlanged back nuts,Float Valve,,,,,,Aylesbury,,50 mm,Brass / Black,DZR Brass,2,Mechanical,N7118F,50 mm,Full flow during fill,Offers extended durability,With puncture-proof float,Offers back siphonage protection,Virtually indestructable design,Reduces tank wall stress,Maintenance-free,Manufactured in the UK,WRAS approved,,,,
36,PK23634,Crane Drain Tap D340 tap pn16 lockshield operated d340 1/2 drain,Crane,81.38,"Constructed in DZR brass, this Crane 1/2"" PN16 lockshield-operated draining tap includes male taper threaded and ribbed connections.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Crane Drain Tap D340 tap pn16 lockshield operated d340 1/2 drain",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/53/581053_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Crane_Tap_D340&D341_Installation.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_Tap_D340_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
37,PK74394,JET Range JET 11 35mm CxC BS 1010 Stopcock,JET Range,281.55,This JET Range JET 11 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed using a 35mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range JET 11 35mm CxC BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/94/K74394_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74391-K74396_Installation.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Range_K74391-K74396_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74394_K74396_Technical Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,
38,PK74389,"JET Range JET 10 11/2"" BSP Female BS 1010 Stopcock",JET Range,178.34,This JET Range JET 10 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed via a 40mm BSP connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range JET 10 11/2"" BSP Female BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/89/K74389_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74388_K74390_Technical Data Sheet.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74385-K74390_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
39,P172004,"Pegler Prestex drain cock 3/4"" Brass",Pegler,37.17,"This Pegler Yorkshire Prestex brass drain cock acts as a draw-off point in a pipe, tank or system. Suitable for copper or stainless steel, this cock is installed via a 3/4"" male taper threaded x barbed connection.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Pegler Prestex drain cock 3/4"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/04/NW-172003_172004_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/PYorkshire_PrestexV&F_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,P598009,Surestop SSR22 push-fit stop cock 22mm,Surestop,39.63,"The innovative Surestop SSR22 stopcock is designed to help protect properties from water damage. With no need for batteries or electrics, this simple plastic stopcock completely stops the water supply with the flick of a switch. Faster and easier to install than traditional stopcocks, Surestop features 22mm push-fit connections.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Surestop SSR22 push-fit stop cock 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/09/NW-598008_598009_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Surestop_Water_Switch_Install.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Surestop_Overview_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Surestop_PushFit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
41,P598008,Surestop SSR15 push-fit stop cock 15mm,Surestop,34.15,"The innovative Surestop SSR15 stopcock is designed to help protect properties from water damage. With no need for batteries or electrics, this simple plastic stopcock completely stops the water supply with the flick of a switch. Faster and easier to install than traditional stopcocks, Surestop features 15mm push-fit connections.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Surestop SSR15 push-fit stop cock 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/09/NW-598008_598009_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Surestop_Water_Switch_Install.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Surestop_Overview_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Surestop_PushFit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
