,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4
0,P684876,A-Gas CO2 Liquid Rental Cylinder 30ltr,A Gas,229.54,"This A-Gas 30L rental cylinder contains refrigerant grade R-744 (CO2), a suitable replacement for R-134A and R-404A in ultra-low, low and medium temperature refrigeration applications. Offering an Ozone Depleting Potential (ODP) of 0 and a global warming potential (GWP) of 1, the increasingly popular R-744 (CO2) is a natural refrigerant for eco-friendly use. With a water content ten times lower than industrial grade R-744 (CO2), this cylinder helps to prevent the formation of carbonic acid which can result in corrosion of machinery and pipework.","Refrigeration/Refrigerants, Industrial Gas & Glycol/CO2 Gas/CO2 Gas.csv -> A-Gas CO2 Liquid Rental Cylinder 30ltr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/76/NW-684876_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_CO2_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R744_Pressure_Temp_Chart.pdf
1,P684875,A-Gas CO2 Vapour Rental Cylinder 10ltr,A Gas,77.67,"This 10L A-Gas rental cylinder contains R744 refrigerant grade CO2. Thanks to its low global warming potential and good properties, this gas is increasingly popular for refrigerant purposes and is suitable for use alongside other primary refrigerants including hydrocarbons and ammonia.","Refrigeration/Refrigerants, Industrial Gas & Glycol/CO2 Gas/CO2 Gas.csv -> A-Gas CO2 Vapour Rental Cylinder 10ltr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/75/684875_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/sd/s3/Agas_CO2_SDS3.pdf,,,
2,P684874,A-Gas CO2 Vapour Rental Cylinder 30ltr,A Gas,229.54,"This A-Gas 30L rental cylinder contains refrigerant grade R-744 (CO2), a suitable replacement for R-134A and R-404A in ultra-low, low and medium temperature refrigeration applications. Offering an Ozone Depleting Potential (ODP) of 0 and a global warming potential (GWP) of 1, the increasingly popular R-744 (CO2) is a natural refrigerant for eco-friendly use. With a water content ten times lower than industrial grade R-744 (CO2), this cylinder helps to prevent the formation of carbonic acid which can result in corrosion of machinery and pipework.","Refrigeration/Refrigerants, Industrial Gas & Glycol/CO2 Gas/CO2 Gas.csv -> A-Gas CO2 Vapour Rental Cylinder 30ltr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/74/NW-684874_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_CO2_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R744_Pressure_Temp_Chart.pdf
