,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Range,Feature 1,Feature 2,Warranty,By Model Number,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Operating Temperature,Voltage (V),Phase,Frequency,Attachment 2,Attachment 3,Pack Quantity,Application,Output (W)
20,P416843,Nu-Way BN11593701 ignition electrode,Nu-Way,12.69,A Nuway ignition electrode.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way BN11593701 ignition electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/43/NW-416843_wm.jpg,,N,x  x,BN11593701,IGNITION ELECTRODE,N,,"Suitable for Oil Stirling ST35 S1S 63, ST40 S1S 63, ST50 S1S 76 and ST90 S1S 80",,,"ST 50,ST 40,ST 35,ST 90",,,,,,,,,,,,,,
21,P465058,Nu-Way diffuser mounting stud,Nu-Way,26.1,A Nuway diffuser mounting stand for the NG9-13.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way diffuser mounting stud,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/58/NW-465058_wm.jpg,,N,x  x,T98875E,Diffuser Mounting Stud,N,,"Leading supplier and manufacturer of spare parts and oil, gas and dual fuel burners",,,,,,,,,,,,,,,,,
22,P416868,Nu-Way combination electrode,Nu-Way,31.96,"This Nuway combination electrode is suitable for RGN 260, 120 and 40/60.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way combination electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/68/NW-416868_wm.jpg,,N,x  x,GS371020644,Combination Electrode,N,,"Leading supplier and manufacturer of spare parts and oil, gas and dual fuel burners",,,"RGN 260,RGN 40/60,RGN 120",,,,,,,,,,,,,,
23,P457562,Riello RDB neutral code burner 2,Riello,391.4,"Available in light oil and kerosene versions, this Riello RDB2 neutral burner is designed to meet high pressure working field demands. Equipped with a geared pump suitable for kerosene, low sulphur kerosene and ultra low sulphur diesel oil (ULSD), this burner has a compact size suitable for installation into most currently available boilers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Riello RDB neutral code burner 2,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/62/NW-457561_457562_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Riello_Kerosene_Burners_Installation.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Riello_RDB_Burners_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Riello_Kerosene_Burners_Spare_Parts.pdf,,,
24,P157870,Nu-Way 47-90-22421 Mgn Ignition Electrode (Pair),Nu-Way,34.92,This pair of Nuway MGN ignition electrodes is supplied with a bracket.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way 47-90-22421 Mgn Ignition Electrode (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/70/NW-157870_wm.jpg,,N,x  x,47-90-22421,IGNITION ELECTRODE,N,Nuway,Pack of 2,Reliable design,,,With bracket,For use with MGN860 and 1350,,,,,,,,,,Pair,,
25,P796918,"Anglo Nordic oil line 1/4""f straight x 1/4""f straight x 600mm",Anglo Nordic,9.64,"This 600mm long Anglo Nordic Mectron oil hose with ozone protection is approved for use with biofuel blends up to B21. Tough and flexible, this hose has a 1/4"" female straight x female straight connection.","Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic oil line 1/4""f straight x 1/4""f straight x 600mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/18/NW-796918_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
26,P439957,Riello capacitor 5UF P2 R40 G20,Riello,27.92,"This Riello capacitor is suitable for Riello Mectron, RLS and Riello 40 burners and offers 5 farads of electrical capacity.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Riello capacitor 5UF P2 R40 G20,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/57/NW-439957_wm.jpg,,N,x  x,8716117815,Capacitor,N,,They also manufacture gas boosters for applications where the mains gas pressure available needs to be increased.,,,,,,,,,,,,,,,,,
27,P421259,Anglo Nordic deaerator,Anglo Nordic,179.21,"Suitable for internal or external use, this Anglo Nordic GOK GS Pro Fi3 oil de-aerator also performs the functions of an oil filter and a shut-off valve.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic deaerator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/59/NW-421259_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Anglo_Nordic_GOK_Installation.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AngloNordic_GOK_DeAeratorSystem_Tech.pdf,,,,
28,P448269,Nu-Way pressure switch (GW50),Nu-Way,45.41,A Nu-Way Dungs GW50 pressure switch made of plastic.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way pressure switch (GW50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/69/NW-448269_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Nu_Way_NDFL150_Burners_Spare_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,
29,P448527,Nu-Way high tension connector,Nu-Way,10.29,A Nuway 250 x 1100 x 250mm plug cover for HT leads.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way high tension connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/27/NW-448527_wm.jpg,,N,x  x,G20001C,Plug Cover,N,,Reliable design,For general use HT leads,,,,,,,,,,,,,,,,
30,P498478,Riello probe leads (Pack of 10),Riello,75.86,These Riello probe leads are suitable for use in gas or oil boilers.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Riello probe leads (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/78/498478_wm.jpg,,N,x  x,87161106030,Spare Part,N,,Pack of 10,For use in gas and oil boilers,,,,,,,,,,,,,,pack of 10,Spare Part,
31,P457084,Riello R40 GS R40 GS20 gas burner,Riello,1295.24,"Quieter than other burners, the Riello 40 GS burner is fitted with a microprocessor-based control box complete with diagnostic functions. Compact in design, it will fit into just about any boiler currently on the market and offers easy installation and adjustment.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Riello R40 GS R40 GS20 gas burner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/84/NW-457084_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Riello_GS20_Installation.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Riello_R40GS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Riello_40_GS10_Brochure.pdf,,,
32,P796919,"Anglo Nordic oil line 1/4""f elbow x 1/4""m straight x 900mm",Anglo Nordic,11.32,"This 900mm long Anglo Nordic Mectron oil hose with ozone protection is approved for use with biofuel blends up to B21. Tough and flexible, this hose has a 1/4"" female 90° elbow x 1/4"" male straight connection.","Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic oil line 1/4""f elbow x 1/4""m straight x 900mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/19/796919_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
33,P436656,Danfoss 071N0050 BFP armature stem,Danfoss,35.55,A Danfoss 071N0050 BFP armature stem for fuel pumps.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Danfoss 071N0050 BFP armature stem,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/56/436656_wm.jpg,,N,,E02169B,Armature Stem,N,,Contains 120 pieces,"Includes valve, nut and washer",,,,,,,,,,,,,,,,
34,P498480,Riello 3012393 high tension leads (Pack of 10),Riello,85.59,These Riello high tension leads are suitable for use in gas or oil boilers.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Riello 3012393 high tension leads (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/80/498480_wm.jpg,,N,x  x,87161108190,Spare Part,N,,Pack of 10,For use in gas and oil boilers,,,,,,,,,,,,,,pack of 10,Spare Part,
35,P474227,Grant Grant Oil Boiler Spares RBS36B10 blast tube ret screws (Pack of 10),Grant,2.67,This pack of ten Grant 50 x 50 x 10mm combustion head screws are designed for use in Riello blast tubes.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Grant Grant Oil Boiler Spares RBS36B10 blast tube ret screws (Pack of 10),,10 Screws,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/27/474227_wm.jpg,,N,50 x 50 x 10,RBS36B10,Screws,N,Grant Oil Boiler Spares,SCREWS FOR COMBUSTION HEAD (PACK OF 10),,,,,,,,,,,,,,,pack of 10,,
36,P448383,"Nu-Way oil filter 1/2""",Nu-Way,180.49,"A Nuway 1/2"" BSP oil filter.","Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way oil filter 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/83/NW-448383_wm.jpg,,N,x  x,E03005U,Oil Filter,N,,"Suitable for MOL 2540-3R, NDF 35, NDF 50, MOL 1650-3R and NDF 60",,,"NDF 60,MOL 2540-3R,NDF 50,MOL 1650-3R,NDF 35",,,,,,,,,,,,,,
37,P457561,Riello RDB neutral code burner 1,Riello,391.4,"Available in light oil and kerosene versions, this Riello RDB1 neutral burner is designed to meet high pressure working field demands. Equipped with a geared pump suitable for kerosene, low sulphur kerosene and ultra low sulphur diesel oil (ULSD), this burner has a compact size suitable for installation into most currently available boilers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Riello RDB neutral code burner 1,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/62/NW-457561_457562_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Riello_Kerosene_Burners_Installation.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Riello_RDB_Burners_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Riello_Kerosene_Burners_Spare_Parts.pdf,,,
38,P796839,Anglo Nordic Tigerloop internal tigerloop,Anglo Nordic,151.55,"This Anglo Nordic Tigerloop de-aerator bio-internal with 1/4"" connections is designed to be fitted between oil line and burner, separating air from the heating oil.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic Tigerloop internal tigerloop,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/39/NW-796839_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Anglo_Nordic_Tigerloop_Bio_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
39,P796920,"Anglo Nordic oil line 1/4""f straight x 1/4""f straight x 1000mm",Anglo Nordic,11.32,"This 1M long Anglo Nordic Mectron oil hose with ozone protection is approved for use with biofuel blends up to B21. Tough and flexible, this hose has a 1/4"" female straight x female straight connection.","Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic oil line 1/4""f straight x 1/4""f straight x 1000mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/20/NW-796920_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
40,P446585,Monarch Water PLP-Type nozzle 07.00 x 60mm,Monarch Water,7.93,"Designed for large capacities, this Monarch type PLP oil nozzle with 60° spray angle offers fine atomization and a solid spray pattern up to about 3.50 USGPH, becoming increasingly hollow in larger sizes.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Monarch Water PLP-Type nozzle 07.00 x 60mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/85/NW-446585_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Monarch_Nozzles_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
41,P456063,Riello R40 GS R40 GS10 GS10 TC gas burner,Riello,943.53,"Quieter than other burners, the Riello 40 GS burner is fitted with a microprocessor-based control box complete with diagnostic functions. Compact in design, it will fit into just about any boiler currently on the market and offers easy installation and adjustment.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Riello R40 GS R40 GS10 GS10 TC gas burner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/63/NW-456062_456063_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Riello_40_GS10_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
42,P457563,Riello RDB neutral code burner 3,Riello,491.43,"Available in light oil and kerosene versions, this Riello RDB3 neutral burner is designed to meet high pressure working field demands. Equipped with a geared pump suitable for kerosene, low sulphur kerosene and ultra low sulphur diesel oil (ULSD), this burner has a compact size suitable for installation into most currently available boilers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Riello RDB neutral code burner 3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/64/NW-457563_457564_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Riello_RDB_Burners_Technical.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Riello_RDB3_4_KeroseneBurners_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Riello_RDB3_4_K_Burners_Spare_Parts.pdf,,,
43,P416847,Nu-Way electrode igniter,Nu-Way,39.97,A Nu-Way electrode ignitor for use in a boiler's burner.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way electrode igniter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/47/416847_wm.jpg,,N,x  x,BN11905101,Electrode,N,,For use in burners,,,,,,,,,,,,,,,,IGNITION,
44,P446324,Landis oil control,Landis,89.48,"With a 220 to 240VAC power supply, this Landis oil burner control starts up, controls and supervises single or two-stage forced draft oil burners in intermittent operation.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Landis oil control,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/24/NW-446324_wm.jpg,,N,x  x,BN11559504,Oil Burner Control,N,,220 to 240VAC Power Supply,,,,,,,,,,,,,,,,,
45,P448263,Nu-Way Dungs pressure switch (GW3),Nu-Way,44.77,A Nu-Way Dungs GW3 pressure switch made of plastic.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way Dungs pressure switch (GW3),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/63/NW-448263_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Nu_Way_NGN85_Burners_Spare_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,
46,P448437,Nu-Way pressure gauge 0-600 psi,Nu-Way,22.55,"This Nuway 50mm pressure gauge manifold offers a visual measurement of the current pressure in a boiler, giving notice of a potential leak in your heating system.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way pressure gauge 0-600 psi,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/37/NW-448437_wm.jpg,,N,x  x,G04-005D,Pressure Gauge,N,,Pressure range 0 - 300 PSI,"Size 0.125"" BSP",,"PO 250,PDF 310,MDFL 3300,NDF 100,MDFL 4000,NO 150",,,,,,,,,,,,,,
