,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Part Gas Council number,By Model Number,Feature 1,Feature 2,Colour,Diameter,Weight,Feature 3,Range For Use With,Fuel Type,Feature 4,Warranty,Depth (mm),Flue Type,Flue Diameter,Flue Length,Flue Size,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Range,Max Set Pressure,Maximum Operating Temperature,Attachment 6,Attachment 7,Dimensions mm (H x W x D),Application,Boiler Bundles,Length (M),Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,For Use With,Size
53,P105976,Worcester Bosch Greenstar low loss header accessory,Worcester Bosch,239.26,"Perfect for larger properties where more heating power is required, this Worcester Bosch Greenstar low loss header connects two Greenstar system or regular boilers in a cascade or modular installation. This provides homeowners with a combined output of up to 70kW.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Worcester Bosch Greenstar low loss header accessory,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/76/105976_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/WB_Oil_Boilers-Solar_Heating_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Worcester_Bosch_Oil_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_Low_Loss_Header_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,P175622,Parts universal painted firestop plate and fixing,Parts,14.57,This Parts firestop plate with fixings is suitable for use in a vertical 60/100 flue system.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Parts universal painted firestop plate and fixing,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/22/175622_wm.jpg,,,,,,N,,Flue,Universal,WOL175622,Firestop Plate and Fixing,N,,,Universal fitting,Includes fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,P123309,Ideal balcony flue outlet kit,Ideal,131.99,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Ideal balcony flue outlet kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/09/123309_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,P333880,Viessmann standard horizontal flue,Viessmann,84.0,"The standard 1 metre horizontal flue Kit has a diameter of 60/100mm, 1000mm terminal and 87 degree bend.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Viessmann standard horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/80/333880_wm.jpg,,,,,,N,,Flue,Vitodens,333880 PK,Flue Pack,N,,,Simple basic horizontal flue kit,60/100mm diameter,White,,,1000mm terminal,,,87° bend,,,,,,,Part of the Viessmann Vitodens range,,,,,,,,,,,,,,,,,,,,,,,,,
57,P412791,Ideal Gas Valve gas valve kit 100kw,Ideal,303.85,"This Ideal 100kW gas valve kit is suitable for use in selected Ideal boilers. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Ideal Gas Valve gas valve kit 100kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/91/NW-412791_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Evomax_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,P117241,Grant adjustable vertical balanced flue kit 3mtr,Grant,528.2,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Grant adjustable vertical balanced flue kit 3mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/41/117241_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,P118821,Baxi Multifit plume displacement kit Black,Baxi,222.5,"Under the Multifit brand, the telescopic flue kit for Baxi boilers provides a length of 350 - 500 mm, and flue lengths are available in 0.25 metre, 0.5 metre and 1 metre.  This means that there is hardly ever a need to cut a length of flue, reducing installation time and wastage, which is a particular consideration for new build.  The flue sections are joined using a simple push seal mechanism with two positive screw connections giving reassurance that the joint will not come apart. By popular demand, white, black and brown terminal options are now available to better blend into the building.  Where pluming is likely to be a nuisance, a new plume management kit has been introduced.  Available in black or white, the new kit can be retrofitted to the flue terminal and is competitively priced and easy to fit.  And for even greater flexibility, a new ridge tile terminal is available.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Baxi Multifit plume displacement kit Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/21/118821_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_600_Plat_Duo_Mega_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,P118822,Baxi Multifit plume displacement kit White,Baxi,222.5,"Under the Multifit brand, the telescopic flue kit for Baxi boilers provides a length of 350 - 500 mm, and flue lengths are available in 0.25 metre, 0.5 metre and 1 metre.  This means that there is hardly ever a need to cut a length of flue, reducing installation time and wastage, which is a particular consideration for new build.  The flue sections are joined using a simple push seal mechanism with two positive screw connections giving reassurance that the joint will not come apart. By popular demand, white, black and brown terminal options are now available to better blend into the building.  Where pluming is likely to be a nuisance, a new plume management kit has been introduced.  Available in black or white, the new kit can be retrofitted to the flue terminal and is competitively priced and easy to fit.  And for even greater flexibility, a new ridge tile terminal is available.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Baxi Multifit plume displacement kit White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/22/118822_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_600_Plat_Duo_Mega_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,P211190,Baxi Multifit plume plus length 1mtr Black,Baxi,99.62,"Suitable for telescopic flues, this Baxi Multifit 60mm plume displacement terminal kit in black includes a 1M extension and brackets. It is used to redirect a nuisance gas and steam plume where an outlet is inconveniently located. This kit is compatible with Promax Combi, System, Duo-Tec, Megaflow, EcoBlue, EcoBlue+ and EcoBlue Advance Combi and Regular boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Baxi Multifit plume plus length 1mtr Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/90/NW-211190_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_Flue_Solutions_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,P412807,Ideal Spares flue manifold bottom kit 30/40/60/80kw,Ideal,113.54,This Ideal flue manifold bottom kit is suitable for Keston Heat and Ideal commercial boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Ideal Spares flue manifold bottom kit 30/40/60/80kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/07/NW-412807_wm.jpg,,,,,,N,,,,176336,Flue Manifold Bottom Kit,N,H98087,"60 LPG,150,120,40 LPG,100,Heat 55,Heat 45,80 LPG,80,60,30 LPG,40,30","Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,,,,,,,,,,Spares,,,,,42.2L X 14.2W X 8H,Commercial,,,,,,,,,,,,,
63,P127175,Vaillant 87deg high efficiency elbow 125mm,Vaillant,78.39,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Vaillant 87deg high efficiency elbow 125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/75/127175_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,P128075,Vaillant small spacing frame kit,Vaillant,51.89,"This Vaillant spacing frame allows for the installation of ecoFIT boilers between kitchen units, saving on space in smaller homes. The frame creates space between the boiler unit and the wall through which pipework can be run down from above instead of cutting into worktops to run pipes from below.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Vaillant small spacing frame kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/75/128075_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/80/75/128075.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,P123505,Ideal flue roof kit,Ideal,130.95,"Ideal Vertical Flue Roof Kit Concentric 60/100mm for installation with the Ideal Independent, Vogue, Logic+ & Logic Condesing ranges of boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Ideal flue roof kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/05/123505_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,P111299,Worcester Bosch Greenstar Oilfit vertical flue kit,Worcester Bosch,315.55,This Worcester Bosch Greenstar Oilfit 80/125mm vertical flue kit assists in the safe removal of steam and gases from a boiler's normal operation.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Worcester Bosch Greenstar Oilfit vertical flue kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/99/111299_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ki/ts/WB_Greenstar_Oil_ErP_Flue_Kits.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,P105751,Worcester Bosch Condensfit horizontal fixed flue kit 60/100-1050mm,Worcester Bosch,118.03,"This Worcester Bosch 60/100mm room-sealed horizontal fixed flue kit has a 1050mm length for convenient siting of Worcester Bosch Greenstar wall-mounted condensing gas appliances.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Worcester Bosch Condensfit horizontal fixed flue kit 60/100-1050mm,,Fixed flue assembly;Inner seal (white);Outer seal (black);Elbow;Fixed length flue (1000mm);Grease pack;2x securing screws;Sachet of grease;Instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/51/NW-105751_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bosch_Flue_Kit_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,P200287,Glow-worm horizontal flue kit 60/100 PP,Glow-worm,99.5,"This Glow-worm terminal is designed for use in a boiler's flue section. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Glow-worm horizontal flue kit 60/100 PP,,Terminal only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/87/200287_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow-worm_Energy_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,P113302,Glow-worm PP extension pipe 1mtr DN60/101,Glow-worm,60.9,"Designed to extend a flue by up to 1M, this Glow-worm DN60/101 extension pipe, made of white polypropylene (PP), offers compatibility with high efficiency condensing boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Glow-worm PP extension pipe 1mtr DN60/101,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/02/NW-113301_113302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_Worm_Energy_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,P147037,Viessmann Vitodens 7946889 plume management kit,Viessmann,96.35,"Redirecting a nuisance boiler plume, this Viessmann plume management kit is suitable for reduced height horizontal flues. Supplied complete with fittings, the kit includes two 1M long 60mm plume pipes and two 90° elbows, one for connection to the horizontal flue kit and one for the plume exhaust.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Viessmann Vitodens 7946889 plume management kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/37/NW-147037_wm.jpg,,,,,,N,,,,7946889,,N,,,Includes 2x pipes and 2x elbows,Fittings supplied for ease of installation,,,,Suitable for reduced height horizontal flues,,,Compatible with Viessmann boiler systems,,,,,,,,,,,,,Vitodens,,,,,,,,,,,,,,,,,,,
71,P412808,Ideal Spares flue manifold top kit 30/40/60/80kw,Ideal,124.43,This Ideal flue manifold top kit is suitable for Keston Heat and Ideal commercial boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Ideal Spares flue manifold top kit 30/40/60/80kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/08/NW-412808_wm.jpg,,,,,,N,,,,176338,Flue Manifold Top Kit,N,H98089,"60 LPG,150,120,40 LPG,100,Heat 55,Heat 45,80,80 LPG,60,30 LPG,40,30","Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,,,,,,,,,,Spares,,,,,36.4L X 18.4W X 7.6H,Commercial,,,,,,,,,,,,,
72,P123329,Ideal Logic stand off kit (for Heat),Ideal,41.37,"This Ideal stand-off kit provides additional flexibility when installing a boiler, allowing for the downward routing of system flow and return pipework behind the unit for a neater finish.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Ideal Logic stand off kit (for Heat),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/29/123329_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic+_Flue-Accessories_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Boiler_2_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/33/29/123329.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,P100822,Worcester Bosch telescopic horizontal flue kit 60/100mm,Worcester Bosch,111.75,Part of a range of accessories designed to make installing Worcester Greenstar Highflow and FS boilers as quick and simple as possible,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Worcester Bosch telescopic horizontal flue kit 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/22/100822_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_WM-Gas-System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_60_100_mm_Horiz_Flue_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,P333076,"Worcester Bosch CDi Compact, SI and I Accessory Pack Cdi Compact Si & I",Worcester Bosch,237.0,"Containing a variety of handy accessories, this Worcester Bosch Greenstar heating system care pack makes installation and servicing of Greenstar CDi, Si Compact and Greenstar i boilers quick, easy and effective.","Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Worcester Bosch CDi Compact, SI and I Accessory Pack Cdi Compact Si & I",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/76/NW-333076_wm.jpg,,,,,,N,,Flue,Greenstar CDiSi CompactGreenstar i,333076 PK,Accessory Pack,N,,,Greenstar Comfort II RF Wireless Programmer & Receiver,Greenstar Mini System Filter,,,,Worcester Keyless Filling Link,,,Worcester Bosch WB1 Inhibitor 500ml Bottle,,,,,,,Worcester Bosch WB3 Cleaner 500ml Bottle,,,,,,"CDi Compact, SI and I",,,,,,,,,,,,,,,,,,,
75,P100815,Worcester Bosch Greenstar vertical flue adaptor 125mm,Worcester Bosch,55.25,125mm diameter high level horizontal flue adaptor,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Worcester Bosch Greenstar vertical flue adaptor 125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/15/100815_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_WM_Gas_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,P127103,Vaillant vertical flue kit,Vaillant,127.4,Suitable for use with all Vaillant Domestic boilers,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Vaillant vertical flue kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/03/127103_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_turboMAX_Air_Flue_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,P333739,Vokera Fixed Length Horizontal Flue Kit,Vokera,82.0,Vokèra offers a wide range of flue systems that are able to meet most applications; these include 60/100mm and 80/125mm diameter concentric flue systems and a 80/80mm parallel (twin) flue system that can be used in either horizontal or vertical configurations.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Vokera Fixed Length Horizontal Flue Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/33/126833_wm.jpg,,,,,,N,,Flue,CompactEasi-Heat PlusExcelVisionVision Plus,333739 PK,Horizontal Flue Kit,N,,,Compatible with Vokera HE domestic boiler ranges,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,P127171,Vaillant Ecomax vertical air/flue duct 125 mm,Vaillant,194.08,Vertical air/flue duct and terminal compatible with the ecoTEC 46kW and ecoTEC 65kW boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Vaillant Ecomax vertical air/flue duct 125 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/71/127171_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,P147203,Viessmann standard concentric flue extension pipe 60/100mm dia 1mtr,Viessmann,37.67,"Extend the length of a flue by up to 1M, inside or out, with this Viessmann 60/100mm balanced standard concentric flue extension pipe.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Viessmann standard concentric flue extension pipe 60/100mm dia 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/03/147203_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Gas_Boiler_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
