,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Part Gas Council number,By Model Number,Feature 1,Feature 2,Colour,Diameter,Weight,Feature 3,Range For Use With,Fuel Type,Feature 4,Warranty,Depth (mm),Flue Type,Flue Diameter,Flue Length,Flue Size,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Range,Max Set Pressure,Maximum Operating Temperature,Attachment 6,Attachment 7,Dimensions mm (H x W x D),Application,Boiler Bundles,Length (M),Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,For Use With,Size
15,P123310,Ideal high level flue outlet kit,Ideal,88.0,Flue trim finishing system for use with horizontal flue terminations on boilers from Ideal.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Ideal high level flue outlet kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/10/123310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P123504,Ideal 45 deg flue elbow kit,Ideal,80.83,"For flue installations for new Ideal Logic & Vogue boilers. Standard 100mm Diameter, pair of 45 degree elbow bends.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Ideal 45 deg flue elbow kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/04/123504_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P334036,Ideal standard horizontal flue pack,Ideal,68.56,This is the standard non-telescopic flue which is 600mm long for use with Ideal Logic Boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Ideal standard horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/05/123305_wm.jpg,,,,,,N,,Flue,LogicLogic+Voguei mini,334036 PK,Horizontal Flue Pack,N,,,Suitable for use with most ideal logic boilers,Horizontal mounting,,,,,Logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P333861,Worcester Bosch standard horizontal flue,Worcester Bosch,90.83,The Worcester 100mm Telescopic Horizontal Flue Kit performs an invaluable job in taking gases from your boiler outside of your property and is compatible with all wall mounted Worcester Greenstar boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Worcester Bosch standard horizontal flue,,Telescopic flue assembly;Wall inner seal;Wall outer seal;Installation manual;Aluminium tape;Accessory pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/61/333861_wm.jpg,,,,,,N,Greenstar Telescopic Flue,Flue,Greenstar CDiGreenstar SiGreenstar i JuniorGreenstar i SystemGreenstar RiGreenstar 4000,333861 PK,Standard Flue Pack,N,,,The worcester 100mm telescopic horizontal flue kit performs an invaluable job in taking gases from your boiler outside of your property and is compatible with all wall mounted worcester greenstar boilers,Quick and simple to install,White,100mm,1.800kg,Compatible with all greenstar oil-fired condensing boilers,,Natural Gas,Aesthetically pleasing design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P333677,Worcester Bosch Greenstar high efficiency vertical flue kit,Worcester Bosch,113.26,Worcester Greenstar gas-fired boiler range has a full suite of Condensfit II™ flue options in both 60/100mm and 80/125mm diameters.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Worcester Bosch Greenstar high efficiency vertical flue kit,,Vertical flue terminal assembly;Adapter 60/100mm diameter;3x screws;Securing screws;Clamp;2x fire stop plates;4x screws;4x wall plugs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/77/333677_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P333543,Bosch system care pack G star comfort + II RF pack,Bosch,214.56,"A cost effective and efficient solution for quick, easy boiler installation and servicing, this Worcester Bosch G Star Comfort+ II RF System Care Pack contains everything you'll need to help extend the life of a Worcester Bosch boiler while also unlocking an extended WB guarantee. Comprising cleaner and inhibitor along with a Comfort+ II controller and a keyless filling link for easier top-ups and reduced call-out charges, this care pack helps your customers to meet the requirements of both Boiler Plus and building regs.  Suitable for our Greenstar 2000, 4000 and 8000 Lifestyle boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Bosch system care pack G star comfort + II RF pack,,1x Comfort+ II controller;1x Greenstar System Filter Mini;1x Greenstar WB1 Inhibitor bottle;1x Greenstar WB3 Cleaner bottle;1x Keyless Filling Link,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/84/105584_wm.jpg,,,,,,N,Bosch parts and accessories,,,333543 PK,System Care Pack,N,,,Includes Comfort+ II controller,With Greenstar System Filter Mini,,,,Includes Greenstar WB1 inhibitor and WB3 cleaner,Bosch parts and accessories,,"Provides fast, simple installation and servicing",1 year,N/A,N/A,N/A,N/A,N/A,Helps extend boiler lifetime,Unlocks Worcester Bosch extended guarantees,With keyless filling link for fast installation,Assists Boiler Plus compliance,Helps systems to meet BS 7593 and Building Regulation Part L,1 year warranty,,,,,,,,,,,,,,,,,,,,
21,P123306,Ideal horizontal telescopic flue terminal kit 0.7mtr,Ideal,116.04,Suitable for use with Ideal's Logic boiler range.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Ideal horizontal telescopic flue terminal kit 0.7mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/06/123306_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P123304,Ideal telescopic flue kit (Pack-B),Ideal,92.89,At Ideal. we undertake to ensure that all functional parts are available for our products for a minimum of 10 years after cease of production. It’s not uncommon for us to continue to supply parts for considerably longer than this. Our philosophy is simple. We’ll only withdraw a spare when we cannot get it / make it. or when the cost of the part is so much that it’s more sensible to replace the boiler.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Ideal telescopic flue kit (Pack-B),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/04/123304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P124874,Ideal Logic stand off kit,Ideal,41.37,"This Ideal stand-off kit provides additional flexibility when installing a boiler, allowing for the downward routing of system flow and return pipework behind the unit for a neater finish.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Ideal Logic stand off kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/74/124874_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/48/74/124874.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic+_Flue-Accessories_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P333681,Worcester Bosch 60/100Mm Long Telescopic Flue Kit,Worcester Bosch,98.0,Worcester Greenstar gas-fired boiler range has a full suite of Condensfit II™ flue options in both 60/100mm and 80/125mm diameters.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/Domestic Boiler Flues & Accessories.csv -> Worcester Bosch 60/100Mm Long Telescopic Flue Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/81/333681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
