,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 4,Attachment 5,Attachment 6
10,PP06027,Plasson Mechanical 7050 90deg elbow 63mm,Plasson,53.96,"Featuring a valve for controlled flow, this Plasson 7050 90° elbow with 63mm compression connections connects the PE pipes used to carry water and other fluids in urban and inter-urban infrastructure as well as in industrial, mining, landscaping, farming and optical fibre duct systems. Made of polypropylene (PP), these mechanical fitting are built to withstand working pressures of up to 16 bar.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Plasson Mechanical 7050 90deg elbow 63mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/27/NW-P06026_P06027_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Plasson_7020_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Plasson_Technical_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_7050HH0_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PP34687,Gps Pe Pipe Systems Frialen 45deg electrofusion elbow 125mm Black,Gps Pe Pipe Systems,126.51,"Ensuring high levels of bonding between materials, the GPS PE Pipe Systems Frialen 125mm 45° elbow incorporates exposed heating coils for consistent heat transfer during fusion. This fitting is part of a comprehensive corrosion-resistant, lightweight electrofusion system offering chemical durability and excellent fusability. Each fitting in the Frialen range includes 4mm terminal pins for gas and water applications up to 16 bar.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Gps Pe Pipe Systems Frialen 45deg electrofusion elbow 125mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/87/P34687_wm.jpg,,,,Black/Matt,125 mm,Elbow,125mm,Frialen,5 Year,177 kg,N,Polyethylene (PE),"EN 1982, EN 10226-1, WRAS",FL612106,Elbow,N,Polyethylene (PE) construction,Matte black finish,Fusion result not affected by oxide layer in fitting,Ovality and angle deviations are safely absorbed,Compensates for bending stresses,Evenly built-up melt pressures,Traceability barcodes offer batch traceability,Meets EN 1982 and EN 10226-1,WRAS approved,5 year warranty,,,
12,PP90390,Georg Fischer ELGEF Plus 45deg electrofusion elbow PE100 75mm,Georg Fischer,27.95,"Made of polyethylene, this Georg Fischer ELGEF Plus SDR11 75 x 75mm 45° elbow is suitable for use in transport lines, distribution lines, industrial pressure, distribution lines, house connections and water and gas distribution.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Georg Fischer ELGEF Plus 45deg electrofusion elbow PE100 75mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/90/NW-P90390_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GF_ELGEF_Plus_45Deg_PE100_Elbow_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_ELGEF_Plus_Piping_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/GF_ELGEF_Plus_PE_D75_250mm_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_ELGEF_Plus_Sun_Protection_Flyer.pdf,,
13,PP65718,Philmac 3G universal transition elbow 27-34 x 25mm,Philmac,29.82,"This Philmac 3G elbow with 27 to 34mm x 25mm/3/4"" UTC x POL end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Philmac 3G universal transition elbow 27-34 x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/18/NW-P65718_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P555349,Center CB end feed street elbow 15mm (25),Center CB,12.59,"Suitable for use in even the most challenging of locations, this Center CB end feed 90° street elbow with 15mm connections is lightweight and compact for ease of handling and fast installation. Helping to minimise flow restrictions, the smooth design of this fitting also looks neat and tidy when installed on exposed pipelines. Center CB's end feed general range is suitable for use with soft or hard solder, or brazing alloy. A solder joint is created through the principle of capillary action. When fitting and tube are heated to the correct temperature, the solder becomes molten, allowing it to be drawn into the gap between the two for a tough, reliable joint.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Center CB end feed street elbow 15mm (25)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/pk/555349 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Center_CB_End_Feed_Fitting_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PP34680,Gps Pe Pipe Systems Frialen SDR11 90deg electrofusion elbow 63mm Black,Gps Pe Pipe Systems,50.23,"The Frialen range of electrofusion fittings has been engineered to provide the highest quality joints for polyethylene pipes, creating a fully homogenous system with GPS PE Black pipe that installers and operators can depend on. Their unique design incorporates exposed heating coils to provide consistent heat transfer during fusion and to achieve maximum bonding between the materials. ","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Gps Pe Pipe Systems Frialen SDR11 90deg electrofusion elbow 63mm Black",,Fitting only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/80/NW-P34680_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GPS_PE_Frialen_90_Elbow_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PP01650,Plasson Pushfit 1005 elbow 20 x 20mm,Plasson,5.27,"Designed with a 45° angle for ease of use in tight spots, the Plasson 1005 elbow pipe connector with 20mm tamperproof push-fit connections is ideal for installation where a straight connector just won't fit. Suitable for carrying water and other fluids in urban and inter-urban infrastructure as well as in industrial, mining, landscape and farming applications, these compact fittings are compatible with potable, high pressure water systems and are made of tough polypropylene (PP) machined to withstand working pressures up to 16 bar.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Plasson Pushfit 1005 elbow 20 x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/52/NW-P01650_P01652_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_1005U0020_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Plasson_1000_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PP06023,Plasson Mechanical 7050 90deg elbow 25mm,Plasson,11.68,"Featuring a valve for controlled flow, this Plasson 7050 90° elbow with 25mm compression connections connects the PE pipes used to carry water and other fluids in urban and inter-urban infrastructure as well as in industrial, mining, landscaping, farming and optical fibre duct systems. Made of polypropylene (PP), these mechanical fitting are built to withstand working pressures of up to 16 bar.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Plasson Mechanical 7050 90deg elbow 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/24/NW-P06022_P06024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_7050DD0_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Plasson_7020_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Plasson_Technical_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PP06589,"Plasson Mechanical 7750 plastic wall plate elbow 25 x 3/4""",Plasson,21.4,"Featuring a valve for controlled flow, this Plasson 7750 25mm x 3/4"" compression wall plate elbow connects the PE pipes used to carry water and other fluids in urban and inter-urban infrastructure as well as in industrial, mining, landscaping, farming and optical fibre duct systems. Made of polypropylene (PP), these mechanical fitting are built to withstand working pressures of up to 16 bar.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Plasson Mechanical 7750 plastic wall plate elbow 25 x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/89/NW-P06588_P06589_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_7750D20_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Plasson_Technical_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PP06588,"Plasson Mechanical 7750 plastic wall plate elbow 20 x 1/2""",Plasson,16.05,"Featuring a valve for controlled flow, this Plasson 7750 20mm x 1/2"" compression wall plate elbow connects the PE pipes used to carry water and other fluids in urban and inter-urban infrastructure as well as in industrial, mining, landscaping, farming and optical fibre duct systems. Made of polypropylene (PP), these mechanical fitting are built to withstand working pressures of up to 16 bar.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Plasson Mechanical 7750 plastic wall plate elbow 20 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/89/NW-P06588_P06589_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_7750C10_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Plasson_Technical_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PP45726,"Philmac 3G metric/imperial elbow 50mm x 1.1/2""",Philmac,35.64,"This Philmac 3G elbow with 50mm/1 1/2"" POL x POL end connections is built to last, corrosion-resistant and easy to install making it ideal for a variety of plumbing and commercial applications. Philmac fittings are designed for connection to different pipe materials including metric and imperial PE, lead, PVC, copper, stainless steel and galvanised iron.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Philmac 3G metric/imperial elbow 50mm x 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/27/NW-P45726_P45727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PP06022,Plasson Mechanical 7050 90deg elbow 20mm,Plasson,7.93,"Featuring a valve for controlled flow, this Plasson 7050 90° elbow with 20mm compression connections connects the PE pipes used to carry water and other fluids in urban and inter-urban infrastructure as well as in industrial, mining, landscaping, farming and optical fibre duct systems. Made of polypropylene (PP), these mechanical fitting are built to withstand working pressures of up to 16 bar.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Plasson Mechanical 7050 90deg elbow 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/22/P06022_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_7050CC0_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Plasson_7020_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Plasson_Technical_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PP01652,Plasson Pushfit 1005 elbow 32 x 32mm,Plasson,12.78,"Designed with a 45° angle for ease of use in tight spots, the Plasson 1005 elbow pipe connector with 32mm tamperproof push-fit connections is ideal for installation where a straight connector just won't fit. Suitable for carrying water and other fluids in urban and inter-urban infrastructure as well as in industrial, mining, landscape and farming applications, these compact fittings are compatible with potable, high pressure water systems and are made of tough polypropylene (PP) machined to withstand working pressures up to 16 bar.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Plasson Pushfit 1005 elbow 32 x 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/52/NW-P01650_P01652_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_1005U0032_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Plasson_1000_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PP65715,Philmac 3G universal transition elbow 15-21 x 25mm,Philmac,25.09,"This Philmac 3G elbow with 15 to 21mm x 25mm/3/4"" UTC x POL end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Philmac 3G universal transition elbow 15-21 x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/16/NW-P65715_P65716_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PP45727,"Philmac 3G metric/imperial elbow 63mm x 2""",Philmac,48.43,"This Philmac 3G elbow with 63mm/2"" POL x POL end connections is built to last, corrosion-resistant and easy to install making it ideal for a variety of plumbing and commercial applications. Philmac fittings are designed for connection to different pipe materials including metric and imperial PE, lead, PVC, copper, stainless steel and galvanised iron.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Philmac 3G metric/imperial elbow 63mm x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/27/NW-P45726_P45727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PP45792,"Philmac 3G wall plate elbow 25mm x 3/4""",Philmac,16.92,"This Philmac 3G elbow with 25mm/3/4"" x 3/4"" metric/imperial x FI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Elbows and Bends/Elbows and Bends.csv -> Philmac 3G wall plate elbow 25mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/92/NW-P45792_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
