,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1
0,PH39150,"Bluebird GWB25 galvanised wire balloon 2.1/2""",Bluebird,2.64,"This Bluebird 2 1/2"" wire balloon is made of steel with a galvanised finish. It is designed for use in drainage pipes and guttering.","Drainage/Rainwater Guttering and Fittings/Lead and Flashing/Roofline Cladding and Wire Products/Roofline Cladding and Wire Products.csv -> Bluebird GWB25 galvanised wire balloon 2.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/50/NW-H39150_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bluebird_Fixings_Brochure.pdf
1,PH39152,"Bluebird GWB4 galvanised wire balloon 4""",Bluebird,4.03,"This Bluebird 4"" wire balloon is made of steel with a galvanised finish. It is designed for use in drainage pipes and guttering.","Drainage/Rainwater Guttering and Fittings/Lead and Flashing/Roofline Cladding and Wire Products/Roofline Cladding and Wire Products.csv -> Bluebird GWB4 galvanised wire balloon 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/52/NW-H39152_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bluebird_Fixings_Brochure.pdf
2,PH39151,"Bluebird GWB3 galvanised wire balloon 3""",Bluebird,3.23,"This Bluebird 3"" wire balloon is made of steel with a galvanised finish. It is designed for use in drainage pipes and guttering.","Drainage/Rainwater Guttering and Fittings/Lead and Flashing/Roofline Cladding and Wire Products/Roofline Cladding and Wire Products.csv -> Bluebird GWB3 galvanised wire balloon 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/51/NW-H39151_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bluebird_Fixings_Brochure.pdf
3,PH39153,"Bluebird GWB6 galvanised wire balloon 6""",Bluebird,7.36,"This Bluebird 6"" wire balloon is made of steel with a galvanised finish. It is designed for use in drainage pipes and guttering.","Drainage/Rainwater Guttering and Fittings/Lead and Flashing/Roofline Cladding and Wire Products/Roofline Cladding and Wire Products.csv -> Bluebird GWB6 galvanised wire balloon 6""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/53/NW-H39153_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bluebird_Fixings_Brochure.pdf
