,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Range,Warranty,Feature 5,UK Total Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Min Air Flow (m/min),Min Sound Pressure,Fuse Size (A),Feature 6,Feature 7
10,P610090,Fujitsu ASEH36KMTB 10KW Standard Wall Indoor,Fujitsu,659.28,"Offering ease of operation via an infrared remote control, the simple Fujitsu Standard Series High Efficiency 9.4kW indoor air conditioning unit makes minimising your environmental impact while keeping your cool easy. Compatible with eco-friendly R32 refrigerant, this quiet, wall-mounted air con unit with heating mode is designed to reduce energy use and could, along the way, help to reduce running costs too.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEH36KMTB 10KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/90/610089_90_wm.jpg,18.5,1,R-32,N,280,5/8,3/8,ASEH36KMTB,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,
11,P619021,Fujitsu VRF ASYA18GBCH Wall Mounted Unit 5.6KW,Fujitsu,561.99,"Highly efficient, the Fujitsu Airstage 5.6kW wall-mounted indoor unit is also compact, quiet and easy to operate. Simple to install and maintain, this unit is designed to blend well into an interior for comfort and convenience without an unattractive appliance spoiling your decor.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu VRF ASYA18GBCH Wall Mounted Unit 5.6KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rf/_1/Vrf_1_wm.jpg,15kg,1 Phase,R410a,N,238,12.70 mm,6.35 mm,ASYA18GBCH,Indoor Unit,N,"Cooling: Indoor temperature of 27CDB / 19CWB, and outdoor temperature of 35CDB / 24CWB","Heating: Indoor temperature of 20CDB / (15CWB), and outdoor temperature of 7CDB / 6CWB",Pipe length: 75 m,Height difference between outdoor unit and indoor unit : 0 m Voltage: 230 [V],VRF,3 Years (Standard),,4.2,6.3,41 dB (A),3.5,5.6,14.00 m³/min,1150 M/min,35 dB (A),5,,
12,P686709,Fujitsu Standard ASYG24KMTE R32 Wall Mounted Indoor Unit 2.0KW,Fujitsu,556.58,"Ideal for larger living rooms, offices or bedrooms, this stylishly designed Fujitsu 2kW R32 indoor wall-mounted air conditioning unit has a slimline profile to suit a range of settings. This air con unit is suitable for smartphone control and uses heat pump inverter technology to reduce energy consumption for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu Standard ASYG24KMTE R32 Wall Mounted Indoor Unit 2.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/09/686709_wm.jpg,1.25 Kg,1 Phase,R-32,N,240,12.70 mm,6.35 mm,ASYG24KMTE,Air Conditioner,N,"Slimline, stylish square design",Energy saving,Smartphone control option,,Standard,3 Years (Standard),,,,,,,,,,,,
13,P610083,Fujitsu ASEH09KLTA 2.6W Eco Wall Indoor,Fujitsu,138.99,"Suitable for large living rooms, bedrooms or offices, the Fujitsu Eco 2.6kW wall-mounted indoor air conditioning unit provides the features you'll need for convenient whole-room comfort. A slimline design that fits effortlessly into any space, this smart air con unit is Wi-Fi connected ready for smartphone control, giving you easy access from anywhere in the building. The Eco lives up to its name too, using heat pump inverter technology to reduce energy consumption and improve overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEH09KLTA 2.6W Eco Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/83/610083_wm.jpg,7,1,R-32,N,218,.3/8,1/4,ASEH09KLTA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,
14,P610089,Fujitsu ASEH30KMTB 8KW Standard Wall Indoor,Fujitsu,656.82,"Offering ease of operation via an infrared remote control, the simple Fujitsu Standard Series High Efficiency 8kW indoor air conditioning unit makes minimising your environmental impact while keeping your cool easy. Compatible with eco-friendly R32 refrigerant, this quiet, wall-mounted air con unit with heating mode is designed to reduce energy use and could, along the way, help to reduce running costs too.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEH30KMTB 8KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/90/610089_90_wm.jpg,18.5,1,R-32,N,280,5/8,3/8,ASEH30KMTB,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,
15,P602323,Fujitsu Standard ASYG14KMCF R32 Wall Mounted Indoor Unit 4.2KW,Fujitsu,278.6,"A compact outdoor unit, the Fujitsu Standard Multi-split 4.2kW wall-mounted air conditioning unit allows for the connection of up to eight indoor units, allowing for the convenient cooling of multiple rooms in commercial or domestic premises. Easy to install, this unit is suitable for use with R-32 refrigerant for more eco-friendly operation.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu Standard ASYG14KMCF R32 Wall Mounted Indoor Unit 4.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/23/602323_wm.jpg,10 kg,Single,R-32,N,222,3/8 inch,1/4 inch,ASYG14KMCF,Wall Mounted,N,Compact size,For eco-friendly R-32 refrigerant,50M maximum pipe run,"Compact, lightweight build for easy installation",Standard,3 Years,For wall mounting,,,,,,,,,,Low ambient operation,3 year warranty
16,P610088,Fujitsu ASEH14KMCG 4KW Standard Wall Indoor,Fujitsu,278.6,"Allowing for the connection of up to eight indoor units, the Fujitsu Standard Multi-Split 4.2kW outdoor air conditioning unit is ideal for both commercial and domestic premises, delivering cooling to multiple rooms. This smart Wi-Fi compatible unit is easy to install and offers compatibility with R32 refrigerant for more economical, eco-friendly use.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEH14KMCG 4KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/88/610088_wm.jpg,10,1,R-32,N,222,.3/8,1/4,ASEH14KMCG,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,
17,P700064,Fujitsu ASEH07KNCA 2KW Eco Plus Wall Mounted Indoor,Fujitsu,155.6,"Sleekly designed to fit into any space, the Fujitsu Eco+ 2kW wall-mounted indoor air conditioning unit has a slimline silhouette to minimise its impact on your interior. Wi-Fi connected, this unit is ready for smartphone control, giving you easy access from anywhere in the building while heat pump inverter technology reduces the Eco+'s energy consumption and improves overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEH07KNCA 2KW Eco Plus Wall Mounted Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/64/700064_wm.jpg,9,1,R-32,N,222,.3/8,1/4,ASEH07KNCA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,
18,P700010,Fujitsu Standard ASYG07KMCF R32 Wall Mounted Indoor 2.0KW,Fujitsu,191.88,"A compact outdoor unit, the Fujitsu Standard Multi-split 2.0kW wall-mounted air conditioning unit allows for the connection of up to eight indoor units, allowing for the convenient cooling of multiple rooms in commercial or domestic premises. Easy to install, this unit is suitable for use with R-32 refrigerant for more eco-friendly operation.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu Standard ASYG07KMCF R32 Wall Mounted Indoor 2.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/10/700010_wm.jpg,10 kg,Single,R-32,N,222,3/8 inch,1/4 inch,ASYG07KMCF,Wall Mounted,N,Compact size,For eco-friendly R-32 refrigerant,50M maximum pipe run,"Compact, lightweight build for easy installation",Standard,,For wall mounting,,,,,,,,,,Low ambient operation,3 year warranty
19,P610082,Fujitsu ASEH07KMCG 2KW Standard Wall Indoor,Fujitsu,191.88,"Allowing for the connection of up to eight indoor units, the Fujitsu Standard Multi-Split 2kW outdoor air conditioning unit is ideal for both commercial and domestic premises, delivering cooling to multiple rooms. This smart Wi-Fi compatible unit is easy to install and offers compatibility with R32 refrigerant for more economical, eco-friendly use.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEH07KMCG 2KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/82/610082_wm.jpg,10,1,R-32,N,222,.3/8,1/4,ASEH07KMCG,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,
