,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3
0,PF87722,"Calder Code 4 45deg lead slate 4"" (1)",Calder,40.2,"Designed to provide a weatherproof seal around pipe penetrations, this Calder 4"" 45° lead weathering slate is suitable for use on tile or slate roofs. Highly reliable, this slate is made of Code 4 lead, and is supplied with a 450mm base and a 150mm rear upstand.","Drainage/Rainwater Guttering and Fittings/Lead and Flashing/Lead Slates/Lead Slates.csv -> Calder Code 4 45deg lead slate 4"" (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/22/NW-F87722_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Calder_Lead-Related_Prods_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Calder_Roofing_Products_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Calder_LeadMetalSheet_MSDS.pdf
1,PF87778,Calder Code 4 0-30deg uncut flexislate 450mm 25-125mm (1),Calder,40.87,"Offering easy installation, Calder 25 - 125mm uncut 0 - 30D Flexislate is a robust pipe sleeving made up of a 450mm Code 4 lead base and a bonded EPDM synthetic rubber sleeve. Highly reliable, Flexislate is used to create a weatherproof seal around pipes, roof-mounted aerials or similar fittings that require penetration through your slate, tile or built-up felt roofing.",Drainage/Rainwater Guttering and Fittings/Lead and Flashing/Lead Slates/Lead Slates.csv -> Calder Code 4 0-30deg uncut flexislate 450mm 25-125mm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/78/NW-F87778_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Calder_Lead-Related_Prods_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Calder_Roofing_Products_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Calder_LeadMetalSheet_MSDS.pdf
2,PF87720,"Calder Code 4 straight lead slate 4"" (1)",Calder,40.2,"Designed to provide a weatherproof seal around pipe penetrations, this Calder 4"" straight lead weathering slate is suitable for use on tile or slate roofs. Highly reliable, this slate is made of Code 4 lead, and is supplied with a 450mm base and a 150mm rear upstand.","Drainage/Rainwater Guttering and Fittings/Lead and Flashing/Lead Slates/Lead Slates.csv -> Calder Code 4 straight lead slate 4"" (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/20/NW-F87720_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Calder_Lead-Related_Prods_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Calder_Roofing_Products_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Calder_LeadMetalSheet_MSDS.pdf
3,PF87776,Calder 20-40deg uncut flexislate 450mm 25-125mm,Calder,40.87,"This highly durable Calder 25 - 125mm uncut 20 - 40D Flexislate is an easy to install pipe sleeving. Combining a Code 4 450mm lead base and a bonded EPDM synthetic rubber sleeve, Flexislate creates a weathertight seal around pipes, aerials and other fittings that penetrate tile, slate or built-up felt roofing.",Drainage/Rainwater Guttering and Fittings/Lead and Flashing/Lead Slates/Lead Slates.csv -> Calder 20-40deg uncut flexislate 450mm 25-125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/76/NW-F87776_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Calder_Lead-Related_Prods_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Calder_Roofing_Products_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Calder_LeadMetalSheet_MSDS.pdf
4,PF87702,"Calder Code 4 30deg lead slate 4"" (1)",Calder,40.2,"Designed to provide a weatherproof seal around pipe penetrations, this Calder 4"" 30° lead weathering slate is suitable for use on tile or slate roofs. Highly reliable, this slate is made of Code 4 lead, and is supplied with a 450mm base and a 150mm rear upstand.","Drainage/Rainwater Guttering and Fittings/Lead and Flashing/Lead Slates/Lead Slates.csv -> Calder Code 4 30deg lead slate 4"" (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/02/NW-F87702_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Calder_Lead-Related_Prods_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Calder_Roofing_Products_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Calder_LeadMetalSheet_MSDS.pdf
