,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Bend (in degrees),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Attachment 3
14,PG82281,Domus Supertube thermal shell 204 x 60mm (Pair),Domus,6.37,"This Domus SuperTube rigid duct insulation with fixed spigot plenus is part of a patented system designed to significantly improve domestic thermal insulation ducting, reducing heat loss and preventing condensation.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus Supertube thermal shell 204 x 60mm (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/81/G82281_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Domus_SynthosSilver_MSDS.pdf,
15,P800161,Stadium Black hole  BM725 Anti-Draught Core Drill Vent Kit,Stadium,42.02,"Designed with a 5"" core drill diameter, this Stadium black hole core vent incorporates a tube length of 228mm with a 585mm extension. Blocking out light, draughts and insects, this vent slows air flow inside the duct with a change of direction, forming vortices to reduce the annoyance of cold and noisy draughts. With a design that won't give residents a view of the outside world, this vent reduces the likelihood that important ducting will be blocked up in response to concerns about vermin or insects.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Stadium Black hole  BM725 Anti-Draught Core Drill Vent Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/61/NW-800161_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Stadium_Product_Guide.pdf,,
16,PG75878,Domus 640WH elbow connector 6 White,Domus,18.05,"Manufactured in PVC, the Domus 640WH elbow connector is part of a ducting range offering transition from a 220 x 90mm fan plenum to 150mm circular ductwork.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus 640WH elbow connector 6 White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/78/G75878_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_Domus_Brochure.pdf,,
17,PG10927,Domus standard mdl full bypass,Domus,2829.75,"Helping developers to meet building regs, the Domus Ventilation MVHR Standard MDL full bypass is part of a broad range of mechanical ventilation with heat recovery units designed for excellent levels of in-home or in-office air quality.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus standard mdl full bypass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/27/G10927_wm.jpg,Grey,N,N/A,Metal,HRXE-ZEUS,MVHR,N,Capable of 133LPS with 100% summer bypass,Capable of achieving Part F Building Regs for up to 5/6 bedroom properties,,,,,,,,
18,PG15971,Domus metal sleeve 204 x 60mm 500mm,Domus,37.95,"Non-combustible, the Domus Ventilation Solis 204 x 60mm 500mm metal sleeve in satin silver colour maintains low resistance and complies with up to date Approved Document B fire safety standards. It is manufactured in galvanised stainless steel.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus metal sleeve 204 x 60mm 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/71/G15971_wm.jpg,Satin Silver,N,,"1.5mm galvanised steel, fire class A1 'no contribution to fire'",SOL-DUCT-204X60,Metal,N,Satin silver finish,Low resistance,Compatible with Domus Rigid and Thermal ducting range,"Air brick powder coating pre-qualified to EN13501-1 classification A2-s1,d0","Air brick material 1.5mm galvanized steel, fire class A1 ‘no contribution to fire’",Non-combustible as set out in Approved Document B (fire safety),,,,
19,PG82274,Domus MegaDuct thermal shell 220 x 90mm (Pair),Domus,6.62,This Domus MegaDuct rigid duct insulation with 45° horizontal bend is part of a range of EPS insulation components designed to insulate either round or rectangular domestic ventilation ducting that passes through cold areas.,Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus MegaDuct thermal shell 220 x 90mm (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/74/G82274_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Domus_SynthosSilver_MSDS.pdf,
20,PG75898,Domus System 100 45deg system vertical bend 100mm White,Domus,4.88,This 45° vertical-angled Domus System 100 rigid duct bend is designed to help you to achieve the highest possible energy efficiency from the brand's ventilation appliances.,Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus System 100 45deg system vertical bend 100mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/98/G75898_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,
21,PG75772,Domus EasePipe 150 F6904B louvre comes with fly 150mm Brown,Domus,20.41,"Made of brown PVC, this Domus EasiPipe 150 louvred grille with flyscreen is suitable for use on the exterior of any building, blending in seamlessly with many types of commonly used brick. It is designed with a 125mm spigot diameter.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus EasePipe 150 F6904B louvre comes with fly 150mm Brown,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/72/NW-G75772_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Domus_Specification_Guide_2021.pdf,
22,PG76111,Domus Ancillaries thermal fastening strap 10mtr White,Domus,25.34,This Domus 10M rigid duct fastening strap is constructed from an especially-designed PVC-coated steel material. It is used for surface mounting or suspending an insulated duct system and prevents condensation forming inside the ducting.,Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus Ancillaries thermal fastening strap 10mtr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/11/G76111_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,
23,PG82273,Domus MegaDuct thermal shell 220 x 90 mm (Pair),Domus,8.29,"This Domus MegaDuct rigid duct insulation with 90° horizontal bend is part of a patented system designed to significantly improve domestic thermal insulation ducting, reducing heat loss and preventing condensation.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus MegaDuct thermal shell 220 x 90 mm (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/73/G82273_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Domus_SynthosSilver_MSDS.pdf,
