,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Thickness,Warranty,Hazardous,Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Diameter,Sector,Pack Quantity,Depth (mm),Feature 9
61,PD25386,Coram sail bath screen 800mm Chrome/Clear,Coram,137.72,"A stylish design equally suited to modern and traditional bathrooms, the Coram sail bath/shower screen has a curved design and polished chrome frame. Corrosion-resistant and with removable seals, this screen offers easy cleaning and straightforward, flexible installation even on walls that aren't level.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Coram sail bath screen 800mm Chrome/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/86/UP-D25386_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Frameless_Bathscreen_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Bathscreen_Technical.pdf,,,,,,
62,PD29400,Croydex Slenderline shower rail kit Silver,Croydex,32.79,"This Croydex Slenderline aluminium rail system is supplied complete with ceiling support, hooks and gliders. Used to create any one of four assembly options, this flexible, cuttable shower rail is strong yet lightweight, so it's easy to work with and install.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex Slenderline shower rail kit Silver,,Shower rail ;fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/00/NW-D29400_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,
63,PJ78897,Ideal Standard Connect radius bath screen 800mm Silver/Clear,Ideal Standard,178.69,The contemporary Ideal Standard Connect radius bath screen has an angled design and gleaming aluminium chrome frame along with the brand's reliable deflector seal for leak-free reliability.,Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ideal Standard Connect radius bath screen 800mm Silver/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/97/UP-J78897_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/IS_Bathrooms_Brchr_2018.pdf,,,,,,,,
64,PT41785,Scudo side panel 900 x 1850mm - 6mm glass,Scudo,120.18,"The Scudo S6 900 x 1850mm pivot shower side panel is a perfect finishing touch for a modern bathroom. Easy to clean thanks to its Aquashield treatment, this shower panel is made of a thick clear glass with chrome frame and fittings and offers easy installation, even in rooms where walls aren't quite perfect.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Scudo side panel 900 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/85/T41783_T41785_wm.jpg,Clear,,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,Chrome,Aluminium,S6-GLASS028,Sliding Door,N,With 6mm thick toughened safety glass,Aquashield glass treatment for ease of cleaning,Universal design offers left and right handed opening,Easy to install,Large adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,,,,,
65,PD30023,Croydex bendy shower rail 2500m Silver,Croydex,57.16,"This 2.5M Croydex silver bendy shower rail is supplied with ceiling support, hooks, gliders. With two separate aluminium extrusions and a central flexible PVC core, this rail can be bent at any point to follow the curve of a bath or shower.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex bendy shower rail 2500m Silver,,Bendy rail;2 piece wall brackets;24 piece gliders;26 piece hooks;Ceiling hanger support;Ceiling support bracket;2 piece end stop;2 piece fixing nut;5 piece wall plug;No.6 x 1 inch self tapping screw;No.4 x 1/4 inch self tapping screw;5 piece No.8 x 1-1/4,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/23/UP-D30023_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_BendyRail_Installation.pdf,,,,,,,
66,PD65403,Coram Premier 8 1200 return panel 200mm Chrome,Coram,291.65,"A modern and attractive semi-frameless design, this Coram Premier 8 shower panel has a 1200mm width and stands at 2000mm for full coverage. Helping to create a spacious shower enclosure, this easy to clean thick glass panel is available in a wide variety of additional dimensions.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Coram Premier 8 1200 return panel 200mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/03/NW-D65401_D65403_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Premier_8_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Premier_8_Technical.pdf,,,,,,,
67,PD28962,Ionic right handed 2 panel hinged bath screen,Ionic,375.37,"The Ionic right handed two panel hinged bath/shower screen includes a secure 180° inwards swing with built-in stop for adjustable deflection of shower spray and drip drying after use. Fitted with HydraSEAL for additional leak protection, this frameless screen is treated with Mershield Stayclear for easy cleaning and can be installed into existing holes with Easy-Fit for drill-free, mess-free fitting.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ionic right handed 2 panel hinged bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/62/UP-D28961_D28962_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ionic_Bath_Screen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Bath_Screen_Installation.pdf,,,,,,
68,PD29078,IONIC 2 PANEL 1100MM MOVING BATH SCREEN,Ionic,488.08,"Minimalist in design, the Ionic frameless two panel folding 1100mm bath/shower screen has a secure 180° inwards and outwards swing and inbuilt stop mechanism, this practical screen provides generous adjustable protection from sprays and leaks. Reversible for fitting at either end of the bath, this screen is manufactured in robust 8mm glass treated with Mershield Stayclear and includes smart chrome hinges and concealed fittings for easier cleaning. Folding neatly back to the wall, the Ionic screen provides a smart, minimalist solution for splash-free showering.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> IONIC 2 PANEL 1100MM MOVING BATH SCREEN,,Two panel folding bath screen;2 piece cover caps for wall profile L/R;Wall profile;Cover strip;Moving panel;3 piece screws ST4 x 12;3 piece dia 6 x 30 wall plugs;3 piece flat head screws ST4 x 30;3 piece plastic part for cover strips;2 piece Luna rail en,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/78/UP-D29078_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D29078_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D29078_Installation.pdf,,,,,,,
69,PC98016,Ideal Standard Contour 21 multi-system angled rail for curtains White,Ideal Standard,535.26,"This dark blue gloss Ideal Standard Contour 21 angled shower curtain rail is designed for use in education, hotel, office, residential, leisure and healthcare settings.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ideal Standard Contour 21 multi-system angled rail for curtains White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/16/NW-C98016_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_GB_Markwik21Plus_Brochure.pdf,,,,,,,,
70,PD28367,Mira Leap side panel only 900mm,Mira,206.25,"Built to last and highly flexible, this 900mm Mira Leap side panel is used to create a bespoke corner shower enclosure using any door from the Leap range. Easy to clean, this toughened glass panel incorporates CleanCoat technology for a long lasting, effortless shine, hidden fixings for a seamless finish and the Twist and Lock installation system for fast fitting.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Mira Leap side panel only 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/67/UP-D28364_D28367_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Leap_Side_Panel_S43E_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Leap_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Leap_Side_Panels_Drawing.pdf,,,,,,
71,PD16380,Roman Haven6 side panel 800mm,Roman,152.15,"This Roman Haven6 1900 x 800mm side panel is compatible with Haven range bi-fold, pivot and sliding doors.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Roman Haven6 side panel 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/80/NW-D16380_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roman_H3R_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roman_H3R_Installation.pdf,,,,,,,
72,PD28957,Ionic 2 panel curved bath screen,Ionic,343.74,"Save space with the Ionic 2 panel curved bath screen with inbuilt chrome towel rail and fitted internal shelves. With a pleasingly smooth pivot action, this two panel curved bath screen slides into place with ease for a more relaxing shower experience while HydraSEAL provides a uniquely reliable barrier to prevent water escaping. Supplied with an Easy-Fit mechanism, replacing an old bath shower screen is simple, with no need to drill new holes into the bathroom wall.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ionic 2 panel curved bath screen,,Curved bath screen;Clear seal;Moving glass panel;Fixed glass panel;Tower rail;Wall profile;5 piece screws (3.9 x 30mm);3 piece wall plugs;2 piece brackets;3 piece screws (4 x 16mm);3 piece screw cover caps;3 piece screw cover cap clips;2 piece wall profi,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/57/UP-D28957_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D28957_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Single_Bathscreen_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D28957_Technical.pdf,,,,,
73,PD28961,Ionic left handed 2 panel hinged bath screen,Ionic,375.37,"The Ionic left handed two panel hinged bath/shower screen includes a secure 180° inwards swing with built-in stop for adjustable deflection of shower spray and drip drying after use. Fitted with HydraSEAL for additional leak protection, this frameless screen is treated with Mershield Stayclear for easy cleaning and can be installed into existing holes with Easy-Fit for drill-free, mess-free fitting.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ionic left handed 2 panel hinged bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/62/UP-D28961_D28962_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ionic_Bath_Screen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Bath_Screen_Installation.pdf,,,,,,
74,PJ78896,Ideal Standard Connect 2 angle bath screen 800mm Silver/Clear,Ideal Standard,216.77,"Reliably watertight, the Ideal Standard Connect 2 1400 x 800mm bath screen is fitted with a deflector seal to minimise spray and mess when using an over-bath shower. Simply designed, this shower screen is made of robust safety glass has a smart bright silver frame to complement chrome fittings.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ideal Standard Connect 2 angle bath screen 800mm Silver/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/96/NW-J78896_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Standard_T9923EO_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IStandard_LiveTheIdeal_Brochure.pdf,,,,,,,
75,PD03646,Merlyn curtain rail bath screen 300x1800,Merlyn,176.8,"Giving you all the flexibility of a curtain but with the security and longevity of glass, this Merlyn 1500 x 300mm bath screen is made with a 6mm toughened glass. The unique shape of this panel keeps water from splashing out of your shower, filling the gap between the wall and curtain. This screen can be combined with the shower curtain of your choice.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Merlyn curtain rail bath screen 300x1800,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/46/NW-D03646_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MB5A_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MB5A_Installation.pdf,,,,,,,
76,PD16381,Roman Haven side panel 900mm,Roman,161.74,"Compatible with the Haven bi-fold, pivot or sliding doors, the Roman Haven 900 x 1900mm shower side panel is a simple, attractive design that will look great in most bathrooms. Made with thick clear glass, this shower panel has a bright silver frame to complement existing taps and shower fittings.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Roman Haven side panel 900mm,,Panel; fixing pack; instructions; Guarantee card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/an/el/Haven_Side_Panel_wm.jpg,Bright Silver,Haven,6mm,Truelife Lifetime,N,Bright Silver,Glass & Aluminium,H3R9CS,Side Panel,N,With 6mm thick glass,Bright silver frame,Plastic top caps with chrome finish,Reversible design for left or right-handed fixing,Lifetime warranty,,,,,,,,,,,,
77,PD03942,Ideal Standard Tempo Cube shower bath screen White,Ideal Standard,322.01,"This Ideal Standard Tempo Cube shower/bath screen incorporates a luxuriant cube-shaped back rest for a little extra indulgence while you soak. Designed to complement the Tempo range of bathroom furniture, this simple, understated screen will also look good with other ranges.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ideal Standard Tempo Cube shower bath screen White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/42/UP-D03942_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/IS_Bath_Book_Brchr_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Essentials_Brcr_2014.pdf,,,,,,,
78,PD28959,Ionic curtain rail bath screen,Ionic,158.84,"Combining the flexibility of a shower curtain with the security of glass, this Ionic curtain rail bath screen protects from splashes and does away with that annoying gap between wall and curtain. Manufactured in 6mm toughened glass, this panel can be used with any shower curtain.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ionic curtain rail bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/59/UP-D28959_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D28959_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D28959_Installation.pdf,,,,,,
79,PD47409,Croydex high performance curtain,Croydex,27.47,"Designed for long-lasting use, this Croydex clean, bright white shower curtain is made from 100% polyester with a Proseal coating for unbeatable water repellency. Machine washable and strong, this ready-to-hang shower curtain remains opaque even when wet for added privacy.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex high performance curtain,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/09/UP-D47409_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Croydex_ShowerCurtains_Brochure.pdf,,,,,,,
80,PD30020,Croydex bendy shower rail 2000mm Silver,Croydex,48.82,"This 2M Croydex silver bendy shower rail is supplied with ceiling support, hooks, gliders. With two separate aluminium extrusions and a central flexible PVC core, this rail can be bent at any point to follow the curve of a bath or shower.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex bendy shower rail 2000mm Silver,,Bendy rail;2 piece wall brackets;24 piece gliders;26 piece hooks;Ceiling hanger support;Ceiling support bracket;2 piece end stop;2 piece fixing nut;5 piece wall plug;No.6 x 1 inch self tapping screw;No.4 x 1/4 inch self tapping screw;5 piece No.8 x 1-1/4,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/20/UP-D30020_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_BendyRail_Installation.pdf,,,,,,,
