,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Thickness,Warranty,Hazardous,Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Diameter,Sector,Pack Quantity,Depth (mm),Feature 9
47,PD47300,Croydex PVC curtain White,Croydex,10.55,"This Croydex shower curtain is made of a clean white PVC designed to suit any bathroom. Easy to clean and ready to hang, this tear-resistant curtain is entirely waterproof to prevent leaks.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex PVC curtain White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/00/UP-D47300_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,
48,PC93058,AKW 24083 2.4M X 2M SHOWER CURTAIN,AKW,25.48,"Machine washable and hardwearing, this AKW 2400 x 2000mm heavy duty shower curtain in white is made with heavyweight woven polyester with a weighted hem, keeping it contained within the shower area, reducing splashes and flooding with no annoying clinging. Breathable yet completely waterproof, this practical shower curtain helps to keep your bathroom neat and safe during and after showering.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> AKW 24083 2.4M X 2M SHOWER CURTAIN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/58/NW-C93058_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AKW_HD_Curtains_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AKW_BathroomProducts_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AKW_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AKW_HD curtains_Technical.pdf,,,,,
49,PD28958,Ionic 4 fold bath screen,Ionic,239.18,"A great space-saver, the Ionic four fold bath/shower screen is an ideal choice for small bathrooms, folding neatly away flush to the wall when not in use. Extending to 850mm and manufactured in toughened safety glass, this screen is treated with Mershield Stayclear glass protection for ongoing clarity with minimal cleaning effort.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ionic 4 fold bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/58/UP-D28958_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D28958_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D28958_Technical.pdf,,,,,,
50,PD30449,Croydex Profile 800 shower rail 760 x 1675mm Silver,Croydex,46.06,"The lightweight and strong 760 x 1675mm Croydex Profile 800 L-shaped shower rail is a professional rail system designed to effortlessly hold a shower curtain. Supplied with hooks and gliders, this curtain rail is pre-formed and incorporates a rigid H section for bends without sagging.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex Profile 800 shower rail 760 x 1675mm Silver,,L shaped shower rail;Wall plugs x 4-10;No.8 x 1 1/4 inch screws x 4 -10;No.6 x 1 inch self tapping screw x 1 or 2;No.4 x 1/4 inch self tapping screw x 1 or 2;Gliders and hooks x 12 - 24;End stop and fixing nut x 1 or 2;Ceiling hanger support x 1 or 2;Cei,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/49/UP-D30449_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_SlenderlineKit_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,
51,PD30236,Croydex Profile 800 shower rail 760 x 1830mm Silver,Croydex,48.27,"The lightweight and strong 760 x 1830mm Croydex Profile 800 L-shaped shower rail is a professional rail system designed to effortlessly hold a shower curtain. Supplied with hooks and gliders, this curtain rail is pre-formed and incorporates a rigid H section for bends without sagging.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex Profile 800 shower rail 760 x 1830mm Silver,,L shaped shower rail;Wall plugs x 4-10;No.8 x 1 1/4 inch screws x 4 -10;No.6 x 1 inch self tapping screw x 1 or 2;No.4 x 1/4 inch self tapping screw x 1 or 2;Gliders and hooks x 12 - 24;End stop and fixing nut x 1 or 2;Ceiling hanger support x 1 or 2;Cei,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/36/UP-D30236_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_SlenderlineKit_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,
52,PD25396,CORAM 865MM 4 FOLDING BATHSCREEN CP/CL,Coram,219.35,"The generous Coram 865mm folding four panel bath screen has continuous seals for consistent leak-free use. This panel simply folds away when not in use, making it an unobtrusive choice for minimalist bathrooms.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> CORAM 865MM 4 FOLDING BATHSCREEN CP/CL,,Panel bath screen;32mm screw;Wall plug;Screw cap,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/96/UP-D25396_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Folding_5_P_Bathscreen_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Bathscreen_Technical.pdf,,,,,,
53,PD58471,Ideal Standard Concept Space shower bath screen Silver/Clear,Ideal Standard,393.55,"This Ideal Standard Concept Space shower/bath screen is designed for use with the 170 and the 150 Concept square shower baths, providing splash-free coverage during baths and showers.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ideal Standard Concept Space shower bath screen Silver/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/71/UP-D58471_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/IS_Bath_Book_Brchr_2015.pdf,,,,,,,,
54,PD25394,Coram folding 5 panel bath screen 1060mm Chrome Plated/Clear,Coram,231.78,"The generous Coram 1060mm folding five panel bath screen has continuous seals for consistent leak-free use. This panel simply folds away when not in use, making it an unobtrusive choice for minimalist bathrooms.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Coram folding 5 panel bath screen 1060mm Chrome Plated/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/94/UP-D25394_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Folding_5_P_Bathscreen_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Bathscreen_Technical.pdf,,,,,,
55,PT41782,Scudo side panel 6 x 700 mm,,138.89,"Manufactured in toughened safety glass, the Scudo 700 x 1850mm shower side panel is finished with Acquashield for ease of cleaning. This must-have glass treatement creates an invisible barrier that resists soap scum, limescale and bacterial buildup, making regular cleaning simple with no need for harsh chemicals.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Scudo side panel 6 x 700 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/82/T41782_wm.jpg,Clear,,,,N,,,S6-GLASS025,,N,Up to 6mm thick toughened safety glass,Universal design,Acquashield glass treatment,Large adjustment for out of true walls,Lifetime warranty,,,,,,,,,,,,
56,PD28368,Mira Leap inline panel only 400mm,Mira,212.0,"Built to last and highly flexible, this 400mm Mira Leap inline panel is used to create a bespoke corner shower enclosure using any door from the Leap range. Easy to clean, this toughened glass panel incorporates CleanCoat technology for a long lasting, effortless shine, hidden fixings for a seamless finish and the Twist and Lock installation system for fast fitting.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Mira Leap inline panel only 400mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/68/UP-D28368_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Leap_In_Line_Panel_Line_Drawing.pdf,,,,,,,,
57,PD47376,Croydex shower curtain rings,Croydex,3.68,Add an understated finishing touch to any bathroom with this pack of 12 Croydex clear button-style shower curtain rings.,Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex shower curtain rings,,Button curtain ring;Full colour polybag with Euro slot,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/76/UP-D47376_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Croydex_Product_Catalogue_2017.pdf,,,,,,,
58,PJ78822,Ideal Standard Synergy bath screen 815mm Silver/Clear,Ideal Standard,365.41,The Ideal Standard Synergy 815 x 1500mm angle bath/shower screen is manufactured using 6mm toughened safety glass and incorporates a watertight seal for reliable leak-proof use. This square screen can be folded inwards or outwards for convenience when cleaning and getting in and out of the shower.,Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ideal Standard Synergy bath screen 815mm Silver/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/22/UP-J78822_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/IS_Bathrooms_Brchr_2018.pdf,,,,,,,,
59,PT41786,Scudo side panel 1000 mm,,175.37,"Manufactured in toughened safety glass, the Scudo 1000 x 1850mm shower side panel is finished with Acquashield for ease of cleaning. This must-have glass treatement creates an invisible barrier that resists soap scum, limescale and bacterial buildup, making regular cleaning simple with no need for harsh chemicals.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Scudo side panel 1000 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/86/T41786_wm.jpg,Clear,,,,N,,,S6-GLASS029,,N,Up to 6mm thick toughened safety glass,Universal design,Acquashield glass treatment,Large adjustment for out of true walls,Lifetime warranty,,,,,,,,,,,,
60,PD30026,Croydex bendy shower rail 3000mm Silver,Croydex,68.24,"This 3M Croydex silver bendy shower rail is supplied with ceiling support, hooks, gliders. With two separate aluminium extrusions and a central flexible PVC core, this rail can be bent at any point to follow the curve of a bath or shower.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex bendy shower rail 3000mm Silver,,Bendy rail;2 piece wall brackets;24 piece gliders;26 piece hooks;Ceiling hanger support;Ceiling support bracket;2 piece end stop;2 piece fixing nut;5 piece wall plug;No.6 x 1 inch self tapping screw;No.4 x 1/4 inch self tapping screw;5 piece No.8 x 1-1/4,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/26/UP-D30026_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_BendyRail_Installation.pdf,,,,,,,
